lemma,query_term,n_synsets,n_LE
traditioneel,traditioneler,0,0
traditioneel,traditioneel,4,4
mesties,mestiezen,0,0
mesties,mesties,1,0
primitief,primitieve,3,0
primitief,primitiefste,0,0
primitief,primitievere,0,0
primitief,primitiefst,0,0
primitief,primitiefs,0,0
primitief,primitiever,0,0
primitief,primitief,4,0
ontdekken,ontdekken,13,1
koppensneller,koppensnellers,0,0
koppensneller,koppensneller,2,0
lagelonenland,lagelonenlanden,0,0
lagelonenland,lagelonenland,0,0
inlander,inlanders,1,0
inlander,inlander,1,0
dwerg,dwergen,2,0
dwerg,dwerg,3,0
gay,gaye,0,0
gay,gayer,0,0
gay,gayst,0,0
gay,gays,0,0
gay,gayste,0,0
gay,gay,1,0
baboe,baboes,0,0
baboe,baboe,2,0
indisch,indische,6,0
indisch,indischere,0,0
indisch,indischer,0,0
indisch,indisch,3,3
berber,berbers,0,1
berber,berber,2,0
pygmee,pygmeeën,1,0
pygmee,pygmee,2,0
gekleurd,gekleurdste,0,0
gekleurd,gekleurde,6,1
gekleurd,gekleurdst,0,0
gekleurd,gekleurder,0,0
gekleurd,gekleurds,0,0
gekleurd,gekleurdere,0,0
gekleurd,gekleurd,7,1
roots,roots,0,0
kaukasisch,kaukasischer,0,0
kaukasisch,kaukasischere,0,0
kaukasisch,kaukasische,0,1
kaukasisch,kaukasisch,0,0
achterlijk,achterlijkst,0,0
achterlijk,achterlijkste,0,0
achterlijk,achterlijker,0,0
achterlijk,achterlijkheid,1,1
achterlijk,achterlijkere,0,0
achterlijk,achterlijken,0,0
achterlijk,achterlijke,2,0
achterlijk,achterlijks,0,0
achterlijk,achterlijk,0,0
mulat,mulatten,0,0
mulat,mulat,2,0
ras,rast,0,0
ras,rassere,0,0
ras,rassen,6,0
ras,rasse,0,0
ras,rasser,0,0
ras,raste,0,0
ras,ras,16,0
etnische groep,etnische groepen,1,0
etnische groep,etnische groep,0,0
eerste wereld,eerste wereld,0,0
aboriginal,aboriginals,0,0
aboriginal,aboriginal,1,0
travestiet,travestieten,0,0
travestiet,travestiet,1,0
barbaar,barbaren,2,0
barbaar,barbaar,4,0
derde wereld,derde wereld,5,0
slaaf,slaven,6,2
slaaf,slaaf,8,0
primitivisme,primitivismen,0,0
primitivisme,primitivisme,0,0
eskimo,eskimo's,2,1
eskimo,eskimo,4,1
page,pages,0,0
page,page,1,1
zuid-rhodesië,zuid-rhodesië,0,0
inboorling,inboorlingen,1,0
inboorling,inboorling,2,0
hottentot,hottentotten,0,0
hottentot,hottentot,1,0
calcutta,calcutta,2,0
indo,indo's,0,0
indo,indo,1,0
mohammedaan,mohammedanen,1,0
mohammedaan,mohammedaan,2,1
madras,madras,1,0
moor,moors,1,0
moor,moren,1,0
moor,moor,5,0
gehandicapte,gehandicapten,6,2
gehandicapte,gehandicapte,5,0
koelie,koelies,0,0
koelie,koelie,3,0
volbloed,volbloeden,0,0
volbloed,volbloed,1,0
métis,metis,0,0
métis,métis,0,0
marron,marrons,0,0
marron,marron,0,0
kaffer,kaffers,0,0
kaffer,kaffer,2,0
allochtoon,allochtoons,0,0
allochtoon,allochtoner,0,0
allochtoon,allochtone,0,0
allochtoon,allochtonere,0,0
allochtoon,allochtoonst,0,0
allochtoon,allochtoonste,0,0
allochtoon,allochtonen,5,0
allochtoon,allochtoon,2,0
tweede wereld,tweede wereld,0,0
wit,wits,0,0
wit,witten,5,0
wit,witte,83,7
wit,witter,1,0
wit,wittere,0,0
wit,witst,0,0
wit,witste,0,0
wit,wit,39,11
inheems,inheemsere,0,0
inheems,inheemste,0,0
inheems,inheemse,4,0
inheems,inheemst,0,0
inheems,inheemser,0,0
inheems,inheems,0,0
trans,transen,0,0
trans,trans,1,3
