,Unnamed: 0,term,QID,wd_bow,spacy_cs,check
39,3005,barbarians,Q19904661,"['invasion', 'barbarian', 'painting', 'painting', 'ulpiano', 'checa']",0.688,
40,2965,barbarians,Q112333158,"['new', 'order', 'barbarian', 'lecture', 'transcription', 'richard', 'remark', 'implementation', 'world']",0.6809999999999999,
41,130,batavia,Q1199713,"['capital', 'city', 'toponym', 'capital', 'dutch', 'east', 'indie', 'city', 'jakarta']",1.0,True
42,193,batavia,Q25388662,"['city', 'center', 'city', 'skyscraper', 'mixed', 'jakarta', 'indonesia']",0.888,
43,418,batavia,Q1150578,"['massacre', 'mass', 'murder', 'chinezenmoord', 'geger', 'pacinan', 'pogrom', 'ethnic', 'chinese', 'port', 'city', 'present', 'day', 'jakarta', 'dutch', 'east', 'indie']",0.8079999999999999,True
44,205,batavia,Q27925782,"['flor', 'locality', 'mexico', 'town', 'mexican', 'state', 'oaxaca']",0.787,
45,169,batavia,Q1934021,"['city', 'united', 'state', 'iowa', 'ia', 'city', 'iowa', 'usa']",0.785,False
46,183,batavia,Q23043356,"['waterkasteel', 'northernmost', 'fortification', 'dutch', 'east', 'indie']",0.78,True
47,277,batavia,Q48728178,"['stadsherberg', 'building', 'inn', 'tavern', 'office', 'dutch', 'east', 'indie']",0.738,
48,376,batavia,Q85745702,"['city', 'school', 'district', 'school', 'district', 'united', 'state', 'school', 'district', 'state', 'new', 'york']",0.7340000000000001,False
49,445,batavia,Q41880091,"['unincorporated', 'area', 'michigan', 'unincorporated', 'community', 'township', 'branch', 'county', 'michigan']",0.7340000000000001,
50,309,batavia,Q54728796,"['neighborhood', 'neighborhood', 'nijmegen', 'netherlands']",0.732,
51,58672,berber,Q1541828,"['riffian', 'people', 'rif', 'ruafa', 'irifiyen', 'rifia', 'riyafa', 'riff', 'cabezones', 'ethnic', 'group', 'north', 'morocco', 'heritage']",0.863,
52,58739,berber,Q2511788,"['eastern', 'language', 'family', 'language', 'subfamily', 'eastern', 'language', 'group', 'language', 'spoken', 'libya', 'egypt']",0.826,True
53,58687,berber,Q19835346,"['jewellery', 'jewelry', 'jewellery', 'culture', 'traditional', 'jewellery', 'people', 'north', 'western', 'africa']",0.82,True
54,58795,berber,Q2916416,"['numidian', 'people', 'ancient', 'northern', 'africa']",0.8190000000000001,
55,58748,berber,Q25448,"['language', 'family', 'afroasiatic', 'language', 'language', 'ber', 'tamazight', 'family', 'language', 'dialect', 'indigenous', 'north', 'africa']",0.818,
56,58758,berber,Q2741732,"['northern', 'language', 'family', 'language', 'subfamily', 'dialect', 'continuum', 'northern', 'language', 'afro', 'asiatic', 'dialect', 'continuum']",0.815,True
57,58743,berber,Q2518185,"['royal', 'institute', 'amazigh', 'culture', 'institute', 'morocco', 'responsible', 'promotion', 'language', 'culture']",0.8079999999999999,True
58,58622,berber,Q11156769,"['mzab', 'wargla', 'language', 'family', 'zenati', 'northern', 'saharan', 'oasis', 'language']",0.805,True
59,58884,berber,Q49741,"['central', 'atlas', 'tamazight', 'tamazight', 'tzm', 'atlasic', 'language', 'afro', 'asiatic', 'language', 'family']",0.804,
60,58680,berber,Q16936691,"['sheliff', 'basin', 'language', 'variety', 'western', 'algerian', 'zenatic', 'variety', 'algeria']",0.8009999999999999,
61,58556,berbers,Q45315,"['berber', 'ethnic', 'group', 'tribe', 'afroasiatic', 'people', 'berber', 'amazigh', 'imazighen', 'ethnic', 'group', 'indigenous', 'north', 'africa']",0.883,
62,58525,berbers,Q16148121,"['berber', 'france', 'ethnic', 'group']",0.838,
63,58526,berbers,Q16209031,"['berber', 'islam', 'aspect', 'history', 'history', 'north', 'africa', 'history', 'berber', 'people', 'converted', 'islam']",0.831,
64,58553,berbers,Q33274,"['shawiya', 'tachawit', 'shawiya', 'language', 'shy', 'zenati', 'variety', 'tamazight', 'language', 'spoken', 'shawi', 'berber', 'awras', 'region', 'eastern', 'algeria']",0.8140000000000001,
65,58555,berbers,Q410453,"['ethiopia', 'aethiopia', 'ethiopia', 'region', 'africa', 'historical', 'term', 'sub', 'saharan', 'africa', 'black', 'africa', 'inclusive', 'much', 'modern', 'ethiopia', 'almost', 'never', 'egypt', 'tunisia', 'land', 'greco', 'roman', 'mythology', 'considered', 'devout', 'close', 'god']",0.813,
66,58535,berbers,Q22948447,"['berber', 'mauritania', 'ethnic', 'group', 'ethnicity', 'mauritania']",0.807,
67,58528,berbers,Q21029694,"['berber', 'morocco', 'ethnic', 'group']",0.7929999999999999,
68,58536,berbers,Q22948456,"['berber', 'tunisia', 'ethnic', 'group', 'ethnic', 'group']",0.765,
69,58529,berbers,Q21039413,"['berber', 'mali', 'ethnic', 'group']",0.746,
70,58530,berbers,Q21829586,"['wikiproject', 'berber', 'wikiproject', 'wikimedia', 'subject', 'area', 'collaboration']",0.706,
71,96016,black,Q3075017,"['people', 'france', 'human', 'population', 'african', 'immigration', 'france', 'racial', 'multi', 'ethnic', 'group']",0.895,
72,99525,black,Q96649416,"['solitude', 'historical', 'process', 'concept', 'social', 'historical', 'process', 'leading', 'feeling', 'racialized', 'person', 'belonging', 'nowhere']",0.87,True
73,102953,black,Q29097370,"['association', 'anthropologist', 'learned', 'society', 'organization', 'brings', 'together', 'anthropologist', 'view', 'highlighting', 'history', 'african', 'american', 'especially', 'regard', 'exploitation', 'oppression', 'discrimination']",0.8640000000000001,
74,100230,black,Q2265058,"['númenóreans', 'fictional', 'ethnic', 'group', 'dúnedain', 'numenoreans', 'human', 'people', 'legendarium']",0.857,
75,101927,black,Q109591499,"['afro', 'indigeneity', 'ethnic', 'group', 'afro', 'indigenous', 'indigenous', 'mixed', 'race', 'individual', 'african', 'amerindian', 'heritage']",0.856,
76,94179,black,Q3007177,"['african', 'american', 'culture', 'human', 'activity', 'cultural', 'identity', 'culture', 'united', 'state', 'african', 'american', 'culture', 'culture', 'african', 'american', 'american', 'culture', 'pattern', 'human', 'activity', 'symbolism', 'associated', 'african', 'american']",0.8540000000000001,
77,97312,black,Q2415143,"['hebrew', 'israelite', 'new', 'religious', 'movement', 'group', 'claiming', 'affiliation', 'israelite', 'hebrew', 'israelite', 'hebrew', 'israelite', 'african', 'hebrew', 'israelite', 'organization', 'indigenous', 'american', 'traced', 'ancestral', 'lineage', 'ancient', 'israelite', 'verified', 'record', 'myriad', 'account', 'confirmed', 'rabbi', 'elder', 'semitic', 'community']",0.85,
78,100710,black,Q38007013,"['fury', 'group', 'group', 'human', 'group', 'apulian', 'red', 'figure', 'vase', 'painter', 'working', 'similar', 'style', 'whose', 'name', 'called', 'fury', 'group', 'distinctive', 'style', 'various', 'painter', 'making', 'rather', 'small', 'group', 'closely', 'rela']",0.843,
79,102056,black,Q2227505,"['triangle', 'unidentified', 'flying', 'object', 'class', 'ufo', 'certain', 'common', 'feature', 'reportedly', 'observed', 'century']",0.838,
80,94954,black,Q1506365,"['great', 'migration', 'human', 'migration', 'great', 'migration', 'african', 'american', 'great', 'northward', 'migration', 'great', 'migration', 'movement', 'african', 'american', 'rural', 'southern', 'united', 'state']",0.836,
81,93913,blacker,Q75653458,"['catherine', 'madisson', 'human', 'catherine', 'peerage', 'person']",0.7140000000000001,
82,93850,blacker,Q100912206,"['king', 'lucas', 'burnet', 'biographical', 'article', 'entry', 'men', 'bar']",0.691,
83,93917,blacker,Q75653493,"['letitia', 'cary', 'human', 'letitia', 'peerage', 'person']",0.685,
84,93908,blacker,Q75653282,"['rosemary', 'sheepshank', 'human', 'rosemary', 'peerage', 'person']",0.682,
85,93909,blacker,Q75653332,"['martha', 'beaver', 'human', 'martha', 'peerage', 'person']",0.6809999999999999,
86,93895,blacker,Q59646378,"['environmental', 'change', 'catastrophic', 'flooding', 'voidomatis', 'aoos', 'basin', 'northwest', 'greece', 'doctoral', 'thesis', 'robertson', 'henry', 'hamlin']",0.6759999999999999,
87,93915,blacker,Q75653483,"['alicia', 'dowdall', 'human', 'alicia', 'peerage', 'person']",0.6759999999999999,
88,93896,blacker,Q62639841,"['house', 'university', 'dormitory', 'hovse', 'church', 'house', 'two', 'one', 'inseperable', 'γδβγ', 'student', 'residence', 'california', 'institute', 'technology']",0.6729999999999999,
89,93863,blacker,Q107729886,"['u', 'colored', 'infantry', 'charles', 'collection', 'file', 'unit', 'national', 'archive', 'record', 'holding', 'naid']",0.664,
90,93893,blacker,Q50146002,"['beaver', 'henry', 'biographical', 'article', 'entry', 'men', 'time', 'eleventh', 'edition']",0.6609999999999999,
91,93929,blackest,Q1443912,"['night', 'limited', 'series', 'limited', 'dc', 'comic', 'crossover', 'series']",0.541,
92,93924,blackest,Q107300913,"['dawn', 'musical', 'group', 'german', 'death', 'metal', 'album']",0.529,
93,93930,blackest,Q19112705,"['night', 'sable', 'wore']",0.496,
94,93932,blackest,Q96408477,"['day', 'musical', 'work', 'composition', 'song', 'lana', 'del', 'rey']",0.475,
95,93931,blackest,Q20899619,"['eye', 'extended', 'play', 'extended', 'play', 'aye', 'nako']",0.467,
96,93925,blackest,Q114488053,"['night', 'television', 'series', 'episode', 'episode', 'justice', 'league']",0.42700000000000005,
97,93927,blackest,Q114538610,"['night', 'television', 'series', 'episode', 'episode', 'justice', 'league']",0.42700000000000005,
98,93926,blackest,Q114493842,"['poison', 'television', 'series', 'episode', 'episode', 'legend', 'prince', 'valiant']",0.423,
99,93823,blacks,Q817393,"['black', 'people', 'race', 'human', 'categorization', 'person', 'color', 'black', 'man', 'black', 'woman', 'black', 'person', 'black', 'racialized', 'classification', 'people', 'usually', 'political', 'skin', 'color', 'based', 'category', 'specific', 'population', 'mid', 'dark', 'brown', 'complexion']",0.95,
100,93551,blacks,Q20747545,"['black', 'liverpool', 'ethnic', 'group', 'liverpool', 'born', 'black', 'liverpudlian', 'black', 'liverpool', 'black', 'community', 'racial', 'ethnic', 'group', 'people', 'city', 'liverpool', 'african', 'ancestry']",0.877,
101,93839,blacks,Q96280198,"['black', 'historical', 'experience', 'european', 'black', 'african', 'african', 'american', 'nazi', 'era', 'non', 'fiction', 'work']",0.8490000000000001,
102,93699,blacks,Q49940594,"['little', 'black', 'fork', 'natural', 'watercourse', 'natural', 'watercourse', 'uinta', 'county', 'wyoming', 'united', 'state', 'america']",0.8390000000000001,
103,93822,blacks,Q80079543,"['mississippi', 'freedom', 'democratic', 'party', 'created', 'alternative', 'regular', 'state', 'party', 'black', 'eighty', 'thousand', 'people', 'people', 'vote', 'mississippi', 'first', 'time', 'plaque', 'photograph', 'photograph', 'danny', 'lyon', 'american']",0.838,
104,93582,blacks,Q23900409,"['giessen', 'black', 'burschenschaft', 'germanic', 'league', 'radical', 'fraternity', 'movement', 'giessen', 'germany']",0.828,
105,93481,blacks,Q111507927,"['population', 'black', 'united', 'state', 'group', 'human', 'population', 'identifies', 'african', 'according', 'census']",0.8270000000000001,
106,93519,blacks,Q11678010,"['association', 'stop', 'racism', 'black', 'japanese', 'civil', 'right', 'organization']",0.8170000000000001,
107,93474,blacks,Q108563005,"['civil', 'right', 'housing', 'relief', 'section', 'black', 'exploited', 'segregated', 'housing', 'market', 'clark', 'universal', 'builder', 'article']",0.8140000000000001,
108,93726,blacks,Q60791206,"['identity', 'black', 'jew', 'europe', 'america', 'non', 'fiction', 'work', 'identity', 'question', 'book', 'robert', 'philipson']",0.81,
109,53248,bombay,Q1156,"['mumbai', 'megacity', 'state', 'capital', 'city', 'million', 'city', 'locality', 'metropolis', 'second', 'largest', 'city', 'business', 'cluster', 'big', 'city', 'capital', 'city', 'maharashtra', 'india']",0.977,
110,53367,bombay,Q61445,"['navi', 'mumbai', 'city', 'big', 'city', 'million', 'city', 'planned', 'community', 'new', 'new', 'mumbai', 'satellite', 'city', 'mumbai']",0.889,
111,53303,bombay,Q3621720,"['mumbai', 'metropolitan', 'region', 'metropolitan', 'area', 'mmr', 'greater', 'metropolitan', 'area', 'metropolitan', 'area', 'maharashtra', 'india']",0.857,
112,53587,bombay,Q15277620,"['siddhegavhan', 'village', 'state', 'india']",0.8190000000000001,
113,53998,bombay,Q15277258,"['shikrapur', 'village', 'state', 'india']",0.8190000000000001,
114,53997,bombay,Q15271828,"['ranjangaon', 'sandas', 'village', 'state', 'india']",0.8190000000000001,
115,53996,bombay,Q15266369,"['pimpalgaon', 'tarf', 'khed', 'village', 'state', 'india']",0.8190000000000001,
116,53586,bombay,Q15239667,"['koregaon', 'bhima', 'village', 'state', 'india']",0.8190000000000001,
117,53994,bombay,Q15179133,"['alegaon', 'paga', 'village', 'state', 'india']",0.818,
118,54063,bombay,Q4940547,"['city', 'improvement', 'trust']",0.8109999999999999,
119,120264,burma,Q836,"['myanmar', 'sovereign', 'state', 'country', 'republic', 'union', 'myanmar', 'union', 'bur', 'mya', 'mm', 'sovereign', 'state', 'southeast', 'asia']",0.95,
120,119869,burma,Q13072974,"['socialist', 'republic', 'union', 'republic', 'historical', 'country', 'socialist', 'state', 'union', 'socialist', 'bspp', 'period', 'state', 'southeast', 'asia']",0.8490000000000001,
121,120063,burma,Q4796,"['naypyidaw', 'union', 'territory', 'nay', 'pyi', 'taw', 'union', 'territory', 'administrative', 'division', 'central', 'myanmar']",0.8140000000000001,
122,119891,burma,Q15072454,"['region', 'myanmar', 'administrative', 'territorial', 'entity', 'myanmar', 'first', 'level', 'administrative', 'country', 'subdivision', 'burmese', 'region', 'region', 'myanma', 'region', 'administrative', 'territorial', 'entity', 'myanmar']",0.809,
123,120196,burma,Q704358,"['state', 'historical', 'country', 'puppet', 'state', 'empire', 'japan']",0.802,
124,119940,burma,Q1937196,"['lower', 'geographic', 'region', 'historical', 'region', 'territory', 'irrawaddy', 'outer', 'myanmar', 'geographic', 'historic', 'region', 'including', 'low', 'lying', 'irrawaddy', 'delta', 'well', 'coastal', 'region', 'country', 'plus', 'territory', 'annexed', 'british', 'empire', 'end', 'second', 'anglo', 'burmese', 'war']",0.802,True
125,120041,burma,Q4099756,"['burminsky', 'selsoviet', 'rural', 'settlement', 'russia', 'human', 'settlement', 'askinsky', 'district', 'republic', 'bashkortostan', 'russia']",0.8,
126,120205,burma,Q7233551,"['post', 'independence', 'historical', 'country', 'sovereign', 'state', 'historical', 'period', 'union', 'former', 'country']",0.797,
127,120244,burma,Q7830262,"['township', 'myanmar', 'third', 'level', 'administrative', 'country', 'subdivision', 'administrative', 'territorial', 'entity', 'myanmar', 'commune', 'township', 'unit', 'local', 'government', 'myanmar']",0.7929999999999999,True
128,121178,burma,Q35730552,"['summit', 'mountain', 'mountain', 'united', 'state', 'america']",0.7909999999999999,
129,104162,calcutta,Q1348,"['kolkata', 'municipal', 'corporation', 'west', 'bengal', 'million', 'city', 'megacity', 'state', 'capital', 'metropolis', 'city', 'palace', 'city', 'procession', 'city', 'joy', 'capital', 'city', 'west', 'bengal', 'india']",0.986,
130,104862,calcutta,Q112794323,"['central', 'kolkata', 'geographic', 'region', 'central', 'madhya', 'kolkata', 'region', 'kolkata', 'west', 'bengal']",0.85,
131,104234,calcutta,Q3349812,"['kolkata', 'metropolitan', 'area', 'metropolitan', 'area', 'conurbation', 'metropolitan', 'area', 'greater', 'kolkata', 'kma', 'cma', 'metropolitan', 'area', 'west', 'bengal', 'india']",0.85,
132,104940,calcutta,Q5018950,"['riverside', 'neighborhood', 'township', 'human', 'settlement', 'india']",0.838,
133,104188,calcutta,Q2088496,"['kolkata', 'district', 'district', 'india', 'district', 'district', 'west', 'bengal', 'india']",0.823,True
134,104758,calcutta,Q7567630,"['south', 'kolkata', 'geographic', 'region', 'south', 'dakshin', 'kolkata', 'region', 'kolkata', 'west', 'bengal']",0.813,
135,104927,calcutta,Q5018914,"['unincorporated', 'community', 'united', 'state', 'west', 'virginia', 'wv', 'unincorporated', 'community', 'pleasants', 'county', 'west', 'virginia']",0.813,False
136,104520,calcutta,Q14221200,"['north', 'kolkata', 'geographic', 'region', 'north', 'uttar', 'kolkata', 'region', 'kolkata', 'west', 'bengal']",0.812,
137,105119,calcutta,Q68578648,"['police', 'quarter', 'building', 'building', 'ward', 'kolkata', 'municipal', 'corporation', 'india']",0.8079999999999999,
138,104309,calcutta,Q58954708,"['kolkata', 'municipal', 'corporation', 'area', 'municipal', 'corporation', 'area', 'municipal', 'corporation', 'area', 'area', 'jurisdiction', 'kolkata', 'municipal', 'corporation']",0.8079999999999999,True
139,39912,caucasian,Q112854793,"['competitive', 'ability', 'clover', 'trifolium', 'ambiguum', 'compared', 'white', 'clover', 'trifolium', 'repens', 'lowland', 'high', 'country', 'site', 'thesis', 'thesis', 'adam', 'webb', 'lincoln', 'university']",0.865,
140,40050,caucasian,Q3832962,"['pontic', 'pontic', 'language', 'proposed', 'language', 'macrofamily', 'comprising', 'indo', 'european', 'northwest', 'language', 'family']",0.8590000000000001,
141,40387,caucasian,Q112853179,"['clover', 'establishment', 'high', 'country', 'grazing', 'response', 'ryegrass', 'white', 'clover', 'lowland', 'pasture', 'thesis', 'thesis', 'allister', 'moorhead', 'lincoln', 'university']",0.851,
142,39931,caucasian,Q1152826,"['armenoid', 'race', 'according', 'racial', 'anthropology', 'early', 'century', 'subtype', 'race', 'centered', 'northern', 'part', 'western', 'asia']",0.848,
143,40027,caucasian,Q33054,"['bezhta', 'bezhta', 'language', 'language', 'belonging', 'tsezic', 'group', 'north', 'language', 'family', 'spoken', 'people', 'southern', 'dagestan', 'russia']",0.8440000000000001,
144,39970,caucasian,Q177076,"['albania', 'historical', 'country', 'satrapy', 'historical', 'state', 'caucasus', 'region']",0.841,
145,39859,caucasian,Q107519129,"['state', 'natural', 'biosphere', 'reserve', 'named', 'shaposhnikov', 'organization', 'organization', 'maykop', 'russia']",0.83,
146,40021,caucasian,Q31292208,"['albanian', 'architecture', 'architectural', 'style', 'architecture', 'ancient', 'state', 'albania']",0.818,
147,39972,caucasian,Q18344570,"['albanian', 'unicode', 'block', 'aghbanian', 'unicode', 'block', 'containing', 'letter', 'mark', 'used', 'aghbanian', 'people', 'ancient', 'albania', 'northeastern', 'caucase']",0.815,
148,40167,caucasian,Q65090850,"['hunter', 'gatherer', 'anatomically', 'modern', 'human', 'genetic', 'lineage', 'identified']",0.81,
149,39807,caucasians,Q11904743,"['albans', 'caucasian', 'isolated', 'human', 'group']",0.81,
150,39809,caucasians,Q2680223,"['abkhazian', 'african', 'descent', 'ethnic', 'group', 'afro', 'abkhazian', 'african', 'caucasian', 'community', 'racial', 'ethnic', 'group', 'people', 'abkhazia', 'african', 'ancestry']",0.795,
151,39806,caucasians,Q113887704,"['investigating', 'effect', 'ocrelizumab', 'african', 'american', 'caucasian', 'relapsing', 'multiple', 'sclerosis', 'clinical', 'trial', 'clinical', 'trial']",0.691,
152,39813,caucasians,Q64650434,"['bm', 'daclatasvir', 'plus', 'peg', 'interferon', 'alfa', 'ribavirin', 'treatment', 'naive', 'black', 'african', 'american', 'latino', 'white', 'caucasian', 'hepatitis', 'c', 'clinical', 'trial', 'clinical', 'trial']",0.6629999999999999,
153,39810,caucasians,Q28407647,"['young', 'caucasian', 'musical', 'group']",0.648,
154,39816,caucasians,Q65316005,"['laser', 'speckle', 'flowgraphy', 'age', 'dependence', 'comparison', 'doppler', 'optical', 'coherence', 'tomography', 'clinical', 'trial', 'clinical', 'trial']",0.624,
155,39812,caucasians,Q64640900,"['genetics', 'periodontal', 'disease', 'european', 'caucasian', 'clinical', 'trial', 'clinical', 'trial']",0.623,
156,39817,caucasians,Q65317205,"['spirulina', 'supplementation', 'cardiovascular', 'risk', 'obese', 'caucasian', 'treated', 'hypertension', 'clinical', 'trial', 'clinical', 'trial']",0.62,
157,39818,caucasians,Q7645073,"['supreme', 'order', 'caucasian']",0.62,
