,term,entity_id,text_1,text_2,text_3
21,black,negritude.n.01,['Negritude'],an ideological position that holds Black culture to be independent and valid on its own terms; an affirmation of the African cultural heritage,[]
22,black,black.n.05,"['Black', 'African-American', 'Negro', 'Negroid']","a person with African ancestry,  and  are archaic and pejorative today","['Negro', 'Negroid']"
23,black,field_cricket.n.01,"['field_cricket', 'Acheta_assimilis']",common American black cricket; attacks crops and also enters dwellings,[]
24,black,soul.n.05,['soul'],a secular form of gospel that was a major Black musical genre in the 1960s and 1970s,['soul was politically significant during the Civil Rights movement']
25,black,abkhaz.n.02,"['Abkhaz', 'Abkhazia']",an autonomous province of Georgia on the Black Sea; a strong independence movement has resulted in much instability,[]
26,black,ku_klux_klan.n.01,"['Ku_Klux_Klan', 'Klan', 'KKK']",a secret society of white Southerners in the United States; was formed in the 19th century to resist the emancipation of slaves; used terrorist tactics to suppress Black people,[]
27,black,white.n.02,"['white', 'whiteness']",the quality or state of the achromatic color of greatest lightness (bearing the least resemblance to black),[]
28,black,gospel.n.03,"['gospel', 'gospel_singing']",folk music consisting of a genre of a cappella music originating with Black slaves in the United States and featuring call and response; influential on the development of other genres of popular music (especially soul),[]
29,black,brightness.n.01,['brightness'],the location of a visual perception along a continuum from black to white,[]
30,blackest,coal-black.s.01,"['coal-black', 'jet', 'jet-black', 'pitchy', 'sooty']",of the blackest black; similar to the color of jet or coal,[]
31,blacks,color_barrier.n.01,['color_barrier'],the barrier preventing Blacks from participating in various activities with whites,[]
32,blacks,spiritual.n.01,"['spiritual', 'Negro_spiritual']",a kind of religious song originated by Blacks in the southern United States,[]
33,blacks,civil_rights_movement.n.01,['Civil_Rights_movement'],movement in the United States beginning in the 1960s and led primarily by Blacks in an effort to establish the civil rights of individual Black citizens,[]
34,blacks,black_muslim.n.01,['Black_Muslim'],an activist member of a largely American group of Blacks called the Nation of Islam,[]
35,blacks,color_bar.n.01,"['color_bar', 'colour_bar', 'color_line', 'colour_line', 'Jim_Crow']",barrier preventing blacks from participating in various activities with whites,[]
36,blacks,king.n.07,"['King', 'Martin_Luther_King', 'Martin_Luther_King_Jr.']",United States charismatic civil rights leader and Baptist minister who campaigned against the segregation of Blacks (1929-1968),[]
37,blacks,sickle-cell_anemia.n.01,"['sickle-cell_anemia', 'sickle-cell_anaemia', 'sickle-cell_disease', 'crescent-cell_anemia', 'crescent-cell_anaemia', 'drepanocytic_anemia', 'drepanocytic_anaemia']",a congenital form of anemia occurring mostly in blacks; characterized by abnormal blood cells having a crescent shape,[]
38,bombay,mumbai.n.01,"['Mumbai', 'Bombay']",a city in western India just off the coast of the Arabian Sea; India's 2nd largest city (after Calcutta); has the only natural deep-water harbor in western India,[]
39,bombay,gujarat.n.01,"['Gujarat', 'Gujerat']",an industrialized state in western India that includes parts of Bombay,[]
40,burma,myanmar.n.01,"['Myanmar', 'Union_of_Burma', 'Burma']",a mountainous republic in southeastern Asia on the Bay of Bengal,['much opium is grown in Myanmar']
41,burma,kamarupan.n.01,['Kamarupan'],the Tibeto-Burman language spoken in northeastern India and adjacent regions of western Burma,[]
42,burma,loloish.n.01,['Loloish'],languages spoken by hill tribes in northern Burma and neighboring areas,[]
43,burma,naga.n.01,['Naga'],Kamarupan languages spoken in northeastern India and western Burma,[]
44,burma,kuki.n.01,"['Kuki', 'Chin', 'Kuki-Chin']",Kamarupan languages spoken in western Burma and Bangladesh and easternmost India,[]
45,burma,kachin.n.01,"['Kachin', 'Kachinic']",Tibeto-Burman languages spoken in northernmost Burma and adjacent China and India,[]
46,burma,stilwell.n.01,"['Stilwell', 'Joseph_Warren_Stilwell', 'Vinegar_Joe_Stilwell', 'Uncle_Joe']",United States general who commanded the Allied forces in China and Burma and India during World War II (1883-1946),[]
47,burma,irrawaddy.n.01,"['Irrawaddy', 'Irrawaddy_River']",the main river of Myanmar rising in the north and flowing south through the length of Burma to empty into the Andaman Sea,[]
48,burma,yellow-throated_marten.n.01,"['yellow-throated_marten', 'Charronia_flavigula']",large yellow and black marten of southern China and Burma,[]
49,burma,pepper.n.01,"['pepper', 'common_pepper', 'black_pepper', 'white_pepper', 'Madagascar_pepper', 'Piper_nigrum']",climber having dark red berries (peppercorns) when fully ripe; southern India and Sri Lanka; naturalized in northern Burma and Assam,[]
50,calcutta,kolkata.n.01,"['Kolkata', 'Calcutta']",the largest city in India and one of the largest cities in the world; located in eastern India; suffers from poverty and overcrowding,[]
51,calcutta,mumbai.n.01,"['Mumbai', 'Bombay']",a city in western India just off the coast of the Arabian Sea; India's 2nd largest city (after Calcutta); has the only natural deep-water harbor in western India,[]
52,calcutta,siraj-ud-daula.n.01,['Siraj-ud-daula'],Indian general and nawab of Bengal who opposed the colonization of India by England; he captured Calcutta in 1756 and many of his prisoners suffocated in a crowded room that became known as the Black Hole of Calcutta; he was defeated at the battle of Plassey by a group of Indian nobles in alliance with Robert Clive (1728-1757),[]
53,calcutta,calcuttan.a.01,['Calcuttan'],of or relating to or characteristic of Calcutta or its inhabitants,[]
54,calcutta,black_hole_of_calcutta.n.01,['Black_Hole_of_Calcutta'],a dungeon (20 feet square) in a fort in Calcutta where as many as 146 English prisoners were held overnight by Siraj-ud-daula; the next morning only 23 were still alive,[]
55,caucasian,half-breed.n.01,['half-breed'],an offensive term for an offspring of parents of different racial group (especially of Caucasian and American Indian ancestry),[]
56,caucasian,caucasian.a.01,"['Caucasian', 'Caucasic']",of or relating to the geographical region of Caucasia,['Caucasian languages']
57,caucasian,georgian.n.03,['Georgian'],a southern Caucasian language with 3 million speakers and a long literary tradition,[]
58,caucasian,metis.n.01,['Metis'],a person in western Canada who is of Caucasian and American Indian ancestry,[]
59,caucasian,caucasian.n.02,"['Caucasian', 'Caucasian_language']",a number of languages spoken in the Caucasus that are unrelated to languages spoken elsewhere,[]
60,caucasian,caucasian.s.02,"['Caucasian', 'Caucasoid']",of or relating to Caucasian people,[]
62,caucasian,aryan.n.01,['Aryan'],(according to Nazi doctrine) a Caucasian person of Nordic descent (and not a Jew),[]
63,caucasian,chechen.n.02,['Chechen'],a northern Caucasian language spoken by the Chechen,[]
64,caucasian,circassian.n.03,['Circassian'],a northern Caucasian language spoken by the Circassian,[]
65,caucasian,ubykh.n.01,['Ubykh'],an extinct Caucasian language spoken exclusively in Turkey,[]
66,colored,earth_color.n.01,['earth_color'],a colored mineral used as a pigment,[]
67,colored,colored.a.01,"['colored', 'coloured', 'colorful']",having color or a certain color; sometimes used in combination,"['colored crepe paper', 'the film was in color', 'amber-colored heads of grain']"
68,colored,granny's_bonnets.n.01,"[""granny's_bonnets"", 'Aquilegia_vulgaris']",common European columbine having variously colored (white or blue to purple or red) short-spurred flowers; naturalized in United States,[]
69,colored,moniliaceae.n.01,"['Moniliaceae', 'family_Moniliaceae']",family of imperfect fungi having white or brightly colored hyphae and spores that are produced directly on the mycelium and not aggregated in fruiting bodies,[]
70,colored,colored.s.02,"['colored', 'coloured', 'negro']",having skin rich in melanin pigments,[]
71,colored,toner.n.02,['toner'],a black or colored powder used in a printer to develop a xerographic image,[]
72,colored,bleached.s.02,"['bleached', 'colored', 'coloured', 'dyed']",(used of color) artificially produced; not natural,['a bleached blonde']
73,colored,thimerosal.n.01,"['thimerosal', 'sodium_ethylmercurithiosalicylate', 'Merthiolate']",a light-colored crystalline powder (trade name Merthiolate) used as a surgical antiseptic,[]
74,colored,sardonyx.n.01,['sardonyx'],an onyx characterized by parallel layers of sard and a different colored mineral,[]
75,colored,nonsolid_color.n.01,"['nonsolid_color', 'nonsolid_colour', 'dithered_color', 'dithered_colour']",a color produced by a pattern of differently colored dots that together simulate the desired color,[]
76,coolie,coolie.n.01,"['coolie', 'cooly']",(ethnic slur) an offensive name for an unskilled Asian laborer,[]
77,descent,lineage.n.01,"['lineage', 'line', 'line_of_descent', 'descent', 'bloodline', 'blood_line', 'blood', 'pedigree', 'ancestry', 'origin', 'parentage', 'stemma', 'stock']",the descendants of one individual,['his entire lineage has been warriors']
78,descent,descent.n.04,"['descent', 'line_of_descent', 'lineage', 'filiation']",the kinship relation between an individual and the individual's progenitors,[]
79,descent,origin.n.02,"['origin', 'descent', 'extraction']",properties attributable to your ancestry,['he comes from good origins']
80,descent,relative.n.02,"['relative', 'congener', 'congenator', 'congeneric']",an animal or plant that bears a relationship to another (as related by common descent or by membership in the same genus),[]
81,descent,ancestral.s.01,"['ancestral', 'hereditary', 'patrimonial', 'transmissible']",inherited or inheritable by established rules (usually legal rules) of descent,"['ancestral home', 'ancestral lore', 'hereditary monarchy', 'patrimonial estate', 'transmissible tradition']"
82,descent,generation.n.02,['generation'],group of genetically related organisms constituting a single step in the line of descent,[]
83,descent,unilateral.s.02,['unilateral'],tracing descent from either the paternal or the maternal line only,[]
84,descent,lineal.a.01,"['lineal', 'direct']",in a straight unbroken line of descent from parent to child,"['lineal ancestors', 'lineal heirs', 'a direct descendant of the king', 'direct heredity']"
85,descent,jew.n.01,"['Jew', 'Hebrew', 'Israelite']",a person belonging to the worldwide group claiming descent from Jacob (or converted to it) and connected by cultural or religious ties,[]
86,descent,succession.n.05,"['succession', 'taking_over']",acquisition of property by descent or by will,[]
87,developing nations,international_bank_for_reconstruction_and_development.n.01,"['International_Bank_for_Reconstruction_and_Development', 'World_Bank', 'IBRD']",a United Nations agency created to assist developing nations by loans guaranteed by member governments,[]
88,disabled,disabled.s.01,"['disabled', 'handicapped']",having restricted mental or physical functioning as a consequence of injury or illness,[]
89,disabled,personal_care.n.01,['personal_care'],care for someone who is disabled or is otherwise unable to care for themselves; can including bathing and cooking and managing bodily functions,[]
90,disabled,disabled.n.01,"['disabled', 'handicapped']",people collectively who are crippled or otherwise physically handicapped,['technology to help the elderly and the disabled']
91,disabled,living_will.n.01,['living_will'],a document written by someone still legally capable requesting that he should be allowed to die if subsequently severely disabled or suffering terminal illness,['after he discovered he had AIDS he drew up a living will']
92,disabled,physical_rehabilitation.n.01,"['physical_rehabilitation', 'physical_restoration', 'therapeutic_rehabilitation']",providing help for disabled persons; the removal or reduction of disabilities,[]
93,disabled,disability_check.n.01,"['disability_check', 'disability_payment']",a monthly payment made to someone who has become disabled and is unable to work,[]
94,disabled,disability_insurance.n.01,['disability_insurance'],social insurance for the disabled,[]
95,disabled,sheltered_workshop.n.01,['sheltered_workshop'],a workshop that offers jobs to members of the physically or developmentally disabled population,[]
96,disabled,maimed.s.01,"['maimed', 'mutilated']",having a part of the body crippled or disabled,[]
97,disabled,crutch.n.01,['crutch'],a wooden or metal staff that fits under the armpit and reaches to the ground; used by disabled person while walking,[]
98,discover,discover.v.07,['discover'],see for the first time; make a discovery,['Who discovered the North Pole?']
99,discover,discover.v.04,"['discover', 'find']",make a discovery,"['She found that he had lied to her', 'The story is false, so far as I can discover']"
100,discover,locate.v.01,"['locate', 'turn_up']",discover the location of; determine the place of; find by searching or examining,"['Can you locate your cousins in the Midwest?', 'My search turned up nothing']"
101,discover,learn.v.02,"['learn', 'hear', 'get_word', 'get_wind', 'pick_up', 'find_out', 'get_a_line', 'discover', 'see']","get to know or become aware of, usually accidentally","['I learned that she has two grown-up children', 'I see that you have been promoted']"
102,discover,fall_upon.v.01,"['fall_upon', 'strike', 'come_upon', 'light_upon', 'chance_upon', 'come_across', 'chance_on', 'happen_upon', 'attain', 'discover']",find unexpectedly,"['the archeologists chanced upon an old tomb', 'she struck a goldmine', 'The hikers finally struck the main path to the lake']"
103,discover,detect.v.01,"['detect', 'observe', 'find', 'discover', 'notice']","discover or determine the existence, presence, or fact of","['She detected high levels of lead in her drinking water', 'We found traces of lead in the paint']"
105,discover,unwrap.v.02,"['unwrap', 'disclose', 'let_on', 'bring_out', 'reveal', 'discover', 'expose', 'divulge', 'break', 'give_away', 'let_out', 'uncover']",make known to the public information that was previously known only to a few people or that was meant to be kept a secret,"['The auction house would not disclose the price at which the van Gogh had sold', ""The actress won't reveal how old she is"", 'bring out the truth', 'he broke the news to her', 'unwrap the evidence in the murder case', ""The newspaper uncovered the President's illegal dealings""]"
106,discover,search.v.01,"['search', 'seek', 'look_for']","try to locate or discover, or try to establish the existence of","['The police are searching for clues', 'They are searching for the missing man in the entire county']"
107,discover,ascertain.v.04,['ascertain'],learn or discover with certainty,[]
108,discover,discover.v.03,"['discover', 'find']","make a discovery, make a new finding","['Roentgen discovered X-rays', 'Physicists believe they found a new elementary particle']"
109,dwarf,dwarf.n.01,"['dwarf', 'midget', 'nanus']",a person who is markedly small,[]
110,dwarf,primordial_dwarf.n.01,"['primordial_dwarf', 'hypoplastic_dwarf', 'true_dwarf', 'normal_dwarf']",an achondroplastic dwarf whose small size is the result of a genetic defect; body parts and mental and sexual development are normal,[]
111,dwarf,dwarf.n.03,['dwarf'],a plant or animal that is atypically small,[]
112,dwarf,pituitary_dwarf.n.01,"['pituitary_dwarf', 'hypophysial_dwarf', 'Levi-Lorrain_dwarf']","a dwarf whose condition is caused by a deficiency of growth hormones, rather than by genetic factors (as in the case of the achondroplastic dwarf)",[]
113,dwarf,one-flowered_wintergreen.n.01,"['one-flowered_wintergreen', 'one-flowered_pyrola', 'Moneses_uniflora', 'Pyrola_uniflora']",delicate evergreen dwarf herb of north temperate regions having a solitary white terminal flower; sometimes placed in genus Pyrola,[]
114,dwarf,genus_krigia.n.01,['genus_Krigia'],small herbs closely related to chicory: dwarf dandelions,[]
115,dwarf,wild_thyme.n.01,"['wild_thyme', 'creeping_thyme', 'Thymus_serpyllum']",aromatic dwarf shrub common on banks and hillsides in Europe; naturalized in United States,[]
116,dwarf,dryadella.n.01,"['Dryadella', 'genus_Dryadella']",comprises tropical American species usually placed in genus Masdevallia: very dwarf plants having short tufted and usually unifoliate stems with usually solitary flowers,[]
117,dwarf,troll.n.01,['troll'],(Scandanavian folklore) a supernatural creature (either a dwarf or a giant) that is supposed to live in caves or in the mountains,[]
118,dwarf,sheep_laurel.n.01,"['sheep_laurel', 'pig_laurel', 'lambkill', 'Kalmia_angustifolia']",North American dwarf shrub resembling mountain laurel but having narrower leaves and small red flowers; poisonous to young stock,[]
119,dwarfs,nibelung.n.02,['Nibelung'],(German mythology) any of the group of dwarfs who possessed a treasure hoard that was stolen by Siegfried,[]
120,eskimo,aleut.n.02,['Aleut'],a community of Native Americans who speak an Eskimo-Aleut language and inhabit the Aleutian Islands and southwestern Alaska,['the Aleut and the Eskimo are related culturally and linguistically']
121,eskimo,eskimo.n.01,"['Eskimo', 'Esquimau', 'Inuit']",a member of a people inhabiting the Arctic (northern Canada or Greenland or Alaska or eastern Siberia); the Algonquians called them Eskimo (`eaters of raw flesh') but they call themselves the Inuit (`the people'),[]
123,eskimo,eskimo-aleut.n.01,"['Eskimo-Aleut', 'Eskimo-Aleut_language']",the family of languages that includes Eskimo and Aleut,[]
124,eskimo,lake_clark_national_park.n.01,['Lake_Clark_National_Park'],a national park in Alaska having Eskimo and Athapaskan archeological sites,[]
125,eskimo,eskimo.n.02,"['Eskimo', 'Esquimau']",the language spoken by the Eskimo,[]
127,eskimo,tupik.n.01,"['tupik', 'tupek', 'sealskin_tent']",tent that is an Eskimo summer dwelling,[]
128,eskimo,igloo.n.01,"['igloo', 'iglu']",an Eskimo hut; usually built of blocks (of sod or snow) in the shape of a dome,[]
129,eskimos,rasmussen.n.01,"['Rasmussen', 'Kund_Johan_Victor_Rasmussen']",Danish ethnologist and Arctic explorer; led expeditions into the Arctic to find support for his theory that Eskimos and North American Indians originally migrated from Asia (1879-1933),[]
130,eskimos,kayak.n.01,['kayak'],a small canoe consisting of a light frame made watertight with animal skins; used by Eskimos,[]
131,ethnic group,ethnocentric.a.01,['ethnocentric'],"centered on a specific ethnic group, usually one's own",[]
132,ethnic group,peoples.n.01,['peoples'],the human beings of a particular nation or community or ethnic group,['the indigenous peoples of Australia']
133,ethnic group,communalism.n.02,['communalism'],loyalty and commitment to the interests of your own minority or ethnic group rather than to society as a whole,[]
134,ethnic group,ghetto.n.03,['ghetto'],a poor densely populated city district occupied by a minority ethnic group linked together by economic hardship and social restrictions,[]
135,ethnic group,kurd.n.01,['Kurd'],a member of a largely pastoral Islamic people who live in Kurdistan; the largest ethnic group without their own state,[]
136,ethnic group,ethnocentrism.n.01,['ethnocentrism'],belief in the superiority of one's own ethnic group,[]
137,ethnic group,pogrom.n.01,['pogrom'],organized persecution of an ethnic group (especially Jews),[]
138,ethnic group,mbundu.n.01,"['Mbundu', 'Ovimbundu']",an ethnic group speaking Umbundu and living in western Angola,[]
139,ethnic group,azeri.n.01,['Azeri'],an ethnic group living in Azerbaijan,[]
140,ethnic group,bengali.n.02,['Bengali'],an ethnic group speaking Bengali and living in Bangladesh and eastern India,[]
141,ethnic groups,multiethnic.s.01,"['multiethnic', 'multi-ethnic']",involving several ethnic groups,[]
142,ethnic groups,desegregate.v.01,"['desegregate', 'integrate', 'mix']",open (a place) to members of all races and ethnic groups,['This school is completely desegregated']
143,ethnicity,ethnicity.n.01,['ethnicity'],an ethnic quality or affiliation resulting from racial or cultural ties,['ethnicity has a strong influence on community status relations']
144,ethnicity,ethnically.r.01,['ethnically'],with respect to ethnicity,['the neighborhood is ethnically diverse']
145,exotic,exotic.s.02,['exotic'],strikingly strange or unusual,"['an exotic hair style', 'protons, neutrons, electrons and all their exotic variants', 'the exotic landscape of a dead planet']"
146,exotic,alien.s.02,"['alien', 'exotic']",being or from or characteristic of another place or part of the world,"['alien customs', 'exotic plants in a greenhouse', 'exotic cuisine']"
147,exotic,pasty.n.02,['pasty'],(usually used in the plural) one of a pair of adhesive patches worn to cover the nipples of exotic dancers and striptease performers,[]
148,exotic,ecotourism.n.01,['ecotourism'],tourism to exotic or threatened ecosystems to observe wildlife or to help preserve nature,[]
149,exotic,biosafety_level_4.n.01,['biosafety_level_4'],exposure to exotic infectious agents that pose a high risk of life-threatening disease and can be transmitted as an aerosol and for which there is no vaccine or therapy,[]
150,exotic,exoticism.n.01,"['exoticism', 'exoticness', 'exotism']",the quality of being exotic,['he loved the exoticism of Egypt']
151,footman,footman.n.01,['footman'],a man employed as a servant in a large establishment (as a palace) to run errands and do chores,[]
152,footman,lackey.n.01,"['lackey', 'flunky', 'flunkey']",a male servant (especially a footman),[]
153,gay,homosexual.n.01,"['homosexual', 'homophile', 'homo', 'gay']",someone who is sexually attracted to persons of the same sex,[]
154,gay,gay.s.06,"['gay', 'queer', 'homophile']",homosexual or arousing homosexual desires,[]
155,gay,gay.s.03,['gay'],given to social pleasures often including dissipation,"['led a gay Bohemian life', 'a gay old rogue with an eye for the ladies']"
156,gay,gaily.r.01,['gaily'],in a gay manner,['the scandals were gaily diverting']
157,gay,gaiety.n.01,"['gaiety', 'merriment']",a gay feeling,[]
158,gay,play.n.14,"['play', 'frolic', 'romp', 'gambol', 'caper']",gay or light-hearted recreational activity for diversion or amusement,"['it was all done in play', 'their frolic in the surf threatened to become ugly']"
159,gay,gay.s.02,"['gay', 'jocund', 'jolly', 'jovial', 'merry', 'mirthful']",full of or showing high-spirited merriment; ; - Wordsworth,"['when hearts were young and gay', 'a poet could not but be gay, in such a jocund company', 'the jolly crowd at the reunion', 'jolly old Saint Nick', 'a jovial old gentleman', 'have a merry Christmas', 'peals of merry laughter', 'a mirthful laugh']"
160,gay,gay.s.05,"['gay', 'festal', 'festive', 'merry']",offering fun and gaiety,"['a festive (or festal) occasion', 'gay and exciting night life', 'a merry evening']"
161,gay,charles.n.07,"['Charles', 'Jacques_Charles', 'Jacques_Alexandre_Cesar_Charles']",French physicist and author of Charles's law which anticipated Gay-Lussac's law (1746-1823),[]
162,gay,brave.s.03,"['brave', 'braw', 'gay']",brightly colored and showy,"['girls decked out in brave new dresses', 'brave banners flying', ""`braw' is a Scottish word"", 'a dress a bit too gay for her years', 'birds with gay plumage']"
163,gypsies,romany.a.01,"['Romany', 'Romani']",of or relating to the Gypsies or their language or culture,"['Romani nomads', 'Romany folk songs', 'a Gypsy fortune-teller']"
164,gypsies,flamenco.n.02,"['flamenco', 'gypsy_dancing']",a style of dancing characteristic of the Andalusian Gypsies; vigorous and rhythmic with clapping and stamping of feet,[]
165,gypsies,romany.n.02,"['Romany', 'Gypsy']",the Indic language of the Gypsies,[]
166,gypsy,gypsy.n.02,"['Gypsy', 'Gipsy', 'Romany', 'Rommany', 'Romani', 'Roma', 'Bohemian']","a member of a people with dark skin and hair who speak Romany and who traditionally live by seasonal work and fortunetelling; they are believed to have originated in northern India but now are living on all continents (but mostly in Europe, North Africa, and North America)",[]
167,gypsy,gypsy.n.03,"['gypsy', 'gipsy']","a person who resembles a Gypsy in leading an unconventional, nomadic way of life",[]
169,gypsy,tinker.n.02,['tinker'],formerly a person (traditionally a Gypsy) who traveled from place to place mending pots and kettles and other metal utensils as a way to earn a living,[]
170,gypsy,itinerant.n.01,"['itinerant', 'gypsy', 'gipsy']",a laborer who moves from place to place as demanded by employment,['itinerant traders']
171,gypsy,romany.n.02,"['Romany', 'Gypsy']",the Indic language of the Gypsies,[]
172,gypsy,gitana.n.01,['gitana'],a Spanish female Gypsy,[]
173,gypsy,gitano.n.01,['gitano'],a Spanish male Gypsy,[]
174,half-breed,half-breed.n.01,['half-breed'],an offensive term for an offspring of parents of different racial group (especially of Caucasian and American Indian ancestry),[]
175,half-breed,half-blooded.s.01,"['half-blooded', 'half-bred', 'half-breed']",(of animals) having only one purebred parent,[]
176,handicap,disability.n.01,"['disability', 'disablement', 'handicap', 'impairment']",the condition of being unable to perform as a consequence of physical or mental unfitness,"['reading disability', 'hearing impairment']"
177,handicap,hindrance.n.01,"['hindrance', 'hinderance', 'deterrent', 'impediment', 'balk', 'baulk', 'check', 'handicap']",something immaterial that interferes with or delays action or progress,[]
178,handicap,disable.v.02,"['disable', 'invalid', 'incapacitate', 'handicap']",injure permanently,['He was disabled in a car accident']
179,handicap,handicap.n.02,['handicap'],advantage given to a competitor to equalize chances of winning,[]
180,handicap,penalty.n.04,['penalty'],(games) a handicap or disadvantage that is imposed on a competitor (or a team) for an infraction of the rules of the game,[]
181,handicap,handicap.v.03,"['handicap', 'hinder', 'hamper']",put at a disadvantage,['The brace I have to wear is hindering my movements']
182,handicap,welterweight.n.01,['welterweight'],a weight of 28 pounds; sometimes imposed as a handicap in a horse race (such as a steeplechase),[]
183,handicap,handicap.v.02,['handicap'],attempt to forecast the winner (especially in a horse race) and assign odds for or against a contestant,[]
184,handicap,scratch.n.09,['scratch'],(golf) a handicap of zero strokes,['a golfer who plays at scratch should be able to achieve par on a course']
185,handicaps,albatross.n.01,"['albatross', 'millstone']",(figurative) something that hinders or handicaps,['she was an albatross around his neck']
186,headhunter,headhunter.n.02,"['headhunter', 'head-shrinker']",a savage who cuts off and preserves the heads of enemies as trophies,[]
187,headhunter,headhunter.n.01,['headhunter'],a recruiter of personnel (especially for corporations),[]
188,hermaphrodite,hermaphrodite.n.01,"['hermaphrodite', 'intersex', 'gynandromorph', 'androgyne', 'epicene', 'epicene_person']",one having both male and female sexual characteristics and organs; at birth an unambiguous assignment of male or female cannot be made,[]
189,hermaphrodite,pseudohermaphrodite.n.01,['pseudohermaphrodite'],someone having external genitalia of one sex and internal sex organs of the other sex; not a true hermaphrodite because there is no ambiguity in the sex of the external genitalia and hence no question about gender at birth,[]
190,hermaphrodite,hermaphroditic.s.02,"['hermaphroditic', 'hermaphrodite']",of animal or plant; having both male female reproductive organs,[]
191,hermaphrodite,phoronid.n.01,['phoronid'],hermaphrodite wormlike animal living in mud of the sea bottom,[]
192,homo,homosexual.n.01,"['homosexual', 'homophile', 'homo', 'gay']",someone who is sexually attracted to persons of the same sex,[]
193,homo,homo.n.02,"['homo', 'man', 'human_being', 'human']","any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage",[]
194,homo,sapiens.a.01,['sapiens'],of or relating to or characteristic of Homo sapiens,[]
195,homo,pithecanthropus.n.01,"['Pithecanthropus', 'Pithecanthropus_erectus', 'genus_Pithecanthropus']",former genus of primitive apelike men now Homo erectus,[]
196,homo,homo_sapiens_sapiens.n.01,"['Homo_sapiens_sapiens', 'modern_man']",subspecies of Homo sapiens; includes all modern races,[]
197,homo,boskop_man.n.01,['Boskop_man'],possible early Homo sapiens represented by a cranium found in the Transvaal; formerly considered a separate species,[]
198,homo,javanthropus.n.01,"['Javanthropus', 'genus_Javanthropus']",former genus of primitive man; now Homo soloensis: comprises Solo man,[]
199,homo,hominian.s.01,"['hominian', 'hominid']","characterizing the family Hominidae, which includes Homo sapiens as well as extinct species of manlike creatures",[]
200,homo,upper_paleolithic.n.01,['Upper_Paleolithic'],"the time period during which only modern Homo sapiens was known to have existed; ended about 10,000 years BC",[]
201,homosexual,heterosexism.n.01,['heterosexism'],discrimination in favor of heterosexual and against homosexual people,[]
