,term,QID,wd_bow,cs_combined
3953,barbarian,Q660643,"['lifan', 'yuan', 'government', 'agency', 'administrative', 'territorial', 'entity', 'γadaγdu', 'mongγul', 'un', 'törü', 'yi', 'jasaqu', 'jabudal', 'un', 'jamun', 'tulergi', 'golo', 'dasara', 'jurgan', 'lǐfànyuàn', '理藩院', 'board', 'national', 'minority', 'affair', 'court', 'territorial', 'affair', 'board', 'administration', 'outlying', 'region', 'office', 'relation', 'principality', 'office', 'control', 'office', 'mongolian', 'tibetan', 'affair', 'court', 'colonial', 'affair', 'mongol', 'yamen', 'mongol', 'department', 'lifan', 'ministry', 'monggo', 'jurgan', 'agency', 'government', 'qing', 'dynasty', 'supervised', 'qing', 'frontier', 'inner', 'asia', 'region', 'mongolian', 'dependency', 'oversaw', 'appointment', 'ambans']",0.769
3798,barbarian,Q131192,"['migration', 'period', 'invasion', 'great', 'invasion', 'germanic', 'invasion', 'invasion', 'rome', 'germanic', 'invasion', 'rome', 'period', 'european', 'history', 'century']",0.769
3810,barbarian,Q15093669,"['dalmatian', 'city', 'state', 'dalmatian', 'locality', 'local', 'romance', 'population', 'survived', 'invasion']",0.76
3820,barbarian,Q15944418,"['ka', 'hentai', 'written', 'work', 'historical', 'document', 'kai', 'hentai', 'reversal', 'china', 'reversal', 'china', 'metamorphosis', 'civilized', 'transformation', 'civilized', 'transformation', 'civilized', 'barbarization', 'chinese', 'barbarization', 'civilised']",0.755
3942,barbarian,Q6344293,"['biography', 'conan', 'biographic', 'information', 'fact', 'life', 'fictional', 'character', 'conan']",0.722
3898,barbarian,Q4000582,"['turcilingi', 'people', 'century', 'europe']",0.721
3650,barbarians,Q5366110,"['siyi', 'ethnic', 'group', 'four', 'barbarian', 'derogatory', 'chinese', 'name', 'various', 'people', 'bordering', 'ancient', 'china', 'namely', 'dongyi', '東夷', 'nanman', '南蠻', 'xirong', '西戎', 'beidi', '北狄']",0.8059999999999999
3734,barbarians,Q96464545,"['barbarian', 'inside', 'gate', 'part', 'fear', 'immigration', 'ancient', 'rome', 'today', 'essay', 'essay', 'published']",0.802
3625,barbarians,Q25230522,"['barbarian', 'byzantine', 'empire', 'aspect', 'geographic', 'region']",0.7909999999999999
3735,barbarians,Q96464582,"['barbarian', 'inside', 'gate', 'part', 'immigrant', 'labor', 'discontent', 'essay', 'essay', 'published']",0.79
3563,barbarians,Q112333158,"['new', 'order', 'barbarian', 'lecture', 'transcription', 'richard', 'remark', 'implementation', 'world']",0.768
3571,barbarians,Q114350623,"['observation', 'upon', 'civilization', 'western', 'barbarian', 'particularly', 'english', 'book', 'john', 'swazey']",0.757
3581,barbarians,Q15944418,"['ka', 'hentai', 'written', 'work', 'historical', 'document', 'kai', 'hentai', 'reversal', 'china', 'barbarian', 'reversal', 'china', 'barbarian', 'metamorphosis', 'civilized', 'barbarian', 'transformation', 'civilized', 'barbarian', 'transformation', 'civilized', 'barbarian', 'barbarization', 'chinese', 'barbarization', 'civilised']",0.755
3561,barbarians,Q110730295,"['allegorical', 'composition', 'genius', 'minerva', 'fallen', 'barbarian', 'drawing']",0.7509999999999999
3655,barbarians,Q54645115,"['black', 'dove', 'herodotus', 'language', 'barbarian', 'literary', 'work', 'munson', 'rosaria']",0.742
3613,barbarians,Q19904661,"['invasion', 'barbarian', 'painting', 'painting', 'ulpiano', 'checa']",0.737
170,batavia,Q1199713,"['capital', 'city', 'toponym', 'capital', 'dutch', 'east', 'indie', 'city', 'jakarta']",0.879
556,batavia,Q1150578,"['massacre', 'mass', 'murder', 'chinezenmoord', 'geger', 'pacinan', 'pogrom', 'ethnic', 'chinese', 'port', 'city', 'present', 'day', 'jakarta', 'dutch', 'east', 'indie']",0.8190000000000001
499,batavia,Q850526,"['betuwe', 'geographic', 'region', 'insula', 'batavorum', 'historical', 'geographical', 'region', 'netherlands']",0.797
628,batavia,Q5881001,"['holland', 'land', 'office', 'building', 'new', 'york', 'housed', 'office', 'company', 'oversaw', 'development', 'western', 'new', 'york']",0.787
207,batavia,Q17328469,"['senior', 'merchant', 'dutch', 'east', 'india', 'company', 'presumably', 'jacob', 'mathieusen', 'background', 'fleet', 'road', 'painting', 'painting', 'aelbert', 'cuyp']",0.787
451,batavia,Q66302646,"['united', 'state', 'consular', 'record', 'netherlands', 'east', 'indie', 'naid', 'collection', 'series', 'national', 'archive', 'record', 'holding']",0.7829999999999999
245,batavia,Q23043356,"['waterkasteel', 'northernmost', 'fortification', 'dutch', 'east', 'indie']",0.7809999999999999
257,batavia,Q25388662,"['city', 'center', 'city', 'skyscraper', 'mixed', 'jakarta', 'indonesia']",0.777
308,batavia,Q42335755,"['scapin', 'establishment', 'operation', 'direct', 'radiotelegraph', 'circuit', 'tokyo', 'japan', 'netherlands', 'east', 'indie', 'supreme', 'commander', 'allied', 'power', 'instruction', 'note', 'scapin', 'order', 'supreme', 'commander', 'allied', 'power']",0.775
407,batavia,Q54728796,"['neighborhood', 'neighborhood', 'nijmegen', 'netherlands']",0.772
70014,berber,Q112870992,"['overview', 'sugar', 'culture', 'morocco', 'particularly', 'within', 'community', 'rastabouda', 'thesis', 'thesis', 'georgia', 'rose', 'travis', 'university', 'canterbury']",0.855
70418,berber,Q7598268,"['standard', 'moroccan', 'language', 'modern', 'language', 'northern', 'standard', 'moroccan', 'tamazight', 'zgh', 'standard', 'moroccan', 'amazigh', 'standardised', 'form', 'language', 'morocco', 'including', 'regional', 'accent', 'written', 'tifinagh', 'alphabet']",0.845
70325,berber,Q404150,"['amazighe', 'flag', 'flag', 'flag', 'amazigh', 'flag', 'national', 'flag', 'used', 'many', 'amazighe', 'population', 'north', 'africa']",0.8420000000000001
70456,berber,Q93693589,"['culture', 'human', 'activity', 'cultural', 'identity', 'culture', 'pattern', 'human', 'activity', 'associated', 'people']",0.838
70170,berber,Q25185697,"['speaking', 'country', 'territory', 'wikimedia', 'category', 'wikimedia', 'category']",0.838
70078,berber,Q16936691,"['sheliff', 'basin', 'language', 'variety', 'western', 'algerian', 'zenatic', 'variety', 'algeria']",0.8370000000000001
70332,berber,Q45315,"['ethnic', 'group', 'tribe', 'afroasiatic', 'people', 'amazigh', 'imazighen', 'ethnic', 'group', 'indigenous', 'north', 'africa']",0.836
70003,berber,Q110516589,"['algerian', 'north', 'african', 'new', 'historical', 'anthropology', 'arab', 'community', 'present', 'day', 'book', 'written', 'work', 'book']",0.835
70089,berber,Q19835346,"['jewellery', 'jewelry', 'jewellery', 'culture', 'traditional', 'jewellery', 'people', 'north', 'western', 'africa']",0.83
70393,berber,Q61053330,"['standard', 'algerian', 'language', 'northern', 'language']",0.8290000000000001
69929,berbers,Q410453,"['ethiopia', 'aethiopia', 'ethiopia', 'region', 'africa', 'historical', 'term', 'sub', 'saharan', 'africa', 'black', 'africa', 'inclusive', 'much', 'modern', 'ethiopia', 'almost', 'never', 'egypt', 'tunisia', 'land', 'greco', 'roman', 'mythology', 'considered', 'devout', 'close', 'god']",0.857
69894,berbers,Q16209031,"['berber', 'islam', 'aspect', 'history', 'history', 'north', 'africa', 'history', 'berber', 'people', 'converted', 'islam']",0.838
69930,berbers,Q45315,"['berber', 'ethnic', 'group', 'tribe', 'afroasiatic', 'people', 'berber', 'amazigh', 'imazighen', 'ethnic', 'group', 'indigenous', 'north', 'africa']",0.836
69927,berbers,Q33274,"['shawiya', 'tachawit', 'shawiya', 'language', 'shy', 'zenati', 'variety', 'tamazight', 'language', 'spoken', 'shawi', 'berber', 'awras', 'region', 'eastern', 'algeria']",0.8190000000000001
69893,berbers,Q16148121,"['berber', 'france', 'ethnic', 'group']",0.8109999999999999
69903,berbers,Q22948447,"['berber', 'mauritania', 'ethnic', 'group', 'ethnicity', 'mauritania']",0.773
69931,berbers,Q793201,"['berber', 'calendar', 'agricultural', 'calendar', 'traditionally', 'used', 'berber']",0.7559999999999999
69898,berbers,Q21829586,"['wikiproject', 'berber', 'wikiproject', 'wikimedia', 'subject', 'area', 'collaboration']",0.75
69908,berbers,Q2712462,"['traditional', 'berber', 'religion', 'set', 'belief', 'deity', 'adhered', 'ancient', 'berber']",0.747
69904,berbers,Q22948456,"['berber', 'tunisia', 'ethnic', 'group', 'ethnic', 'group']",0.737
120161,black,Q817393,"['people', 'race', 'human', 'categorization', 'person', 'color', 'man', 'woman', 'person', 'racialized', 'classification', 'people', 'usually', 'political', 'skin', 'color', 'based', 'category', 'specific', 'population', 'mid', 'dark', 'brown', 'complexion']",0.937
127757,black,Q96649416,"['solitude', 'historical', 'process', 'concept', 'social', 'historical', 'process', 'leading', 'feeling', 'racialized', 'person', 'belonging', 'nowhere']",0.912
119775,black,Q3007177,"['african', 'american', 'culture', 'human', 'activity', 'cultural', 'identity', 'culture', 'united', 'state', 'african', 'american', 'culture', 'culture', 'african', 'american', 'american', 'culture', 'pattern', 'human', 'activity', 'symbolism', 'associated', 'african', 'american']",0.9
122569,black,Q105069642,"['history', 'people', 'aspect', 'history', 'human', 'history', 'history', 'history', 'people', 'history', 'history', 'people', 'history', 'racial', 'ethnic', 'group', 'sub', 'saharan', 'african']",0.897
124782,black,Q2415143,"['hebrew', 'israelite', 'new', 'religious', 'movement', 'group', 'claiming', 'affiliation', 'israelite', 'hebrew', 'israelite', 'hebrew', 'israelite', 'african', 'hebrew', 'israelite', 'organization', 'indigenous', 'american', 'traced', 'ancestral', 'lineage', 'ancient', 'israelite', 'verified', 'record', 'myriad', 'account', 'confirmed', 'rabbi', 'elder', 'semitic', 'community']",0.892
131997,black,Q29097370,"['association', 'anthropologist', 'learned', 'society', 'organization', 'brings', 'together', 'anthropologist', 'view', 'highlighting', 'history', 'african', 'american', 'especially', 'regard', 'exploitation', 'oppression', 'discrimination']",0.8909999999999999
122859,black,Q2903671,"['anarchism', 'political', 'movement', 'political', 'ideology', 'anarchist', 'school', 'thought', 'anarchism', 'political', 'ideology', 'applied', 'group', 'african', 'people', 'descent', 'identify', 'principle', 'anarchism']",0.887
129256,black,Q38007013,"['fury', 'group', 'group', 'human', 'group', 'apulian', 'red', 'figure', 'vase', 'painter', 'working', 'similar', 'style', 'whose', 'name', 'called', 'fury', 'group', 'distinctive', 'style', 'various', 'painter', 'making', 'rather', 'small', 'group', 'closely', 'rela']",0.885
122876,black,Q3075017,"['people', 'france', 'human', 'population', 'african', 'immigration', 'france', 'racial', 'multi', 'ethnic', 'group']",0.884
130904,black,Q2227505,"['triangle', 'unidentified', 'flying', 'object', 'class', 'ufo', 'certain', 'common', 'feature', 'reportedly', 'observed', 'century']",0.883
119231,blacker,Q75653458,"['catherine', 'madisson', 'human', 'catherine', 'peerage', 'person']",0.7829999999999999
119167,blacker,Q107430326,"['introduction', 'literature', 'vertebrate', 'based', 'chiefly', 'title', 'library', 'zoology', 'emma', 'shearer', 'wood', 'library', 'ornithology', 'bibliotheca', 'osleriana', 'library', 'mcgill', 'university', 'montreal', 'bibliography', 'bibliography', 'casey', 'wood']",0.775
119226,blacker,Q75653282,"['rosemary', 'sheepshank', 'human', 'rosemary', 'peerage', 'person']",0.768
119233,blacker,Q75653483,"['alicia', 'dowdall', 'human', 'alicia', 'peerage', 'person']",0.767
119236,blacker,Q75653554,"['anne', 'sloane', 'human', 'anne', 'peerage', 'person']",0.764
119228,blacker,Q75653339,"['mary', 'hamlin', 'human', 'mary', 'peerage', 'person']",0.7609999999999999
119235,blacker,Q75653493,"['letitia', 'cary', 'human', 'letitia', 'peerage', 'person']",0.758
119207,blacker,Q59646378,"['environmental', 'change', 'catastrophic', 'flooding', 'voidomatis', 'aoos', 'basin', 'northwest', 'greece', 'doctoral', 'thesis', 'robertson', 'henry', 'hamlin']",0.757
119232,blacker,Q75653481,"['mary', 'nicholson', 'human', 'mary', 'peerage', 'person']",0.754
119227,blacker,Q75653332,"['martha', 'beaver', 'human', 'martha', 'peerage', 'person']",0.75
119246,blackest,Q13427561,"['negroland', 'area', 'nigrita', 'nitgritia', 'africa', 'darkest', 'africa', 'black', 'africa', 'historical', 'region', 'africa', 'considering', 'territory', 'sahara', 'guinea', 'coast', 'land', 'black', 'calque', 'arab', 'idea', 'sudan', 'region']",0.773
119242,blackest,Q107300913,"['dawn', 'musical', 'group', 'german', 'death', 'metal', 'album']",0.565
119247,blackest,Q1443912,"['night', 'limited', 'series', 'limited', 'dc', 'comic', 'crossover', 'series']",0.552
119244,blackest,Q114493842,"['poison', 'television', 'series', 'episode', 'episode', 'legend', 'prince', 'valiant']",0.545
119243,blackest,Q114488053,"['night', 'television', 'series', 'episode', 'episode', 'justice', 'league']",0.5329999999999999
119245,blackest,Q114538610,"['night', 'television', 'series', 'episode', 'episode', 'justice', 'league']",0.5329999999999999
119250,blackest,Q96408477,"['day', 'musical', 'work', 'composition', 'song', 'lana', 'del', 'rey']",0.52
119248,blackest,Q19112705,"['night', 'sable', 'wore']",0.493
119249,blackest,Q20899619,"['eye', 'extended', 'play', 'extended', 'play', 'aye', 'nako']",0.474
119121,blacks,Q817393,"['black', 'people', 'race', 'human', 'categorization', 'person', 'color', 'black', 'man', 'black', 'woman', 'black', 'person', 'black', 'racialized', 'classification', 'people', 'usually', 'political', 'skin', 'color', 'based', 'category', 'specific', 'population', 'mid', 'dark', 'brown', 'complexion']",0.937
119118,blacks,Q79117444,"['vanderbilt', 'department', 'african', 'american', 'diaspora', 'study', 'vanderbilt', 'african', 'american', 'diaspora', 'study', 'department', 'aads', 'vanderbilt', 'university', 'department', 'african', 'american', 'diaspora', 'study', 'vanderbilt', 'university', 'aads', 'vanderbilt', 'university', 'department', 'african', 'american', 'diaspora', 'study', 'department', 'focused', 'interdisciplinary', 'cross', 'cultural', 'comparative', 'study', 'lived', 'experience', 'black', 'dispersed', 'throughout', 'world', 'continent']",0.8690000000000001
118684,blacks,Q111637086,"['evangelical', 'faith', 'ritualization', 'politicized', 'power', 'authority', 'identity', 'rural', 'black', 'white', 'doctoral', 'thesis', 'doctoral', 'dissertation']",0.8590000000000001
118676,blacks,Q108563005,"['civil', 'right', 'housing', 'relief', 'section', 'black', 'exploited', 'segregated', 'housing', 'market', 'clark', 'universal', 'builder', 'article']",0.851
118683,blacks,Q111507927,"['population', 'black', 'united', 'state', 'group', 'human', 'population', 'identifies', 'african', 'according', 'census']",0.841
118722,blacks,Q112952497,"['sport', 'towards', 'network', 'perspective', 'case', 'black', 'thesis', 'thesis', 'junjie', 'jia', 'university', 'auckland']",0.836
118991,blacks,Q49940594,"['little', 'black', 'fork', 'natural', 'watercourse', 'natural', 'watercourse', 'uinta', 'county', 'wyoming', 'united', 'state', 'america']",0.833
119094,blacks,Q67619669,"['historian', 'paul', 'tillett', 'explains', 'basis', 'voting', 'right', 'tactic', 'prevent', 'black', 'registering', 'naid', 'item', 'collection', 'exhibition', 'item', 'national', 'archive', 'record', 'holding']",0.833
119120,blacks,Q80079543,"['mississippi', 'freedom', 'democratic', 'party', 'created', 'alternative', 'regular', 'state', 'party', 'black', 'eighty', 'thousand', 'people', 'people', 'vote', 'mississippi', 'first', 'time', 'plaque', 'photograph', 'photograph', 'danny', 'lyon', 'american']",0.8320000000000001
118998,blacks,Q51495065,"['insect', 'caused', 'mortality', 'relation', 'method', 'cutting', 'ponderosa', 'pine', 'black', 'mountain', 'experimental', 'forest', 'publication', 'berkeley', 'agriculture', 'forest', 'service', 'pacific', 'southwest', 'forest', 'range', 'experiment', 'department', 'agri']",0.8290000000000001
63526,bombay,Q1156,"['mumbai', 'megacity', 'state', 'capital', 'city', 'million', 'city', 'locality', 'metropolis', 'second', 'largest', 'city', 'business', 'cluster', 'big', 'city', 'capital', 'city', 'maharashtra', 'india']",0.924
64174,bombay,Q59546705,"['growth', 'urban', 'leadership', 'western', 'india', 'special', 'reference', 'city', 'thesis', 'doctoral', 'thesis', 'christine', 'dobbin']",0.862
63611,bombay,Q3621720,"['mumbai', 'metropolitan', 'region', 'metropolitan', 'area', 'mmr', 'greater', 'metropolitan', 'area', 'metropolitan', 'area', 'maharashtra', 'india']",0.852
64536,bombay,Q16844207,"['unincorporated', 'community', 'united', 'state', 'minnesota', 'human', 'settlement', 'united', 'state', 'america']",0.831
63682,bombay,Q54888757,"['jersey', 'city', 'new', 'jersey', 'indian', 'enclave', 'united', 'state']",0.831
63605,bombay,Q32135712,"['locality', 'locality', 'auckland', 'region', 'new', 'zealand']",0.83
63642,bombay,Q4940528,"['baroda', 'central', 'india', 'railway', 'business', 'transport', 'company']",0.8270000000000001
63577,bombay,Q2627082,"['state', 'state', 'india', 'province', 'india', 'former', 'administrative', 'territorial', 'entity', 'province', 'province', 'mumbai', 'state', 'state', 'state', 'mumbai', 'mumbai', 'province', 'province', 'mumbai', 'former', 'state', 'india']",0.8170000000000001
63718,bombay,Q7525357,"['sion', 'hillock', 'fort', 'whole', 'hill', 'fort', 'sion', 'together', 'ancient', 'portuguese', 'remains', 'building', 'situated', 'north', 'east', 'south', 'east', 'side', 'hill', 'fort', 'mumbai', 'india']",0.812
64209,bombay,Q67473316,"['united', 'state', 'marine', 'india', 'naid', 'item', 'collection', 'exhibition', 'item', 'national', 'archive', 'record', 'holding']",0.81
155942,burma,Q836,"['myanmar', 'sovereign', 'state', 'country', 'republic', 'union', 'myanmar', 'union', 'bur', 'mya', 'mm', 'sovereign', 'state', 'southeast', 'asia']",0.8490000000000001
155311,burma,Q13072974,"['socialist', 'republic', 'union', 'republic', 'historical', 'country', 'socialist', 'state', 'union', 'socialist', 'bspp', 'period', 'state', 'southeast', 'asia']",0.848
155408,burma,Q1937196,"['lower', 'geographic', 'region', 'historical', 'region', 'territory', 'irrawaddy', 'outer', 'myanmar', 'geographic', 'historic', 'region', 'including', 'low', 'lying', 'irrawaddy', 'delta', 'well', 'coastal', 'region', 'country', 'plus', 'territory', 'annexed', 'british', 'empire', 'end', 'second', 'anglo', 'burmese', 'war']",0.8390000000000001
155650,burma,Q4694017,"['agriculture', 'myanmar', 'agriculture', 'country', 'territory', 'agriculture', 'agriculture']",0.836
155455,burma,Q2749165,"['border', 'border', 'land', 'boundary', 'maritime', 'boundary', 'international', 'border', 'border', 'india', 'border', 'india', 'india', 'border', 'border', 'india', 'border', 'border', 'border', 'separating', 'india', 'myanmar']",0.8290000000000001
155578,burma,Q3088844,"['border', 'border', 'land', 'boundary', 'international', 'border', 'border', 'china', 'border', 'china', 'china', 'border', 'border', 'china', 'border', 'border', 'divide', 'territory', 'china', 'myanmar']",0.823
156847,burma,Q7675176,"['tagaung', 'kingdom', 'ancient', 'burmese', 'city', 'state', 'northern']",0.823
155345,burma,Q15072454,"['region', 'myanmar', 'administrative', 'territorial', 'entity', 'myanmar', 'first', 'level', 'administrative', 'country', 'subdivision', 'burmese', 'region', 'region', 'myanma', 'region', 'administrative', 'territorial', 'entity', 'myanmar']",0.82
155433,burma,Q2376315,"['british', 'rule', 'myanmar', 'historical', 'country', 'vassal', 'state', 'colony', 'dominion', 'british', 'empire', 'british', 'myanmar', 'british', 'british', 'occupation', 'myanmar', 'british', 'colonial', 'rule']",0.815
156197,burma,Q3446298,"['mon', 'kingdom', 'political', 'establishment', 'mon', 'speaking', 'people', 'ruled', 'large', 'section', 'present', 'day', 'myanmar', 'various', 'time']",0.8140000000000001
62503,bush negro,Q966729,"['giovanni', 'battista', 'paggi', 'human', 'giovanni', 'batta', 'paggi', 'giovanni', 'battista', 'giovanni', 'batta', 'poggi', 'giovanni', 'battista', 'pagi', 'cavalier', 'paggi', 'di', 'genova', 'giovanni', 'battista', 'pazzi', 'giovanni', 'battista', 'poggi', 'giovanni', 'battista', 'poggio', 'batta', 'paggi', 'poggio', 'jean', 'baptiste', 'pagi', 'giovanni', 'paggi', 'batta', 'poggi', 'batta', 'paggi', 'paggi', 'paggi', 'jean', 'baptiste', 'paggi', 'pazzi', 'pagi', 'battista', 'paggi', 'peintre', 'génois', 'paggi', 'cavaliere', 'paggi', 'giambattista', 'paggi', 'maria', 'paggi', 'italian', 'painter']",
62501,bush negroes,Q966729,"['giovanni', 'battista', 'paggi', 'human', 'giovanni', 'batta', 'paggi', 'giovanni', 'battista', 'giovanni', 'batta', 'poggi', 'giovanni', 'battista', 'pagi', 'cavalier', 'paggi', 'di', 'genova', 'giovanni', 'battista', 'pazzi', 'giovanni', 'battista', 'poggi', 'giovanni', 'battista', 'poggio', 'batta', 'paggi', 'poggio', 'jean', 'baptiste', 'pagi', 'giovanni', 'paggi', 'batta', 'poggi', 'batta', 'paggi', 'paggi', 'paggi', 'jean', 'baptiste', 'paggi', 'pazzi', 'pagi', 'battista', 'paggi', 'peintre', 'génois', 'paggi', 'cavaliere', 'paggi', 'giambattista', 'paggi', 'maria', 'paggi', 'italian', 'painter']",
