,term,entity_id,text_1,text_2,text_3,text_4,text_5,check
21,barbarian,Q134313,barbarian,,['person perceived to be either uncivilized or primitive based on stereotypes'],['ethnic slur'],['people'],True
22,barbarian,Q3030751,Hua–Yi distinction,"['distinction between Hua and Yi', 'Sino–barbarian dichotomy']",['ancient distinction between Chinese people and foreigners'],"['xenophobia', 'elitism']",['ethnocentrism'],True
23,barbarian,Q15944418,Ka-I Hentai,"['Kai Hentai', 'The Reversal of China and the Barbarians', 'Reversal of China and the Barbarians', 'Metamorphosis from Civilized to Barbarian', 'The Transformation from Civilized to Barbarian', 'Transformation from Civilized to Barbarian', 'The Barbarization of the Chinese', 'The Barbarization of the Civilised']",,"['written work', 'historical document']",[],
24,barbarian,Q5402094,barbarian kingdoms,"['post-Roman kingdoms', 'early medieval kingdoms']",['series of medieval kingdoms founded and dominated by northern European tribes (primarily Germanic) after the collapse of the Western Roman Empire in 476'],[],"['realm', 'historical unrecognized state']",True
25,barbarian,Q64140395,BarbarousKing,['Barbarian'],['American streamer'],['human'],[],False
26,barbarian,Q660643,Lifan Yuan,"['γadaγdu mongγul un törü-yi jasaqu jabudal-un jamun', 'Tulergi golo be dasara jurgan', 'Lǐfànyuàn', '理藩院', 'Board for National Minority Affairs', 'Court of Territorial Affairs', 'Board for the Administration of Outlying Regions', 'Office for Relations with Principalities', 'Office of Barbarian Control', 'Office of Mongolian and Tibetan Affairs', 'Court of Colonial Affairs', 'Mongol Yamen', 'Mongol department', 'Lifan Ministry', 'monggo jurgan']","[""an agency in the government of the Qing dynasty which supervised the Qing Empire's frontier, Inner Asia regions such as its Mongolian dependencies and oversaw the appointments of Ambans in Tibet.""]","['government agency', 'administrative territorial entity']",[],True
27,barbarian,Q15093669,Dalmatian city-states,,Dalmatian localities where the local Romance population survived the Barbarian invasions,[],['city-state'],True
28,barbarian,Q131192,Migration Period,"['Great Barbarian Invasion', 'Germanic Invasions', 'Barbarian invasions of Rome', 'Germanic Invasions of Rome']",['period in European history from the 4th to the 6th centuries'],['invasion'],[],True
29,barbarian,Q4000582,Turcilingi,,barbarian people in 5th-century Europe,[],[],True
30,barbarian,Q5158173,Conan the Librarian,,perennial parody of Robert E. Howard's Conan the Barbarian that has appeared in many different media,['fictional human'],[],
31,barbarians,Q15944418,Ka-I Hentai,"['Kai Hentai', 'The Reversal of China and the Barbarians', 'Reversal of China and the Barbarians', 'Metamorphosis from Civilized to Barbarian', 'The Transformation from Civilized to Barbarian', 'Transformation from Civilized to Barbarian', 'The Barbarization of the Chinese', 'The Barbarization of the Civilised']",,"['written work', 'historical document']",[],True
32,barbarians,Q96464545,"Barbarians Inside the Gate, Part I: Fears of immigration in ancient Rome and today",,['essay published in 2015'],['essay'],[],True
33,barbarians,Q25230522,Barbarians in the Byzantine Empire,,,['aspect in a geographic region'],[],True
34,barbarians,Q96464582,"Barbarians Inside the Gate, Part II: Immigrant labor and its discontents",,['essay published in 2015'],['essay'],[],
35,barbarians,Q5366110,Siyi,['Four Barbarians'],"['derogatory Chinese name for various peoples bordering ancient China, namely, the Dongyi 東夷 ""Eastern Barbarians"", Nanman 南蠻 ""Southern Barbarians"", Xirong 西戎 ""Western Barbarians"", and Beidi 北狄 ""Northern Barbarians""']",['ethnic group'],[],True
36,barbarians,Q110730295,"Allegorical Composition with Genii, Minerva and Fallen Barbarians",,,['drawing'],[],True
37,barbarians,Q114350623,"Some Observations Upon the Civilization of the Western Barbarians, Particularly of the English",,['John B. Swazey'],['book'],[],True
38,barbarians,Q11624254,Fujimoto Tesseki,"['Tesseki Fujimoto', 'Kibidanshi', 'Tekkanshi', 'Chūko', 'Shinkin', 'Tomon', 'Shinnosuke', 'Tetsumon']","Japanese Sonnō jōi (Respect the Emperor and expel the barbarians) patriot,  painter and penman (1816-1863)",['human'],[],True
39,barbarians,Q19904661,Invasion of the Barbarians,,['painting by Ulpiano Checa'],['painting'],[],True
40,barbarians,Q2037294,Wu Hu luan hua,['Five Barbarians invaded Hua'],"['Five ancient non-Han ethnic groups during the Eastern Han Dynasty (4th-5th centuries) waged war against Western Jin, establisehd sixteen kingdoms']",['historical period'],[],
41,batavia,Q1199713,Batavia,,"['capital of the Dutch East Indies (1621...1942), now the city of Jakarta']","['capital city', 'toponym']",[],True
42,batavia,Q23043356,Waterkasteel,,"northernmost fortification of Batavia, Dutch East Indies",['fortification'],[],True
43,batavia,Q96242430,Mr. Joannes Abeleven,,"1649 Amsterdam - 1720 Batavia, Dutch East Indies",['human'],[],
44,batavia,Q1150578,1740 Batavia massacre,"['Chinezenmoord', 'Geger Pacinan']",['Pogrom of ethnic Chinese in the port city of Batavia (present-day Jakarta) in the Dutch East Indies'],['mass murder'],[],True
45,batavia,Q25388662,The City Center @ Batavia City,,"['mixed in Jakarta, Indonesia']",['skyscraper'],[],True
46,batavia,Q28163844,"Marine Hotel, Batavia",,"['hotel in Batavia, Dutch East Indies']",['building'],[],
47,batavia,Q17340464,The Arms of the Dutch East India Company and of the Town of Batavia,,['painting by Jeronimus (II) Becx'],['painting'],[],
48,batavia,Q110939710,Egidia Cornelia Tolling,,"13 Feb 1716 Batavia, Dutch East Indies -",['human'],[],
49,batavia,Q48728178,"Stadsherberg, Batavia",,"['inn, tavern, office in Batavia, Dutch East Indies']",['building'],[],True
50,batavia,Q116046852,Jacobus Pedel,,"1653 Taiwan - Apr 1700 Batavia, Dutch East Indies",['human'],[],
51,berber,Q45315,Berbers,"['Berber', 'Amazigh', 'Imazighen']",['ethnic group indigenous to North Africa'],['ethnic group'],"['tribe', 'Afroasiatic peoples']",
52,berber,Q1541828,Riffian people,"['Rif', 'Ruafa', 'Irifiyen', 'Rifia', 'Riyafa', 'Riff cabezones']",an ethnic group (Berber) with north Morocco heritage,['ethnic group'],[],True
53,berber,Q19835346,Berber jewellery,['jewellery of the Berber cultures'],['traditional jewellery of Berber peoples in north-western Africa'],['jewelry'],[],True
54,berber,Q25031017,Category:North American people of Berber descent,,['Wikimedia category'],['Wikimedia category'],[],
55,berber,Q25448,Berber,"['Berber language', 'Berber languages', 'ber', 'Tamazight']",['family of languages and dialects indigenous to North Africa'],['language family'],['Afroasiatic'],True
56,berber,Q1267932,Shilha people,"['Shluh', 'Chleuh']",Berber ethnic group in Morocco,['ethnic group'],['Berbers'],
57,berber,Q2511788,Eastern Berber,['Eastern Berber languages'],['group of Berber languages spoken in Libya and Egypt'],"['language family', 'language subfamily']",['Berber'],True
58,berber,Q3071332,Amazigh fibula,['Berber fibula'],['traditional brooch of North African Berber cultures'],[],['fibula'],
59,berber,Q18148983,Berber Canadians,,['Canadians of Berber descent'],"['ethnic group', 'ethnic group']",['Canadians'],
60,berber,Q3328601,Berber music,"['Muziget tmazight', 'Aẓawan amaziγ', 'Musique amazighe', 'Amazigh music']",['musical culture of the Berber ethnic groups of North Africa'],"['music by ethnic group', 'music genre']",['music of North Africa'],
61,berbers,Q45315,Berbers,"['Berber', 'Amazigh', 'Imazighen']",['ethnic group indigenous to North Africa'],['ethnic group'],"['tribe', 'Afroasiatic peoples']",True
62,berbers,Q16148121,Berbers in France,,,['ethnic group'],[],True
63,berbers,Q16209031,Berbers and Islam,,['history of the Berber people who converted to Islam'],['aspect of history'],['history of North Africa'],True
64,berbers,Q22948447,Berbers in Mauritania,,['Ethnicity of Mauritania'],['ethnic group'],[],True
65,berbers,Q33274,Shawiya,"['Tachawit', 'Shawiya language', 'shy']",Zenati variety of the Tamazight language spoken by the Shawi Berbers of the Awras region of eastern Algeria,"['language', 'modern language']",['Zenati'],True
66,berbers,Q21029694,Berbers in Morocco,,,['ethnic group'],[],True
67,berbers,Q22948456,Berbers in Tunisia,,['ethnic group'],['ethnic group'],[],True
68,berbers,Q410453,Ethiopia,"['Aethiopia', 'Ethiopia (region)', 'Africa']","A historical term for all or most of sub-Saharan Africa or Black Africa, inclusive of much more than modern Ethiopia but almost never Egypt, Tunisia, or the land of the Berbers; in Greco-Roman mythology, considered devout and close to the gods",['historical region'],[],True
69,berbers,Q21039413,Berbers in Mali,,,['ethnic group'],[],True
70,berbers,Q21829586,WikiProject Berbers,,['Wikimedia subject-area collaboration'],['WikiProject'],[],True
71,black,Q817393,Black people,"['Black man', 'Black woman', 'Black person', 'Blacks']","['a racialized classification of people, usually a political and skin color-based category for specific populations with a mid to dark brown complexion']",['race (human categorization)'],['person of color'],
72,black,Q105069642,history of black people,"['Black history', 'black people history', 'history of the black people']",['history of the racial and ethnic group who are of Sub-Saharan African descent.'],"['aspect of history', 'human history']",['history'],
73,black,Q96649416,black solitude,,['social concept: historical process leading to feeling by racialized persons of belonging nowhere'],"['historical process', 'concept']",[],True
74,black,Q3007177,African-American culture,"['African American culture', 'culture of African-Americans', 'Black American culture']",['pattern of human activity and symbolism associated with African Americans'],"['human activity', 'cultural identity']",['culture of the United States'],True
75,black,Q29097370,Association of Black Anthropologists,,"['organization which brings together Black anthropologists with a view to highlighting the history of African Americans, especially in regard to exploitation, oppression and discrimination']",['learned society'],[],True
76,black,Q2415143,Black Hebrew Israelites,"['Hebrew Israelites', 'Black Hebrews', 'Black Israelites', 'African Hebrew Israelites']",['Organization of Indigenous (Black) Americans who have traced their ancestral lineage to the ancient Israelites verified by records with a myriad of accounts confirmed by Rabbis and Elders of the Semitic Communities'],"['new religious movement', 'groups claiming affiliation with Israelites']",[],True
77,black,Q3075017,Black people in France,['African immigration to France'],['racial and multi-ethnic group'],['human population'],[],True
78,black,Q2903671,black anarchism,,['political ideology applied to a group of African people descent who identify with the principles of anarchism'],"['political movement', 'political ideology', 'anarchist school of thought']",['anarchism'],
79,black,Q38007013,The Black Fury Group,,['Group of Apulian red-figure vase painters working in a similar style whose names are unknown. They are called the Black Fury Group because the distinctive styles of the various painters making up this rather small group are all closely rela'],['group of humans'],[],False
80,black,Q410453,Ethiopia,"['Aethiopia', 'Ethiopia (region)', 'Africa']","A historical term for all or most of sub-Saharan Africa or Black Africa, inclusive of much more than modern Ethiopia but almost never Egypt, Tunisia, or the land of the Berbers; in Greco-Roman mythology, considered devout and close to the gods",['historical region'],[],
81,blacker,Q75653458,Catherine Madisson,['Catherine Blacker'],['Peerage person ID=274112'],['human'],[],False
82,blacker,Q107430326,"An Introduction to the Literature of Vertebrate Zoology: Based Chiefly On the Titles in the Blacker Library of Zoology, the Emma Shearer Wood Library of Ornithology, the Bibliotheca Osleriana and Other Libraries of Mcgill University, Montreal",,['1931 bibliography by Casey A. Wood'],['bibliography'],[],
83,blacker,Q107729886,"137th US Colored Infantry, Misc: Blacker, Charles",,"[""file unit in the National Archives and Records Administration's holdings (NAID 107567748)""]",['collection'],[],False
84,blacker,Q107728802,"137th US Colored Infantry: Blacker, Charles",,"[""file unit in the National Archives and Records Administration's holdings (NAID 107552694)""]",['collection'],[],
85,blacker,Q75653282,Rosemary Sheepshanks,['Rosemary Blacker'],['Peerage person ID=273995'],['human'],[],False
86,blacker,Q75653483,Alicia Dowdall,['Alicia Blacker'],['Peerage person ID=274130'],['human'],[],False
87,blacker,Q59646378,"Environmental change and catastrophic flooding in the Voidomatis and Aoos basins, northwest Greece",,doctoral thesis by Robertson Henry Blacker Hamlin,['thesis'],[],False
88,blacker,Q107728803,"137th US Colored Infantry: Blacker, Robert",,"[""file unit in the National Archives and Records Administration's holdings (NAID 107552707)""]",['collection'],[],
89,blacker,Q75653554,Anne Sloane,['Anne Blacker'],['Peerage person ID=274184'],['human'],[],
90,blacker,Q75653339,Mary Hamlin,['Mary Blacker'],['Peerage person ID=274032'],['human'],[],
91,blackest,Q13427561,Negroland,"['Nigrita', 'Nitgritia', 'Blackest Africa', 'Darkest Africa', 'Black Africa']","['A historical region of Africa, considering most of the territory between the Sahara and the Guinea Coast as the Land of the Blacks as a calque of the Arab idea of the Sudan (region)']",['area'],[],
92,blackest,Q1443912,Blackest Night,,['Limited DC comics crossover series'],['limited series'],[],False
93,blackest,Q107300913,Blackest Dawn,,['German death metal album'],['musical group'],[],False
94,blackest,Q114493842,The Blackest Poison,,['episode of The Legend of Prince Valiant (S2 E23)'],['television series episode'],[],False
95,blackest,Q96408477,The Blackest Day,,['2015 song by Lana Del Rey'],['musical work/composition'],[],False
96,blackest,Q114488053,In Blackest Night,,['episode of Justice League (S1 E4)'],['television series episode'],[],False
97,blackest,Q114538610,In Blackest Night,,['episode of Justice League (S1 E5)'],['television series episode'],[],False
98,blackest,Q19112705,The Night Her Blackest Sable Wore,,,[],[],False
99,blackest,Q20899619,The Blackest Eye,,['extended play by Aye Nako'],['extended play'],[],False
100,blacks,Q817393,Black people,"['Black man', 'Black woman', 'Black person', 'Blacks']","['a racialized classification of people, usually a political and skin color-based category for specific populations with a mid to dark brown complexion']",['race (human categorization)'],['person of color'],True
101,blacks,Q79117444,Vanderbilt Department of African American and Diaspora Studies,"['Vanderbilt African American and Diaspora Studies Department', 'AADS', 'Vanderbilt University Department of African American & Diaspora Studies', 'Vanderbilt University AADS', 'Vanderbilt University Department of African American and Diaspora Studies']","department focused on interdisciplinary, cross-cultural, and comparative study of the lived experiences of Blacks dispersed throughout the world from the continent of Africa.",['academic department'],[],
102,blacks,Q111507927,population of blacks in the United States,,"['population that identifies as ""Black or African American"" according to the U.S. Census']",['group of humans'],[],True
103,blacks,Q96280198,"Hitler's Black Victims. The Historical Experiences of European Blacks, Africans and African Americans During the Nazi Era",,,['non-fiction work'],[],True
104,blacks,Q112952497,Sports branding: Towards the network perspective - In the case of the All Blacks,,"[""2020 master's thesis by Junjie Jia at University of Auckland""]","[""master's thesis""]",[],
105,blacks,Q67539526,"FREEDOM'S PEOPLE, PROGRAM #8: CONTRIBUTIONS OF AMERICAN BLACKS TO THE THEATRE, CONT (NAID 108566)",,"[""item in the National Archives and Records Administration's holdings""]",['item of collection or exhibition'],[],
106,blacks,Q80079543,"The Mississippi Freedom Democratic party was created in 1964 as an alternative to the regular state parties, from which blacks were excluded. Eighty thousand people joined. Here people vote in Mississippi, most for the first time in their lives.",,"['photograph by Danny Lyon (American, 1942-) (2013.148)']","['plaque', 'photograph']",[],True
107,blacks,Q67539507,"FREEDOM'S PEOPLE, PROGRAM #1: CONTRIBUTIONS OF AMERICAN BLACKS TO MUSIC (NAID 108563)",,"[""item in the National Archives and Records Administration's holdings""]",['item of collection or exhibition'],[],
108,blacks,Q111637086,"Evangelical Faith and The Ritualization of Politicized Death: The Power, Authority, and Identity of Rural Blacks and Whites",,['doctoral dissertation'],['doctoral thesis'],[],
109,blacks,Q108563005,"Civil Rights--Housing--Relief Under Section 1982 for Blacks Exploited in Segregated Housing Markets--Clark v. Universal Builders, Inc.",,,['article'],[],True
110,bombay,Q1156,Mumbai,['Bombay'],"['capital city in Maharashtra, India']","['megacity', 'state capital', 'city', 'million city', 'locality', 'metropolis', 'second largest city', 'business cluster', 'big city']",[],True
111,bombay,Q3621720,Mumbai Metropolitan Region,"['MMR', 'Greater Bombay Metropolitan Area']","['metropolitan area in Maharashtra, India']",['metropolitan area'],[],True
112,bombay,Q61445,Navi Mumbai,"['New Bombay', 'New Mumbai']",['Satellite city of Mumbai'],"['city', 'big city', 'million city', 'planned community']",[],True
113,bombay,Q4940528,"Bombay, Baroda and Central India Railway",,,"['business', 'transport company']",[],
114,bombay,Q646414,Mumbai Metro,"['Mumbai Metro Rail', 'Bombay Metro']","['rapid transit system serving the city of Mumbai, Maharashtra, India']",['rapid transit'],[],
115,bombay,Q59546705,"The growth of urban leadership in Western India, with special reference to Bombay city, 1840-85",,['doctoral thesis by Christine E. Dobbin'],['thesis'],[],
116,bombay,Q54888757,"Bombay, Jersey City",,"['New Jersey, an Indian enclave in the United States']",[],[],
117,bombay,Q7525357,Sion Hillock Fort,"['Whole hill fort of Sion together with all ancient Portuguese remains of buildings situated to the north, east and south-east sides of the hill']","fort in Mumbai (Bombay), India",['fort'],[],
118,bombay,Q32135712,Bombay,,"['locality in Auckland Region, New Zealand']",['locality'],[],
119,bombay,Q2395774,Bombay Beach,"['Bombay Beach, California', 'Bombay Beach, CA']","['census-designated place in Imperial County, California, United States']",['ghost town'],[],
120,burma,Q836,Myanmar,"['Burma', 'Republic of the Union of Myanmar', 'Union of Burma', '🇲🇲', 'BUR', 'MYA', 'MM']",['sovereign state in Southeast Asia'],"['sovereign state', 'country']",[],True
121,burma,Q13072974,Socialist Republic of the Union of Burma,"['Union of Burma', 'Socialist Burma', 'BSPP Period']",['state in Southeast Asia from 1962 to 1988'],"['republic', 'historical country', 'socialist state']",[],True
122,burma,Q4694017,agriculture in Myanmar,['agriculture in Burma'],,['agriculture by country or territory'],['agriculture'],
123,burma,Q35730552,Burma Summit,,['mountain in United States of America'],['mountain'],[],False
124,burma,Q1365392,demographics of Myanmar,['demographics of Burma'],['demographics of country'],['demographics of country or region'],['demographics of Asia'],
125,burma,Q1651832,Thaton Kingdom,"['Thuwunnabumi', 'Suvannabhumi', 'Sadhuim', 'Sudhammapura']","Mon kingdom and a city-state centered on the city of Thaton, believed to have existed in Lower Burma from at least the 4th century BC to the middle of the 11th century AD","['historical country', 'kingdom', 'city-state']",[],
126,burma,Q3088844,China–Myanmar border,"['border between Burma and China', 'border between China and Burma', 'Burma-China border', 'Burma–China border', 'China-Burma border', 'China–Burma border']",['divides the territories of China and Myanmar'],"['border', 'land boundary', 'international border']",[],
127,burma,Q524272,South-East Asian theatre of World War II,,"campaigns of the Pacific War in Burma, Ceylon, India, Thailand, Indochina, Philippines, Malaya and Singapore",['war'],[],
128,burma,Q2749165,India–Myanmar border,"['border between Burma and India', 'border between India and Burma', 'Burma-India border', 'Burma–India border', 'India-Burma border', 'India–Burma border']",['border separating India and Myanmar'],"['border', 'land boundary', 'maritime boundary', 'international border']",[],
129,burma,Q1937196,Lower Burma,"['Irrawaddy', 'Outer Myanmar']","['geographic and historic region of Burma, including the low-lying Irrawaddy delta, as well as coastal regions of the country, plus the territory annexed by the British Empire after the end of the Second Anglo-Burmese War in 1852']","['geographic region', 'historical region', 'territory']",[],True
130,calcutta,Q1348,Kolkata,"['Calcutta', 'City of Palaces', 'City of Processions', 'City of Joy']","['capital city of West Bengal, India']","['municipal corporation of West Bengal', 'million city', 'megacity', 'state capital', 'metropolis']",[],True
131,calcutta,Q3349812,Kolkata Metropolitan Area,"['Calcutta Metropolitan Area', 'Greater Kolkata', 'KMA', 'CMA']","['metropolitan area in West Bengal, India']","['metropolitan area', 'conurbation']",[],True
132,calcutta,Q18379789,Kolkata Leather Complex,['Calcutta Leather Complex'],"['planned industrial town in West Bengal, India']",['factory complex'],[],
133,calcutta,Q5018950,Calcutta Riverside,,['human settlement in India'],"['neighborhood', 'township']",[],False
134,calcutta,Q3198467,Kolkata Metropolitan Development Authority,['Calcutta Metropolitan Development Authority'],"['Development Authority in West Bengal, India']",['government agency'],[],
135,calcutta,Q3350560,Kolkata Municipal Corporation,['Calcutta Municipal Corporation'],"['Municipal Corporation in West Bengal, India']",['municipal corporation in India'],[],
136,calcutta,Q1145306,University of Calcutta,"['Calcutta University', 'CU']","['public state university in Kolkata, West Bengal']",['public university'],[],
137,calcutta,Q112794323,Central Kolkata,"['Central Calcutta', 'Madhya Kolkata']","['region of Kolkata, West Bengal']",['geographic region'],[],True
138,calcutta,Q5018914,Calcutta,"['Calcutta, West Virginia', 'Calcutta, WV']","['unincorporated community in Pleasants County, West Virginia']",['unincorporated community in the United States'],[],False
139,calcutta,Q17802195,"Dundee, 22, 26, 32 Commercial Street, Calcutta Buildings",,"['architectural structure in Dundee City, Scotland, UK']",['architectural structure'],[],
140,caucasian,Q3832962,Pontic,['Pontic languages'],"proposed language macrofamily, comprising the Indo-European and Northwest Caucasian language families",['language family'],[],True
141,caucasian,Q1152826,Armenoid race,,"according the racial anthropology of the early 20th century, a subtype of the Caucasian race, centered in northern part of Western Asia",['race (human categorization)'],['Caucasian'],True
142,caucasian,Q112853179,Caucasian clover establishment in the high country and grazing responses in ryegrass/white clover lowland pasture,,"[""1997 master's thesis by Allister J. E. Moorhead at Lincoln University""]","[""master's thesis""]",[],False
143,caucasian,Q13277809,Category:Northeast Caucasian-speaking countries and territories,,['Wikimedia category'],['Wikimedia category'],[],
144,caucasian,Q112854793,Competitive ability of Caucasian clover (Trifolium ambiguum) compared with white clover (Trifolium repens) on lowland and high country sites,,"[""1996 bachelor's thesis by Adam M. C. Webb at Lincoln University""]","[""bachelor's thesis""]",[],False
145,caucasian,Q18344570,Caucasian Albanian,"['U+10530-1056F', 'Aghbanian']","[""Unicode block (U+10530-1056F) containing letters and marks used by Aghbanian peoples (from the ancient Albania in Northeastern Caucase, in today's Azerbaijan\xa0and\xa0Dagestan)""]",['Unicode block'],[],False
146,caucasian,Q41259,caucasology,['Caucasian studies'],"['academic study of the culture, geography, history and people of the Caucasus region']",[],"['area studies', 'Asian studies', 'European studies']",
147,caucasian,Q107519129,Caucasian State Natural Biosphere Reserve named after Kh.G. Shaposhnikov,,"['other organization in Maykop, Russia']",['organization'],[],False
148,caucasian,Q6949234,Mythology of the Caucasus,['Caucasian mythology'],['the mythologies of the various peoples of the Caucasus region'],['mythology'],[],
149,caucasian,Q3286626,history of the Caucasus,"['Caucasian history', 'the Caucasus history', 'Caucasus history']",['Past events in the Caucasus region'],"['aspect of history', 'regional history']",[],
150,caucasians,Q11904743,Albans caucasians,,,['isolated human group'],[],False
151,caucasians,Q2680223,Abkhazians of African descent,"['Afro-Abkhazians', 'African Caucasians']","['community, racial or ethnic group of people in Abkhazia with African ancestry']",['ethnic group'],[],True
152,caucasians,Q113887704,Investigating the Effect of Ocrelizumab in African Americans and Caucasians With Relapsing Multiple Sclerosis,,['clinical trial'],['clinical trial'],[],True
153,caucasians,Q64650434,"BMS-790052 (Daclatasvir) Plus Peg-Interferon Alfa-2a and Ribavirin in Treatment-Naive Black/African-Americans, Latinos and White/Caucasians With Hepatitis C",,['clinical trial'],['clinical trial'],[],True
154,caucasians,Q64640900,Genetics of Periodontal Diseases in European Caucasians,,['clinical trial'],['clinical trial'],[],True
155,caucasians,Q64673661,A Single Dose Trial in Healthy Caucasians and Japanese Subjects Investigating the Pharmacokinetics of Somatropin,,['clinical trial'],['clinical trial'],[],True
156,caucasians,Q65316005,Laser Speckle Flowgraphy in Caucasians: Age Dependence and Comparison With Doppler Optical Coherence Tomography,,['clinical trial'],['clinical trial'],[],True
157,caucasians,Q65317205,Spirulina Supplementation and Cardiovascular Risk in Obese Caucasians With Treated Hypertension,,['clinical trial'],['clinical trial'],[],True
158,caucasians,Q64792625,PK of BDP/FF/GB Single-inhaler Triple Therapy in Japanese vs. Caucasians,,['clinical trial'],['clinical trial'],[],
159,caucasians,Q28407647,The Young Caucasians,,,['musical group'],[],False
160,colored,Q5149038,Colored,,['Term used in the United States to describe black people'],[],[],True
161,colored,Q819264,colour revolution,"['color revolution', 'coloured revolution', 'colored revolution', 'colour revolutions', 'color revolutions', 'coloured revolutions', 'colored revolutions']",['political term associated with democratization'],[],['revolution'],False
162,colored,Q353267,additive color,['additive mixture'],the situation where color is created by mixing the visible light emitted from differently colored light sources,['phenomenon'],[],False
163,colored,Q22296285,uredospore formation,"['urediniospore formation', 'ureidospore formation', 'GO:0075251']","The process which specific outcome is the formation of an asexual, dikaryotic, often rusty-colored spore, produced in a structure called a uredinium; mostly found in the rust fungus.",['biological process'],['asexual sporulation resulting in formation of a cellular spore'],False
