,term_x,entity_id,text_1,text_2,text_3,text_4,text_5,term_y,check
44,barbaar,Q189169,Conan de Barbaar,,['personage uit boek'],"['fictief mens', 'personage uit literatuur', 'animatiepersonage', 'personage uit televisieprogramma', 'stripfiguur']",[],,
45,barbaar,Q2498891,De barbaar,,['stripalbum van Jean Van Hamme'],['stripalbum'],[],,
46,barbaar,Q9120427,Categorie:Conan de Barbaar,,['Wikimedia-categorie'],['Wikimedia-categorie'],[],,
47,barbaren,Q134313,barbaar,"['barbaren', 'barbaars']",,[],['volk'],barbarian,True
49,barbaren,Q57506011,De Barbaren (2015-2016),,['podiumkunstenproductie'],['theaterproductie'],[],,
50,barbaren,Q57513626,De Barbaren (2014-2015),,['podiumkunstenproductie'],['theaterproductie'],[],,
51,barbaren,Q55336877,Musik für Barbaren und Klassiker,,['tentoonstelling'],['tijdelijke tentoonstelling'],[],,
52,batavia,Q1199713,Batavia,['Batavia (Nederlands-Indie)'],['hoofdstad van Nederlands-Indië'],"['hoofdstad', 'toponiem']",[],batavia,True
53,batavia,Q84322891,Multifilm Batavia,"['Gouvernements Filmbedrijf Multifilm Batavia', 'Multifilm, Batavia']",['filmstudio in Nederlands-Indie'],['filmstudio'],[],,
54,batavia,Q110409649,Topografische dienst in Nederlands-Indië,"['Topografische dienst in Nederlandsch-Indië', 'Topografische dienst in Nederlands-Indië', 'Topographischen Dienst in Nederlandsch Indië', 'Topografische Dienst Batavia', 'Topografische Dienst van Nederlands Indië.']",['afdeling  van de topografische dienst in Nederlands-Indie'],['overheidsdienst'],[],,
55,batavia,Q2436746,VV Batavia,,['amateurvoetbalclub uit Nederland'],['amateurvoetbalclub'],[],,
56,batavia,Q2117912,SV Batavia '90,,['amateurvoetbalclub uit Nederland'],['amateurvoetbalclub'],[],,
57,batavia,Q66737952,Nederlands-Indische Tramweg Maatschappij,,vervoersbedrijf in Batavia,['maatschappij'],[],,
58,batavia,Q98550142,Vereeniging De Nederlands-Indische kunstkring,,Vereeniging De Nederlands-Indische kunstkring in Batavia,['organisatie'],[],,
59,batavia,Q106686922,Wapen van Batavia,,['wapen uit Nederlands-Indië'],['heraldisch wapen'],[],,
60,batavia,Q4868680,Batavia Veterans Administration Hospital,,"['ziekenhuis in Batavia, Verenigde Staten van Amerika']",['historisch district'],[],,
61,batavia,Q2558220,Weltevreden,,voorstad van Batavia,['buitenwijk'],[],,
62,bediend,Q1583962,hansom cab,['Hansom safety cab'],"Tweewielig gesloten rijtuig met twee deurtjes aan de voorzijde die door de palfrenier mechanisch worden bediend, zitbank voor twee personen, aan de achterzijde een aparte hogere zitplaats voor de menner, bestemd voor commercieel vervoer van personen.",['voertuig met wielen'],"['voertuig getrokken door paarden', 'rijtuig', 'voertuig met wielen']",,
63,bediend,Q57505957,Ik heb de koning van Engeland bediend (1998-1999),,['podiumkunstenproductie'],['theaterproductie'],[],,
64,bediend,Q109911250,Bedieningscentrale Leidschendam,,centrale van waaruit bruggen worden bediend,['bedieningscentrale bruggen en sluizen'],[],,
65,bediend,Q5012657,gelagkamer,,ruimte van een café waar de klanten worden bediend,[],"['kamer', 'café']",,
66,bediend,Q20809242,"Interieur met moeder en kind, bediend door een kamermeisje",,['schilderij van Maria La Fargue'],['schilderij'],[],,
67,bediend,Q6926105,mouseover,"['onmouseover', 'mouse hover']",begrippen uit de informatica waar computers met een muis bediend worden,['widget'],[],,
68,bediend,Q48244194,Psyche aan tafel bediend door nimfen,,['prent van Meester met de Dobbelsteen'],['prent'],[],,
69,bediend,Q27340191,"Twee musicerende jonge vrouwen, bediend door een page",,['schilderij van Gerard ter Borch'],['schilderij'],[],,
70,bediend,Q494829,busstation,['stadsbusstation'],station die door meerdere buslijnen bediend wordt,[],"['bushalte', 'stationsgebouw']",,
71,bediend,Q114770657,Een oude vrouw wordt bediend in een herberg,,,['schilderij'],[],,
72,bediende,Q833860,dienstmeid,"['bediende', 'huishoudster', 'dienstmaagd']",['werknemer binnen een huishouding'],['beroep'],['huishoudelijke hulp'],,
73,bediende,Q106686255,Eduard Švenda,,bediende en directeur Slowaakse sociale verzekering (fl. 1924-41),['mens'],[],,
74,bediende,Q99228228,Alois Řehák,,"bediende van belastingdienst in Praag, expert in distilleerderijen",['mens'],[],,
75,bediende,Q106737573,Vladimír Verner,,bediende ministerie van binnenlandse zaken in Praag (1884-1958),['mens'],[],,
76,bediende,Q106246935,Jaroslav Kalandra,,"bediende in Wien, postdirecteur en financiële inspecteur in Praag (1862-1924)",['mens'],[],,
77,bediende,Q106767195,Josef Bekera,,Tsjechische bediende financiële administratie (1860-??),['mens'],[],,
78,bediende,Q106075658,Josef Fišer,,bediende Tsjechoslowaakse ministerie van Binnenlandse Zaken (1892-1978),['mens'],[],,
79,bediende,Q106638705,Gustav Schmaus,,bediende ministerie van openbare werken in Wenen en Praag (1871-1929),['mens'],[],,
80,bediende,Q106595770,Jaromír Preininger,,bediende Ministerie van Volksgezondheid in Praag (1896-1982),['mens'],[],,
81,bediende,Q106680617,Jindřich Šrámek,,bediende ministerie van financiën in Praag (1879-??),['mens'],[],,
82,bedienden,Q45021418,Ziekenfonds Landelijke Bedienden Centrale en Vooruitzicht Buurtspoorwegen,,,['vereniging'],[],,
83,bedienden,Q57076065,"Algemeen Syndicaat van Reizigers, Bedienden, Handelaars en Patroons",,,['vakbond'],[],,
84,bedienden,Q71171864,"Categorie:Bond van Bedienden, Technici en Kaderleden-bestuurder",,['Wikimedia-categorie'],['Wikimedia-categorie'],[],,
85,bedienden,Q2915109,"Bond van Bedienden, Technici en Kaderleden",,,['vakbond'],[],,
86,bedienden,Q47458663,"Bond der Bedienden, Technici en Kaders / Syndicat des employés, techniciens et cadres",,,['vakbond'],[],,
87,bedienden,Q63213560,"Jonge vrouw met een brief en twee bedienden in een voornaam interieur, ca. 1672-1674",,['schilderij door Eglon van der Neer'],['schilderij'],[],,
88,bedienden,Q17336148,"Pieter Cnoll, Cornelia van Nijenrode, hun dochters en twee tot slaaf gemaakte bedienden",['De Bataviase opperkoopman Pieter Cnoll en zijn gezin'],['schilderij van Jacob Jansz. Coeman'],['schilderij'],[],,
89,bedienden,Q57076117,Nationaal Syndicaat voor Bedienden van België,['Nationaal Syndicaat voor Bedienden van Belgie'],,['vakbond'],[],,
90,bedienden,Q29018413,Cleopatra ontdekt door haar bedienden,,['schilderij door Artemisia Gentileschi'],['schilderij'],[],,
91,bedienden,Q73668281,"Elegant gezelschap, met bedienden, ca. 1663-1666",,['schilderij door Eglon van der Neer'],['schilderij'],[],,
92,berber,Q2152757,Berber Jews,,['etnische groep'],['etnische groep'],[],,
93,berber,Q3807949,Jerba Berber,,['taal'],['dialect'],[],,
94,berber,Q21143451,Berber,['Berber (voornaam)'],['voornaam'],"['voornaam', 'vrouwelijke voornaam']",[],,
95,berber,Q818743,Berber Academie,,,['culturele organisatie'],[],,
96,berber,Q375935,"Berber, Sudan",,['nederzetting in Soedan'],['woonplaats'],[],,
97,berber,Q4891027,Berber-Arabisch alfabet,,,[],[],,
98,berber,Q104032418,Am Berber,,"['straat in Waltershausen, Duitsland']",['straat'],[],,
99,berber,Q37439639,Berber,,['achternaam'],['familienaam'],[],,
100,berber,Q23820413,Oued Berber,,['watergang in  Algerije'],['watergang'],[],,
101,berber,Q23837321,Djebel Berber,,['berg in Algerije'],['berg'],[],,
102,berbers,Q45315,Berbers,"['Tamazgha', 'Berberse wereld', 'Berberse afkomst', 'Berberse taal', 'Imazighen', 'Amazigh']",['etnische groep'],['etnische groep'],['stam'],berber,True
104,berbers,Q55355256,"Magisch Marokko, landelijke culturen in Marokko, de Berbers",,['tentoonstelling'],['tijdelijke tentoonstelling'],[],,
105,berbers,Q2712462,Berbers geloof,['Amazighische mythologie'],,['religie'],[],,
106,berbers,Q100340157,Berbers in Marokko,,['Tentoonstelling uit 2001'],['tijdelijke tentoonstelling'],[],,
107,berbers,Q33061123,Categorie:Zelfstandig naamwoord in het Berbers,,['Wikimedia-categorie'],['Wikimedia-categorie'],[],,
108,berbers,Q99936735,Berbers,,['achternaam'],['familienaam'],[],,
109,berbers,Q2670121,De strijd met de Berbers,,['stripalbum uit de serie van Roodbaard'],['stripalbum'],[],,
110,berbers,Q6236938,Categorie:Berbers,['Categoria:Berbèr'],['Wikimedia-categorie'],['Wikimedia-categorie'],[],,
111,berbers,Q307312,Abd al-Mu'min ibn Ali,"[""Abd al-Mu'min"", 'Abd al-Mumim']",soevereine uit Berbers (1094-1163),['mens'],[],,
112,birma,Q836,Myanmar,"['Birma', 'MMR', 'MM']",['land in Azië'],"['soevereine staat', 'land']",[],burma,True
113,birma,Q704358,Staat Birma,,['historisch land'],['historisch land'],[],,
114,birma,Q2376315,Brits-Birma,,,"['historisch land', 'vazalstaat', 'kolonie', 'dominion']",[],,
115,birma,Q2667140,Birma op de Olympische Zomerspelen 1964,,,['land op de Olympische Spelen'],[],,
116,birma,Q776524,Birma op de Olympische Zomerspelen 1952,,,['land op de Olympische Spelen'],[],,
117,birma,Q2666080,Birma op de Olympische Zomerspelen 1988,,,['land op de Olympische Spelen'],[],,
118,birma,Q2666064,Birma op de Olympische Zomerspelen 1960,,,['land op de Olympische Spelen'],[],,
119,birma,Q2664807,Birma op de Olympische Zomerspelen 1980,,,['land op de Olympische Spelen'],[],,
120,birma,Q2664805,Birma op de Olympische Zomerspelen 1984,,,['land op de Olympische Spelen'],[],,
121,birma,Q2563642,Birma op de Olympische Zomerspelen 1956,,,['land op de Olympische Spelen'],[],,
122,blank,Q2072081,gekleurde,,persoon die niet blank/wit is,['sociale groep'],['mens'],white,True
123,blank,Q2560112,blank seperatisme,,,"['politieke beweging', 'sociale beweging']",['blanke suprematie'],ethnicities,True
125,blank,Q107405878,Blank en wit in de Nederlandse taal,,"[""betreft de discussie of het gebruik van de term 'blank' racistisch is""]","['debat', 'dilemma']",[],,
126,blank,Q278929,blank nationalisme,['white power'],,"['politieke ideologie', 'sociale beweging', 'eufemisme']","['etnisch nationalisme', 'racistisch nationalisme', 'Pan-nationalisme']",white,True
127,blank,Q104252739,Selma Blanck,['Selma Blank'],,['mens'],[],,
128,blank,Q1077496,blank Australië,,,['overheidsbeleid'],[],,
129,blank,Q739672,Blank vers,"['Blanke verzen', 'Blanke vers']",,['dichtvorm'],[],,
130,blank,Q105301515,Hans Plank,['Hans Blank'],['jurist uit Keizerrijk Oostenrijk (1850-1905)'],['mens'],[],,
131,blank,Q3393325,Point Blank,,['muziekgroep uit Verenigde Staten van Amerika'],['muziekgroep'],[],,
132,blank,Q110023886,,,"gebouw in Point Blank, Verenigde Staten van Amerika",['gebouw'],[],,
133,blanke,Q49078,blanke Amerikanen,['witte Amerikanen'],['etnische groep'],['etnische groep'],"['Amerikanen', 'blanken']",,
134,blanke,Q59786221,Blanke Helle,,,['natuurmonument in Duitsland'],[],,
135,blanke,Q698752,blanke suprematie,,['racistische ideologie'],"['politieke ideologie', 'discriminatie', 'ideologie']","['blank nationalisme', 'racisme', 'suprematie']",,
136,blanke,Q739672,Blank vers,"['Blanke verzen', 'Blanke vers']",,['dichtvorm'],[],,
137,blanke,Q110441926,blanke nationalist,,,['bezigheid'],['nationalist'],ethnic groups,True
139,blanke,Q26234043,Categorie:VN-resolutie over blanke overheersing in Afrika,,['Wikimedia-categorie'],['Wikimedia-categorie'],[],,
140,blanke,Q110271191,De handel in blanke slavinnen,,,[],[],,
141,blanke,Q948520,Willem van Champagne,"['Willem met de Witte Handen', 'Willem met de Blanke Handen', 'Willem van Blois', 'Willem van Blois-Champagne']",['Frans rooms-katholiek bisschop en kardinaal'],['mens'],[],,
142,blanke,Q785378,Blanke Zuid-Afrikanen,,['etnische groep'],[],['nationale minderheid'],,
143,blanke,Q19845340,De blanke slavin,"['Agnes, de witte slavin']",['korte stomme film'],['korte film'],[],,
144,blanken,Q235155,blanken,['witte mensen'],['term voor mensen met zichtbare Europese oorsprong'],['menselijk ras'],['mens'],race,True
147,blanken,Q50878538,boreaal,['boreaal (politieke term)'],boreaal kan in de politiek soms gebruikt worden als eufemisme voor 'enkel door blanken bevolkt',[],['exotisme'],,
148,blanken,Q22909760,complottheorie voor genocide van blanken,['witte genocide'],,['complottheorie'],[],,
149,blanken,Q111545624,Digital blackface,,praktijk waarbij blanken mensen gebruikmaken van GIF's en digitale afbeeldingen van zwarte mensen voor zelfexpressie,['racisme'],[],,
150,blanken,Q1957446,Peter Blanker,['Peter Blanken'],['Nederlands zanger'],['mens'],[],,
151,blanken,Q30688247,Blanken-Berg,,"['heuvel in Beieren, Duitsland']",['heuvel'],[],,
152,blanken,Q2127199,Ragazer Blanken,,['berg in Oostenrijk'],['berg'],[],,
153,blanken,Q2376733,Blanken onder elkaar,,,['radioprogramma'],[],,
154,blanken,Q30688160,Blanken-Berg,,"['heuvel in Nedersaksen, Duitsland']",['heuvel'],[],,
155,blanken,Q19638794,Voor de Blanken,['Voor de Blanken (Ruinen)'],"['straat in Ruinen, Nederland']",['straat'],[],,
156,blanker,Q104191213,Blanker Post,,"['straat in Neustrelitz, Duitsland']",['straat'],[],,
157,blanker,Q106353507,Blanker,,['achternaam'],['familienaam'],[],,
158,blanker,Q106024580,Blanker-Hans-Weg,,"['straat in Sankt Peter-Ording, Duitsland']",['straat'],[],,
159,blanks,Q3640863,Blanks 77,,['muziekgroep uit Verenigde Staten van Amerika'],['muziekgroep'],[],,
160,blanks,Q37431942,Blanks,,['achternaam'],['familienaam'],[],,
161,blanks,Q22256353,Awning Blanks,,['beeldhouwwerk van Cady Noland'],['sculptuur'],[],,
162,blanks,Q21939083,Blanks Mountain,,['berg in Australië'],['berg'],[],,
163,blanks,Q2165726,Tae Bo,,sportdiscipline van Billy Blanks,['sporttype'],[],,
164,blanks,Q1544664,The Blanks,,['muziekgroep uit Verenigde Staten van Amerika'],['muziekgroep'],[],,
165,blanks,Q15054687,Shooting Blanks,,['boek van Jim Dunnigan'],"['editie, versie of vertaling']",[],,
166,bombay,Q1156,Mumbai,"['Mombai', 'Mombay', 'Mumbay', 'Bombai', 'Bombay']","['hoofdstad van Maharashtra, India']","['miljoenenstad', 'stad', 'miljoenenstad', 'bevolkte plaats', 'metropool', 'tweede grootste stad', 'cluster', 'grote stad']",[],bombay,True
167,bombay,Q61445,Navi Mumbai,"['New Bombay', 'Nieuw-Bombay']",['nederzetting in India'],"['stad', 'grote stad', 'miljoenenstad', 'geplande stad of gemeenschap']",[],bombay,True
168,bombay,Q2550212,De Bombay,['De Uithorn'],['nederzetting in Nederland'],['woonplaats'],[],,
169,bombay,Q5003979,Byculla,,"wijk in Bombay, India",['buurt of wijk'],[],,
170,bombay,Q3632559,Colaba,,"wijk in Bombay, India",['buurt of wijk'],[],,
171,bombay,Q7685715,Tardeo,,"wijk in Bombay, India",['buurt of wijk'],[],,
172,bombay,Q1934607,Worli,,"wijk in Bombay, India",['buurt of wijk'],[],,
173,bombay,Q5100150,Chinatown,,"wijk in Bombay, India","['buurt of wijk', 'Chinatown']",[],,
174,bombay,Q4856518,,,"buitenwijk in Bombay, India",['buitenwijk'],[],,
175,bombay,Q12413015,Andheri,,"buitenwijk in Bombay, India",['buitenwijk'],[],,
176,boslandcreool,Q445485,marrons,"['maroon', 'boslandcreool', 'bosneger', 'marons', 'bosnegers']","['gevluchte Afrikaanse slaven in Zuid-Amerika, en hun nakomelingen']","['etnische groep', 'groep mensen', 'woordenboekpagina op Wikipedia']",[],maroons,True
177,bosneger,Q445485,marrons,"['maroon', 'boslandcreool', 'bosneger', 'marons', 'bosnegers']","['gevluchte Afrikaanse slaven in Zuid-Amerika, en hun nakomelingen']","['etnische groep', 'groep mensen', 'woordenboekpagina op Wikipedia']",[],maroons,True
178,bosnegers,Q445485,marrons,"['maroon', 'boslandcreool', 'bosneger', 'marons', 'bosnegers']","['gevluchte Afrikaanse slaven in Zuid-Amerika, en hun nakomelingen']","['etnische groep', 'groep mensen', 'woordenboekpagina op Wikipedia']",[],maroons,True
179,calcutta,Q1348,Calcutta,['Kolkata'],['stad in India'],"['miljoenenstad', 'miljoenenstad', 'metropool']",[],calcutta,True
180,calcutta,Q5018950,Calcutta Riverside,,['wijk in India'],"['buurt of wijk', 'township']",[],calcutta,False
181,calcutta,Q7567630,South Kolkata,,wijk in Calcutta,['regio'],[],,
182,calcutta,Q5328741,East Kolkata,,"wijk in Calcutta, India",['regio'],[],,
183,calcutta,Q67652597,Hara Chandra Mullick street,,"straat in Calcutta, India",['straat'],[],,
184,calcutta,Q68647181,Crematorium street,,"straat in Calcutta, India","['straat', 'weg']",[],,
185,calcutta,Q77425397,Shyama Charan Dey street,,"straat in Calcutta, India",['straat'],[],,
186,calcutta,Q67911834,Baranashi Ghosh street,['Baranasi Ghosh street'],"straat in Calcutta, India",['straat'],[],,
187,calcutta,Q67906158,Prasanna Kumar Tagore street,,"straat in Calcutta, India",['straat'],[],,
188,calcutta,Q68159535,Peary Charan Sarkar Street,,"straat in Calcutta, India",['straat'],[],,
189,derde wereld,Q180194,derde wereld,['3e wereld'],,['groep'],[],third world,True
190,derde wereld,Q100340135,Traditionele vroedvrouwen in de Derde Wereld,,['Tentoonstelling uit 1990'],['tijdelijke tentoonstelling'],[],,
191,derde wereld,Q100341393,Traditionele vroedvrouwen uit de derde wereld,,['Tentoonstelling uit 1989'],['tijdelijke tentoonstelling'],[],,
192,derde wereld,Q20656136,Het Theater van de Derde Wereld in Europa,,,['theatergroep'],[],,
193,derde wereld,Q85318651,De Derde Wereld als verdichtsel,,['oratie bij indiensttreding als Cleveringa-hoogleraar'],['inaugurele rede'],[],,
194,dwerg,Q2419953,dwerg,['lilliputter'],['informele term voor een mens met dwerggroei'],[],['mens'],lilliputian,True
195,dwerg,Q5871,witte dwerg,,,"['spectraalklasse', 'sterevolutie', 'astronomisch objecttype', 'fysische theorie']",['dwergster'],,
196,dwerg,Q5976,Zwarte dwerg,,,['hypothetisch hemellichaam'],['witte dwerg'],,
197,dwerg,Q56299838,"Dwerg met zwaard, in aanvallende houding",,['Prent; Ontworpen door Jacques Callot (1592 - 1635); Gemaakt door Anoniem'],['prent'],[],,
198,dwerg,Q10477881,dwerg in een fictiewerk,,['personage in fictief werk'],['fictieve mensachtige soort'],"['geestwezen in een fictiewerk', 'fictieve humanoïde']",,
199,dwerg,Q136562,Pulserende witte dwerg,,,['astronomisch objecttype'],['witte dwerg'],,
200,dwerg,Q17480821,fictieve bruine dwerg,,,[],['fictief hemellichaam'],,
201,dwerg,Q194101,dwerggroei,['dwerg'],['persoon met dwerggroei'],['ziekte'],[],,
202,dwerg,Q193275,Klein zonnestelsellichaam,,"Object in de ruimte dat geen planeet is, geen dwerg planeet en ook geen satelliet.",[],['substellair object'],dwarf,False
203,dwerg,Q2738581,dwerg in Noordse mythologie,"['Dwergen in de Germaanse mythologie', 'Noordse dwerg', 'Dwergen in de Noordse mythologie', 'dwerg in de Germaanse mythologie']",,['fictieve mensachtige soort'],['dwerg'],dwarves,False
204,dwergen,Q3478903,Zeven ringen van de dwergen,,['Ringen van Macht van Sauron'],['groep fictieve objecten'],['Ringen van Macht'],dwarves,False
205,dwergen,Q56508630,Verschillende misvormde dwergen,,['Prentenreeks'],['prentenserie'],[],,
206,dwergen,Q2738581,dwerg in Noordse mythologie,"['Dwergen in de Germaanse mythologie', 'Noordse dwerg', 'Dwergen in de Noordse mythologie', 'dwerg in de Germaanse mythologie']",,['fictieve mensachtige soort'],['dwerg'],dwarves,False
207,dwergen,Q3870124,Nietige Dwergen,"['Noegyth Nibin', 'Nibin-Nogrim']",,['volk in werk van Tolkien'],['dwerg in werk van Tolkien'],dwarves,False
208,dwergen,Q639184,Zeven dwergen,['De zeven dwergen'],['groep personages uit sprookje'],['groep personages'],[],,
209,dwergen,Q27148555,Zeven dwergen,['De zeven dwergen'],['Walt Disney'],['fictieve groep personages'],[],,
210,dwergen,Q67201443,Het zwaard van de dwergen,,['aflevering van Wickie de Viking'],['aflevering van televisieserie'],[],,
211,dwergen,Q11831,Sneeuwwitje,['Sneeuwwitje en de 7 dwergen'],['sprookje'],['literair werk'],[],,
212,dwergen,Q3217626,Het huis met de dwergen,,['hoorspel uit Nederland'],['hoorspel'],[],,
213,dwergen,Q2739228,Sneeuwwitje,,personage uit de Disneyfilm Sneeuwwitje en de zeven dwergen,"['fictief mens', 'animatiepersonage']",[],,
214,eerste wereld,Q876830,eerste wereld,"['1e wereld', 'eerste-wereldlanden', 'kapitalistische wereld']",,"['classificatiesysteem', 'groep']",[],first world,True
215,eskimo,Q131242,eskimo's,['Eskimo'],"['inheemse bevolkingsgroepen in Groenland, Canada, Alaska en Oost-Siberië']","['volk', 'etnische groep']",['volk'],eskimos,True
216,eskimo,Q2659059,Paleo-Eskimo's,,['Inheems volk van de Arctische regio'],"['volk', 'beschaving']",[],,
217,eskimo,Q189975,Inuit,"['Inuït', 'Inuk']",naam waarmee de Eskimo's van Groenland en Canada zichzelf aanduiden,"['etnische groep', 'volk']","[""eskimo's""]",inuit,True
219,eskimo,Q4532729,eskimonologie,['inuitologie'],"Wetenschap van de taal, literatuur en cultuur van de Eskimo (Inuit)",['regiostudies'],[],eskimos,True
221,eskimo,Q100342131,"Tiderida, van Eskimo tot Groenlander",,['Tentoonstelling uit 1971'],"['tentoonstelling', 'tijdelijke tentoonstelling']",[],,
222,eskimo,Q51512437,Nunivak Island Eskimo,,['publicatie'],['publicatie'],[],,
223,eskimo,Q19365020,Eskimo Hill,,['berg in Verenigde Staten van Amerika'],['berg'],[],,
224,eskimo,Q20736,Eskimo,,['taal'],['taalfamilie'],[],,
225,eskimo,Q8421920,Categorie:Eskimo-Aleoetische taalfamilie,,['Wikimedia-categorie'],['Wikimedia-categorie'],[],,
226,eskimo,Q215543,Eskimo-nevel,['NGC 2392'],['planetaire nevel in Tweelingen'],"['planetaire nevel', 'ster', 'veranderlijke ster', 'radiobron', 'infraroodbron', 'emissie-lijn-ster']",[],,
227,eskimo's,Q131242,eskimo's,['Eskimo'],"['inheemse bevolkingsgroepen in Groenland, Canada, Alaska en Oost-Siberië']","['volk', 'etnische groep']",['volk'],eskimos,True
228,eskimo's,Q2659059,Paleo-Eskimo's,,['Inheems volk van de Arctische regio'],"['volk', 'beschaving']",[],,
229,eskimo's,Q189975,Inuit,"['Inuït', 'Inuk']",naam waarmee de Eskimo's van Groenland en Canada zichzelf aanduiden,"['etnische groep', 'volk']","[""eskimo's""]",inuit,True
231,eskimo's,Q3347113,Neo-Eskimo's,,,['historische etnische groep'],[],,
