,term,QID,wd_bow,cs_wm_only
3904,barbarian,Q48997993,"['king', 'board', 'game', 'board', 'game', 'published', 'simulation', 'publication']",0.696
3901,barbarian,Q4388317,"['conversation', 'interview', 'chechen', 'field', 'commander', 'banditry', 'islam', 'written', 'work', 'book']",0.6940000000000001
3931,barbarian,Q59582349,"['balkan', 'reign', 'justinian', 'invasion', 'imperial', 'response', 'thesis', 'doctoral', 'thesis', 'alexander', 'constantine', 'sarantis']",0.691
3942,barbarian,Q6344293,"['biography', 'conan', 'biographic', 'information', 'fact', 'life', 'fictional', 'character', 'conan']",0.68
3735,barbarians,Q96464582,"['barbarian', 'inside', 'gate', 'part', 'immigrant', 'labor', 'discontent', 'essay', 'essay', 'published']",0.755
3734,barbarians,Q96464545,"['barbarian', 'inside', 'gate', 'part', 'fear', 'immigration', 'ancient', 'rome', 'today', 'essay', 'essay', 'published']",0.753
3563,barbarians,Q112333158,"['new', 'order', 'barbarian', 'lecture', 'transcription', 'richard', 'remark', 'implementation', 'world']",0.75
3733,barbarians,Q89943967,"['branding', 'study', 'use', 'renewable', 'heritage', 'tourism', 'destination', 'platform', 'decolonial', 'option', 'doctoral', 'thesis', 'thesis']",0.745
3625,barbarians,Q25230522,"['barbarian', 'byzantine', 'empire', 'aspect', 'geographic', 'region']",0.743
3571,barbarians,Q114350623,"['observation', 'upon', 'civilization', 'western', 'barbarian', 'particularly', 'english', 'book', 'john', 'swazey']",0.72
3650,barbarians,Q5366110,"['siyi', 'ethnic', 'group', 'four', 'barbarian', 'derogatory', 'chinese', 'name', 'various', 'people', 'bordering', 'ancient', 'china', 'namely', 'dongyi', '東夷', 'nanman', '南蠻', 'xirong', '西戎', 'beidi', '北狄']",0.7140000000000001
3569,barbarians,Q113577293,"['greek', 'roman', 'sphere', 'interaction', 'barry', 'cunliffe', 'book', 'review', 'book', 'review', 'published', 'archaeologia', 'cambrensis']",0.711
3581,barbarians,Q15944418,"['ka', 'hentai', 'written', 'work', 'historical', 'document', 'kai', 'hentai', 'reversal', 'china', 'barbarian', 'reversal', 'china', 'barbarian', 'metamorphosis', 'civilized', 'barbarian', 'transformation', 'civilized', 'barbarian', 'transformation', 'civilized', 'barbarian', 'barbarization', 'chinese', 'barbarization', 'civilised']",0.71
3737,barbarians,Q97394741,"['greek', 'roman', 'sphere', 'interaction', 'book', 'book', 'published']",0.6920000000000001
499,batavia,Q850526,"['betuwe', 'geographic', 'region', 'insula', 'batavorum', 'historical', 'geographical', 'region', 'netherlands']",0.7659999999999999
617,batavia,Q5453284,"['first', 'methodist', 'church', 'church', 'building', 'church', 'building', 'illinois', 'united', 'state', 'america']",0.7559999999999999
628,batavia,Q5881001,"['holland', 'land', 'office', 'building', 'new', 'york', 'housed', 'office', 'company', 'oversaw', 'development', 'western', 'new', 'york']",0.7509999999999999
556,batavia,Q1150578,"['massacre', 'mass', 'murder', 'chinezenmoord', 'geger', 'pacinan', 'pogrom', 'ethnic', 'chinese', 'port', 'city', 'present', 'day', 'jakarta', 'dutch', 'east', 'indie']",0.747
511,batavia,Q95690836,"['deli', 'maatschappij', 'business', 'enterprise', 'colonial', 'society', 'plantation']",0.743
306,batavia,Q38164557,"['shipwreck', 'site', 'survivor', 'camp', 'area', 'houtman', 'abrolhos', 'historical', 'cultural', 'heritage', 'site', 'historic', 'national', 'heritage', 'site', 'geraldton', 'wa']",0.741
308,batavia,Q42335755,"['scapin', 'establishment', 'operation', 'direct', 'radiotelegraph', 'circuit', 'tokyo', 'japan', 'netherlands', 'east', 'indie', 'supreme', 'commander', 'allied', 'power', 'instruction', 'note', 'scapin', 'order', 'supreme', 'commander', 'allied', 'power']",0.741
22,batavia,Q106651867,"['arak', 'maatschappij', 'business', 'colonial', 'society', 'arak', 'maatschappij', 'colonial', 'society']",0.74
476,batavia,Q7888253,"['united', 'methodist', 'church', 'church', 'building', 'church', 'building', 'united', 'state', 'america']",0.7390000000000001
21,batavia,Q106494090,"['deli', 'rubber', 'maatschappij', 'organization', 'business', 'colonial', 'society', 'plantation']",0.737
70346,berber,Q4891027,"['arabic', 'alphabet', 'arabic', 'script', 'based', 'alphabet', 'arabic', 'based', 'alphabet', 'various', 'language', 'middle', 'modern', 'time', 'mostly', 'supplanted', 'tifinagh', 'latin', 'based', 'orthography']",0.802
70418,berber,Q7598268,"['standard', 'moroccan', 'language', 'modern', 'language', 'northern', 'standard', 'moroccan', 'tamazight', 'zgh', 'standard', 'moroccan', 'amazigh', 'standardised', 'form', 'language', 'morocco', 'including', 'regional', 'accent', 'written', 'tifinagh', 'alphabet']",0.784
70325,berber,Q404150,"['amazighe', 'flag', 'flag', 'flag', 'amazigh', 'flag', 'national', 'flag', 'used', 'many', 'amazighe', 'population', 'north', 'africa']",0.77
70003,berber,Q110516589,"['algerian', 'north', 'african', 'new', 'historical', 'anthropology', 'arab', 'community', 'present', 'day', 'book', 'written', 'work', 'book']",0.77
70014,berber,Q112870992,"['overview', 'sugar', 'culture', 'morocco', 'particularly', 'within', 'community', 'rastabouda', 'thesis', 'thesis', 'georgia', 'rose', 'travis', 'university', 'canterbury']",0.7659999999999999
69986,berber,Q1071266,"['spring', 'rebellion', 'period', 'political', 'protest', 'civil', 'activism', 'claiming', 'recognition', 'identity', 'language', 'algeria']",0.7509999999999999
70170,berber,Q25185697,"['speaking', 'country', 'territory', 'wikimedia', 'category', 'wikimedia', 'category']",0.75
70078,berber,Q16936691,"['sheliff', 'basin', 'language', 'variety', 'western', 'algerian', 'zenatic', 'variety', 'algeria']",0.747
70393,berber,Q61053330,"['standard', 'algerian', 'language', 'northern', 'language']",0.742
70113,berber,Q21039444,"['suakin', 'railway', 'short', 'lived', 'military', 'project', 'never', 'reached', 'completion']",0.74
69929,berbers,Q410453,"['ethiopia', 'aethiopia', 'ethiopia', 'region', 'africa', 'historical', 'term', 'sub', 'saharan', 'africa', 'black', 'africa', 'inclusive', 'much', 'modern', 'ethiopia', 'almost', 'never', 'egypt', 'tunisia', 'land', 'greco', 'roman', 'mythology', 'considered', 'devout', 'close', 'god']",0.79
69931,berbers,Q793201,"['berber', 'calendar', 'agricultural', 'calendar', 'traditionally', 'used', 'berber']",0.74
69908,berbers,Q2712462,"['traditional', 'berber', 'religion', 'set', 'belief', 'deity', 'adhered', 'ancient', 'berber']",0.7070000000000001
69927,berbers,Q33274,"['shawiya', 'tachawit', 'shawiya', 'language', 'shy', 'zenati', 'variety', 'tamazight', 'language', 'spoken', 'shawi', 'berber', 'awras', 'region', 'eastern', 'algeria']",0.706
69894,berbers,Q16209031,"['berber', 'islam', 'aspect', 'history', 'history', 'north', 'africa', 'history', 'berber', 'people', 'converted', 'islam']",0.7
69898,berbers,Q21829586,"['wikiproject', 'berber', 'wikiproject', 'wikimedia', 'subject', 'area', 'collaboration']",0.675
69942,berbers,Q8625770,"['importance', 'berber', 'article', 'wikimedia', 'category', 'wikimedia', 'category']",0.667
69948,berbers,Q8885542,"['importance', 'berber', 'article', 'wikimedia', 'category', 'wikimedia', 'category']",0.667
69946,berbers,Q8855936,"['importance', 'berber', 'article', 'wikimedia', 'category', 'wikimedia', 'category']",0.667
69941,berbers,Q8603939,"['importance', 'berber', 'article', 'wikimedia', 'category', 'wikimedia', 'category']",0.667
128716,black,Q3779980,"['maafa', 'genocide', 'holocaust', 'african', 'holocaust', 'holocaust', 'enslavement', 'demographic', 'history', 'related', 'enslaving', 'african']",0.856
126040,black,Q20251258,"['afro', 'finn', 'ethnic', 'group', 'people', 'demographic', 'finland', 'european', 'african', 'ancestry', 'finn', 'african', 'immigration', 'finland', 'african', 'finland', 'finnish', 'people', 'african', 'descent', 'racial', 'ethnic', 'group', 'finland', 'african', 'ancestry']",0.8540000000000001
121038,black,Q86735,"['afro', 'german', 'ethnic', 'group', 'german', 'people', 'german', 'imperial', 'negro', 'racial', 'ethnic', 'group', 'germany', 'african', 'ancestry']",0.8540000000000001
119860,black,Q388315,"['african', 'brazilian', 'ethnic', 'group', 'people', 'afro', 'latin', 'american', 'brazilian', 'afro', 'brazilian', 'racial', 'ethnic', 'group', 'brazilian', 'african', 'ancestry']",0.851
119833,black,Q365539,"['canadian', 'ethnic', 'group', 'ethnic', 'group', 'canadian', 'people', 'african', 'canadian', 'canadian', 'african', 'ethnicity', 'afro', 'canadian', 'racial', 'ethnic', 'group', 'canada', 'african', 'ancestry']",0.8390000000000001
119267,black,Q105958972,"['notable', 'american', 'woman', 'biographical', 'dictionary', 'reference', 'book']",0.838
125354,black,Q1501447,"['legend', 'spain', 'aspect', 'history', 'legend', 'spanish', 'legend', 'leyenda', 'negra', 'supposed', 'tendency', 'historical', 'writing', 'demonising', 'spain', 'spanish', 'empire']",0.8370000000000001
121569,black,Q4921389,"['nova', 'scotians', 'ethnic', 'group', 'canadian', 'nova', 'scotians', 'canadian', 'descended', 'american', 'slave', 'freeman']",0.836
122569,black,Q105069642,"['history', 'people', 'aspect', 'history', 'human', 'history', 'history', 'history', 'people', 'history', 'history', 'people', 'history', 'racial', 'ethnic', 'group', 'sub', 'saharan', 'african']",0.835
119775,black,Q3007177,"['african', 'american', 'culture', 'human', 'activity', 'cultural', 'identity', 'culture', 'united', 'state', 'african', 'american', 'culture', 'culture', 'african', 'american', 'american', 'culture', 'pattern', 'human', 'activity', 'symbolism', 'associated', 'african', 'american']",0.835
119176,blacker,Q108837781,"['construction', 'black', 'identity', 'comic', 'sequential', 'art', 'book', 'book', 'edited', 'france', 'gateward', 'john', 'jennings']",0.748
119219,blacker,Q66765178,"['valentine', 'biographical', 'article', 'entry', 'dictionary', 'indian', 'biography']",0.747
119182,blacker,Q19048093,"['vignoles', 'charles', 'biographical', 'article', 'entry', 'dictionary', 'national', 'biography']",0.736
119183,blacker,Q19078870,"['valentine', 'biographical', 'article', 'entry', 'dictionary', 'national', 'biography']",0.7340000000000001
119167,blacker,Q107430326,"['introduction', 'literature', 'vertebrate', 'based', 'chiefly', 'title', 'library', 'zoology', 'emma', 'shearer', 'wood', 'library', 'ornithology', 'bibliotheca', 'osleriana', 'library', 'mcgill', 'university', 'montreal', 'bibliography', 'bibliography', 'casey', 'wood']",0.733
119185,blacker,Q21483330,"['george', 'biographical', 'article', 'entry', 'dictionary', 'national', 'biography']",0.7240000000000001
119206,blacker,Q59172162,"['ancient', 'carmen', 'michael', 'frontispiece', 'george', 'allen', 'unwin', 'academic', 'journal', 'article']",0.713
119168,blacker,Q107431542,"['introduction', 'literature', 'vertebrate', 'based', 'chiefly', 'title', 'library', 'zoology', 'emma', 'shearer', 'wood', 'library', 'ornithology', 'bibliotheca', 'osleriana', 'library', 'mcgill', 'university', 'montreal', 'version', 'edition', 'translation', 'bibliography', 'bibliography', 'published', 'oxford', 'university', 'press', 'milford']",0.708
119220,blacker,Q68561753,"['edward', 'carew', 'biographical', 'article', 'entry', 'irish']",0.6890000000000001
119223,blacker,Q68562990,"['douglas', 'maxwell', 'vandeleur', 'biographical', 'article', 'entry', 'irish']",0.688
119246,blackest,Q13427561,"['negroland', 'area', 'nigrita', 'nitgritia', 'africa', 'darkest', 'africa', 'black', 'africa', 'historical', 'region', 'africa', 'considering', 'territory', 'sahara', 'guinea', 'coast', 'land', 'black', 'calque', 'arab', 'idea', 'sudan', 'region']",0.691
119242,blackest,Q107300913,"['dawn', 'musical', 'group', 'german', 'death', 'metal', 'album']",0.526
119244,blackest,Q114493842,"['poison', 'television', 'series', 'episode', 'episode', 'legend', 'prince', 'valiant']",0.51
119247,blackest,Q1443912,"['night', 'limited', 'series', 'limited', 'dc', 'comic', 'crossover', 'series']",0.49
119243,blackest,Q114488053,"['night', 'television', 'series', 'episode', 'episode', 'justice', 'league']",0.485
119245,blackest,Q114538610,"['night', 'television', 'series', 'episode', 'episode', 'justice', 'league']",0.485
119248,blackest,Q19112705,"['night', 'sable', 'wore']",0.439
119250,blackest,Q96408477,"['day', 'musical', 'work', 'composition', 'song', 'lana', 'del', 'rey']",0.43799999999999994
119249,blackest,Q20899619,"['eye', 'extended', 'play', 'extended', 'play', 'aye', 'nako']",0.36700000000000005
118684,blacks,Q111637086,"['evangelical', 'faith', 'ritualization', 'politicized', 'power', 'authority', 'identity', 'rural', 'black', 'white', 'doctoral', 'thesis', 'doctoral', 'dissertation']",0.81
119141,blacks,Q96280198,"['black', 'historical', 'experience', 'european', 'black', 'african', 'african', 'american', 'nazi', 'era', 'non', 'fiction', 'work']",0.795
119118,blacks,Q79117444,"['vanderbilt', 'department', 'african', 'american', 'diaspora', 'study', 'vanderbilt', 'african', 'american', 'diaspora', 'study', 'department', 'aads', 'vanderbilt', 'university', 'department', 'african', 'american', 'diaspora', 'study', 'vanderbilt', 'university', 'aads', 'vanderbilt', 'university', 'department', 'african', 'american', 'diaspora', 'study', 'department', 'focused', 'interdisciplinary', 'cross', 'cultural', 'comparative', 'study', 'lived', 'experience', 'black', 'dispersed', 'throughout', 'world', 'continent']",0.794
119121,blacks,Q817393,"['black', 'people', 'race', 'human', 'categorization', 'person', 'color', 'black', 'man', 'black', 'woman', 'black', 'person', 'black', 'racialized', 'classification', 'people', 'usually', 'political', 'skin', 'color', 'based', 'category', 'specific', 'population', 'mid', 'dark', 'brown', 'complexion']",0.7879999999999999
119022,blacks,Q60791206,"['identity', 'black', 'jew', 'europe', 'america', 'non', 'fiction', 'work', 'identity', 'question', 'book', 'robert', 'philipson']",0.7859999999999999
118832,blacks,Q23900409,"['giessen', 'black', 'burschenschaft', 'germanic', 'league', 'radical', 'fraternity', 'movement', 'giessen', 'germany']",0.78
118735,blacks,Q115862364,"['black', 'ozarkers', 'ozark', 'mountain', 'black', 'black', 'ozarkers', 'native', 'inhabitant', 'african', 'descent', 'ozarks', 'mountain']",0.778
118737,blacks,Q11678010,"['association', 'stop', 'racism', 'black', 'japanese', 'civil', 'right', 'organization']",0.7759999999999999
118683,blacks,Q111507927,"['population', 'black', 'united', 'state', 'group', 'human', 'population', 'identifies', 'african', 'according', 'census']",0.775
119023,blacks,Q61902438,"['hypertension', 'black', 'west', 'african', 'origin', 'clinical', 'trial', 'clinical', 'trial']",0.774
64174,bombay,Q59546705,"['growth', 'urban', 'leadership', 'western', 'india', 'special', 'reference', 'city', 'thesis', 'doctoral', 'thesis', 'christine', 'dobbin']",0.821
64664,bombay,Q63155583,"['frederick', 'ayrton', 'frederick', 'ayrton', 'frederick', 'ayrton', 'city', 'presently', 'residing', 'bulstrade', 'street', 'studying', 'william', 'brunton']",0.8
63682,bombay,Q54888757,"['jersey', 'city', 'new', 'jersey', 'indian', 'enclave', 'united', 'state']",0.782
64161,bombay,Q56344527,"['convocation', 'address', 'university', 'madras', 'part', 'powell', 'article', 'second', 'convocation', 'address', 'university', 'madras']",0.78
63577,bombay,Q2627082,"['state', 'state', 'india', 'province', 'india', 'former', 'administrative', 'territorial', 'entity', 'province', 'province', 'mumbai', 'state', 'state', 'state', 'mumbai', 'mumbai', 'province', 'province', 'mumbai', 'former', 'state', 'india']",0.779
64378,bombay,Q107055858,"['burning', 'sun', 'hong', 'kong', 'baptist', 'university', 'library', 'digital', 'scholarship', 'service', 'documentary', 'film', 'review', 'social', 'development', 'synopsis', 'film', 'division', 'film', 'living', 'condition', 'slum', 'dweller', 'city']",0.7709999999999999
64643,bombay,Q5775344,"['history', 'portuguese', 'rule', 'aspect', 'history', 'portuguese', 'rule', 'history', 'british', 'rule']",0.769
63741,bombay,Q855497,"['cathedral', 'holy', 'name', 'cathedral', 'church', 'building', 'holy', 'name', 'cathedral', 'mumbai', 'cathedral', 'holy', 'name', 'catholic', 'cathedral', 'mumbai', 'india']",0.7659999999999999
64319,bombay,Q93834764,"['delimitation', 'council', 'constituency', 'amendment', 'order', 'proclamation', 'delegated', 'legislation', 'amendment', 'renames', 'original', 'order', 'changing', 'maharashtra']",0.765
64536,bombay,Q16844207,"['unincorporated', 'community', 'united', 'state', 'minnesota', 'human', 'settlement', 'united', 'state', 'america']",0.765
155663,burma,Q4765854,"['state', 'british', 'state', 'historic', 'name', 'minor', 'kingdom', 'analogous', 'princely', 'state', 'british', 'india', 'ruled', 'saopha', 'similar', 'thai', 'royal', 'title', 'chao', 'fa', 'prince', 'princess', 'area', 'china', 'lao', 'northern', 'thailand']",0.8109999999999999
155433,burma,Q2376315,"['british', 'rule', 'myanmar', 'historical', 'country', 'vassal', 'state', 'colony', 'dominion', 'british', 'empire', 'british', 'myanmar', 'british', 'british', 'occupation', 'myanmar', 'british', 'colonial', 'rule']",0.802
156882,burma,Q865714,"['burmese', 'name', 'naming', 'system', 'myanmar']",0.7959999999999999
156847,burma,Q7675176,"['tagaung', 'kingdom', 'ancient', 'burmese', 'city', 'state', 'northern']",0.772
156197,burma,Q3446298,"['mon', 'kingdom', 'political', 'establishment', 'mon', 'speaking', 'people', 'ruled', 'large', 'section', 'present', 'day', 'myanmar', 'various', 'time']",0.772
156066,burma,Q1537868,"['roman', 'catholicism', 'aspect', 'geographic', 'region', 'catholic', 'church', 'christianity', 'myanmar']",0.77
155354,burma,Q15241296,"['union', 'historical', 'period', 'historical', 'country', 'myanmar', 'independence', 'becoming', 'socialist', 'republic']",0.767
155345,burma,Q15072454,"['region', 'myanmar', 'administrative', 'territorial', 'entity', 'myanmar', 'first', 'level', 'administrative', 'country', 'subdivision', 'burmese', 'region', 'region', 'myanma', 'region', 'administrative', 'territorial', 'entity', 'myanmar']",0.767
157395,burma,Q7251020,"['prostitution', 'myanmar', 'aspect', 'geographic', 'region', 'prostitution']",0.767
157881,burma,Q67687938,"['japanese', 'prisoner', 'myitkyina', 'river', 'crossing', 'evacuation', 'kawolin', 'hindu', 'celebrate', 'eclipse', 'calcutta', 'india', 'marshal', 'wei', 'naid', 'item', 'collection', 'exhibition', 'item', 'national', 'archive', 'record', 'holding']",0.7659999999999999
62503,bush negro,Q966729,"['giovanni', 'battista', 'paggi', 'human', 'giovanni', 'batta', 'paggi', 'giovanni', 'battista', 'giovanni', 'batta', 'poggi', 'giovanni', 'battista', 'pagi', 'cavalier', 'paggi', 'di', 'genova', 'giovanni', 'battista', 'pazzi', 'giovanni', 'battista', 'poggi', 'giovanni', 'battista', 'poggio', 'batta', 'paggi', 'poggio', 'jean', 'baptiste', 'pagi', 'giovanni', 'paggi', 'batta', 'poggi', 'batta', 'paggi', 'paggi', 'paggi', 'jean', 'baptiste', 'paggi', 'pazzi', 'pagi', 'battista', 'paggi', 'peintre', 'génois', 'paggi', 'cavaliere', 'paggi', 'giambattista', 'paggi', 'maria', 'paggi', 'italian', 'painter']",
62501,bush negroes,Q966729,"['giovanni', 'battista', 'paggi', 'human', 'giovanni', 'batta', 'paggi', 'giovanni', 'battista', 'giovanni', 'batta', 'poggi', 'giovanni', 'battista', 'pagi', 'cavalier', 'paggi', 'di', 'genova', 'giovanni', 'battista', 'pazzi', 'giovanni', 'battista', 'poggi', 'giovanni', 'battista', 'poggio', 'batta', 'paggi', 'poggio', 'jean', 'baptiste', 'pagi', 'giovanni', 'paggi', 'batta', 'poggi', 'batta', 'paggi', 'paggi', 'paggi', 'jean', 'baptiste', 'paggi', 'pazzi', 'pagi', 'battista', 'paggi', 'peintre', 'génois', 'paggi', 'cavaliere', 'paggi', 'giambattista', 'paggi', 'maria', 'paggi', 'italian', 'painter']",
62502,bush negros,Q966729,"['giovanni', 'battista', 'paggi', 'human', 'giovanni', 'batta', 'paggi', 'giovanni', 'battista', 'giovanni', 'batta', 'poggi', 'giovanni', 'battista', 'pagi', 'cavalier', 'paggi', 'di', 'genova', 'giovanni', 'battista', 'pazzi', 'giovanni', 'battista', 'poggi', 'giovanni', 'battista', 'poggio', 'batta', 'paggi', 'poggio', 'jean', 'baptiste', 'pagi', 'giovanni', 'paggi', 'batta', 'poggi', 'batta', 'paggi', 'paggi', 'paggi', 'jean', 'baptiste', 'paggi', 'pazzi', 'pagi', 'battista', 'paggi', 'peintre', 'génois', 'paggi', 'cavaliere', 'paggi', 'giambattista', 'paggi', 'maria', 'paggi', 'italian', 'painter']",
134638,calcutta,Q5018950,"['riverside', 'neighborhood', 'township', 'human', 'settlement', 'india']",0.785
134814,calcutta,Q67687938,"['japanese', 'prisoner', 'myitkyina', 'burma', 'river', 'crossing', 'evacuation', 'kawolin', 'burma', 'hindu', 'celebrate', 'eclipse', 'india', 'marshal', 'wei', 'naid', 'item', 'collection', 'exhibition', 'item', 'national', 'archive', 'record', 'holding']",0.7659999999999999
133600,calcutta,Q1348,"['kolkata', 'municipal', 'corporation', 'west', 'bengal', 'million', 'city', 'megacity', 'state', 'capital', 'metropolis', 'city', 'palace', 'city', 'procession', 'city', 'joy', 'capital', 'city', 'west', 'bengal', 'india']",0.765
133969,calcutta,Q107058759,"['letter', 'march', 'setting', 'regional', 'production', 'centre', 'madras', 'diverting', 'part', 'documentary', 'production', 'work', 'bombay', 'two', 'document', 'hong', 'kong', 'baptist', 'university', 'library', 'digital', 'scholarship', 'service', 'archival', 'document', 'official', 'film', 'folder', 'document', 'decentralisation', 'documentary', 'short', 'film', 'production', 'fd', 'setting', 'regional', 'production', 'centre', 'fd', 'madras']",0.764
133775,calcutta,Q51520313,"['posthumous', 'paper', 'bequeathed', 'honorable', 'east', 'india', 'company', 'printed', 'order', 'government', 'bengal', 'college', 'multiple', 'institution']",0.7609999999999999
