lemma,source_1,source_2,source_3
exotic,[],[],"['being or from or characteristic of another place or part of the world', 'alien customs', 'the exotic landscape of a dead planet', 'exotic', 'strikingly strange or unusual', 'alien', 'protons, neutrons, electrons and all their exotic variants', 'exotic plants in a greenhouse', 'an exotic hair style', 'exotic cuisine']"
allochtoon,"['allochtoon', 'literally meaning ""originating from another country""', 'social group', 'human']",[],[]
medicine man,"['medicine man', 'medicine woman', 'medicine-man', 'Native American traditional healer and spiritual leader', 'profession', 'healer', 'religious leader']","['shamans', '', 'shaman', ""shamans'"", ""shaman's"", 'medicine men', 'medicine women', 'men, medicine', 'women, medicine', 'Those who act as intermediaries between the natural and supernatural worlds, serving as healers and priests, foretelling the future, and controlling spiritual forces for the welfare of the community.']",[]
third world,"['Third World', 'category of countries on socio economic base', 'group']","['developing countries', '', 'developing country', 'Third World', 'emerging nations', 'developing nations', 'least-developed countries', 'less-developed countries', 'LDCs', 'countries, developing', 'Refers to countries with low per capita income and an undeveloped industrial base relative to other countries.']",[]
servant,"['domestic worker', 'servant', 'domestic servant', 'domestic staff', 'domestic helper', 'domestic employee', 'household employee', 'household worker', 'household servant', 'person who works within the scope of a residence', 'profession', 'blue-collar worker', 'domestic worker', 'companions and valets']","['servants', '', 'servant', ""servant's"", ""servants'"", 'Generally in historical usage, for people who are privately employed to perform personal or household services.']","['a person working in the service of another (especially in the household)', 'retainer', 'servant']"
hottentot,"['Hottentot', 'antiquated term for the Khoisan people of southern Africa.', 'name']","['Khoikhoi', 'meaning ""men of men""', 'KhoiKhoi', 'Khoi Khoi', 'Khoikhoin', 'Khoekhoe', 'Khoi (Khoikhoi)', 'Khoe', 'Hottentot', 'now considered pejorative, used after 1652/mid-20th century; probably invented by the Dutch colonists in imitation of the clicking sounds of their language', 'Refers to the people and culture of southern Africa whom the first European explorers found in areas of the hinterland and who now live either in European settlements or on official reserves in South Africa or Namibia. Most Khoikhoi are either Nama or Oorlams, the latter term denoting remnants of the ""Cape Hottentots"" together with many of hybrid descent. The main Nama concentrations are the Bondelswarts, Rooinasie, Swartboois, and Topnaars; the main Orlams groups are the Witbooi, Amraal, Berseba, and Bethanie. The Khoikhoi are not easily distinguishable physically from the San, the Khoikhoi\'s slightly taller stature and decidedly longer and narrower head being the only marked differences.']",[]
gypsy,"['Romani', 'Gipsies', 'Rrom', 'Tzigan', 'Rroma', 'Gypsies', 'Roma', 'Romany', 'Romani people', 'Roma people', 'Gypsy', 'Indo-Aryan ethnic group', 'ethnic group', 'itinerant groups in Europe', 'Indo-Aryan peoples']","['Rom (culture)', '', 'Roma (culture)', 'Gypsy', 'Gipsy', 'The culture and ethnic group of the traditionally itinerant people who originated in northern India but live in modern times worldwide, principally in Europe. Most Roma speak some form of Romani a language closely related to the modern Indo-European languages of northern India, as well as the major language of the country in which they live. It is generally agreed that Roma groups left India in repeated migrations and that they were in Persia by the 11th century, in southeastern Europe by the beginning of the 14th, and in western Europe by the 15th century. By the second half of the 20th century they had spread to every inhabited continent.']","['Romany', 'Gypsy', 'Rommany', 'gypsy', 'a member of a people with dark skin and hair who speak Romany and who traditionally live by seasonal work and fortunetelling; they are believed to have originated in northern India but now are living on all continents (but mostly in Europe, North Africa, and North America)', 'Roma', 'Gipsy', 'Bohemian', 'Romani', 'gipsy', 'a person who resembles a Gypsy in leading an unconventional, nomadic way of life']"
coolie,"['coolie', 'labourer from Asia', 'occupation', 'worker']",[],"['cooly', '(ethnic slur) an offensive name for an unskilled Asian laborer', 'coolie']"
white,"['white people', 'white humans', 'white person', 'whites', 'white human', 'white race', 'racial classification and skin color specifier', 'race (human categorization)', 'human']",[],"['white', 'restricted to whites only', 'under segregation there were even white restrooms and white drinking fountains', 'lily-white', 'a lily-white movement which would expel Negroes from the organization']"
caucasian,"['Caucasian', 'Caucasoid', 'Europid', 'a white person', 'white people', 'outdated classification of humans', 'race (human categorization)', 'human']","['Caucasian (culture or style)', '', ""Refers to the people, styles, and cultures originating in the general Caucasus region, which is the area between the Black and Caspian Seas, surrounding the Caucasus mountains, comprising roughly the modern nations of Georgia, Armenia, Azerbaijan, southern parts of Russia, and northeastern Turkey. It refers specifically to the Indo-European and Turkic cultures that have occupied the area since around the first millennium BCE. It takes its name from the Caucasus tribes that settled here; was home to Milesian Greeks, subsequently was invaded numerous times; legendary site of Jason's quest for Golden Fleece; the Caucasus mountains have traditionally been the boundary separating Europe from Asia; however, the area is more subject to Asian influence and so is more often grouped with Asia in modern scholarship.""]","['a Caucasian', 'Caucasoid', 'White_person', 'White', 'of or relating to Caucasian people', 'Caucasian']"
kaffir,"['kaffir', 'kaffer', 'cafri', 'the k-word', 'Kaffirs', 'a slur used to refer to indigenous black people in South Africa; derived from the Arabic term for ""unbeliever"", i.e. pagan', 'ethnic slur']",[],"['kafir', 'caffre', 'kaffir', 'caffer', 'an offensive and insulting term for any Black African']"
descent,"['descent', 'biological or social descent of an individual', 'quality', 'lineage']",[],"['stock', 'the descendants of one individual', 'descent', 'bloodline', 'pedigree', 'properties attributable to your ancestry', 'he comes from good origins', 'line', 'ancestry', 'line_of_descent', 'blood', 'blood_line', 'his entire lineage has been warriors', 'lineage', 'parentage', 'filiation', 'origin', 'stemma', 'extraction', ""the kinship relation between an individual and the individual's progenitors""]"
mohammedan,"['Mohammedan', 'formerly common term referring to Islam', 'word']","['Islam', '', 'Islamic (religion)', 'Islamism', 'Mohammedan', 'Mohammedanism', 'Moslem', 'Muhammadanism', 'Muslim', 'Muslimism', 'Mussulmanism', 'mahométanisme', 'islamisme', ""Refers to the religious beliefs and social practices founded in the seventh century by the Arabian Prophet Muhammad, held to be the last of a series of major prophets, which include, according to Islamic dogma, Adam, Noah, and Jesus. It later spread throughout the Middle East, Africa, Europe, and parts of Asia. It is characterized by the belief in the fundamental idea that a devotee 'surrenders' and submits his will to Allah, the prime creator and sustainer of the universe and all creation. In Islam, God is unique and has no partner or intermediary as in the Christian Trinity. Social service and the active alleviation of suffering in others is considered the only path to salvation and prayer and sacred ritual alone are inadequate forms of submission to Allah. The Qur'an (Koran), the sacred text of the religion, is a compilation of revelations from Allah believed to have been received by Muhammad.""]","['Muhammedan', 'Muhammadan', 'of or relating to the Arabian prophet Muhammad or to the religion he founded', 'a follower of Mohammed', 'Mohammedan']"
mongoloid,"['Mongoloid', 'Ethnicity', 'ethnic group']",[],"['Mongoloid', 'of or pertaining to or characteristic of one of the traditional racial division of humankind including especially peoples of central and eastern Asia', 'a person suffering from Down syndrome (no longer used technically in this sense, now considered offensive)', '(offensive) of or relating to or suffering from Down syndrome', 'characteristic of or resembling a Mongol', 'mongoloid', 'the mongoloid epicanthic fold', 'a member of the Mongoloid family']"
discover,[],[],"['see for the first time; make a discovery', 'discover', 'Who discovered the North Pole?']"
homosexual,"['gay', 'homosexual person', 'homosexuals', 'homosexual people', 'gay people', 'gay person', 'ghey', 'ゲイ', 'term referring to a homosexual person or the trait of homosexuality', 'sexual orientation', 'sexual minority', 'LGBT', 'homosexuality']","['homosexuals (people)', '', 'homosexual (person)', 'People having sexual attraction or sexual relations with others of the same sex.']","['homo', 'gay', 'homosexual', 'sexually attracted to members of your own sex', 'homophile', 'someone who is sexually attracted to persons of the same sex']"
baboo,[],[],[]
pygmy,"['Pygmy people', 'Aka', 'Baka', 'Mbuti', 'Pueblos pigmeos', 'Pigmeos', 'Pigmeo', 'Pigmeo, Africano', 'Gente del bosque', 'ethnic group whose average height is unusually short', 'ethnic group']","['Pygmy (African culture or style)', '', 'Pigmy (African culture or style)', 'Bakola (Pygmy, culture or style)', 'The collective style and culture of various African peoples whose adult males grow to less than 59 inches (150 cm) in average height, and who live in Cameroon, Equatorial Guinea, Gabon, Democratic Republic of Congo, Congo Republic, Central African Republic, Rwanda, and Burundi. Use of ""Pygmy"" for a culture is considered pejorative; where possible use instead the most specific name for the subgroup.']","['pigmy', 'an unusually small individual', 'any member of various peoples having an average height of less than five feet', 'pygmy', 'Pigmy', 'Pygmy']"
page,"['page', 'page boy', 'young male servant', 'historical profession', 'noble title', 'domestic worker', 'valet']",[],"['pageboy', 'a youthful attendant at official functions or ceremonies such as legislative functions and weddings', 'page', 'a boy who is employed to run errands']"
bush negro,[],[],[]
second world,"['Second World', 'geopolitical classification', 'group']",[],[]
native,[],"['Native American', '', 'American Indian', 'Indigenous American', 'Indian (Native American)', 'Native (Native American)', 'American, Native', 'Indian, American', 'Native Americans', 'Whenever possible, use the specific tribal name. The general term ""Native American"" is widely used in the United States, but many groups now prefer ""American Indian"" or ""Indigenous American."" This concept is typically reserved to refer narrowly to the cultures of the native peoples of the United States and Canada, excluding the Eskimos and Aleuts. For the indigenous peoples of Canada use the term ""First Nations."" For the broader concept of the cultures of any native peoples of Central America, South America, North America, or the West Indies who are considered to belong to the Mongoloid division of the human species, use ""Amerindian (culture).""']","['native', 'the native North American sugar maple', 'native Americans', 'indigen', 'the art of the natives of the northwest coast', 'characteristic of or existing by virtue of geographic origin', 'he is a native of Brazil', 'a person born in a particular place or country', 'an indigenous person who was born in a particular place', 'aborigine', 'the aboriginal peoples of Australia', 'aboriginal', 'many native artists studied abroad', 'indigene', 'characteristic of or relating to people inhabiting a region from the beginning', 'the Canadian government scrapped plans to tax the grants to aboriginal college students']"
bombay,"['Mumbai', 'Bombay', 'capital city in Maharashtra, India', 'megacity', 'state capital', 'city', 'million city', 'locality', 'metropolis', 'second largest city', 'business cluster', 'big city']",[],"['Mumbai', ""a city in western India just off the coast of the Arabian Sea; India's 2nd largest city (after Calcutta); has the only natural deep-water harbor in western India"", 'Bombay']"
negro,"['negro', 'historical word for black people', 'demonym', 'ethnic slur', 'African people']","['African American', '', 'Afro-American', 'Black (African American)', 'Negro (African American)', 'Designates the styles, culture, and heritage of  Americans of African descent in North America. The styles capture the essence of the African American experience and how personal and political rebellion and triumphs over prejudice and social adversity have enriched and contributed to the music, art, and literature of American culture as a whole.']","['a person with African ancestry,  and  are archaic and pejorative today', 'Black', 'negro', 'colored', 'having skin rich in melanin pigments', 'coloured', 'Negro', 'Negroid', 'African-American']"
berber,"['Berbers', 'Berber', 'Amazigh', 'Imazighen', 'ethnic group indigenous to North Africa', 'ethnic group', 'tribe', 'Afroasiatic peoples']","['Berber (culture or style)', '', 'Berbers (cultures or styles)', '']","['a member of an indigenous people of northern Africa', 'Berber']"
mulatto,"['mulatto', 'mulattress', 'mulato', 'mulatta', 'mulata', 'racial classification', 'historical race concept', 'human']",[],"['an offspring of a black and a white parent', 'mulatto']"
disabled,"['person with disabilities', 'disabled people', 'disabled person', 'people with disabilities', 'handicapped person', 'disabled persons', 'person with disability', 'person with physical or mental disabilities that affect or limit their activities of daily living and that may require special accommodations', 'person']","['handicapped', '', ""handicapped's"", 'disabled', 'disabled people', 'Those burdened with an encumbrance or disadvantage, physical or mental, that may hinder their ability to cope with the demands of daily life.']","['technology to help the elderly and the disabled', 'having restricted mental or physical functioning as a consequence of injury or illness', 'handicapped', 'people collectively who are crippled or otherwise physically handicapped', 'disabled']"
roots,[],[],[]
mestizo,"['mestizo', 'Mestiza', 'Indo-Mestizo', 'mestizos', 'Mestizas', 'mestiza', 'mestizaje', 'mestiso', 'Spanish term to denote a person with European and Indigenous American ancestry', 'casta', 'multiracial people']",[],"['mestizo', 'a person of mixed racial ancestry (especially mixed European and Native American ancestry)']"
developing nations,[],"['developing countries', '', 'developing country', 'Third World', 'emerging nations', 'developing nations', 'least-developed countries', 'less-developed countries', 'LDCs', 'countries, developing', 'Refers to countries with low per capita income and an undeveloped industrial base relative to other countries.']",[]
western,"['Western world', 'the West', 'Occident', 'Western country', 'Western countries', 'Western', 'countries with an originally European shared culture', 'geographical area', 'group']",[],"['western', 'western thought', 'the western world', 'relating to or characteristic of the western parts of the world or the West as opposed to the eastern or oriental parts']"
aboriginal,"['indigenous people', 'indigenous peoples', 'aboriginal peoples', 'traditional peoples', 'native peoples', 'indigenous culture', 'ethnic groups descended from and identified with the original inhabitants of a given region', 'population group', 'people', 'ethnic group', 'minority group']","['indigenous people', '', 'indigenous person', 'indigenous peoples', 'aboriginal peoples', 'indigenous populations', 'native peoples', 'aborigines', 'indigenes', 'people, indigenous', 'The original, or earliest known, inhabitants of a colony or country.']","['native', 'native Americans', 'indigen', 'the art of the natives of the northwest coast', 'an indigenous person who was born in a particular place', 'aborigine', 'the aboriginal peoples of Australia', 'aboriginal', 'indigene', 'characteristic of or relating to people inhabiting a region from the beginning', 'the Canadian government scrapped plans to tax the grants to aboriginal college students']"
transvestite,"['cross-dresser', 'transvestite']","['LGBTQ+', '', 'LGBT', 'lesbian, gay, bisexual, and transgender', 'lesbian, gay, bisexual, transgender/transsexual/transvestite', 'L.G.B.T.Q.', 'LGB', 'GLBT', 'LGBTQ', 'General term for lesbian, gay, bisexual, or transgender / transsexual / transvestite attractions or behavior.']","['transvestite', 'cross-dresser', 'receiving sexual gratification from wearing clothing of the opposite sex', 'transvestic', 'someone who adopts the dress or manner or sexual role of the opposite sex']"
eskimo,"['Eskimo', 'esquimaux', 'Eskimos or Esquimaux', 'indigenous people from the circumpolar region', 'people', 'ethnic group', 'people']","['Eskimo (culture or style)', '', 'Eskimo Tradition', 'Refers to artwork produced by native Arctic culture, prior to European contact. For names of specific native peoples of the present, use descriptors such as ""Chugach,"" ""Inuit,"" or ""Katladlit.""']","[""a member of a people inhabiting the Arctic (northern Canada or Greenland or Alaska or eastern Siberia); the Algonquians called them Eskimo (`eaters of raw flesh') but they call themselves the Inuit (`the people')"", 'Inuit', 'Esquimau', 'Eskimo']"
hermaphrodite,"['hermaphrodite', 'organism that has complete or partial male and female reproductive organs', 'sex', 'organism', 'intersex']","['hermaphrodites (people)', '', 'intersex people', 'intersexuals', 'intersexual (people)', 'hermaphrodite (person)', ""People that are born with both male and female sex organs. Historically the term 'hermaphrodite' has been used in this context, but now prefer 'intersex people'. Reserve use of the term 'hermaphrodite' for the context of organisms that can produce both gametes associated with male and female sexes.""]","['epicene_person', 'one having both male and female sexual characteristics and organs; at birth an unambiguous assignment of male or female cannot be made', 'gynandromorph', 'androgyne', 'hermaphrodite', 'intersex', 'epicene']"
gay,"['gay', 'homosexual person', 'homosexuals', 'homosexual people', 'gay people', 'gay person', 'ghey', 'ゲイ', 'term referring to a homosexual person or the trait of homosexuality', 'sexual orientation', 'sexual minority', 'LGBT', 'homosexuality']","['homosexuality', '', 'homosexual (sexuality)', 'gay (general homosexuality)', 'queer (homosexual)', ""Sexuality characterized by romantic love or sexual desire toward members of one's own sex.""]","['homo', 'queer', 'gay', 'homosexual', 'homosexual or arousing homosexual desires', 'homophile', 'someone who is sexually attracted to persons of the same sex']"
indo,"['Indo-European people', 'Indo-Europeans', 'modern Indo-Europeans', 'Indo-European peoples', 'speakers of Indo-European languages', 'ethnic group']","['Indo-European (culture)', '', 'Aryan (Indo-European culture)', 'Arian (Indo-European culture)', 'Indo-Germanic', 'Japhetic', 'Japheth, one of the sons of the Biblical Noah', 'Ancient cultures of the peoples associated with broad class of cognate languages that are still spoken over the greater part of Europe and extending into Asia as far as northern India. Included are the cultures associated with the existing and extinct language families of Anatolian, Hellenic, Indo-Iranian, Italic, Celtic, Germanic, Tocharian, Balto-Slavic, Armenian, Albanian, Illyrian, Venetic, Liburnian, Messapian, Phrygian, Paionian, Thracian, Ancient Macedonian, Ligurian, Sicel, and Lusitanian, among others.']",[]
oriental,[],"['Asian', '', 'Oriental (Asian)', 'Refers to the cultures of the continent of Asia, which is in the eastern hemisphere, and is bounded by the Pacific Ocean, the Indian Ocean, the Arctic Ocean, and is generally considered to be delimited on the west by the Ural Mountains. It also refers to the numerous islands off the coast of Asia.']","['oriental', 'oriental civilization', 'denoting or characteristic of countries of the Far East']"
colored,"['Colored', 'Term used in the United States to describe black people']",[],"['colored', 'negro', 'having skin rich in melanin pigments', 'coloured']"
inuit,"['Inuit', 'Inuk', 'Inuits', 'group of peoples of Arctic North America', 'ethnic group', 'people', 'Eskimo', 'Indigenous people in Canada']","['Inuit (Canadian Arctic Native style)', '', 'Canadian Eskimo', 'Eskimo, Canadian', '']","[""a member of a people inhabiting the Arctic (northern Canada or Greenland or Alaska or eastern Siberia); the Algonquians called them Eskimo (`eaters of raw flesh') but they call themselves the Inuit (`the people')"", 'Inuit', 'Esquimau', 'Eskimo']"
black,"['Black people', 'Black man', 'Black woman', 'Black person', 'Blacks', 'a racialized classification of people, usually a political and skin color-based category for specific populations with a mid to dark brown complexion', 'race (human categorization)', 'person of color']","['Black (general, race and ethnicity)', '', 'General designation for the race, ethnicity, styles, culture, and heritage of people of sub-Saharan African origin or descent in places outside Africa, or of members of any dark-skinned group of peoples, including those of  Australian Aboriginal origin or descent.']","['a person with African ancestry,  and  are archaic and pejorative today', 'Black', 'of or belonging to a racial group especially of sub-Saharan African origin; - Martin Luther King Jr.', 'a great people--a black people--...injected new meaning and dignity into the veins of civilization', 'black', 'Negro', 'Negroid', 'African-American']"
queer,"['queer', 'umbrella term for sexual and gender minorities that are not heterosexual, heteronormative, or cisgender', 'reappropriation', 'umbrella term', 'identity', 'gender identity', 'sexual identity']","['homosexuality', '', 'homosexual (sexuality)', 'gay (general homosexuality)', 'queer (homosexual)', ""Sexuality characterized by romantic love or sexual desire toward members of one's own sex.""]","['queer', 'homophile', 'faggot', 'queen', 'offensive term for a homosexual man', 'gay', 'nance', 'fagot', 'fag', 'pouf', 'poof', 'pansy', 'poove', 'homosexual or arousing homosexual desires', 'fairy']"
calcutta,"['Kolkata', 'Calcutta', 'City of Palaces', 'City of Processions', 'City of Joy', 'capital city of West Bengal, India', 'municipal corporation of West Bengal', 'million city', 'megacity', 'state capital', 'metropolis']",[],"['the largest city in India and one of the largest cities in the world; located in eastern India; suffers from poverty and overcrowding', 'Calcutta', 'Kolkata']"
ethnic groups,"['ethnic group', 'people group', 'ethnic groups', 'ethnicity', 'socially defined category of people who identify with each other', 'classification system', 'personal data', 'population group']","['ethnic groups', '', 'ethnic group', 'groups, ethnic', 'Subgroups within a larger cultural or social order that are distinguished from the majority and each other by their national, religious, linguistic, cultural, or sometimes racial background. For groups that are the objects of prejudice or discrimination from the majority, use ""minorities.""']",[]
maroon,"['maroons', 'African refugees who escaped from slavery in the Americas, and their descendants', 'ethnic group', 'group of humans', 'dictionary page in Wikipedia']","['Maroon', '', 'maroon', 'Style and culture of a community or group of formerly enslaved Africans and Amerindian peoples and their descendants who fled, resisted, or rebelled against enslavement and found freedom in remote regions near where they had been forcibly relocated. Many of these groups have survived in the Caribbean and the Americas. Note that this community of people did not originally refer to themselves as “Maroon,” though some of their contemporary descendants have adopted the term, while others may consider it pejorative.']",[]
trans,"['transgender', 'transgender persons', 'transgender people', 'trans person', 'trans', 'trans people', 'trans-identified person', 'trans-identified people', 'transgender-identified person', 'transgender-identified people', 'transpeople', 'transperson', 'transgenders', 'transgendered', 'transgender person', 'gender identity other than sex assigned at birth', 'person', 'LGBT', 'gender modality', 'gender minority']",[],[]
half-breed,"['Half-breed', 'obsolete term for mixed Native American and European ancestry']",[],"['half-breed', 'an offensive term for an offspring of parents of different racial group (especially of Caucasian and American Indian ancestry)']"
lilliputian,"['person of short stature', 'Lilliputian', 'midget (Kami)', 'person of unusually short stature', 'human']",[],"['lilliputian', 'a very small person (resembling a Lilliputian)']"
dwarf,[],"['dwarfs', '', 'dwarf', ""dwarf's"", ""dwarfs'"", 'dwarves', 'People who are abnormally small in stature.']","['nanus', 'a person who is markedly small', 'dwarf', 'midget']"
half-blood,[],[],[]
burma,"['Myanmar', 'Burma', 'Republic of the Union of Myanmar', 'Union of Burma', '🇲🇲', 'BUR', 'MYA', 'MM', 'sovereign state in Southeast Asia', 'sovereign state', 'country']",[],"['Myanmar', 'a mountainous republic in southeastern Asia on the Bay of Bengal', 'Burma', 'Union_of_Burma', 'much opium is grown in Myanmar']"
race,"['race (human categorization)', 'races', 'races of mankind', 'race', 'classification system used to categorize humans on the basis of hereditary physical traits', 'classification system', 'identity']","['race (group of people)', '', 'races (groups of people)', 'peoples (races)', 'Identification of a group of people as distinct from other groups on the basis of physical or socially defined characteristics, such as the color of skin or language.']","['race', 'some biologists doubt that there are important genetic differences between races of human beings', 'people who are believed to belong to the same genetic stock']"
handicap,"['disability', 'handicap', 'physical handicap', 'impairments, activity limitations, and participation restrictions', 'property']",[],"['handicap', 'disablement', 'invalid', 'incapacitate', 'hearing impairment', 'reading disability', 'the condition of being unable to perform as a consequence of physical or mental unfitness', 'impairment', 'disable', 'disability', 'He was disabled in a car accident', 'injure permanently']"
primitive,"['primitive tribal community', 'primitive community,', 'primitive communal system', 'socio-economic unit of primitive society', 'concept']","['primitive art', '', 'art, primitive', 'An outdated designation formerly used for the art of certain people considered to be outside the spheres of influence of other, politically dominant cultural groups; was used especially concerning communities in sub-Saharan Africa, the Pacific Islands, and native tribal groups throughout the Americas. Use instead ""indigenous art,"" ""tribal art,"" or the most specific name known for the culture of origin. Distinct from ""primitivism,"" a term sometimes used for artistic styles or movements intended, often romantically or sentimentally, to emulate the appearance of art made by people operating outside of mainstream art markets.']","['a person who belongs to an early stage of civilization', 'belonging to an early stage of technical development; characterized by simplicity and (often) crudeness', 'naive', 'crude', 'used of preliterate or tribal or nonindustrial societies', 'primitive art such as that by Grandma Moses is often colorful and striking', 'primitive societies', 'primitive living conditions in the Appalachian mountains', 'of or created by one without formal training; simple or naive in style', 'primitive', 'primitive_person', 'rude', 'primitive movies of the 1890s', 'the crude weapons and rude agricultural implements of early man']"
retarded,"['retard', 'retarded', 'pejorative slur for one with a mental disability', 'slur']","['intellectually disabled', '', 'developmentally disabled', 'mentally retarded', 'term is considered offensive', 'People having any of several conditions characterized by subnormal intellectual functioning and impaired adaptive behavior that are identified during the individual’s developmental years.']","['he started a school for the retarded', 'relatively slow in mental or emotional or physical development', 'mentally_retarded', 'providing a secure and sometimes happy life for the retarded', 'people collectively who are mentally retarded', 'retarded', 'developmentally_challenged']"
footmen,"['footman', 'footboy', 'male servant', 'occupation', 'domestic worker']",[],"['footman', 'a man employed as a servant in a large establishment (as a palace) to run errands and do chores']"
slave,"['enslaved person', 'enslaved', 'slave', 'person in a state of slavery', 'social class', 'occupation', 'condition', 'personal property', 'prisoner', 'product']","['enslaved people', '', 'enslaved person', 'enslaved persons', 'slaves (people)', 'slave (person)', ""slave's (person's )"", ""slaves' (peoples')"", 'people, enslaved', 'Those who are treated as the property of and are entirely subject to another person, whether by capture, purchase, or birth.']","['slave', 'a person who is owned by someone']"
first world,"['First World', 'conceptual country classification', 'classification system', 'group']","['developed countries', '', 'developed country', 'developed world', 'First World', 'Describes nations of the world that are considered economically and technologically advanced. Generally consider this more current and accurate than ""First World.""']",[]
ethnicity,"['ethnicity', 'ethnicity theory', ""a person's ethnic background"", 'property']","['ethnicity', '', 'ethnic', 'ethnic group identity', 'ethnic identity', 'The perception of identity, distinctiveness, and significance of a group that shares a linguistic group, religious belief, nationality, cultural tradition, or perceived physiological characteristics.']","['ethnicity', 'an ethnic quality or affiliation resulting from racial or cultural ties', 'ethnicity has a strong influence on community status relations']"
primitivism,"['primitivism', 'primitive art', 'art movement', 'art movement', 'genre', 'art style', 'art']","['primitivism (artistic concept)', '', 'neoprimitivism', 'neo-primitivism', 'A term sometimes used for artistic styles or movements intended, often romantically or sentimentally, to emulate the appearance of art that was formerly designated primitive and other art made by people operating outside of mainstream art markets. Distinct from ""primitive art"" and ""primitive architecture,"" which are outdated terms formerly used for art and architecture of certain people considered to be outside the spheres of influence of other, politically dominant cultural groups. For the Russian art movement, active from about 1905 to 1920, which combined influences from Russian folk art with ideas borrowed from Cubism and Futurism, use ""Primitivist.""']","['a wild or unrefined state', 'crudeness', 'rudeness', 'a genre characteristic of (or imitative of) primitive artists or children', 'primitiveness', 'crudity', 'primitivism']"
indigenous,"['indigenous people', 'indigenous peoples', 'aboriginal peoples', 'traditional peoples', 'native peoples', 'indigenous culture', 'ethnic groups descended from and identified with the original inhabitants of a given region', 'population group', 'people', 'ethnic group', 'minority group']","['indigenous people', '', 'indigenous person', 'indigenous peoples', 'aboriginal peoples', 'indigenous populations', 'native peoples', 'aborigines', 'indigenes', 'people, indigenous', 'The original, or earliest known, inhabitants of a colony or country.']","['autochthonous rocks and people and folktales', 'indigenous', 'autochthonal', 'originating where it is found', 'the Ainu are indigenous to the northernmost islands of Japan', 'endemic folkways', 'autochthonous', 'endemic', 'autochthonic', 'the autochthonal fauna of Australia includes the kangaroo']"
