term,QID,wd_bow,spacy_cs,check,link_wd
barbarian,Q134313,"ethnic, slur, people, person, perceived, either, uncivilized, primitive, based, stereotype",0.866,TRUE,https://www.wikidata.org/wiki/Q134313
barbarian,Q3030751,"distinction, xenophobia, elitism, ethnocentrism, distinction, hua, yi, dichotomy, ancient, distinction, chinese, people, foreigner",0.794,TRUE,https://www.wikidata.org/wiki/Q3030751
barbarian,Q5402094,"kingdom, realm, historical, unrecognized, state, post, roman, kingdom, early, medieval, kingdom, series, medieval, kingdom, founded, dominated, northern, european, tribe, primarily, germanic, collapse, western, roman, empire",0.719,TRUE,https://www.wikidata.org/wiki/Q5402094
barbarian,Q64140395,"barbarousking, human, american, streamer",0.701,FALSE,https://www.wikidata.org/wiki/Q64140395
barbarian,Q15093669,"dalmatian, city, state, dalmatian, locality, local, romance, population, survived, invasion",0.681,TRUE,https://www.wikidata.org/wiki/Q15093669
barbarian,Q131192,"migration, period, invasion, great, invasion, germanic, invasion, invasion, rome, germanic, invasion, rome, period, european, history, century",0.653,TRUE,https://www.wikidata.org/wiki/Q131192
barbarian,Q4000582,"turcilingi, people, century, europe",0.65,TRUE,https://www.wikidata.org/wiki/Q4000582
barbarian,Q660643,"lifan, yuan, government, agency, administrative, territorial, entity, γadaγdu, mongγul, un, törü, yi, jasaqu, jabudal, un, jamun, tulergi, golo, dasara, jurgan, lǐfànyuàn, 理藩院, board, national, minority, affair, court, territorial, affair, board, administration, outlying, region, office, relation, principality, office, control, office, mongolian, tibetan, affair, court, colonial, affair, mongol, yamen, mongol, department, lifan, ministry, monggo, jurgan, agency, government, qing, dynasty, supervised, qing, frontier, inner, asia, region, mongolian, dependency, oversaw, appointment, ambans",0.65,TRUE,https://www.wikidata.org/wiki/Q660643
barbarian,Q7510002,"siege, florence, part, invasion, roman, empire",0.632,TRUE,https://www.wikidata.org/wiki/Q7510002
barbarian,Q111817851,"raph, action, figure, teenage, mutant, ninja, turtle, action, figure",0.617,FALSE,https://www.wikidata.org/wiki/Q111817851
barbarians,Q15944418,"ka, hentai, written, work, historical, document, kai, hentai, reversal, china, barbarian, reversal, china, barbarian, metamorphosis, civilized, barbarian, transformation, civilized, barbarian, transformation, civilized, barbarian, barbarization, chinese, barbarization, civilised",0.796,TRUE,https://www.wikidata.org/wiki/Q15944418
barbarians,Q5366110,"siyi, ethnic, group, four, barbarian, derogatory, chinese, name, various, people, bordering, ancient, china, namely, dongyi, 東夷, nanman, 南蠻, xirong, 西戎, beidi, 北狄",0.765,TRUE,https://www.wikidata.org/wiki/Q5366110
barbarians,Q25230522,"barbarian, byzantine, empire, aspect, geographic, region",0.749,TRUE,https://www.wikidata.org/wiki/Q25230522
barbarians,Q11624254,"fujimoto, tesseki, tesseki, fujimoto, kibidanshi, tekkanshi, chūko, shinkin, tomon, shinnosuke, tetsumon, japanese, sonnō, jōi, respect, emperor, expel, barbarian, patriot, painter, penman",0.727,TRUE,https://www.wikidata.org/wiki/Q11624254
barbarians,Q110730295,"allegorical, composition, genius, minerva, fallen, barbarian, drawing",0.726,TRUE,https://www.wikidata.org/wiki/Q110730295
barbarians,Q114350623,"observation, upon, civilization, western, barbarian, particularly, english, book, john, swazey",0.708,TRUE,https://www.wikidata.org/wiki/Q114350623
barbarians,Q96464545,"barbarian, inside, gate, part, fear, immigration, ancient, rome, today, essay, essay, published",0.706,TRUE,https://www.wikidata.org/wiki/Q96464545
barbarians,Q54645115,"black, dove, herodotus, language, barbarian, literary, work, munson, rosaria",0.702,TRUE,https://www.wikidata.org/wiki/Q54645115
barbarians,Q19904661,"invasion, barbarian, painting, painting, ulpiano, checa",0.688,TRUE,https://www.wikidata.org/wiki/Q19904661
barbarians,Q112333158,"new, order, barbarian, lecture, transcription, richard, remark, implementation, world",0.681,TRUE,https://www.wikidata.org/wiki/Q112333158
batavia,Q1199713,"capital, city, toponym, capital, dutch, east, indie, city, jakarta",1,TRUE,https://www.wikidata.org/wiki/Q1199713
batavia,Q25388662,"city, center, city, skyscraper, mixed, jakarta, indonesia",0.888,TRUE,https://www.wikidata.org/wiki/Q25388662
batavia,Q1150578,"massacre, mass, murder, chinezenmoord, geger, pacinan, pogrom, ethnic, chinese, port, city, present, day, jakarta, dutch, east, indie",0.808,TRUE,https://www.wikidata.org/wiki/Q1150578
batavia,Q27925782,"flor, locality, mexico, town, mexican, state, oaxaca",0.787,FALSE,https://www.wikidata.org/wiki/Q27925782
batavia,Q1934021,"city, united, state, iowa, ia, city, iowa, usa",0.785,FALSE,https://www.wikidata.org/wiki/Q1934021
batavia,Q23043356,"waterkasteel, northernmost, fortification, dutch, east, indie",0.78,TRUE,https://www.wikidata.org/wiki/Q23043356
batavia,Q48728178,"stadsherberg, building, inn, tavern, office, dutch, east, indie",0.738,TRUE,https://www.wikidata.org/wiki/Q48728178
batavia,Q85745702,"city, school, district, school, district, united, state, school, district, state, new, york",0.734,FALSE,https://www.wikidata.org/wiki/Q85745702
batavia,Q41880091,"unincorporated, area, michigan, unincorporated, community, township, branch, county, michigan",0.734,FALSE,https://www.wikidata.org/wiki/Q41880091
batavia,Q54728796,"neighborhood, neighborhood, nijmegen, netherlands",0.732,FALSE,https://www.wikidata.org/wiki/Q54728796
berber,Q1541828,"riffian, people, rif, ruafa, irifiyen, rifia, riyafa, riff, cabezones, ethnic, group, north, morocco, heritage",0.863,TRUE,https://www.wikidata.org/wiki/Q1541828
berber,Q2511788,"eastern, language, family, language, subfamily, eastern, language, group, language, spoken, libya, egypt",0.826,TRUE,https://www.wikidata.org/wiki/Q2511788
berber,Q19835346,"jewellery, jewelry, jewellery, culture, traditional, jewellery, people, north, western, africa",0.82,TRUE,https://www.wikidata.org/wiki/Q19835346
berber,Q2916416,"numidian, people, ancient, northern, africa",0.819,TRUE,https://www.wikidata.org/wiki/Q2916416
berber,Q25448,"language, family, afroasiatic, language, language, ber, tamazight, family, language, dialect, indigenous, north, africa",0.818,TRUE,https://www.wikidata.org/wiki/Q25448
berber,Q2741732,"northern, language, family, language, subfamily, dialect, continuum, northern, language, afro, asiatic, dialect, continuum",0.815,TRUE,https://www.wikidata.org/wiki/Q2741732
berber,Q2518185,"royal, institute, amazigh, culture, institute, morocco, responsible, promotion, language, culture",0.808,TRUE,https://www.wikidata.org/wiki/Q2518185
berber,Q11156769,"mzab, wargla, language, family, zenati, northern, saharan, oasis, language",0.805,TRUE,https://www.wikidata.org/wiki/Q11156769
berber,Q49741,"central, atlas, tamazight, tamazight, tzm, atlasic, language, afro, asiatic, language, family",0.804,TRUE,https://www.wikidata.org/wiki/Q49741
berber,Q16936691,"sheliff, basin, language, variety, western, algerian, zenatic, variety, algeria",0.801,TRUE,https://www.wikidata.org/wiki/Q16936691
berbers,Q45315,"berber, ethnic, group, tribe, afroasiatic, people, berber, amazigh, imazighen, ethnic, group, indigenous, north, africa",0.883,TRUE,https://www.wikidata.org/wiki/Q45315
berbers,Q16148121,"berber, france, ethnic, group",0.838,TRUE,https://www.wikidata.org/wiki/Q16148121
berbers,Q16209031,"berber, islam, aspect, history, history, north, africa, history, berber, people, converted, islam",0.831,TRUE,https://www.wikidata.org/wiki/Q16209031
berbers,Q33274,"shawiya, tachawit, shawiya, language, shy, zenati, variety, tamazight, language, spoken, shawi, berber, awras, region, eastern, algeria",0.814,TRUE,https://www.wikidata.org/wiki/Q33274
berbers,Q410453,"ethiopia, aethiopia, ethiopia, region, africa, historical, term, sub, saharan, africa, black, africa, inclusive, much, modern, ethiopia, almost, never, egypt, tunisia, land, greco, roman, mythology, considered, devout, close, god",0.813,TRUE,https://www.wikidata.org/wiki/Q410453
berbers,Q22948447,"berber, mauritania, ethnic, group, ethnicity, mauritania",0.807,TRUE,https://www.wikidata.org/wiki/Q22948447
berbers,Q21029694,"berber, morocco, ethnic, group",0.793,TRUE,https://www.wikidata.org/wiki/Q21029694
berbers,Q22948456,"berber, tunisia, ethnic, group, ethnic, group",0.765,TRUE,https://www.wikidata.org/wiki/Q22948456
berbers,Q21039413,"berber, mali, ethnic, group",0.746,TRUE,https://www.wikidata.org/wiki/Q21039413
berbers,Q21829586,"wikiproject, berber, wikiproject, wikimedia, subject, area, collaboration",0.706,TRUE,https://www.wikidata.org/wiki/Q21829586
black,Q3075017,"people, france, human, population, african, immigration, france, racial, multi, ethnic, group",0.895,TRUE,https://www.wikidata.org/wiki/Q3075017
black,Q96649416,"solitude, historical, process, concept, social, historical, process, leading, feeling, racialized, person, belonging, nowhere",0.87,TRUE,https://www.wikidata.org/wiki/Q96649416
black,Q29097370,"association, anthropologist, learned, society, organization, brings, together, anthropologist, view, highlighting, history, african, american, especially, regard, exploitation, oppression, discrimination",0.864,TRUE,https://www.wikidata.org/wiki/Q29097370
black,Q2265058,"númenóreans, fictional, ethnic, group, dúnedain, numenoreans, human, people, legendarium",0.857,FALSE,https://www.wikidata.org/wiki/Q2265058
black,Q109591499,"afro, indigeneity, ethnic, group, afro, indigenous, indigenous, mixed, race, individual, african, amerindian, heritage",0.856,TRUE,https://www.wikidata.org/wiki/Q109591499
black,Q3007177,"african, american, culture, human, activity, cultural, identity, culture, united, state, african, american, culture, culture, african, american, american, culture, pattern, human, activity, symbolism, associated, african, american",0.854,TRUE,https://www.wikidata.org/wiki/Q3007177
black,Q2415143,"hebrew, israelite, new, religious, movement, group, claiming, affiliation, israelite, hebrew, israelite, hebrew, israelite, african, hebrew, israelite, organization, indigenous, american, traced, ancestral, lineage, ancient, israelite, verified, record, myriad, account, confirmed, rabbi, elder, semitic, community",0.85,TRUE,https://www.wikidata.org/wiki/Q2415143
black,Q38007013,"fury, group, group, human, group, apulian, red, figure, vase, painter, working, similar, style, whose, name, called, fury, group, distinctive, style, various, painter, making, rather, small, group, closely, rela",0.843,FALSE,https://www.wikidata.org/wiki/Q38007013
black,Q2227505,"triangle, unidentified, flying, object, class, ufo, certain, common, feature, reportedly, observed, century",0.838,FALSE,https://www.wikidata.org/wiki/Q2227505
black,Q1506365,"great, migration, human, migration, great, migration, african, american, great, northward, migration, great, migration, movement, african, american, rural, southern, united, state",0.836,TRUE,https://www.wikidata.org/wiki/Q1506365
blacker,Q75653458,"catherine, madisson, human, catherine, peerage, person",0.714,FALSE,https://www.wikidata.org/wiki/Q75653458
blacker,Q100912206,"king, lucas, burnet, biographical, article, entry, men, bar",0.691,FALSE,https://www.wikidata.org/wiki/Q100912206
blacker,Q75653493,"letitia, cary, human, letitia, peerage, person",0.685,FALSE,https://www.wikidata.org/wiki/Q75653493
blacker,Q75653282,"rosemary, sheepshank, human, rosemary, peerage, person",0.682,FALSE,https://www.wikidata.org/wiki/Q75653282
blacker,Q75653332,"martha, beaver, human, martha, peerage, person",0.681,FALSE,https://www.wikidata.org/wiki/Q75653332
blacker,Q59646378,"environmental, change, catastrophic, flooding, voidomatis, aoos, basin, northwest, greece, doctoral, thesis, robertson, henry, hamlin",0.676,FALSE,https://www.wikidata.org/wiki/Q59646378
blacker,Q75653483,"alicia, dowdall, human, alicia, peerage, person",0.676,FALSE,https://www.wikidata.org/wiki/Q75653483
blacker,Q62639841,"house, university, dormitory, hovse, church, house, two, one, inseperable, γδβγ, student, residence, california, institute, technology",0.673,FALSE,https://www.wikidata.org/wiki/Q62639841
blacker,Q107729886,"u, colored, infantry, charles, collection, file, unit, national, archive, record, holding, naid",0.664,FALSE,https://www.wikidata.org/wiki/Q107729886
blacker,Q50146002,"beaver, henry, biographical, article, entry, men, time, eleventh, edition",0.661,FALSE,https://www.wikidata.org/wiki/Q50146002
blackest,Q1443912,"night, limited, series, limited, dc, comic, crossover, series",0.541,FALSE,https://www.wikidata.org/wiki/Q1443912
blackest,Q107300913,"dawn, musical, group, german, death, metal, album",0.529,FALSE,https://www.wikidata.org/wiki/Q107300913
blackest,Q19112705,"night, sable, wore",0.496,FALSE,https://www.wikidata.org/wiki/Q19112705
blackest,Q96408477,"day, musical, work, composition, song, lana, del, rey",0.475,FALSE,https://www.wikidata.org/wiki/Q96408477
blackest,Q20899619,"eye, extended, play, extended, play, aye, nako",0.467,FALSE,https://www.wikidata.org/wiki/Q20899619
blackest,Q114488053,"night, television, series, episode, episode, justice, league",0.427,FALSE,https://www.wikidata.org/wiki/Q114488053
blackest,Q114538610,"night, television, series, episode, episode, justice, league",0.427,FALSE,https://www.wikidata.org/wiki/Q114538610
blackest,Q114493842,"poison, television, series, episode, episode, legend, prince, valiant",0.423,FALSE,https://www.wikidata.org/wiki/Q114493842
blacks,Q817393,"black, people, race, human, categorization, person, color, black, man, black, woman, black, person, black, racialized, classification, people, usually, political, skin, color, based, category, specific, population, mid, dark, brown, complexion",0.95,TRUE,https://www.wikidata.org/wiki/Q817393
blacks,Q20747545,"black, liverpool, ethnic, group, liverpool, born, black, liverpudlian, black, liverpool, black, community, racial, ethnic, group, people, city, liverpool, african, ancestry",0.877,TRUE,https://www.wikidata.org/wiki/Q20747545
blacks,Q96280198,"black, historical, experience, european, black, african, african, american, nazi, era, non, fiction, work",0.849,TRUE,https://www.wikidata.org/wiki/Q96280198
blacks,Q49940594,"little, black, fork, natural, watercourse, natural, watercourse, uinta, county, wyoming, united, state, america",0.839,FALSE,https://www.wikidata.org/wiki/Q49940594
blacks,Q80079543,"mississippi, freedom, democratic, party, created, alternative, regular, state, party, black, eighty, thousand, people, people, vote, mississippi, first, time, plaque, photograph, photograph, danny, lyon, american",0.838,TRUE,https://www.wikidata.org/wiki/Q80079543
blacks,Q23900409,"giessen, black, burschenschaft, germanic, league, radical, fraternity, movement, giessen, germany",0.828,FALSE,https://www.wikidata.org/wiki/Q23900409
blacks,Q111507927,"population, black, united, state, group, human, population, identifies, african, according, census",0.827,TRUE,https://www.wikidata.org/wiki/Q111507927
blacks,Q11678010,"association, stop, racism, black, japanese, civil, right, organization",0.817,TRUE,https://www.wikidata.org/wiki/Q11678010
blacks,Q108563005,"civil, right, housing, relief, section, black, exploited, segregated, housing, market, clark, universal, builder, article",0.814,TRUE,https://www.wikidata.org/wiki/Q108563005
blacks,Q60791206,"identity, black, jew, europe, america, non, fiction, work, identity, question, book, robert, philipson",0.81,TRUE,https://www.wikidata.org/wiki/Q60791206
bombay,Q1156,"mumbai, megacity, state, capital, city, million, city, locality, metropolis, second, largest, city, business, cluster, big, city, capital, city, maharashtra, india",0.977,TRUE,https://www.wikidata.org/wiki/Q1156
bombay,Q61445,"navi, mumbai, city, big, city, million, city, planned, community, new, new, mumbai, satellite, city, mumbai",0.889,TRUE,https://www.wikidata.org/wiki/Q61445
bombay,Q3621720,"mumbai, metropolitan, region, metropolitan, area, mmr, greater, metropolitan, area, metropolitan, area, maharashtra, india",0.857,TRUE,https://www.wikidata.org/wiki/Q3621720
bombay,Q15277620,"siddhegavhan, village, state, india",0.819,FALSE,https://www.wikidata.org/wiki/Q15277620
bombay,Q15277258,"shikrapur, village, state, india",0.819,FALSE,https://www.wikidata.org/wiki/Q15277258
bombay,Q15271828,"ranjangaon, sandas, village, state, india",0.819,FALSE,https://www.wikidata.org/wiki/Q15271828
bombay,Q15266369,"pimpalgaon, tarf, khed, village, state, india",0.819,FALSE,https://www.wikidata.org/wiki/Q15266369
bombay,Q15239667,"koregaon, bhima, village, state, india",0.819,FALSE,https://www.wikidata.org/wiki/Q15239667
bombay,Q15179133,"alegaon, paga, village, state, india",0.818,FALSE,https://www.wikidata.org/wiki/Q15179133
bombay,Q4940547,"city, improvement, trust",0.811,TRUE,https://www.wikidata.org/wiki/Q4940547
burma,Q836,"myanmar, sovereign, state, country, republic, union, myanmar, union, bur, mya, mm, sovereign, state, southeast, asia",0.95,TRUE,https://www.wikidata.org/wiki/Q836
burma,Q13072974,"socialist, republic, union, republic, historical, country, socialist, state, union, socialist, bspp, period, state, southeast, asia",0.849,TRUE,https://www.wikidata.org/wiki/Q13072974
burma,Q4796,"naypyidaw, union, territory, nay, pyi, taw, union, territory, administrative, division, central, myanmar",0.814,TRUE,https://www.wikidata.org/wiki/Q4796
burma,Q15072454,"region, myanmar, administrative, territorial, entity, myanmar, first, level, administrative, country, subdivision, burmese, region, region, myanma, region, administrative, territorial, entity, myanmar",0.809,TRUE,https://www.wikidata.org/wiki/Q15072454
burma,Q704358,"state, historical, country, puppet, state, empire, japan",0.802,TRUE,https://www.wikidata.org/wiki/Q704358
burma,Q1937196,"lower, geographic, region, historical, region, territory, irrawaddy, outer, myanmar, geographic, historic, region, including, low, lying, irrawaddy, delta, well, coastal, region, country, plus, territory, annexed, british, empire, end, second, anglo, burmese, war",0.802,TRUE,https://www.wikidata.org/wiki/Q1937196
burma,Q4099756,"burminsky, selsoviet, rural, settlement, russia, human, settlement, askinsky, district, republic, bashkortostan, russia",0.8,FALSE,https://www.wikidata.org/wiki/Q4099756
burma,Q7233551,"post, independence, historical, country, sovereign, state, historical, period, union, former, country",0.797,TRUE,https://www.wikidata.org/wiki/Q7233551
burma,Q7830262,"township, myanmar, third, level, administrative, country, subdivision, administrative, territorial, entity, myanmar, commune, township, unit, local, government, myanmar",0.793,TRUE,https://www.wikidata.org/wiki/Q7830262
burma,Q35730552,"summit, mountain, mountain, united, state, america",0.791,FALSE,https://www.wikidata.org/wiki/Q35730552
calcutta,Q1348,"kolkata, municipal, corporation, west, bengal, million, city, megacity, state, capital, metropolis, city, palace, city, procession, city, joy, capital, city, west, bengal, india",0.986,TRUE,https://www.wikidata.org/wiki/Q1348
calcutta,Q112794323,"central, kolkata, geographic, region, central, madhya, kolkata, region, kolkata, west, bengal",0.85,TRUE,https://www.wikidata.org/wiki/Q112794323
calcutta,Q3349812,"kolkata, metropolitan, area, metropolitan, area, conurbation, metropolitan, area, greater, kolkata, kma, cma, metropolitan, area, west, bengal, india",0.85,TRUE,https://www.wikidata.org/wiki/Q3349812
calcutta,Q5018950,"riverside, neighborhood, township, human, settlement, india",0.838,FALSE,https://www.wikidata.org/wiki/Q5018950
calcutta,Q2088496,"kolkata, district, district, india, district, district, west, bengal, india",0.823,TRUE,https://www.wikidata.org/wiki/Q2088496
calcutta,Q7567630,"south, kolkata, geographic, region, south, dakshin, kolkata, region, kolkata, west, bengal",0.813,TRUE,https://www.wikidata.org/wiki/Q7567630
calcutta,Q5018914,"unincorporated, community, united, state, west, virginia, wv, unincorporated, community, pleasants, county, west, virginia",0.813,FALSE,https://www.wikidata.org/wiki/Q5018914
calcutta,Q14221200,"north, kolkata, geographic, region, north, uttar, kolkata, region, kolkata, west, bengal",0.812,TRUE,https://www.wikidata.org/wiki/Q14221200
calcutta,Q68578648,"police, quarter, building, building, ward, kolkata, municipal, corporation, india",0.808,TRUE,https://www.wikidata.org/wiki/Q68578648
calcutta,Q58954708,"kolkata, municipal, corporation, area, municipal, corporation, area, municipal, corporation, area, area, jurisdiction, kolkata, municipal, corporation",0.808,TRUE,https://www.wikidata.org/wiki/Q58954708
caucasian,Q112854793,"competitive, ability, clover, trifolium, ambiguum, compared, white, clover, trifolium, repens, lowland, high, country, site, thesis, thesis, adam, webb, lincoln, university",0.865,FALSE,https://www.wikidata.org/wiki/Q112854793
caucasian,Q3832962,"pontic, pontic, language, proposed, language, macrofamily, comprising, indo, european, northwest, language, family",0.859,TRUE,https://www.wikidata.org/wiki/Q3832962
caucasian,Q112853179,"clover, establishment, high, country, grazing, response, ryegrass, white, clover, lowland, pasture, thesis, thesis, allister, moorhead, lincoln, university",0.851,FALSE,https://www.wikidata.org/wiki/Q112853179
caucasian,Q1152826,"armenoid, race, according, racial, anthropology, early, century, subtype, race, centered, northern, part, western, asia",0.848,TRUE,https://www.wikidata.org/wiki/Q1152826
caucasian,Q33054,"bezhta, bezhta, language, language, belonging, tsezic, group, north, language, family, spoken, people, southern, dagestan, russia",0.844,TRUE,https://www.wikidata.org/wiki/Q33054
caucasian,Q177076,"albania, historical, country, satrapy, historical, state, caucasus, region",0.841,FALSE,https://www.wikidata.org/wiki/Q177076
caucasian,Q107519129,"state, natural, biosphere, reserve, named, shaposhnikov, organization, organization, maykop, russia",0.83,FALSE,https://www.wikidata.org/wiki/Q107519129
caucasian,Q31292208,"albanian, architecture, architectural, style, architecture, ancient, state, albania",0.818,FALSE,https://www.wikidata.org/wiki/Q31292208
caucasian,Q18344570,"albanian, unicode, block, aghbanian, unicode, block, containing, letter, mark, used, aghbanian, people, ancient, albania, northeastern, caucase",0.815,FALSE,https://www.wikidata.org/wiki/Q18344570
caucasian,Q65090850,"hunter, gatherer, anatomically, modern, human, genetic, lineage, identified",0.81,FALSE,https://www.wikidata.org/wiki/Q65090850
caucasians,Q11904743,"albans, caucasian, isolated, human, group",0.81,FALSE,https://www.wikidata.org/wiki/Q11904743
caucasians,Q2680223,"abkhazian, african, descent, ethnic, group, afro, abkhazian, african, caucasian, community, racial, ethnic, group, people, abkhazia, african, ancestry",0.795,TRUE,https://www.wikidata.org/wiki/Q2680223
caucasians,Q113887704,"investigating, effect, ocrelizumab, african, american, caucasian, relapsing, multiple, sclerosis, clinical, trial, clinical, trial",0.691,TRUE,https://www.wikidata.org/wiki/Q113887704
caucasians,Q64650434,"bm, daclatasvir, plus, peg, interferon, alfa, ribavirin, treatment, naive, black, african, american, latino, white, caucasian, hepatitis, c, clinical, trial, clinical, trial",0.663,TRUE,https://www.wikidata.org/wiki/Q64650434
caucasians,Q28407647,"young, caucasian, musical, group",0.648,FALSE,https://www.wikidata.org/wiki/Q28407647
caucasians,Q65316005,"laser, speckle, flowgraphy, age, dependence, comparison, doppler, optical, coherence, tomography, clinical, trial, clinical, trial",0.624,TRUE,https://www.wikidata.org/wiki/Q65316005
caucasians,Q64640900,"genetics, periodontal, disease, european, caucasian, clinical, trial, clinical, trial",0.623,TRUE,https://www.wikidata.org/wiki/Q64640900
caucasians,Q65317205,"spirulina, supplementation, cardiovascular, risk, obese, caucasian, treated, hypertension, clinical, trial, clinical, trial",0.62,TRUE,https://www.wikidata.org/wiki/Q65317205
caucasians,Q7645073,"supreme, order, caucasian",0.62,TRUE,https://www.wikidata.org/wiki/Q7645073
caucasians,Q64673661,"single, dose, trial, healthy, caucasian, japanese, subject, investigating, pharmacokinetics, somatropin, clinical, trial, clinical, trial",0.615,TRUE,https://www.wikidata.org/wiki/Q64673661
colored,Q5149038,"term, used, united, state, describe, black, people",0.879,TRUE,https://www.wikidata.org/wiki/Q5149038
colored,Q353267,"additive, color, additive, mixture, situation, color, created, mixing, visible, light, emitted, differently, light, source",0.812,FALSE,https://www.wikidata.org/wiki/Q353267
colored,Q1396304,"colorfastness, colourfastness, colour, fastness, property, material, textile, resist, fading, running, exposed, various, agency, washing, rubbing, daylight",0.797,FALSE,https://www.wikidata.org/wiki/Q1396304
colored,Q22282519,"anthocyanin, containing, compound, metabolic, process, anthocyanin, metabolism, anthocyanin, metabolic, process, chemical, reaction, pathway, involving, anthocyanins, member, group, intensely, soluble, glycoside, anthocyanidins, occur, responsible, scarlet, purple, mauve, blue, coloring, higher",0.793,FALSE,https://www.wikidata.org/wiki/Q22282519
colored,Q50429925,"chromogenic, compound, chromogenic, compound, colorless, endogenous, exogenous, pigment, precursor, may, transformed, biological, mechanism, compound",0.784,FALSE,https://www.wikidata.org/wiki/Q50429925
colored,Q66033606,"undyed, physical, property, color, natural, natural, textile, natural, color, dye",0.783,FALSE,https://www.wikidata.org/wiki/Q66033606
colored,Q22296285,"uredospore, formation, urediniospore, formation, ureidospore, formation, process, specific, outcome, formation, asexual, dikaryotic, often, rusty, spore, produced, structure, called, mostly, found, rust",0.782,FALSE,https://www.wikidata.org/wiki/Q22296285
colored,Q819264,"colour, revolution, revolution, color, revolution, coloured, revolution, revolution, colour, revolution, color, revolution, coloured, revolution, revolution, political, term, associated, democratization",0.779,FALSE,https://www.wikidata.org/wiki/Q819264
colored,Q1786363,"tonalism, century, u, artistic, movement, using, landscape, atmosphere, mist, often, gray, brown, blue",0.778,FALSE,https://www.wikidata.org/wiki/Q1786363
