term,source_1,source_2,source_3,wm
lilliputian,"['person of short stature', 'human']",[],"['lilliputian', 'a very small person (resembling a Lilliputian)']","['Dwarfism (Achondroplasie or dwerggroei in Dutch) is a medical or genetic condition for people of short stature. When used outside of a medical context the term is considered offensive. The term dwarf entered the Dutch language in the 14th century, when it had the connotation of monstrous. Satirical portrayals of people of short stature can often be found in (the history of) European art, literature, and film. In 19th- and early 20th-century colonial exhibitions, freak shows, and circuses, dwarfism was seen as a form of being abnormally “other” in very similar ways to the representation of formerly colonized and racialized people. Similar demeaning or insulting terms are “lilliputian” and “pygmy”.']"
indigenous,"['ethnic group', 'population group', 'indigenous people', 'people', 'minority group']","['indigenous person', 'aborigines', 'indigenous populations', 'indigenes', 'indigenous people', 'indigenous peoples', 'aboriginal peoples', 'people, indigenous', 'The original, or earliest known, inhabitants of a colony or country.', 'native peoples']","['the autochthonal fauna of Australia includes the kangaroo', 'autochthonous rocks and people and folktales', 'the Ainu are indigenous to the northernmost islands of Japan', 'endemic', 'originating where it is found', 'autochthonous', 'autochthonal', 'endemic folkways', 'autochthonic', 'indigenous']","['In recent decades the term “Indigenous,” which was originally used to describe flora and fauna, has increasingly become a legal category describing various peoples colonized by Europe. The term itself describes a specific group of people who identify with a place as an original homeland and have developed longstanding traditions in that place. Under diverse colonial projects these peoples were dispossessed of their lands, which led often to (cultural) genocide. The term ‘Indigenous’ is one of empowerment, due in part to the UN Declaration of the Rights of Indigenous Peoples (2007). “Indigenous” encompasses those peoples traditionally referred to as “Aboriginals”, “First Nations” and “Indians” among others.']"
burma,"['Myanmar', 'sovereign state', 'country']",[],"['a mountainous republic in southeastern Asia on the Bay of Bengal', 'Burma', 'much opium is grown in Myanmar', 'Myanmar', 'Union_of_Burma']","['Bombay is the colonial toponym—the name given to a geographic place under colonial rule—for the Indian city of Mumbai. The term was first used in the 16th century. The renaming of places is a common occurrence, both historically and in the present, often resulting from different political shifts over time. This was an important ideological practice, both during the colonial period and during decolonization. This practice continues today. On claiming territory, colonizers named cities and towns after important people or after their own places. Renaming—either restoring earlier names or creating new names— was an important practice for newly formed nations in the decolonization process. The use of names that were assigned under colonization can be painful for some, as a legacy of colonialism. The city of Mumbai continued to be called Bombay until long after independence but was officially changed in 1995. Calcutta (now Kolkata) and Chennai (Madras) are similar colonial toponyms that were Anglicized during the colonial period. Other contested colonial toponyms include: Jakarta (formerly Batavia), Myanmar (formerly Burma) and Zimbabwe (Southern Rhodesia).']"
discover,[],[],"['discover', 'see for the first time; make a discovery', 'Who discovered the North Pole?']","['“Discover” can be used in a neutral manner, for example when used in the context of to find out something, or to uncover how something works. However, when used to suggest that a place did not exist, was not known by Europeans or was not inhabited prior to European encounter it is far from neutral. For example: “painted almost 40 years after the discovery of ‘America’ by Columbus in 1492, this work of art was one of the earliest attempts by an artist to give an impression of the new continent.” Such a text essentially omits the fact that the continent was populated with thriving societies, and thus is pejorative, as it implies neither art nor people existed prior to Columbus’s “discovery.”']"
mulatto,"['human', 'mulatto', 'historical race concept']",[],"['mulatto', 'an offspring of a black and a white parent']","['This term, like “full blood” and “half-breed,” emerged in association with 18th- and 19th-century ideas of racial difference. In this period, racial sciences, based on the idea of biologically different races, were at their peak (see also “Race”). Blood, it was thought then, was also regarded as carrying hierarchical traits, with some blood being superior to others. The term is usually applied to someone of mixed White European and Non-White descent. This term is similar to other terms (in this list) such as “mulatto” and “mestizo”.', 'Since the 17th century, “mulatto” refers to first-generation offspring of a non-White person and a White person. The term derives from the Latin word “mulus” (mule), the hybrid offspring of a horse and a donkey. Like the racial sciences from which the term emerged, it suggests an incommensurability between two so-regarded different species of mankind. Like the mule, then, this results in an abnormal offspring, presumed infertile. Mulattos were deemed to represent the “horrors” of miscegenation (see also “Half-blood”), but because of their so-called White blood they were believed to be more intelligent—and often more attractive—than Black people. Today such ideas still remain in subtle ways in daily speech.']"
primitive,"['primitive tribal community', 'concept']","['art, primitive', 'primitive art', 'An outdated designation formerly used for the art of certain people considered to be outside the spheres of influence of other, politically dominant cultural groups; was used especially concerning communities in sub-Saharan Africa, the Pacific Islands, and native tribal groups throughout the Americas. Use instead ""indigenous art,"" ""tribal art,"" or the most specific name known for the culture of origin. Distinct from ""primitivism,"" a term sometimes used for artistic styles or movements intended, often romantically or sentimentally, to emulate the appearance of art made by people operating outside of mainstream art markets.']","['primitive', 'of or created by one without formal training; simple or naive in style', 'the crude weapons and rude agricultural implements of early man', 'primitive societies', 'naive', 'crude', 'primitive art such as that by Grandma Moses is often colorful and striking', 'primitive movies of the 1890s', 'a person who belongs to an early stage of civilization', 'belonging to an early stage of technical development; characterized by simplicity and (often) crudeness', 'rude', 'primitive living conditions in the Appalachian mountains', 'used of preliterate or tribal or nonindustrial societies', 'primitive_person']","['The term “headhunter” has two distinct meanings. The term has come to describe a professional recruiter who finds candidates for specific jobs. In this context it is not regarded as sensitive. Historically the term has been used to describe someone who participated in the ritual practice of taking trophy heads, for example during times of war. This practice was done in many places and by many peoples across the world including Europeans. In the Netherlands, the term was first used in the 19th century. Headhunting has long been represented in popular books and films, often to give the impression of primitive, wild, cruel and bloodthirsty tribal peoples of the jungle. This portrayal misrepresents the significant ritual role it had for the proper functioning of those societies that practiced it. The use of such terms and ideas reinforces the idea that certain peoples are essentially unchanging and “primitive” (see also “Primitive” and textbox Kunst).', 'Primitive derives from the Latin word primitivus, meaning the first-born or first of its kind. In European thought, it became synonymous with the racialized and temporal “Other” and was applied to cultures that were imagined as existing in a distant past (see Marijke Kunst and Simone Vermaat in this publication) that lacked qualities that were seen as European, specifically progress and rationality. The term is before still used today to denote someone or something as simple and uncivilized. “Primitivism” is a movement in art that connotes the beauty, natural qualities, or romance of a simpler way of life, in contrast to a more advanced, industrialized Europe. Both the term “primitive”, like the artistic movement, have received significant criticism from diverse quarters including academics.']"
servant,"['profession', 'companions and valets', 'blue-collar worker', 'domestic worker']","['servant', ""servants'"", 'Generally in historical usage, for people who are privately employed to perform personal or household services.', 'servants', ""servant's""]","['servant', 'retainer', 'a person working in the service of another (especially in the household)']","['“Servant”, like other terms such as “Page”, “Footmen” and “Baboo”, are frequently occurring terms in many museums databases and can most often be found in the descriptions of paintings and photographs. These interrelated terms describe a person employed in another’s household to do diverse domestic duties such as cooking and cleaning, or to be someone’s attendant. The terms do not in themselves suppose gross exploitation, even if they describe a hierarchical relation in class and power, sometimes marked by exploitation. The multiple and complex relations that servants may have with their masters makes any too easy judgement of the role of the servant or conditions under which they lived an incautious one. “Page” describes a young male servant or attendant, working for a nobleman, or from the Renaissance as servants for fashionable women and men. Referring to someone as servant or page today is regarded as demeaning or insulting in some circles. Maintaining the term in the description of historic paintings and photographs may however be recommended in some situations, especially when the person’s name is not known, since it conveys the power relations more transparently.']"
allochtoon,"['human', 'social group', 'allochtoon']",[],[],"['Allochtoon entered the Dutch language in the 20th century as a geological term. The term, which literally means “from another soil/location” (antonym autochtoon) was introduced as an identity category in the Netherlands in the 1970s to replace “immigrant,” which by that time had started to develop negative connotations. While the term itself was intended to be generic and to describe anyone born outside or with one parent born outside the Netherlands, it was split into the subcategories of Western and non-Western, thus creating a distinction between different categories of outsiders. The term has increasingly been used as a stand-in for people who appear to be visibly different, i.e. non-White people. “Allochtoon” has lost favor with some, including policy makers and the public alike, with some municipalities deciding no longer to use the term.']"
white,"['race (human categorization)', 'human', 'white people']",[],"['White', 'Caucasian', 'under segregation there were even white restrooms and white drinking fountains', 'of or belonging to a racial group having light skin coloration', 'a Caucasian', 'white', 'restricted to whites only', 'White_person', 'lily-white', 'voting patterns within the white population', 'a lily-white movement which would expel Negroes from the organization']","['This term has long been used to describe a racial identity, based on skin color, and usually describes certain groups of Europeans and their emigrant population across the world. The term is associated with the racial sciences of the 18th and 19th centuries. As an ideological category associated for example with Europe’s imperial expansion, White has come to connote progress, sophistication or cultured. Since the latter part of the 20th century there has been sustained critique of the social construction of Whiteness as norm, arguing that it is an identity category that emerged to justify or reinforce discrimination against non-White people. Within the Netherlands, in addition to increasing critique of Whiteness are discussions about whether one should use the word Wit or Blank as descriptor (see also “Blank”).', ""In the Netherlands, the term “blank” is a synonym for 'White' (see also “White”). As an identity category, the term shares its genealogy with other terms such as Black (from the Latin) and associated with the racial sciences of the 18th and 19th century. The Van Dale dictionary, defines the term as “unblemished” and non-colored. (See “White”, “Black” and “Person of Color”). The association of such ‘neutral’ and even ‘positive’ connotations of the word has generated critique from anti-racist/racial equality activists in the Netherlands, demanding that the word be replaced with the term “White” as a racial and political identity."", '“Colored” is a controversial term normally used to describe a person or a group of people with mixed White European and non-White, for example, someone of African or Asian, ancestry. In some cases the term is also used to describe a Black person. The term has different histories of use and meanings within different parts of the world, but is generally regarded as derogatory today. Within South Africa, for example, the term describes someone of mixed ancestry, including Khoisan, Malay, and White. Within the USA the term was used historically to refer primarily to a Black person or the Black community, and is more restrictive than the similar term “person(s)/people of color”. In the Netherlands, the term is used similarly to describe a Black person, or someone of mixed ancestry, with several interrelated Dutch language terms for these identity categories such as: colored (gekleurd), having a bit of color (met een kleurtje) or with a darker skin colour (met een donkerdere huidskleur). The use of these terms harkens back to a racialised idea of whiteness as the norm. These different Dutch terms are all increasingly regarded as inappropriate and derogatory. There is growing acceptance by many for the use of the American identity category “person(s) of color” or “people of color”, abbreviated POC. There is also the more recently emerging group category to more broadly describe non-White people, which is “Black and Non-Black People of Color”. While the terms “Black”, and “person(s) of color” remain generally acceptable terms for many, using the terms that the persons themselves find respectful and acceptable is advised.']"
berber,"['Afroasiatic peoples', 'ethnic group', 'Berbers', 'tribe']","['Berbers (cultures or styles)', 'Berber (culture or style)']","['a member of an indigenous people of northern Africa', 'Berber']","['“Berber” refers to various groups of people living across several countries in Northern Africa. The term dates back to antiquity and appears in Arabic manuscripts by 900 AD. Many people, however, believe it to be a European invention related to the term “barbarian” (see previous entry). While the term is still used by many people who self-identify as Berber, it is rapidly falling out of favor and more and more people now refer to themselves as “Amazigh.”']"
calcutta,"['state capital', 'metropolis', 'million city', 'megacity', 'Kolkata', 'municipal corporation of West Bengal']",[],"['the largest city in India and one of the largest cities in the world; located in eastern India; suffers from poverty and overcrowding', 'Calcutta', 'Kolkata']","['Bombay is the colonial toponym—the name given to a geographic place under colonial rule—for the Indian city of Mumbai. The term was first used in the 16th century. The renaming of places is a common occurrence, both historically and in the present, often resulting from different political shifts over time. This was an important ideological practice, both during the colonial period and during decolonization. This practice continues today. On claiming territory, colonizers named cities and towns after important people or after their own places. Renaming—either restoring earlier names or creating new names— was an important practice for newly formed nations in the decolonization process. The use of names that were assigned under colonization can be painful for some, as a legacy of colonialism. The city of Mumbai continued to be called Bombay until long after independence but was officially changed in 1995. Calcutta (now Kolkata) and Chennai (Madras) are similar colonial toponyms that were Anglicized during the colonial period. Other contested colonial toponyms include: Jakarta (formerly Batavia), Myanmar (formerly Burma) and Zimbabwe (Southern Rhodesia).']"
black,"['race (human categorization)', 'Black people', 'person of color']","['General designation for the race, ethnicity, styles, culture, and heritage of people of sub-Saharan African origin or descent in places outside Africa, or of members of any dark-skinned group of peoples, including those of  Australian Aboriginal origin or descent.', 'Black (general, race and ethnicity)']","['Black', 'a person with African ancestry,  and  are archaic and pejorative today', 'a great people--a black people--...injected new meaning and dignity into the veins of civilization', 'Negroid', 'black', 'African-American', 'Negro', 'of or belonging to a racial group especially of sub-Saharan African origin; - Martin Luther King Jr.']","['As an identity category, “Black” has different meanings in different contexts but in general it refers to people of African descent. The term has come to replace the earlier racial category of Negro (see also “Negro”) now regarded as derogatory by many. Within the Netherlands “Black” is used most often to describe people of African or Afro-Caribbean origin. In Britain the term is used similarly; however it has also been used as a socio-political identity category to unite diverse non-White groups of people, regardless of their ethnic or geographical origins, who had suffered racism. This usage is less common in the Netherlands. In the US, the term primarily describes African Americans; “people of color” is also used as a political identity category that includes all non-White people. Rooted primarily in the North American Civil Rights and Black Power Movements, and other global anti-racism struggles, “Black” has become an identity category of pride for many people of African descent, challenging earlier stereotypes associated with Black people.', ""In the Netherlands, the term “blank” is a synonym for 'White' (see also “White”). As an identity category, the term shares its genealogy with other terms such as Black (from the Latin) and associated with the racial sciences of the 18th and 19th century. The Van Dale dictionary, defines the term as “unblemished” and non-colored. (See “White”, “Black” and “Person of Color”). The association of such ‘neutral’ and even ‘positive’ connotations of the word has generated critique from anti-racist/racial equality activists in the Netherlands, demanding that the word be replaced with the term “White” as a racial and political identity.""]"
page,"['historical profession', 'domestic worker', 'valet', 'page', 'noble title']",[],"['a boy who is employed to run errands', 'page', 'pageboy', 'a youthful attendant at official functions or ceremonies such as legislative functions and weddings']","['“Servant”, like other terms such as “Page”, “Footmen” and “Baboo”, are frequently occurring terms in many museums databases and can most often be found in the descriptions of paintings and photographs. These interrelated terms describe a person employed in another’s household to do diverse domestic duties such as cooking and cleaning, or to be someone’s attendant. The terms do not in themselves suppose gross exploitation, even if they describe a hierarchical relation in class and power, sometimes marked by exploitation. The multiple and complex relations that servants may have with their masters makes any too easy judgement of the role of the servant or conditions under which they lived an incautious one. “Page” describes a young male servant or attendant, working for a nobleman, or from the Renaissance as servants for fashionable women and men. Referring to someone as servant or page today is regarded as demeaning or insulting in some circles. Maintaining the term in the description of historic paintings and photographs may however be recommended in some situations, especially when the person’s name is not known, since it conveys the power relations more transparently.']"
gypsy,"['ethnic group', 'itinerant groups in Europe', 'Romani', 'Indo-Aryan peoples']","['Roma (culture)', 'The culture and ethnic group of the traditionally itinerant people who originated in northern India but live in modern times worldwide, principally in Europe. Most Roma speak some form of Romani a language closely related to the modern Indo-European languages of northern India, as well as the major language of the country in which they live. It is generally agreed that Roma groups left India in repeated migrations and that they were in Persia by the 11th century, in southeastern Europe by the beginning of the 14th, and in western Europe by the 15th century. By the second half of the 20th century they had spread to every inhabited continent.', 'Gipsy', 'Rom (culture)', 'Gypsy']","['Roma', 'Romany', 'a person who resembles a Gypsy in leading an unconventional, nomadic way of life', 'Gipsy', 'a member of a people with dark skin and hair who speak Romany and who traditionally live by seasonal work and fortunetelling; they are believed to have originated in northern India but now are living on all continents (but mostly in Europe, North Africa, and North America)', 'gipsy', 'gypsy', 'Romani', 'Gypsy', 'Rommany', 'Bohemian']","['The term “gypsy” is generally used to refer to a member of a travelling or itinerant people, specifically Roma people. The Roma people are divided into different groups. Associated with itinerancy, due to their history of (forced) migration, negative stereotypes of Roma as thieves and vagabonds continue to exist today. For the Roma people the term “gypsy” is derogatory. Consequently they collectively and officially adopted the term “Roma” in the 1970s.']"
eskimo,"['Eskimo', 'ethnic group', 'people']","['Eskimo Tradition', 'Refers to artwork produced by native Arctic culture, prior to European contact. For names of specific native peoples of the present, use descriptors such as ""Chugach,"" ""Inuit,"" or ""Katladlit.""', 'Eskimo (culture or style)']","['Esquimau', ""a member of a people inhabiting the Arctic (northern Canada or Greenland or Alaska or eastern Siberia); the Algonquians called them Eskimo (`eaters of raw flesh') but they call themselves the Inuit (`the people')"", 'Eskimo', 'Inuit']","['The term “Eskimo” (Esquimaux) refers to the diverse Indigenous peoples of Arctic and sub-Arctic North America, Greenland and Northeastern Siberia. The term has never been commonly used by community members to describe themselves in their own language, as they would use their own indigenous terms. There is no general acceptance on the linguistic origins of the term. Some regard the term as a French or English version of an indigenous term. Today there is better acceptance of the term in Alaska than in Canada or Greenland, where other terms are preferred and Eskimo is seen to have a pejorative meaning. The term has now largely passed out of official use. Deciding on another broad term that describes all groups who live in the circumpolar north is not straightforward, although Eskimo-Aleut is used to describe the linguistic group.']"
indian,[],"['Indigenous American', 'American, Native', 'Native American', 'Indian (Native American)', 'Indian, American', 'American Indian', 'Native (Native American)', 'Native Americans', 'Whenever possible, use the specific tribal name. The general term ""Native American"" is widely used in the United States, but many groups now prefer ""American Indian"" or ""Indigenous American."" This concept is typically reserved to refer narrowly to the cultures of the native peoples of the United States and Canada, excluding the Eskimos and Aleuts. For the indigenous peoples of Canada use the term ""First Nations."" For the broader concept of the cultures of any native peoples of Central America, South America, North America, or the West Indies who are considered to belong to the Mongoloid division of the human species, use ""Amerindian (culture).""']","['Native American religions', 'Native_American', 'Amerindic', 'Indian', 'of or pertaining to Native Americans or their culture or languages', 'Amerind', 'Indian arrowheads']","['In the 16th century, Christopher Columbus, on encountering the Americas, called the inhabitants “Indians,” as he was under the impression that he had arrived in India. The misnomer “Indian” was soon used as a term to describe Indigenous peoples of North America. There is no consensus for the use of the term. While in the US “American Indian” is a term with a divisive history, it is nevertheless used as a form of self-identification by individuals and communities and remains a key term for the US and Canadian Federal Governments. In the Spanish-speaking countries of Central and South America “índio” is widely seen as problematic and is irregularly or not used by Indigenous people themselves. This is different in Brazil, where “índio” is less contested.', 'The term “Aboriginal” stems from the Latin words ab and origine, meaning “from the beginning”, and is a commonly used word, including in museum databases. “Aboriginal” describes the original inhabitants of a place and is primarily used to refer to Indigenous peoples in Australia and Canada (see also “Indigenous”). However, in Canada, there has been a recent preference for the use of Indigenous. The term does not adequately describe the complexity and diversity of Indigenous peoples. Many Indigenous peoples in both countries do not like to be referred to as “Aboriginal”, preferring to emphasize other markers of their identity such as language, land and clan relationships. In Canada the term came into general use in the 1980s, when a legal and overarching term was sought to collectively describe the existing—but controversial—categories “Indian,” “Inuit” and “Métis” (see also “Indian” and “Eskimo”).']"
second world,"['Second World', 'group']",[],[],"['While still used in everyday speech, the term “Third World” is regarded as a vestige of Cold War politics, when the world was divided into three groups based on political and economic orientations or alliances. “First World” describes the United States and its allies, including Japan, Canada and countries in Western Europe, while nations that were part of the Communist Bloc, including China, USSR, Cuba and countries in Eastern Europe comprised the “Second World.” The term was first used (Alfred Akfred Sauvy 1952) to describe countries that were politically aligned with neither the First nor the Second worlds. “Third World” also became an economic categorization, used to refer to the poorest countries and regions of the world. This included countries in Asia, Africa, Latin America and the Caribbean, many of which were formerly colonized by Europe. An increasing number of people agree that the term is no longer appropriate, as it is not an accurate description of the complexity of the world and because it reinforces a division of the world into Western superiority and non-Western inferiority.']"
barbarian,"['ethnic slur', 'barbarian', 'people']",[],"['without civilizing influences; ; ; ; -Margaret Meade', 'a crude uncouth ill-bred person lacking culture or refinement', 'tyke', 'barbaric practices', 'fighting is crude and uncivilized especially if the weapons are efficient', 'barbarian invaders', 'savage', 'wild tribes', 'barbarian', 'churl', 'wild', 'tike', 'peasant', 'boor', 'Goth', 'uncivilized', 'uncivilised', 'a member of an uncivilized people', 'a savage people', 'barbaric']","['The term “barbarian” originates in antiquity. In Ancient Greece, “barbarians” referred to people with an unfamiliar language and/or culture. Then the term “Barbarije” was used for North Africa, for example in 16th century cartography and travel accounts. Its inhabitants were described as “barbarians”. These words became negatively associated with piracy and the slave trade and the word “barbarian” increasingly gained the meaning of uncivilized. Nowadays the word is often used to express the idea that someone or something does not meet generally accepted standards, norms and values, usually those associated with the higher social classes.']"
colored,['Colored'],[],"['coloured', 'negro', 'colored', 'having skin rich in melanin pigments']","['“Colored” is a controversial term normally used to describe a person or a group of people with mixed White European and non-White, for example, someone of African or Asian, ancestry. In some cases the term is also used to describe a Black person. The term has different histories of use and meanings within different parts of the world, but is generally regarded as derogatory today. Within South Africa, for example, the term describes someone of mixed ancestry, including Khoisan, Malay, and White. Within the USA the term was used historically to refer primarily to a Black person or the Black community, and is more restrictive than the similar term “person(s)/people of color”. In the Netherlands, the term is used similarly to describe a Black person, or someone of mixed ancestry, with several interrelated Dutch language terms for these identity categories such as: colored (gekleurd), having a bit of color (met een kleurtje) or with a darker skin colour (met een donkerdere huidskleur). The use of these terms harkens back to a racialised idea of whiteness as the norm. These different Dutch terms are all increasingly regarded as inappropriate and derogatory. There is growing acceptance by many for the use of the American identity category “person(s) of color” or “people of color”, abbreviated POC. There is also the more recently emerging group category to more broadly describe non-White people, which is “Black and Non-Black People of Color”. While the terms “Black”, and “person(s) of color” remain generally acceptable terms for many, using the terms that the persons themselves find respectful and acceptable is advised.']"
