,entity_id,term,text_1,text_2,text_3,text_4,text_5
23,300228124,second world,jeeps,"['jeep', 'automobiles, jeep', 'jeep automobile', 'jeep automobiles']","Small, multipurpose rugged military vehicles with four-wheel drive and one-quarter ton capacity, introduced in 1941; after the Second World War produced for civilian use as a trademarked marque.",,[]
24,300265478,second world,neo-avant-garde,"['neo-avantgarde', 'neo-avant garde']",Broadly defined post-Second World War art movement named to distinguish it from 'classic' avant-garde movements such as Surrealism. ,,[]
25,300417823,trans,transatlantic imprints,"['transatlantic imprint', 'imprints, transatlantic', 'trans-atlantic imprints']","In the context of libraries and publishing, refers to imprints indicating that the work was printed in Europe rather than in the United States or elsewhere.",,[]
26,300263737,berber,Matmata,[],Style and culture of the Berber people livng in settled areas of southern Tunisia.,,[]
27,300244536,caucasian,Caucasian (culture or style),[],"Refers to the people, styles, and cultures originating in the general Caucasus region, which is the area between the Black and Caspian Seas, surrounding the Caucasus mountains, comprising roughly the modern nations of Georgia, Armenia, Azerbaijan, southern parts of Russia, and northeastern Turkey. It refers specifically to the Indo-European and Turkic cultures that have occupied the area since around the first millennium BCE. It takes its name from the Caucasus tribes that settled here; was home to Milesian Greeks, subsequently was invaded numerous times; legendary site of Jason's quest for Golden Fleece; the Caucasus mountains have traditionally been the boundary separating Europe from Asia; however, the area is more subject to Asian influence and so is more often grouped with Asia in modern scholarship.",,[]
28,300017455,eskimo,Inuit (Canadian Arctic Native style),"['Canadian Eskimo', 'Eskimo, Canadian']",,,[]
30,300400856,eskimo,Native North American religions,"['religions, Native North American']","Religious beliefs and sacramental practices of the indigenous peoples of the United States and Canada, excluding the Eskimos and Aleuts.",,[]
31,300024979,homo,people (agents),"['person (agent)', 'human beings (agents)', 'humans (agents)', 'persons']","Members of the species Homo sapiens and their close extinct relatives, as distinguished from other animals, spirits, or other entities.",,[]
32,300108469,immigrant,Chinatowns,['Chinatown'],"Sections of towns or cities in which Chinese immigrants originally lived as a colony and to great extent followed their own customs; often, but not exclusively sea ports.",,[]
33,300179506,immigrant,settlement houses,"['settlement house', 'houses, settlement', 'neighborhood houses', 'settlements (welfare buildings)']","Buildings that house a variety of individual and family social, educational, and recreational facilities provided for recent immigrants or residents of underprivileged neighborhoods; especially in England and the United States since the late 19th century.",,[]
35,300265652,inuit,Ungava,"['Ungava Inuit', 'New Québec Inuit', 'Quebec Inuit']","Style and culture of the native people who live along the shores of Ungava Bay, on the south shore of Hudson Strait, and on the eastern coast of Hudson Bay. They exploit the resources of the vast area north of the treeline, especially sea mammals in the coastal waters, and also move inland to hunt caribou and at times penetrate the traditional Cree and Montagnais-Naskapi lands south of the treeline. Culturally close to the Inuit southeast of Baffin Island and to the Labrador Inuit, the Ungava nevertheless differ from these tribes in a number of linguistic and technological respects and in their social and religious customs.","meaning ""towards the open water""",[]
39,300056460,primitive,primitive architecture,"['architecture, primitive']","An outdated designation formerly used for the architecture of certain people considered to be outside the spheres of influence of other, politically dominant cultural groups; was used especially concerning communities in sub-Saharan Africa, the Pacific Islands, and native tribal groups throughout the Americas. Use instead other terms, such as ""vernacular architecture,"" or use the most specific name known for the culture of origin.",,[]
41,300258978,servant,cellarers,"['cellarer', ""cellarer's"", ""cellarers'""]","Officials of monasteries and other religious communities in charge of provisions and supplies, especially of food, of the running of the kitchens, the work and conduct of servants and lay members, the purchase and delivery of goods, and all aspects of the management of the establishment that are not specifically assigned to others.",,[]
42,300041590,dwarf,dwarf tall clocks,"['dwarf tall clock', 'case clocks, dwarf tall', 'case clocks, miniature tall', 'clock, grandmother', 'clocks, dwarf tall', 'clocks, dwarf tall case', 'clocks, grandmother', ""clocks, grandmother's"", 'clocks, miniature tall case', 'dwarf tall case clocks', 'grandmother clocks', ""grandmother's clocks"", 'miniature tall case clocks', 'tall case clocks, dwarf', 'tall case clocks, miniature', 'tall clocks, dwarf']","Scaled-down versions of tall case clocks, usually 2 to 5 feet high, with 8-day brass movements, and having pendulums; popular in the United States in the early 18th century.",,[]
50,300386950,dwarf,dwarf planets,"['dwarf planet', 'planets, dwarf']","Planetary-mass objects that are neither a planet nor a moon. As defined by the International Astronomical Union (IAU), a dwarf planet is a celestial body in direct orbit of a star, massive enough for its shape to be controlled by gravitation, but it differs from a planet in that a dwarf planet has not cleared its orbital region of other objects.",,[]
54,300017650,indian,Sioux,"['Indians (Sioux)', 'Dakota (culture or style)', 'Dakota Sioux', 'Siouan (culture or style)']","Refers to the culture of the Sioux, a North American Plains Indian people, or confederation of peoples, of Siouan linguistic stock. Sioux is an abbreviation of Nadouessioux, a name originally used to refer to them by the Ojibwa; the word Dakota means ""allies."" There are three main divisions of the Sioux: Santee, Yankton, and Teton, calling themselves, respectively, Dakota, Nakota, and Lakota.",,[]
55,300185762,oriental,Oriental rugs,"['Oriental rug', 'oriental rug', 'carpets, Oriental', 'farash', 'ghali', 'hali (Oriental rugs)', 'Oriental carpets', 'Orientals (rugs)', 'qali (Oriental rugs)', 'rugs, Oriental']","Term of convenience for certain handwoven or hand-knotted pile rugs originally produced in certain regions of Asia, Africa, and Europe; prefer a more specific descriptor or the name of the place or culture of origin.",,[]
56,300165261,traditional,Conservative Judaism,['Conservative Jewish'],"Religious movement and Jewish branch espoused by Zacharias Frankel (1801-1875) that endeavors to preserve particular elements and customs of traditional Judaism while allowing for limited modernization such as the support of the secular Zionist movement. This branch of Judaism is governed by the idea that Judaism defines Jewish culture and national identity, and therefore, religious customs and traditions such as dietary laws, the study of Hebrew, and the observation of Sabbath, must be upheld.",,[]
57,300435679,traditional,traditional cultural properties,"['traditional cultural property', 'traditional cultural places', 'TCP']","In the US, sites that are eligible for inclusion in the National Register because of their association with cultural practices or beliefs of a living community that are rooted in that community's history, and are important in maintaining the continuing cultural identity of the community.",,[]
60,300021877,western,New Guinean,['New Guinea'],"Describes the culture and style of the inhabitants of the Island of New Guinea whose western portion belongs to Indonesia, while the eastern half comprises part of the independent state of Papua New Guinea.",,[]
61,300263657,western,Catalan (culture or style),[],"Refers to the culture of the region of Catalonia in western Europe, either the modern northeasterly province of Spain or the former independent principality of which the area of the modern province formed the core.",,[]
62,300417400,western,Lingnan School,[],"An art trend prevalent in Guangdong Province, China during the first half of the 20th century. Lingnan, literally meaning ‘south of the mountains,' refers to an area including Guangdong and some other southern provinces of China. The key figures of the trend were the brothers Gao Qifeng and Gao Jianfu as well as Chen Shuren. In coordination with the popular ideas of reforming China with western ‘science and democracy,' the artists aimed to create a new Chinese art that defined the nation through a synthesis of East and West. Since many artists studied in Japan, they incorporated western realism as interpreted by Japanese nihonga painting into Chinese ink painting. After the Communist revolution of 1949, the trend diminished in People’s Republic of China but further developed in Hong Kong, Taiwan and some overseas Chinese centres in Southeast Asia and North America.",,[]
63,300111207,western,Portuguese (culture or style),[],"Refers to the culture of the modern nation of Portugal, or in general to the cultures that have occupied the same area in the western part of the Iberian Peninsula.",,[]
