term,source_1,source_2,source_3,wm
mulat,"['mens', 'Mulat']",[],"['kind van één blanke en één zwarte ouder', 'mulat']","[""De term ‘halfbloed’ is net als 'volbloed' ontstaan in samenhang met de 18de\xad- en 19de\xad-eeuwse ideeën over rassenverschillen. Dit waren  de hoogtijdagen van de raciale wetenschappen, die gebaseerd waren op het idee van het bestaan van biologische verschillen tussen rassen (zie: Ras). Bloed, zo dacht men toen, was de drager van hiërarchische eigenschappen, waarbij het ene soort bloed superieur was aan andere soorten. De term wordt meestal gebruikt voor mensen met een gemengde afkomst, namelijk wit en Europees, en niet\xad-wit. De term is vergelijkbaar met andere termen (uit deze lijst), zoals ‘mulat’ en ‘mesties’."", ""Sinds de 17de eeuw verwijst ‘mulat’ naar de eerste generatie nakomelingen van een niet\xad-witte persoon en een witte persoon. De term is afgeleid van het Latijnse woord ‘mulus’ (muilezel), dat het hybride nageslacht van een paard en een ezel is. Net als de raciale wetenschappen waaruit de term voortkwam, suggereert ‘mulat' een fundamenteel verschil tussen twee menselijke soorten. Dit resulteert, net als bij de muilezel, in een abnormaal nageslacht waarvan verondersteld wordt dat het onvruchtbaar is. Er werd gedacht dat mulatten de ‘verschrikkingen’ van vermenging vertegen\xad woordigden (zie: Halfbloed), maar vanwege hun zogenaamd witte bloed vond men dat ze intelligenter waren - \xaden vaak aantrekkelijker \xad- dan Zwarte mensen. Tegenwoordig komen dergelijke ideeën nog steeds op subtiele manier terug in het dagelijks taalgebruik.""]"
gehandicapte,"['persoon', 'gehandicapte']","['invaliden', 'gehandicapte', 'gehandicapten', 'Zij die gebukt gaan onder een lichamelijke of geestelijke belemmering die hen kan beperken in hun mogelijkheden om te voldoen aan de eisen van het dagelijks leven.']","['lichamelijk/geestelijk gehandicapte', 'de integratie van gehandicapten', '[zwaar/licht] gehandicapten', 'gehandicapte', 'iemand met een handicap', 'voorzieningen voor gehandicapten', 'een instelling voor geestelijk gehandicapten']","[""‘Handicap’ is een overkoepelende term om verschillende vormen van geestelijke of lichamelijke beperkingen te beschrijven. In de afgelopen jaren is de term vooral in West\xad-Europa en de Verenigde Staten steeds meer vervangen door ‘beperking’. Aan het begin van de twintigste eeuw werd de term ‘handicap' gebruikt om iemands ‘gebrek’ of onvermogen om ‘normaal’ te functioneren aan te duiden. Vanaf de jaren zeventig werden dit concept en daaraan gerelateerde woorden steeds meer bekritiseerd. Activisten voerden aan dat een beperking geen individueel probleem was dat moest worden verholpen, maar dat het de samenleving was die het leven met een beperking tot een probleem maakte. Mensen wilden niet langer aangesproken worden als ‘gehandicapten', maar als ‘mensen met een beperking’.""]"
blank,[],[],[],"['In Nederland wordt ‘blank’ vaak in plaats van ‘wit’ gebruikt (zie: Wit). De term wordt gebruikt als identiteitscategorie en deelt zijn genealogie met andere termen, zoals bijvoorbeeld Zwart (afkomstig uit het Latijn). De term komt voort uit de raciale wetenschappen in de 18de en 19de eeuw. Van Dale definieert ‘blank’ onder andere als “niet bevlekt” en “niet gekleurd” (zie: Wit, Zwart en Mensen van kleur). De associatie met zulke ‘neutrale’ en zelfs positieve connotaties van het woord heeft tot kritiek geleid van de antiracisme\xadbeweging, die er voor pleit om de term te vervangen door de term ‘wit’.', '‘Wit’ is lange tijd gebruikt om een raciale identiteit te beschrijven op basis van huidskleur, meestal voor bepaalde groepen Europeanen en hun emigrantenpopulatie over de hele wereld. De term wordt geassocieerd met de raciale wetenschappen in de 18de en 19de eeuw. ‘Wit’ is een ideologische categorie die onder meer geassocieerd wordt met Europa’s imperiale expansie. De term heeft de connotatie gekregen van vooruitgang, verfijning en ontwikkeld. Sinds het einde van de 20ste eeuw is er echter aanhoudende kritiek op deze sociale constructie van wit\xad-zijn als norm. Men verzet zich tegen ‘wit’ als identiteitscategorie, die ontstaan is als een rechtvaardiging en bekrachtiging van het discrimineren van niet\xadwitte mensen. In Nederland is er naast de toenemende kritiek op wit\xadzijn discussie over de vraag of men het woord ‘wit’ of ‘blank’ (zie: Blank) moet gebruiken.']"
dwerg,"['mens', 'dwerg']","['dwerg', 'Personen die uitzonderlijk klein van gestalte zijn.', 'dwergen']","['in de groei belemmerd persoon', 'mini-', 'dwerg-', 'dwerg', 'lilliputter', 'iemand met zeer korte armen en benen']","[""Dwerggroei (Achondroplasie) is een medische of genetische aandoening van kleine mensen. Als de term ‘dwerg' niet binnen de medische context wordt gebruikt, wordt het als een belediging opgevat. De term ‘dwerg’ wordt in het Nederlands gebruikt sinds de 14de eeuw. Toen had het de connotatie van monsterlijk. Satirische verbeeldingen van kleine mensen komen vaak voor in (de geschiedenis van) Europese kunst, literatuur en film. In 19de en vroeg 20ste\xadeeuwse koloniale tentoonstellingen, freak shows en circussen werden mensen met dwerggroei gezien als abnormaal ‘anders’, in sommige opzichten vergelijkbaar met de raciale verbeelding van gekoloniseerde mensen. Vergelijkbare beledigende termen zijn ‘lilliputter’ en ‘pygmee’""]"
tweede wereld,"['groep', 'tweede wereld']",[],[],"[""Hoewel de term ‘Derde Wereld’ nog steeds voorkomt in alledaags taalgebruik, wordt het beschouwd als een overblijfsel van de Koude Oorlogspolitiek. De wereld werd toen verdeeld in drie groepen op basis van politieke en economische oriëntaties of allianties. De term ‘Eerste Wereld’ beschrijft de Verenigde Staten en hun bond\xad genoten, waaronder Japan, Canada en landen in West\xadEuropa, terwijl landen die deel uitmaakten van het communistische blok, inclusief China, USSR, Cuba en landen in Oost\xadEuropa, de ‘Tweede Wereld’ vormden. ‘Derde Wereld’ werd voor het eerst gebruikt (in een artikel van Alfred Sauvy in 1952) om die landen te beschrijven die politiek georiënteerd waren op de Eerste noch de Tweede Wereld. De term werd ook een economische indeling, die werd gebruikt om te verwijzen naar de armste landen en regio's van de wereld. Dit omvatte landen in Azië, Afrika, Latijns\xadAmerika en het Caribisch gebied, waarvan er velen voorheen door Europa waren gekoloniseerd. Steeds meer mensen vinden dat de term niet langer geschikt is, omdat het geen nauwkeurige beschrijving is van de complexiteit van de wereld en omdat het een verdeling van de wereld suggereert in westerse superioriteit en niet\xadwesterse inferioriteit.""]"
gekleurd,[],[],[],"['‘Gekleurd’ is een controversiële term waarmee iemand (of een groep mensen) wordt beschreven met een gemengde afkomst: wit Europees enerzijds en niet\xad-wit anderzijds, bijvoorbeeld mensen van Afrikaanse of Aziatische afkomst. In sommige gevallen wordt de term gebruikt voor Zwarte mensen. ‘Gekleurd’ kent verschillende gebruiksgeschiedenissen en betekenissen over de wereld, maar wordt over het algemeen als beledigend beschouwd. In Zuid\xad-Afrika beschrijft de term bijvoorbeeld iemand van gemengde afkomst, waaronder Khoisan, Maleis en Wit. In de VS werd de term voorheen vooral gebruikt voor Zwarte mensen of de Zwarte gemeenschap, en is restrictiever dan de vergelijkbare term ‘iemand/mensen van kleur’. In Nederland wordt de term eveneens voor Zwarte mensen of mensen van gemengde afkomst gebruikt. Er bestaan verschillende aan elkaar verbonden varianten op de term, zoals ‘gekleurd’, ‘met een kleurtje’ of ‘met een donkerdere huidskleur’. Het gebruik hiervan grijpt terug op het raciale idee van witheid als norm, en de termen worden steeds meer beschouwd als ongepast en denigrerend. Steeds meer mensen omarmen de Amerikaanse identiteitscategorie ‘iemand/mensen van kleur’ (in het Engels afgekort tot POC). De categorie ‘Zwarte en niet\xad-Zwarte mensen van kleur’ wordt tegen\xadwoordig ook steeds vaker gebruikt om niet\xad-witte mensen te omschrijven. Hoewel de termen ‘Zwart’ en ‘mensen van kleur’ voor velen algemeen aanvaardbare termen blijven, is het beter om die termen te gebruiken die mensen zelf gebruiken en respectvol vinden.']"
ontdekken,[],[],"['vinden', 'ontdekken', 'opsporen', 'detecteren', 'na zoeken ontdekken']","['De term ‘ontdekken’ kan op een neutrale manier worden gebruikt, bijvoorbeeld in een zin zoals: ik heb ontdekt (ben erachter gekomen) hoe dit werkt. Wanneer het echter gebruikt wordt om te suggereren dat een plaats niet bestond, niet bekend was bij Europeanen of niet bewoond werd voorafgaand aan de aanwezigheid van Europeanen, is het echter allesbehalve neutraal. Bijvoorbeeld: “Bijna 40 jaar na de ontdekking van ‘Amerika’ in 1492 door Columbus, gaf dit kunstwerk een van de vroegste afbeeldingen weer van het nieuwe continent.” Een tekst als deze is pejoratief, omdat het impliceert dat er voorafgaand aan Columbus’ ‘ontdekking’ geen kunst, mensen noch samenlevingen bestonden op het continent.']"
kaukasisch,"['mens', 'Kaukasisch ras', 'menselijk ras']",['Kaukasisch'],[],"['‘Mongool’ is een ouderwetse en aanstootgevende term die wordt gebruikt als verwijzing naar een zogenaamd raciaal type enerzijds en mensen met de genetische conditie Downsyndroom anderzijds. De term in zijn raciale definitie kwam voort uit de 18de en 19de\xad-eeuwse studies naar raciale verschillen. Het Mongoloïde of Mongoolse ras werd als overkoepelende term gebruikt voor verschillende inheemse volken in Oost\xad-Azië, Zuidoost\xad-Azië en de Arctische regio’s in Noord\xad-Amerika. De term is ouderwets en wordt in sommige situaties beschouwd als beledigend, zoals dat ook het geval is met de andere zogenaamde rassencategorieën ‘Kaukasisch’ en ‘neger’ (zie: Kaukasisch en Neger). De term wordt ook gebruikt voor mensen met het Downsyndroom, omdat hun gelaatstrekken een gelijkenis zouden vertonen met die van mensen van het zogenaamde Mongoolse ras. Vandaag de dag wordt de term als scheldwoord gebruikt voor mensen die ten onrechte worden beschouwd als achterlijk.', 'De term ‘Kaukasisch’ verwees oorspronkelijk naar de volken uit de Kaukasus, maar werd later in gebruik genomen als een raciale benaming voor witte Europeanen. Dit gebeurde onder invloed van het antropologische werk van J.F. Blumenbach (1752\xad-1840). In de 20ste eeuw gebruikten leden van de nazipartij de term om hun superioriteit te verklaren. In Nederland zien we de term vooral in museumdatabases maar in andere landen – zoals de VS – komt het vaak voor in het dagelijks taalgebruik. De term krijgt steeds meer kritiek vanwege de raciale oorsprong.']"
slaaf,"['bezigheid', 'persoonlijk eigendom', 'staat', 'product', 'gevangene', 'sociale klasse', 'tot slaaf gemaakte']","['slaven', 'Personen die worden behandeld als een bezit en totaal ondergeschikt zijn aan een ander persoon door gevangenneming, aankoop of geboorte.', 'slaaf']","['slaaf', 'iemand die eigendom is v.e. ander', 'iemand tot slaaf maken', 'slavin', 'lijfeigene', 'heloot']","['De term ‘slaaf’ wordt gebruikt om iemand te beschrijven die het wettelijke eigendom is van een ander en moet gehoorzamen, vaak afgedwongen met geweld. De term zelf verwijst naar verschillende vormen van onvrijheid, met verschillende betekenissen en consequenties door de tijd (en plaats) heen. In de 6de eeuw betekende sklabos (Grieks) bijvoorbeeld een onvrij persoon van Slavische afkomst, terwijl sclavus in het middeleeuwse Latijn juist de meer algemene betekenis had van ‘een persoon die eigendom is van een ander’. Vandaag de dag wordt de term gebruikt voor mensen uit Afrika die door Europeanen gekocht/gevangen genomen werden en vervolgens gedwongen werden om onder onmenselijke omstandigheden op koloniale plantages te werken. Recent wordt de term gebruikt om de slachtoffers van hedendaagse mensenhandel of dwangarbeid te beschrijven. De term ‘slaaf’ wordt steeds meer betwist door activisten, weten\xad schappers en het publiek. Men vindt dat het gebruik van de term ‘slaaf’ een categorie normaliseert die niet inherent is aan iemands identiteit. De categorie werd onder geweld en dwang opgelegd, en was dus geen eigen keuze. Bovendien erkent de term ‘slaaf’ iemands menselijkheid niet, maar reduceert diegene tot niets meer dan iemands eigendom.']"
homoseksualiteit,"['niet-heteroseksueel', 'monoseksualiteit', 'homoseksualiteit', 'relatie met iemand van hetzelfde geslacht', 'seksuele geaardheid']","['homoseksualiteit', 'Seksualiteit die wordt gekenmerkt door romantische gevoelens of seksueel verlangen naar hetzelfde geslacht.']","['bestialiteit', 'homofilie', 'sodomie', 'homoseksualiteit', 'seksuele geaardheid v.e. homofiel', 'zoöfilie', 'tegennatuurlijk seksueel gedrag']","[""‘Homoseksueel’ is een medische en juridische term waarmee verwezen wordt naar niet\xad-heteroseksuele seksualiteit. De term als zodanig werd halverwege de 19de eeuw uitgevonden als een abnormale identiteitscategorie om mensen te onderscheiden die seksuele handelingen verrichtten met iemand van hetzelfde geslacht. Homoseksualiteit is, en wordt nog steeds op verschillende plaatsen in de wereld beschouwd als zondig, crimineel of een geestesziekte. De term wordt soms geringschattend of als scheldwoord gebruikt, en dan vooral in de afkorting ‘homo'.""]"
zigeuner,"['pejoratief', 'zigeuner', 'inwonersnaam', 'overkoepelende term']",[],"['Roma', 'hij is een echte zigeuner', 'er uitzien als een zigeuner', 'zigeunerin', 'zigeuner', 'gipsy', 'een kamp/standplaats van zigeuners', 'lid v.e. rondtrekkend volk']","['De term ‘zigeuner’ wordt meestal gebruikt als verwijzing naar iemand van een reizend volk, met name de Roma. De Roma bestaan uit verschillende groepen. In samenhang met hun rondreizende bestaan en vanwege hun verleden van (gedwongen) migratie, blijft de negatieve stereotypering van de Roma als dieven en zwervers bestaan. De Roma beschouwen de term ‘zigeuner’ als denigrerend en in de jaren 1970 hebben ze daarom gezamenlijk en officieel besloten om zichzelf ‘Roma’ te noemen.']"
