N,term NL,term EN,page NL,page EN,explanation NL,explanation EN,preferred alternative NL,preferred alternative EN,links to,links to 2,links to 3,links to 4,links to 5,links to 6,links to 7,links to 8,links to 9,links to 10
11,Dwerg,Dwarf,104.0,104.0,"Dwerggroei (Achondroplasie) is een medische of genetische aandoening van kleine mensen. Als de term ‘dwerg' niet binnen de medische context wordt gebruikt, wordt het als een belediging opgevat.
De term ‘dwerg’ wordt in het Nederlands gebruikt sinds de 14de eeuw.
Toen had het de connotatie van monsterlijk.
Satirische verbeeldingen van kleine mensen komen vaak voor in (de geschiedenis van) Europese kunst, literatuur en film. In 19de en vroeg 20ste­eeuwse koloniale tentoonstellingen, freak shows en circussen werden mensen met dwerggroei gezien als abnormaal ‘anders’, in sommige opzichten vergelijkbaar met de raciale verbeelding van gekoloniseerde mensen.
Vergelijkbare beledigende termen zijn ‘lilliputter’ en ‘pygmee’","Dwarfism (Achondroplasie or dwerggroei in Dutch) is a medical or genetic condition for people of short stature. When used outside of a medical context the term is considered offensive.
The term dwarf entered the Dutch language in the 14th century, when it had the connotation of monstrous.
Satirical portrayals of people of short stature can often be found in (the history of) European art, literature, and film. In 19th- and early 20th-century colonial exhibitions, freak shows, and circuses, dwarfism was seen as a form of being abnormally “other” in very similar ways to the representation of formerly colonized and racialized people.
Similar demeaning or insulting terms are “lilliputian” and “pygmy”.","•	‘Dwerg’ is van toepassing indien gebruikt in een medische diagnose of beschrijving. In andere gevallen, gebruik ‘van kleine lengte’, ‘kleine mensen’ of ‘iemand met dwerggroei’.
•	‘Dwerg’ en ‘pygmee’ kunnen gebruikt worden in een historische of beschrijvende context. Gebruik in dat geval aanhalingstekens.","•	“Dwarf”; applicable only in a medical diagnosis or in a descriptive context. Otherwise, use “a person of short stature,” “little person” or ‘someone with dwarfism.”
•	“Dwarf” and “pygmy” can be used in a historical or descriptive context. In this case, use quotation marks.",46,,,,,,,,,
12,Eskimo,Eskimo,105.0,105.0,"De term ‘Eskimo’ (Esquimaux) verwijst naar de verschillende inheemse mensen in de (sub­)Arctische regio’s in Noord­Amerika, Groenland en Noordoost­Siberië. De term is nooit algemeen gebruikt door leden van de gemeenschap om zichzelf in hun eigen taal te beschrijven, omdat ze hun eigen inheemse termen hanteren.
Men is het niet eens over de taalkundige oorsprong van het woord; sommigen beschouwen de term als een Franse of Engelse versie van een inheemse term. Vandaag de dag wordt de term beter aanvaard in Alaska dan in Canada en Groenland, waar andere termen de voorkeur hebben en ‘Eskimo’ een pejoratieve betekenis heeft.
De term komt nog maar zelden voor in officiëel gebruik. Het is niet eenvoudig om een alternatieve, overkoepelende term te vinden voor alle groepen in het Noordpoolgebied, hoewel ‘Eskimo­Aleut’ gebruikt wordt om de taalfamilie te beschrijven.","The term “Eskimo” (Esquimaux) refers to the diverse Indigenous peoples of Arctic and sub-Arctic North America, Greenland and Northeastern Siberia. The term has never been commonly used by community members to describe themselves in their own language, as they would use their own indigenous terms.
There is no general acceptance on the linguistic origins of the term. Some regard the term as a French or English version of an indigenous term. Today there is better acceptance of the term in Alaska than in Canada or Greenland, where other terms are preferred and Eskimo is seen to have a pejorative meaning.
The term has now largely passed out of official use. Deciding on another broad term that describes all groups who live in the circumpolar north is not straightforward, although Eskimo-Aleut is used to describe the linguistic group.","Gebruik terminologie die de groepen zelf gebruiken en respectvol vinden. Voorbeelden zijn:
•	de Iñupiat mensen van Noord­Alaska
•	de Inuit mensen van Canada
•	de Kalaallit van Groenland
•	de Yup’ik: bijvoorbeeld de Centraal­Alaskaanse volken van de Yukon­Kuskokwim delta, de Kuskokwim rivier en de Bristolbaai in Alaska
•	de Alutiiq (of Suqpiaq) van het Alaska­schiereiland en de kust­ en eilandgebieden in Zuid­Centraal Alaska
•	Yupighyt: de Inuit van Siberië","Adopt the terminology used and accepted as respectful by the people themselves.
Examples include:
•	the Iñupiat peoples of northern Alaska
•	the Inuit peoples of Canada
•	the Kalaallit of Greenland
•	the Yup’ik: i.e. the Central Alaskan people of the Yukon-Kuskokwim delta, the Kuskokwim River, and coastal Bristol Bay in Alaska
•	the Alutiiq (or Suqpiaq) people of the Alaska Peninsula and coastal and island areas of southcentral Alaska
•	Yupighyt: the Inuit of Siberia",1,23.0,26.0,,,,,,,
13,Etniciteit,Ethnicity,106.0,106.0,"‘Etniciteit’ verwijst naar de gedeelde sociale, culturele of historische ervaringen en praktijken van een groep mensen, bijvoorbeeld taal, religie of kleding, en meestal een nationale of regionale achtergrond. Mensen die deze kenmerken met elkaar delen, worden gezamenlijk omschreven als ‘etnische groep’.
Hoewel dit een neutrale categorie lijkt te zijn, wordt het vaak gebruikt voor iemand of iets dat afwijkt van de norm of buitenlands is. Denk bijvoorbeeld aan ‘etnisch eten’ of ‘etnische muziek’. Wanneer het over mensen gaat, wordt de term normaal gesproken geassocieerd met minderheidsgroepen. Iedereen heeft echter een etnische identiteit.
Etniciteit wordt soms verward met ras en door velen ten onrechte gebruikt als een alternatieve term, waar de verwijzing naar biologische verschillen omzeild wordt (zie: Ras).","“Ethnicity” refers to the shared social, cultural or historical experiences and practices of a group of people, for example, language, religion or dress, and usually a national or regional background. “Ethnic group” describes the people having these shared features.
While it may seem a neutral category it often is used to describe something or someone different from the norm or foreign, for example in “ethnic food” or “ethnic music.” When used to describe people, the term is normally associated with minority groups, although everyone has an ethnic identity.
“Ethnicity” is sometimes confused with race and is incorrectly used by many as an alternative term, sidestepping the reference in race to biological differences.","•	‘Etniciteit’ en ‘etnische groep’ moeten met voorzichtigheid gebruikt worden.
•	De term moet niet verward worden met ras",•	“Ethnicity” and “ethnic groups” should be used with caution. The term should not be confused with. The term should not be confused with race.,2,3.0,48.0,,,,,,,
14,Exotisch,Exotic,107.0,107.0,"De term ‘exotisch’ komt van het oude Griekse woord ‘exōtikós’, wat letterlijk ‘van buitenaf’ betekent. In het Nederlands heeft het altijd buitenlands/vreemd betekent. De term is vervlochten geraakt met het concept van de (raciale en seksuele) ‘ander’.
De term ‘exotisch’ wordt vaak gebruikt om planten en dieren te beschrijven, maar wordt ook gehanteerd wanneer het over mensen (meestal mensen van kleur) gaat. In dat geval heeft het de connotatie anders te zijn dan de norm, vooral met betrekking tot iemands uiterlijk, maar ook naam. Soms heeft het een sensuele connotatie.","This term is derived from the Ancient Greek word “exōtikós,” literally meaning “from the outside.” It entered the Dutch language with the meaning of foreign/alien, which it still has today. The term has become intertwined with ideas about the (racialized and sexualized) Other.
The term “exotic” is commonly used to describe plants and animals, but is also used for people (usually people of color), where it has a connotation of being different from the norm, especially in reference to appearance and name (for example “what an exotic name!”). Sometimes it has a sensual connotation.","•	De term is van toepassing wanneer het verwijst naar plant­ en diersoorten, maar wordt over het algemeen betwist als omschrijving van mensen.","•	Applicable when referring to plant and animal species. It is, however, contested to use the term to describe people.",43,,,,,,,,,
15,Gay,Gay,108.0,108.0,"‘Gay’ is een veelgebruikte term om te verwijzen naar niet­heteroseksuele seksualiteit, vooral mannen. ‘Gay’ heeft de voorkeur boven de algemene medische en juridische term ‘homoseksueel’ (zie: Homo).
Hoewel ‘gay’ in het Nederlands door mensen wordt gebruikt om zichzelf te beschrijven, wordt de term in de dagelijkse context vaak door anderen gebruikt met een negatieve bedoeling. Ook ‘homo’ wordt gebruikt als een scheldwoord.","“Gay” is a commonly used term to refer to non-heterosexual sexualities, especially men. “Gay” is preferable to the more medical and legal term of “homosexual” (see also “Homosexual”).
While “gay” is adopted by some people as a form of self- identification, the term is in some day-to-day contexts used in a derogatory way. Additionally, “homo” is used as a curse word.","•	De term is geschikt wanneer deze op een respectvolle manier gebruikt wordt.
•	Gebruik termen en voornaamwoorden die mensen acceptabel en respectvol vinden om zichzelf te beschrijven.","•	The term is appropriate when used respectfully.
•	Use terms and pronouns that people find acceptable and respectful for describing themselves.",20,47.0,,,,,,,,
16,Gekleurd,Colored,109.0,99.0,"‘Gekleurd’ is een controversiële term waarmee iemand (of een groep mensen) wordt beschreven met een gemengde afkomst: wit Europees enerzijds
en niet­wit anderzijds, bijvoorbeeld mensen van Afrikaanse of Aziatische afkomst. In sommige gevallen wordt de term gebruikt voor Zwarte mensen. ‘Gekleurd’ kent verschillende gebruiksgeschiedenissen en betekenissen over de wereld, maar wordt over het algemeen als beledigend beschouwd.
In Zuid­Afrika beschrijft de term bijvoorbeeld iemand van gemengde afkomst, waaronder Khoisan, Maleis en Wit. In de VS werd de term voorheen vooral gebruikt voor Zwarte mensen of de Zwarte gemeenschap, en is restrictiever dan de vergelijkbare term ‘iemand/mensen van kleur’. In Nederland wordt de term eveneens voor Zwarte mensen of mensen van gemengde afkomst gebruikt. Er bestaan verschillende aan elkaar verbonden varianten op de term, zoals ‘gekleurd’, ‘met een kleurtje’ of ‘met een donkerdere huidskleur’. Het gebruik hiervan grijpt terug op het raciale idee van witheid als norm, en de termen worden steeds meer beschouwd als ongepast en denigrerend.
Steeds meer mensen omarmen de Amerikaanse identiteitscategorie ‘iemand/mensen van kleur’ (in het Engels afgekort tot POC).
De categorie ‘Zwarte en niet­Zwarte mensen van kleur’ wordt tegen­ woordig ook steeds vaker gebruikt om niet­witte mensen te omschrijven. Hoewel de termen ‘Zwart’ en ‘mensen van kleur’ voor velen algemeen aanvaardbare termen blijven, is het beter om die termen te gebruiken die mensen zelf gebruiken en respectvol vinden.","“Colored” is a controversial term normally used to describe a person or a group of people with mixed White European and non-White, for example, someone of African or Asian, ancestry. In some cases the term is also used to describe a Black person. The term has different histories of use and meanings within different parts of the world, but is generally regarded as derogatory today.
Within South Africa, for example, the term describes someone of mixed ancestry, including Khoisan, Malay, and White. Within the USA the term was used historically to refer primarily to a Black person or the Black community, and is more restrictive than the similar term “person(s)/people of color”.
In the Netherlands, the term is used similarly to describe a Black person, or someone of mixed ancestry, with several interrelated Dutch language terms for these identity categories such as: colored (gekleurd), having a bit of color (met een kleurtje) or with a darker skin colour (met een donkerdere huidskleur). The use of these terms harkens back to a racialised idea of whiteness as the norm. These different Dutch terms are all increasingly regarded as inappropriate and derogatory.
There is growing acceptance by many for the use of the American identity category “person(s) of color” or “people of color”, abbreviated POC.
There is also the more recently emerging group category to more broadly describe non-White people, which is “Black and Non-Black People of Color”.
While the terms “Black”, and “person(s) of color” remain generally acceptable terms for many, using the terms that the persons themselves find respectful and acceptable is advised.","•	‘Iemand van kleur' of ‘mensen van kleur'
•	Het is beter om termen te gebruiken die mensen zelf gebruiken en respectvol vinden.
•	‘Gekleurd’ kan gebruikt worden in een historische of beschrijvende context. Gebruik in dat geval aanhalingstekens.
•	‘Zwarte en niet­Zwarte mensen van kleur’ kan gebruikt worden, maar met voorzichtigheid.","•	Person(s) of Color or People of Color
•	Use terms that people find respectful and acceptable for others to call them.
•	Colored can be used in a historical or descriptive context, between quotation marks.
•	Black and Non-Black person(s) of color can be used, but with caution",7,38.0,48.0,55.0,57.0,,,,,
17,Halfbloed,Half-blood,110.0,110.0,"De term ‘halfbloed’ is net als volbloed’ ontstaan in samenhang met    de 18de­ en 19de­eeuwse ideeën over rassenverschillen. Dit waren  de hoogtijdagen van de raciale wetenschappen, die gebaseerd waren op het idee van het bestaan van biologische verschillen tussen rassen (zie: Ras). Bloed, zo dacht men toen, was de drager van hiërarchische
eigenschappen, waarbij het ene soort bloed superieur was aan andere soorten.
De term wordt meestal gebruikt voor mensen met een gemengde afkomst, namelijk wit en Europees, en niet­wit.
De term is vergelijkbaar met andere termen (uit deze lijst), zoals ‘mulat’ en ‘mesties’.","This term, like “full blood” and “half-breed,” emerged in association with 18th- and 19th-century ideas of racial difference. In this period, racial sciences, based on the idea of biologically different races, were at their peak (see also “Race”). Blood, it was thought then, was also regarded as carrying hierarchical traits, with some blood being superior to others.
The term is usually applied to someone of mixed White European and Non-White descent.
This term is similar to other terms (in this list) such as “mulatto” and “mestizo”.","•	In de Amerikaanse en Britse context wordt ‘mixed race’ gebruikt in plaats van deze term. Dit is echter niet gebruikelijk in Nederland.
•	‘Van gemengde afkomst’ of simpelweg ‘gemengd’ zijn geschiktere termen","•	In the US and UK contexts, “mixed race” is used in place of this term. This is, however, not common in the Netherlands.
•	Identity markers such as “mixed heritage” and “mixed ethnicity” or “of mixed descent” are more appropriate.",25,39.0,48.0,,,,,,,
18,Handicap,Disabled,111.0,102.0,"‘Handicap’ is een overkoepelende term om verschillende vormen van geestelijke of lichamelijke beperkingen te beschrijven. In de afgelopen jaren is de term vooral in West­Europa en de Verenigde Staten steeds meer vervangen door ‘beperking’. Aan het begin van de twintigste eeuw werd de term ‘handicap' gebruikt om iemands ‘gebrek’ of onvermogen om ‘normaal’ te functioneren aan te duiden. Vanaf de jaren zeventig werden dit concept en daaraan gerelateerde woorden steeds meer bekritiseerd. Activisten voerden aan dat een beperking geen individueel probleem was dat moest worden verholpen, maar dat het de samenleving was die het leven met een beperking tot een probleem maakte. Mensen wilden niet langer aangesproken worden als ‘gehandicapten', maar als ‘mensen met een beperking’.","Disabled, like the word “handicap”, is an umbrella term to describe varying forms of intellectual to physical impairments. In recent years, “disability” has replaced “handicap” in much of Western Europe and the United States. At the beginning of the twentieth century, the term “handicap” was used to describe a person’s “deficit” or inability to function “normally.” Beginning in the 1970s this concept of “deficit” and related words like “handicapped” became increasingly contested. Activists argued that a disability was not an individual problem to solve, but a social construct that made living with an impairment
into a problem. People no longer wanted to be called “the disabled,” but rather “disabled people” (UK) or “people with disabilities” or “differently abled” (US).",Mensen met een beperking,"•	Disabled people
•	People with disabilities
•	Differently abled",,,,,,,,,,
19,Hermafrodiet,Hermaphrodite,112.0,112.0,"‘Hermafrodiet’ wordt gezien als een ouderwetse en stigmatiserende term, die mensen pathologiseert die geboren zijn met de geslachtsorganen van beide geslachten ",“Hermaphrodite” is regarded as outdated and stigmatizing term that pathologizes people born with sexual organs from both sexes.,"•De voorkeur gaat uit naar de overkoepelende term ‘intersekse’, bijvoorbeeld ‘intersekse persoon’ of ‘persoon met een intersekse­ conditie'.","The umbrella term “intersex,” for example “intersex condition” or “intersex person” is preferred",,,,,,,,,,
20,Homo,Homosexual,113.0,113.0,"‘Homoseksueel’ is een medische en juridische term waarmee verwezen wordt naar niet­heteroseksuele seksualiteit. De term als zodanig
werd halverwege de 19de eeuw uitgevonden als een abnormale identiteitscategorie om mensen te onderscheiden die seksuele handelingen verrichtten met iemand van hetzelfde geslacht.
Homoseksualiteit is, en wordt nog steeds op verschillende plaatsen in de wereld beschouwd als zondig, crimineel of een geestesziekte. De term wordt soms geringschattend of als scheldwoord gebruikt, en dan vooral in de afkorting ‘homo'.","“Homosexual” is a medical and legal term to refer to non-heterosexual sexualities. The term as such was invented in the mid-19th century as an abnormal identity category to distinguish a person who engaged in sexual acts with another of the same sex.
Homosexuality has been and continues to be considered sinful, a mental illness or even criminal in several places across the world. The term, and its abbreviated form homo is sometimes used as derogatory or curse word.","•	Om stigmatisering van niet­heteroseksuele identiteiten te voorkomen en recht te doen aan de veelheid aan seksuele diversiteit verdient
het de voorkeur om van de gemeenschap afgeleide beschrijvingen te gebruiken, zoals ‘lesbisch’, ‘gay’ en ‘biseksueel’.
•	Kies ook voor cultureel­specifieke namen als ‘Two­Spirit’ (zie artikel Steinbock).","•	To avoid stigmatization of non-heterosexual identities and to do justice to the plurality of sexual diversity, using community-derived descriptors like “lesbian,” “gay” and “bisexual” is preferred.
•	Choose culturally specific names such as Two-Spirit.",15,47.0,,,,,,,,
21,Hottentot,Hottentot,114.0,114.0,"De term ‘Hottentot’ verwijst naar de Khoikhoi volken in het westen van Zuid­Afrika. Het is een Nederlandse koloniale term die voor het eerst werd gebruikt in de 17de eeuw en die gebaseerd was op een imitatie van de klank van de taal van de Khoikhoi.
‘Hottentot’ had de connotatie van cultureel achterlijk of primitief, stereotypen die werden gecreëerd in de vroege koloniale periode. In de 19de eeuw werden Khoikhoi mensen met geweld uitgebuit. Ook
werden ze tentoongesteld, als illustratie van een primitief type. Eerst als entertainment, maar later in het kader van wetenschappelijke koloniale kennis.
Een bekend voorbeeld was de zogenaamde Hottentot Venus, Sarah Baartman, die vanaf 1810­1815 in Europa werd getoond. Haar stoffelijk overschot werd tot 1974 in een Frans museum tentoongesteld en pas in 2002 teruggebracht naar Zuid­-Afrika.","This term refers to the Khoikhoi people, who live in the western part of South Africa. It is a Dutch colonial term, first used in the 17th century, and was based on an imitation of the sound of the Khoikhoi language.
The term “Hottentot” connoted culturally backward or primitive, stereotypes that were created in the early colonial period. In the 19th century, Khoikhoi people were violently exploited. They were also put on display, as an example of a primitive type, initially as entertainment but later as part of scientific colonial knowledge.
One well-known example was the so-called Hottentot Venus, Sarah Baartman, who was displayed in Europe from 1810–1815. Her remains were displayed in a French museum until 1974. Baartmans remains were returned to South Africa in 2002.",Khoisan (volk),Khoisan (people),22,33.0,45.0,,,,,,,
22,Inboorling,Inboorling,115.0,115.0,"‘Inboorling’ wordt vanaf de 13de eeuw in Nederland gebruikt en deelt zijn betekenis ­ iemand geboren in het land ­ met de term ‘Inlander'. Het is echter een overdrijvende vorm ervan, en heeft de connotaties van primitief en wild.
In het begin van de 19de eeuw werd de term door sommige mensen gebruikt om alle Indonesiërs te beschrijven, maar later werd het uitsluitend toegepast op zogenaamde stammen in Nederlandse koloniën. In de Koloniale Tentoonstelling van 1883 in Amsterdam werd de term ‘inboorlingen’ bijvoorbeeld gebruikt om volken uit zowel Indonesië als Suriname te beschrijven. In Suriname zelf werd het nooit gebruikt om de inheemse volken te omschrijven.
Tegenwoordig wordt de term vooral geassocieerd met mensen die als primitief worden beschouwd.","“Inboorling” was used in the Netherlands from the 13th century onwards, and shares a basic meaning—someone born in the land—with the term “native.” It is, however, a more exaggerated form of native, having the connotations of primitive and wild.
In the early 19th century, it was used by some to describe all Indonesians, but it later was ascribed only to so-called tribal peoples in the Dutch colonies. In the Colonial Exhibition of 1883 in Amsterdam, the term “inboorlingen,” for example, was used to describe peoples both from Indonesia and Suriname. In Surinam itself it was never used to describe the Indigenous peoples.
Today the term is mostly associated with people who are considered to be primitive.",Zie suggesties bij 'Inlander',"•	The term is old-fashioned, and therefore it is not recommended for use in contemporary context.
•	The term can be used in a descriptive or historical context, in which case we suggest the use of quotation marks",21,27.0,33.0,45.0,,,,,,
23,Indiaan,Indian,116.0,116.0,"Toen Christopher Columbus in de 16de eeuw aankwam in Amerika, noemde hij de inwoners ‘Índios’ omdat hij dacht dat hij in India was aangekomen. De onjuiste benaming ‘indiaan’ werd al gauw algemeen gebruikt om de inheemse volken van Noord­Amerika te beschrijven.
Er bestaat geen consensus over het gebruik van de term. In de VS is ‘American Indian’ een term die een geschiedenis van verdeeldheid kent, maar desondanks wordt het door individuen en gemeenschappen gebruikt als een vorm van zelfidentificatie. Het blijft een sleutelbegrip voor zowel    de Amerikaanse als de Canadese overheid.
In de Spaanssprekende landen in Midden­ en Zuid­Amerika wordt ‘índio’ veelal beschouwd als problematisch en zelden of nooit gebruikt door de inheemse mensen zelf. In Brazilië wordt de term ‘índio’ in mindere mate betwist.","In the 16th century, Christopher Columbus, on encountering the Americas, called the inhabitants “Indians,” as he was under the impression that he had arrived in India. The misnomer “Indian” was soon used as a term to describe Indigenous peoples of North America.
There is no consensus for the use of the term. While in the US “American Indian” is a term with a divisive history, it is nevertheless used as a form of self-identification by individuals and communities and remains a key term for the US and Canadian Federal Governments.
In the Spanish-speaking countries of Central and South America “índio” is widely seen as problematic and is irregularly or not used by Indigenous people themselves. This is different in Brazil, where “índio” is less contested.",•	Gebruik terminologie die de groepen zelf gebruiken en respectvol vinden.,"•	Adopt the terminology used and accepted as respectful by the people themselves.
•	In this entry Indian does not refer to Indian as used to describe people from India/South Asia. In this context Indian is correct.",1,12.0,26.0,40.0,,,,,,
24,Indisch,Indisch,117.0,118.0,"De term ‘Indisch’ is in de loop van de tijd van betekenis veranderd. Hoewel de term niet altijd gevoelig is, is er vaak verwarring over het gebruik.
In de 19de eeuw verwees de term naar alles wat Indonesisch was, zoals Indische huizen, Indische dansen en de Indische bevolking. In de 20ste eeuw begon het te verwijzen naar Indo­Europese mensen en culturen (zie: Indo) en soms naar Europeanen die lang in Indonesië woonden. Aan het einde van de vorige eeuw werd deze betekenis echter door sommige mensen als te etnisch beschouwd en verworpen.
Vandaag de dag verwijst het woord ‘Indisch’ naar alles wat uit de koloniale periode in het voormalige Nederlands­Indië komt.
Indisch wordt vaak verward met Indonesisch (eten, etniciteit en cultuur) vanwege het gebruik van de term in de 19de eeuw.","The term “Indisch” has changed meaning over time. While the term is not always sensitive, there is often confusion about its use.
In the 19th century it referred to anything Indonesian, such as Indische houses, Indische dances and Indische population. In the 20th century it started to refer to Indo-European people and cultures (see also “Indo”) and sometimes to a European who lived for a long time in Indonesia. At the end of the last century, however, this meaning was considered too ethnic and rejected by some people.
Today the word “Indisch” refers to anything coming from the colonial period in the former Dutch East Indies.
Indisch is often confused with Indonesian (food, ethnicity and culture) because of the 19th-century use.","•	De term is geschikt, maar moet niet verward worden met ‘Indonesisch’.","•	The term can be used, but should not be confused with “Indonesian”.",25,40.0,,,,,,,,
25,Indo,Indo,118.0,119.0,"‘Indo’ is een afkorting van Indo­Europeaan. De term is ontstaan in het koloniale tijdperk om mensen met een Indonesische en Europese afkomst (niet alleen van Nederlandse afkomst) aan te duiden. De term werd waarschijnlijk voor het eerst gebruikt in de Nederlands taal in 1898.
De term werd al gauw impopulair vanwege de etnische en koloniale connotatie, maar is recentelijk weer in gebruik genomen als geuzennaam door jonge mensen met een Indo­Europese afkomst in Nederland.","“Indo” is an abbreviation for Indo-European. The term emerged during the colonial period to describe people of Indonesian and European descent (not restricted to the Netherlands). Arguably, the first known example of its use in the Netherlands dates to 1898.
The term rapidly lost favor due to its ethnic and colonial connotations, but has recently been adopted as a term of pride and empowerment
by people identifying as being of Indo-European heritage living in the Netherlands.",•	‘Indo­Europeaan’ is juist. De term moet niet verward worden met ‘Indonesiër’.,"•	“Indo-European” is the appropriate term, and should not be confused with Indonesian.",17,24.0,39.0,48.0,,,,,,
26,Inheems,Indigenous,119.0,117.0,"‘Inheems’ werd oorspronkelijk gebruikt als beschrijving van flora en fauna.
In de laatste paar decennia is de term echter steeds meer verworden tot een juridische categorie die verwijst naar verschillende door Europa gekoloniseerde volken.
De term zelf beschrijft een bepaalde groep mensen die de oorspronkelijke bewoners zijn van een bepaalde plek en daar lange tradities hebben ontwikkeld. Tijdens diverse koloniale projecten werd hun land ontnomen, wat vaak leidde tot (culturele) genocide.
De term ‘inheems’ is een geëmancipeerde term, deels dankzij de Verklaring over de Rechten van Inheemse Volkeren door de VN in 2007.
‘Inheems’ heeft onder meer betrekking op die mensen die gezien worden als ‘Aboriginals’, ‘First Nations’ en ‘Indianen’.","In recent decades the term “Indigenous,” which was originally used to describe flora and fauna, has increasingly become a legal category describing various peoples colonized by Europe.
The term itself describes a specific group of people who identify with a place as an original homeland and have developed longstanding traditions in that place. Under diverse colonial projects these peoples were dispossessed of their lands, which led often to (cultural) genocide.
The term ‘Indigenous’ is one of empowerment, due in part to the UN Declaration of the Rights of Indigenous Peoples (2007).
“Indigenous” encompasses those peoples traditionally referred to as “Aboriginals”, “First Nations” and “Indians” among others.","•	De term kan gebruikt worden om plant­ en diersoorten te beschrijven.
•	Het is beter om termen te hanteren die mensen zelf gebruiken en die zij respectvol vinden.","•	The term is appropriate when referring to plant and animal species.
•	When talking about specific peoples it is preferable to use the name they call themselves, rather than the generic ‘Indigenous’.",1,12.0,23.0,27.0,40.0,,,,,
27,Inlander,,120.0,,"De term ‘inlander’ wordt over het algemeen gebruikt als verwijzing naar inheemse groepen, specifiek naar die in voormalig Nederlands­Indië.
De term werd destijds gebruikt door de Nederlandse overheid als een juridische categorie. Hiermee maakte men een onderscheid tussen de mensen in de kolonie, en richtte de samenleving in volgens een op ras gebaseerd systeem.
De term is inmiddels in onbruik geraakt, maar komt nog wel voor in databases.",,"•	De term ‘Inlander' is ouderwets, en het gebruik in hedendaagse context wordt dan ook afgeraden.
•	De term kan wel gebruikt worden in een historische of beschrijvende context. Gebruik in dat geval aanhalingstekens.",,22,24.0,26.0,48.0,,,,,,
28,Islamiet,,,121.0,"Alhoewel ‘islamiet’ inhoudelijk geen onjuiste term is – het betekent namelijk de aanhangers van de islam – geven de meeste moslims de voorkeur aan de benaming ‘moslim’ omdat dit het dichtst bij de Arabische terminologie staat. In het Nederlands wordt ‘islamiet’ bovendien vaak in een negatieve context gebruikt, terwijl dat bij ‘moslim’ in mindere mate het geval is.
De term wordt vaak verward met ‘islamist', welke niet als beledigend wordt ervaren. Een islamist is iemand die zich houdt aan het islamisme, een modernistische islamitische beweging.",,Moslim,Muslim,36,,,,,,,,,
29,Jappenkampen,Jappenkampen,122.0,120.0,"De term ‘Jappenkampen’ verwijst meestal naar de Japanse kampen in Azië tijdens de Tweede Wereldoorlog, en specifiek naar de kampen in het door Japan, bezette voormalige Nederlands­Indië.
Het woord ‘Jap’ is een pejoratieve afkorting van ‘Japanner’, ofwel een Japans persoon.
‘Jappenkamp’ is ook omstreden bij sommige slachtoffers en hun nazaten, omdat zij het gevoel hebben dat de term geen recht doet aan de wreedheden die in de kampen hebben plaatsgevonden. Om die reden heeft men de term ‘Japans concentratiekamp’ als alternatief gesuggereerd.","This term generally refers to the Japanese camps in Asia during WW II and to the camps in the Japanese-occupied Dutch East Indies in particular.
The word “Jap” is a pejorative abbreviated form of “Japanese.”
The term Jappenkamp is also contested by some victims and their descendants, who feel that the term focuses more on the Japanese perpetrators rather than on the cruelties that happened in the camps. For this reason “Japanese concentration camps” has been suggested as a possible alternative.","Er bestaan meerdere alternatieven, waaronder:
•	Japans kamp
•	Japans interneringskamp
•	Japans concentratiekamp
•	Japans kamp voor krijgsgevangenen
•	Japans kamp voor militaire gevangenen (in Birma en Thailand)","Multiple alternatives exist, including:
•	Japanese camp
•	Japanese internment camp
•	Japanese concentration camp
•	Japanese prisoners of war camp
•	Japanese military prison camp (in Burma and Thailand)",,,,,,,,,,
30,Kaffer,Kaffir,123.0,121.0,"De term ‘kaffer’ komt van het Arabische ‘kafir’, dat iemand zonder religie betekent. In Zuid­Afrika werd de term in de 16de eeuw gebruikt om Zwarte mensen te omschrijven die geen moslim waren en later als verwijzing naar mensen in Zuid­Afrika die Bantoetalen spraken, voornamelijk tijdens de veroveringsoorlogen van de Oost­Kaap.
In de Afrikaanse en Engelse taal werd het al snel een label voor Zwarte mensen van Afrikaanse afkomst in het algemeen. De term kreeg zijn denigrerende connotatie tijdens de apartheid en wordt tegenwoordig beschouwd als haatzaaiende taal.
De uitzondering is een groep mensen in Sri Lanka, die afstammen van Portugese handelaren (of meer algemeen: Europeanen) en tot slaaf gemaakte Bantoevolken.","The term Kaffir derives from the Arabic term “kafir,” meaning one without religion. In South Africa, it was originally used in the 16th century to describe Black non-Muslim people and later to identify Bantu-speaking people, especially in the wars of conquest of the Eastern Cape.
In Afrikaans as in English, it soon became a label for Black people of African descent in general. The term gained its derogatory connotation during the apartheid era and is now understood as hate speech.
The exception is a group of Sri Lankan peoples with shared ancestry from Portuguese traders (or more broadly European) and enslaved Bantu peoples who refer to themselves as Kaffir","•	De term ‘kaffer’ is gepast in een historische of beschrijvende context. Gebruik in dit geval aanhalingstekens.
•	Gepast indien het verwijst naar de Sri Lankaanse Kaffers, die de term zelf als respectvol ervaren","•	The term “Kaffir” can be used in a descriptive or historical context, in which case the use of quotation marks is suggested.
•	It is appropriate when used to refer to the Sri Lankan Kaffirs, as it is a term with which the group self-identifies.",41,,,,,,,,,
