,resource,lang,lemma,entity_id,explicit_marker,value,level
37,wikidata,en,inuit,Q4532729,P2559,"Nowadays many organizations are using a broader concept ""arctic studies"" instead of ""eskimology"".",1
38,wikidata,en,black,Q1130557,P31,Q1371427,3
39,wikidata,en,black,Q1455718,P31,Q1371427,1
40,wikidata,en,black,Q67085833,P2559,"use with P1552 to indicate that a vinyl record is anything other than black in color; qualify with P5422, P462 where applicable",1
41,wikidata,en,black,Q1285250,P31,Q1371427,3
42,wikidata,en,black,Q4117010,P31,Q1371427,1
43,wikidata,en,black,Q45991,P31,Q1371427,1
44,wikidata,en,queer,Q51415,P31,Q1520214,3
45,wikidata,en,ethnic groups,Q106537557,P2559,Generally used when music genre includes the name of an ethnic group,1
46,wikidata,en,ethnic groups,Q112583744,P2559,created to avoid controversies around the question if French (Q121842) is an ethnic group. This should be an exception. Please don't create items for other ethnic or cultural groups in fiction.,1
47,wikidata,en,trans,Q15711994,P2559,"This item is about a group of isomers and should be used in items describing a group of chemical entities, not a mixture of chemical entities (isomers)",1
48,wikidata,en,trans,Q55640599,P2559,"If a given item describes a set of chemical entities of theoretically unlimited number of members (e.g. compounds having a specific functional group or a specified number of rings), then it is a ""structural class of chemical entities"" (Q47154513) or one of its subclasses.",1
49,wikidata,en,race,Q989255,P2559,for Middle-Earth peoples use Q17412916,1
50,wikidata,en,primitive,Q134313,P31,Q1371427,3
51,wikidata,en,retarded,Q18394147,P31,Q22116852,3
52,wikidata,en,slave,Q10076267,P2559,"Don't use for occupation (P106), instead use social classification (P3716)",1
53,wikidata,en,slave,Q1617492,P31,Q16335296,2
54,wikidata,en,slave,Q12773225,P2559,"Don't use for occupation (P106), instead use social classification (P3716)",3
55,wikidata,en,slave,Q588083,P31,Q16335296,1
56,wikidata,en,slave,Q4666486,P31,Q545779,1
57,wikidata,en,ethnicity,Q106537557,P2559,Generally used when music genre includes the name of an ethnic group,1
58,wikidata,en,ethnicity,Q112078715,P2559,Use as the value for statements with property P887,2
59,wikidata,en,ethnicity,Q5101084,P31,Q545779,1
60,wikidata,en,indigenous,Q1285250,P31,Q1371427,3
61,wikidata,en,indigenous,Q96200400,P2559,P2283 => Q96200400 (qualifier P642 => [the particular indigenous people(s) acknowledged]),2
62,wikidata,en,indigenous,Q5140747,P31,Q1371427,1
63,wikidata,en,traditional,Q96200400,P2559,P2283 => Q96200400 (qualifier P642 => [the particular indigenous people(s) acknowledged]),2
64,wikidata,en,traditional,Q113570992,P31,Q16335296,1
65,wikidata,nl,homo,Q1975772,P31,Q545779,1
66,wikidata,nl,homo,Q55657493,P31,Q545779,1
67,wikidata,nl,jap,Q1192767,P31,Q545779,3
68,wikidata,nl,neger,Q1130557,P31,Q1371427,3
69,wikidata,nl,bediende,Q855855,P31,Q16335296,3
70,wikidata,nl,inuk,Q4532729,P2559,"Nowadays many organizations are using a broader concept ""arctic studies"" instead of ""eskimology"".",2
71,wikidata,nl,homoseksueel,Q165371,P31,Q1520214,1
72,wikidata,nl,queer,Q51415,P31,Q1520214,3
73,wikidata,nl,zigeuner,Q76475,P31,Q545779,3
74,wikidata,nl,zwart,Q1130557,P31,Q1371427,3
75,wikidata,nl,kaukasisch,Q7129609,P31,Q2042898,3
76,wikidata,nl,mulat,Q191923,P31,Q2042898,3
77,wikidata,nl,ras,Q1130557,P31,Q1371427,3
78,wikidata,nl,ras,Q7129609,P31,Q2042898,3
79,wikidata,nl,ras,Q989255,P2559,for Middle-Earth peoples use Q17412916,2
80,wikidata,nl,etnische groep,Q106537557,P2559,Generally used when music genre includes the name of an ethnic group,1
81,wikidata,nl,etnische groep,Q10969817,P31,Q545779,1
82,wikidata,nl,barbaar,Q134313,P31,Q1371427,3
83,wikidata,nl,slaaf,Q12773225,P2559,"Don't use for occupation (P106), instead use social classification (P3716)",3
84,wikidata,nl,eskimo,Q4532729,P2559,"Nowadays many organizations are using a broader concept ""arctic studies"" instead of ""eskimology"".",2
85,wikidata,nl,page,Q855855,P31,Q16335296,3
86,wikidata,nl,kaffer,Q1285250,P31,Q1371427,3
87,wikidata,nl,wit,Q1135775,P31,Q545779,1
