label_uri,literal,lang,query_terms,odwn
l_209,mesties,nl,mesties_mestiezen,mesties-n-1
l_288,Métis,nl,métis_metis,None
l_256,Mohammedaan,nl,mohammedaan_mohammedanen,mohammedaan-n-1
l_258,Mongool,nl,mongool_mongolen_mongools,mongool-n-1_mongool-n-2
l_261,Moor,nl,moor_moren_moors,moor-n-1_Moor-n-2
l_208,Mulat,nl,mulat_mulatten,mulat-n-1
l_171,Neger,nl,neger_negers,neger-n-1
l_262,Ontdekken,nl,ontdekken,ontdekken-v-4
l_177,ontwikkelingslanden,nl,ontwikkelingsland_ontwikkelingslanden,ontwikkelingsland-n-1
l_263,Oriëntaals,nl,oriëntaals_oriëntaalste_oriëntaalsere_oriëntaal_oriëntale_oriëntalere_oriëntaalse_oriëntaalst_oriëntaler_oriëntaalser,None
l_155,page,nl,page_pages,page-n-1
l_265,Politionele actie,nl,politionele actie_politionele acties,None
l_267,Primitief,nl,primitief_primitiefst_primitievere_primitiefste_primitiefs_primitieve_primitiever,primitief-n-1
l_268,Primitivisme,nl,primitivisme_primitivismen,None
l_269,Pygmee,nl,pygmee_pygmeeën,pygmee-n-1
l_270,Queer,nl,queer,None
l_195,Ras,nl,ras_rasser_raste_rasse_rassere_rast_rassen,None
l_272,Roots,nl,roots,None
l_273,Slaaf,nl,slaaf_slaven,slaaf-n-1
l_276,Stam,nl,stam_stammen,stam-n-2
l_277,Traditioneel,nl,traditioneel_traditioneels_traditionele_traditioneelste_traditioneelst_traditionelere_traditioneler,None
l_279,Trans,nl,trans_transen,trans-n-3
l_280,travestiet,nl,travestiet_travestieten,travestiet-n-1
l_176,Tweede Wereld,nl,tweede wereld,None
l_207,volbloed,nl,volbloed_volbloeden,None
l_282,Westers,nl,westers_wester_westerse_westersere_westerste_westerst_westerser,None
l_200,Wit,nl,wit_witten_wittere_witst_witte_witter_wits_witste,None
l_283,Zigeuner,nl,zigeuner_zigeuners,zigeuner-n-1
l_169,Zuid­-Rhodesië,nl,zuid-rhodesië,None
l_199,Zwart,nl,zwart_zwarten_zwartst_zwarter_zwarts_zwarte_zwartere_zwartste,zwarte-n-1_zwarte-n-3
