lemma,lang,resource,entity_id,link,implicit_value,implicit_property,explicit_value,explicit_property,notes
indiaan,nl,wikidata,Q36747,https://www.wikidata.org/wiki/Q36747,None,None,None,None,good example
ethnic groups,en,wikidata,Q41710,https://www.wikidata.org/wiki/Q41710,None,None,None,None,AAT: 300191997; WordNet: 07983996-n
etnische groep,nl,wikidata,Q41710,https://www.wikidata.org/wiki/Q41710,None,None,None,None,
medicijnman,nl,wikidata,Q42042,https://www.wikidata.org/wiki/Q42042,None,None,None,None,"AAT: 300055999; WordNet: 06255214-n, 06254982-n"
footmen,en,wikidata,Q4382663,https://www.wikidata.org/wiki/Q4382663,None,None,None,None,WordNet: 10121750-n
maroon,en,wikidata,Q445485,https://www.wikidata.org/wiki/Q445485,None,None,None,None,
boslandcreool,nl,wikidata,Q445485,https://www.wikidata.org/wiki/Q445485,None,None,None,None,good example
bosneger,nl,wikidata,Q445485,https://www.wikidata.org/wiki/Q445485,None,None,None,None,good example
marron,nl,wikidata,Q445485,https://www.wikidata.org/wiki/Q445485,None,None,None,None,good example
berber,en,wikidata,Q45315,https://www.wikidata.org/wiki/Q45315,None,None,None,None,
berber,nl,wikidata,Q45315,https://www.wikidata.org/wiki/Q45315,None,None,None,None,
indo,en,wikidata,Q475027,https://www.wikidata.org/wiki/Q475027,None,None,None,None,
islamiet,nl,wikidata,Q47740,https://www.wikidata.org/wiki/Q47740,None,None,None,None,WordNet: 09701687-n
mohammedaan,nl,wikidata,Q47740,https://www.wikidata.org/wiki/Q47740,None,None,None,None,
travestiet,nl,wikidata,Q486680,https://www.wikidata.org/wiki/Q486680,None,None,None,None,"good examplel; an example when not only any markers are not provided, but how it's represented raises more questions: P2888 (""exact match"") to http://purl.obolibrary.org/obo/DOID_1233 (which is classified as mental health disorder); at the same time ""said to be the same as"" ""cross-dressing""; has a link to Homosaurus that says that the term is derogatory "
indian,en,wikidata,Q49297,https://www.wikidata.org/wiki/Q49297,None,None,None,None,AAT: 300017437
queer,en,wikidata,Q51415,https://www.wikidata.org/wiki/Q51415,None,None,https://www.wikidata.org/wiki/Q1520214,P31,"""reclaimed word""; however, it's not reclaimed in all contexts"
queer,nl,wikidata,Q51415,https://www.wikidata.org/wiki/Q51415,None,None,https://www.wikidata.org/wiki/Q1520214,P31,
colored,en,wikidata,Q5149038,https://www.wikidata.org/wiki/Q5149038,None,None,None,None,
ethnicity,en,wikidata,Q5404323,https://www.wikidata.org/wiki/Q5404323,None,None,None,None,"AAT: 300250435, WordNet: 04806382-n"
etniciteit,nl,wikidata,Q5404323,https://www.wikidata.org/wiki/Q5404323,None,None,None,None,
servant,en,wikidata,Q54128,https://www.wikidata.org/wiki/Q54128,None,None,None,None,"AAT: 300025874,  300136452; WordNet: 10601606-n"
coolie,en,wikidata,Q548135,https://www.wikidata.org/wiki/Q548135,None,None,None,None,good example; WordNet: 09663914-n
koelie,nl,wikidata,Q548135,https://www.wikidata.org/wiki/Q548135,None,None,None,None,
homosexual,en,wikidata,Q592,https://www.wikidata.org/wiki/Q592,None,None,None,None,"AAT: 300435115; a link to Homosaurus homoit0000648, which says that the term is outdated"
gay,en,wikidata,Q592,https://www.wikidata.org/wiki/Q592,None,None,None,None,
homoseksueel,nl,wikidata,Q592,https://www.wikidata.org/wiki/Q592,None,None,None,None,
gay,nl,wikidata,Q592,https://www.wikidata.org/wiki/Q592,None,None,None,None,
homoseksualiteit,nl,wikidata,Q6636,https://www.wikidata.org/wiki/Q6636,None,None,None,None,AAT: 300055188
caucasian,en,wikidata,Q7129609,https://www.wikidata.org/wiki/Q7129609,outdated classification,schema:description,None,None,WordNet: 09660255-n
kaukasisch,nl,wikidata,Q7129609,https://www.wikidata.org/wiki/Q7129609,None,None,None,None,
southern rhodesia,en,wikidata,Q750583,https://www.wikidata.org/wiki/Q750583,None,None,None,None,"time indication ""from 1923 to 1980"" in description"
zuid-rhodesië,nl,wikidata,Q750583,https://www.wikidata.org/wiki/Q750583,None,None,None,None,time indication (1923-1980) in description
zigeuner,nl,wikidata,Q76475,https://www.wikidata.org/wiki/Q76475,denigrerend beschouwde naam,schema:description,https://www.wikidata.org/wiki/Q545779,P31,
gypsy,en,wikidata,Q8060,https://www.wikidata.org/wiki/Q8060,None,None,None,None,"WordNet: 10173755-n, 10151110-n"
black,en,wikidata,Q817393,https://www.wikidata.org/wiki/Q817393,a racialized classification,schema:description,None,None,
zwart,nl,wikidata,Q817393,https://www.wikidata.org/wiki/Q817393,None,None,None,None,
bediende,nl,wikidata,Q833860,https://www.wikidata.org/wiki/Q833860,None,None,None,None,WordNet: 10302369-n
burma,en,wikidata,Q836,https://www.wikidata.org/wiki/Q836,None,None,None,None,"has a qualifier ""end time"" for P1448 (official name) in English; WordNet: 08733223-n"
birma,nl,wikidata,Q836,https://www.wikidata.org/wiki/Q836,None,None,None,None,
primitivism,en,wikidata,Q848365,https://www.wikidata.org/wiki/Q848365,None,None,None,None,"AAT: 300174254, 300056548 (outdated terms); WordNet: 04009468-n"
primitivisme,nl,wikidata,Q848365,https://www.wikidata.org/wiki/Q848365,None,None,None,None,
page,en,wikidata,Q855855,https://www.wikidata.org/wiki/Q855855,None,None,https://www.wikidata.org/wiki/Q16335296,P31,WordNet: 10411115-n; histrorical indication
page,nl,wikidata,Q855855,https://www.wikidata.org/wiki/Q855855,None,None,https://www.wikidata.org/wiki/Q16335296,P31,
first world,en,wikidata,Q876830,https://www.wikidata.org/wiki/Q876830,None,None,None,None,
eerste wereld,nl,wikidata,Q876830,https://www.wikidata.org/wiki/Q876830,None,None,None,None,
descent,en,wikidata,Q89659343,https://www.wikidata.org/wiki/Q89659343,None,None,None,None,
baboe,nl,wikidata,Q936969,https://www.wikidata.org/wiki/Q936969,None,None,None,None,"AAT: 300380151; WordNet: 10364831-n, 09846223-n"
exotic,en,pwn,alien.s.02,,None,None,None,None,
indigenous,en,pwn,autochthonal.s.01,,None,None,None,None,
barbarian,en,pwn,barbarian.s.01,,None,None,None,None,
berber,en,pwn,berber.n.01,,None,None,None,None,
black,en,pwn,black.a.02,,None,None,None,None,
negro,en,pwn,black.n.05,,archaic and pejorative today,definition,None,None,
black,en,pwn,black.n.05,,archaic and pejorative today,definition,None,None,
caucasian,en,pwn,caucasian.s.02,,None,None,None,None,
madras,en,pwn,chennai.n.01,,formerly [alternative],definition,None,None,historical indication
negro,en,pwn,colored.s.02,,None,None,None,None,
colored,en,pwn,colored.s.02,,None,None,None,None,
coolie,en,pwn,coolie.n.01,,(ethnic slur) an offensive name,definition,"disparagement.n.01,ethnic_slur.n.01",usage_domains,
primitive,en,pwn,crude.s.04,,None,None,None,None,
primitivism,en,pwn,crudeness.n.01,,None,None,None,None,
descent,en,pwn,descent.n.04,,None,None,None,None,
handicap,en,pwn,disability.n.01,,None,None,None,None,
disabled,en,pwn,disable.v.02,,None,None,None,None,
handicap,en,pwn,disable.v.02,,None,None,None,None,
disabled,en,pwn,disabled.n.01,,None,None,None,None,
disabled,en,pwn,disabled.s.01,,None,None,None,None,
discover,en,pwn,discover.v.07,,None,None,None,None,
dwarf,en,pwn,dwarf.n.01,,None,None,None,None,
eskimo,en,pwn,eskimo.n.01,,they call themselves [alternative],definition,None,None,very subtle marker
inuit,en,pwn,eskimo.n.01,,they call themselves [alternative],definition,None,None,
ethnicity,en,pwn,ethnicity.n.01,,None,None,None,None,
exotic,en,pwn,exotic.s.02,,None,None,None,None,
queer,en,pwn,fagot.n.01,,offensive term,definition,disparagement.n.01,usage_domains,
footmen,en,pwn,footman.n.01,,None,None,None,None,
gay,en,pwn,gay.s.06,,None,None,None,None,
queer,en,pwn,gay.s.06,,None,None,None,None,
gypsy,en,pwn,gypsy.n.02,,None,None,None,None,
gypsy,en,pwn,gypsy.n.03,,None,None,None,None,
half-breed,en,pwn,half-breed.n.01,,offensive term,definition,disparagement.n.01,usage_domains,
headhunter,en,pwn,headhunter.n.02,,None,None,None,None,
hermaphrodite,en,pwn,hermaphrodite.n.01,,None,None,None,None,
homosexual,en,pwn,homosexual.a.01,,None,None,None,None,
homo,en,pwn,homosexual.n.01,,None,None,None,None,
homosexual,en,pwn,homosexual.n.01,,None,None,None,None,
gay,en,pwn,homosexual.n.01,,None,None,None,None,
immigrant,en,pwn,immigrant.n.01,,None,None,None,None,
indian,en,pwn,indian.a.02,,None,None,None,None,
kaffir,en,pwn,kaffir.n.02,,offensive and insulting term,definition,disparagement.n.01,usage_domains,
tribe,en,pwn,kin.n.02,,None,None,None,None,
calcutta,en,pwn,kolkata.n.01,,None,None,None,None,
lilliputian,en,pwn,lilliputian.n.01,,None,None,None,None,
descent,en,pwn,lineage.n.01,,None,None,None,None,
retarded,en,pwn,mentally_retarded.n.01,,None,None,None,None,
mestizo,en,pwn,mestizo.n.01,,None,None,None,None,
mohammedan,en,pwn,mohammedan.n.01,,None,None,None,None,
mongoloid,en,pwn,mongoloid.a.01,,None,None,None,None,
mongoloid,en,pwn,mongoloid.a.02,,None,None,None,None,
mongoloid,en,pwn,mongoloid.a.03,,offensive,definition,disparagement.n.01,usage_domains,
mongoloid,en,pwn,mongoloid.n.01,,None,None,None,None,
mongoloid,en,pwn,mongoloid.n.02,,"no longer used technically in this sense, now considered offensive",definition,disparagement.n.01,usage_domains,
moor,en,pwn,moor.n.01,,None,None,None,None,
mohammedan,en,pwn,muhammadan.a.01,,None,None,None,None,
mulatto,en,pwn,mulatto.n.01,,None,None,archaism.n.01,usage_domains,
bombay,en,pwn,mumbai.n.01,,None,None,None,None,
burma,en,pwn,myanmar.n.01,,None,None,None,None,
native,en,pwn,native.a.01,,None,None,None,None,
native,en,pwn,native.a.03,,None,None,None,None,
aboriginal,en,pwn,native.a.03,,None,None,None,None,
native,en,pwn,native.n.01,,None,None,None,None,
aboriginal,en,pwn,native.n.01,,None,None,None,None,
native,en,pwn,native.n.02,,None,None,None,None,
oriental,en,pwn,oriental.s.01,,None,None,None,None,
descent,en,pwn,origin.n.02,,None,None,None,None,
page,en,pwn,page.n.04,,None,None,None,None,
page,en,pwn,page.n.05,,None,None,None,None,
barbarian,en,pwn,peasant.n.03,,None,None,None,None,
primitive,en,pwn,primitive.n.01,,None,None,None,None,
primitive,en,pwn,primitive.s.03,,None,None,None,None,
primitive,en,pwn,primitive.s.04,,None,None,None,None,
primitivism,en,pwn,primitivism.n.02,,None,None,None,None,
pygmy,en,pwn,pygmy.n.01,,None,None,None,None,
pygmy,en,pwn,pygmy.n.02,,None,None,None,None,
race,en,pwn,race.n.03,,None,None,None,None,
retarded,en,pwn,retarded.a.01,,None,None,None,None,
barbarian,en,pwn,savage.n.01,,None,None,None,None,
servant,en,pwn,servant.n.01,,None,None,None,None,
slave,en,pwn,slave.n.01,,None,None,None,None,
traditional,en,pwn,traditional.a.01,,None,None,None,None,
transvestite,en,pwn,transvestic.a.01,,None,None,None,None,
transvestite,en,pwn,transvestite.n.01,,None,None,None,None,
tribe,en,pwn,tribe.n.01,,None,None,None,None,
tribe,en,pwn,tribe.n.02,,None,None,None,None,
western,en,pwn,western.a.01,,None,None,None,None,
white,en,pwn,white.a.02,,None,None,None,None,
white,en,pwn,white.n.01,,None,None,None,None,
caucasian,en,pwn,white.n.01,,None,None,None,None,
white,en,pwn,white.s.05,,None,None,None,None,
homoseksualiteit,nl,odwn,eng-30-00856847-n,,None,None,pejorative,Pragmatics connotation,"for the lemma ""sodomie-n-1"""
homoseksualiteit,nl,odwn,eng-30-00858060-n,,None,None,None,None,
ontdekken,nl,odwn,eng-30-02154508-v,,None,None,None,None,
etniciteit,nl,odwn,eng-30-04799133-n,,None,None,None,None,
afkomst,nl,odwn,eng-30-04923743-n,,None,None,None,None,
eskimo,nl,odwn,eng-30-06918215-n,,None,None,None,None,
hottentot,nl,odwn,eng-30-06941479-n,,None,None,None,None,
stam,nl,odwn,eng-30-07969695-n,,None,None,None,None,
afkomst,nl,odwn,eng-30-08510456-n,,None,None,None,None,
calcutta,nl,odwn,eng-30-08903636-n,,None,None,None,None,
bombay,nl,odwn,eng-30-08903872-n,,None,None,None,None,
madras,nl,odwn,eng-30-08904392-n,,None,None,None,None,
primitief,nl,odwn,eng-30-09627462-n,,None,None,None,None,
neger,nl,odwn,eng-30-09638009-n,,None,None,"oldfashioned, offensive","Pragmatics chronology, connotation",several lemmas are marked in the synset
zwart,nl,odwn,eng-30-09638009-n,,None,None,"oldfashioned, offensive","Pragmatics chronology, connotation",
moor,nl,odwn,eng-30-09638009-n,,None,None,"oldfashioned, offensive","Pragmatics chronology, connotation",
knecht,nl,odwn,eng-30-09815790-n,,None,None,"oldfashioned, pejorative","Pragmatics chronology, connotation","oldfashioned for ""dienstknecht-n-1""; pejorative for ""waterdrager-n-2"""
barbaar,nl,odwn,eng-30-09879297-n,,None,None,pejorative,Pragmatics connotation,"for ""bullebak-n-1"""
koelie,nl,odwn,eng-30-10035809-n,,None,None,pejorative,Pragmatics connotation,"for ""loonslaaf-n-1"""
lilliputter,nl,odwn,eng-30-10040344-n,,None,None,pejorative,Pragmatics connotation,"for ""lilliputter-n-1"""
dwerg,nl,odwn,eng-30-10040344-n,,None,None,pejorative,Pragmatics connotation,"for ""lilliputter-n-1"""
zigeuner,nl,odwn,eng-30-10154186-n,,None,None,None,None,
halfbloed,nl,odwn,eng-30-10157549-n,,None,None,None,None,
gehandicapte,nl,odwn,eng-30-10158756-n,,None,None,None,None,
koppensneller,nl,odwn,eng-30-10163452-n,,None,None,None,None,
homo,nl,odwn,eng-30-10182913-n,,None,None,None,None,"the synset includes offensive lemmas (""flikker"", ""sodemiet"", ""bruinwerker"", ""mietje"", ""reetkever""), but they are not marked"
homoseksueel,nl,odwn,eng-30-10182913-n,,None,None,None,None,
gay,nl,odwn,eng-30-10182913-n,,None,None,None,None,
mongool,nl,odwn,eng-30-10197525-n,,None,None,"offensive, pejorative","Pragmatics connotation, Pragmatics connotation","for ""debiel-n-1"", ""gek-n-1"", ""idioot-n-1"", ""imbeciel-n-1"""
barbaar,nl,odwn,eng-30-10410815-n,,None,None,"offensive, pejorative, oldfashioned","Pragmatics connotation, Pragmatics connotation, Pragmatics chronology","includes 27 lemmas; marked: ""boer-n-2"", ""boerenkinkel-n-1"", ""boerenlul-n-1"", ""boerenpummel-n-1"", ""botterik-n-1"", ""heikneuter-n-1"", ""hufter-n-1"", ""kaffer-n-1"", ""kinkel-n-1"", ""plebejer-n-1"", ""proleet-n-1"", ""pummel-n-1"", ""vlegel-n-3"""
pygmee,nl,odwn,eng-30-10496626-n,,None,None,None,None,
barbaar,nl,odwn,eng-30-10553402-n,,None,None,offensive,Pragmatics connotation,
bediende,nl,odwn,eng-30-10582154-n,,None,None,None,None,
slaaf,nl,odwn,eng-30-10609325-n,,None,None,None,None,
medicijnman,nl,odwn,eng-30-10626439-n,,None,None,None,None,
travestiet,nl,odwn,eng-30-10726031-n,,None,None,None,None,
handicap,nl,odwn,eng-30-14052403-n,,None,None,None,None,
kaffer,nl,odwn,odwn-10-100082478-n,,None,None,offensive,Pragmatics connotation,
mesties,nl,odwn,odwn-10-100513750-n,,None,None,None,None,
islamiet,nl,odwn,odwn-10-100569798-n,,None,None,None,None,
koelie,nl,odwn,odwn-10-101160806-n,,None,None,None,None,
aboriginal,nl,odwn,odwn-10-101180571-n,,None,None,None,None,
allochtoon,nl,odwn,odwn-10-101546688-n,,None,None,None,None,
berber,nl,odwn,odwn-10-101847342-n,,None,None,None,None,
moor,nl,odwn,odwn-10-102610292-n,,None,None,oldfashioned,Pragmatics chronology,
jap,nl,odwn,odwn-10-103201483-n,,None,None,offensive,Pragmatics connotation,
bosneger,nl,odwn,odwn-10-103272943-n,,None,None,None,None,
blank,nl,odwn,odwn-10-103541331-n,,None,None,None,None,
inlander,nl,odwn,odwn-10-104714918-n,,None,None,None,None,
inboorling,nl,odwn,odwn-10-106171034-n,,None,None,None,None,
indiaan,nl,odwn,odwn-10-106518418-n,,None,None,None,None,
mulat,nl,odwn,odwn-10-106536961-n,,None,None,None,None,
baboe,nl,odwn,odwn-10-106744972-n,,None,None,None,None,
mongool,nl,odwn,odwn-10-107179852-n,,None,None,None,None,
mohammedaan,nl,odwn,odwn-10-107525787-n,,None,None,None,None,
ontwikkelingsland,nl,odwn,odwn-10-107793684-n,,None,None,None,None,
hermafrodiet,nl,odwn,odwn-10-108184026-n,,None,None,None,None,
inuk,nl,odwn,r_n-18189,,None,None,None,None,sense ids are checked in the raw file
jappenkamp,nl,odwn,r_n-18442,,None,None,None,None,sense ids are checked in the raw file
kaukasisch,nl,odwn,r_n-19229,,None,None,None,None,sense ids are checked in the raw file
achterlijk,nl,odwn,r_n-2619,,None,None,None,None,sense ids are checked in the raw file
page,nl,odwn,r_n-27354,,None,None,None,None,sense ids are checked in the raw file
trans,nl,odwn,r_n-38275,,None,None,None,None,sense ids are checked in the raw file
zwart,nl,odwn,r_n-44553,,None,None,None,None,sense ids are checked in the raw file
birma,nl,odwn,r_n-7429,,None,None,None,None,sense ids are checked in the raw file
pygmy,en,aat,300016430,http://vocab.getty.edu/aat/300016430,"Use of ""Pygmy"" for a culture is considered pejorative; where possible use instead the most specific name for the subgroup.",skos:scopeNote,None,None,"although there's a marker, the note describes people in a not respectful way"
pygmee,nl,aat,300016430,http://vocab.getty.edu/aat/300016430,De term Pygmee heeft soms een negatieve bijklank. Waar mogelijk verdient het gebruik van de specifieke naam van een subgroep de voorkeur. ,skos:scopeNote,None,None,
hottentot,en,aat,300016575,http://vocab.getty.edu/aat/300016575,"now considered pejorative, used after 1652/mid-20th century;",xl:altLabel / rdfs:comment,None,None,"comment in altLabel is used for a particular label (""Hottentot"");"
berber,en,aat,300016593,http://vocab.getty.edu/aat/300016593,None,None,None,None,
