lemma,lang,wd_pref,wd_aliases,wd_descr,wd_total,aat_pref,aat_alt,aat_scopeNote,aat_total,odwn_le,odwn_sense_examples,odwn_sense_definition,odwn_total,total_hits
homoseksualiteit,nl,1.0,0.0,0.0,1,1.0,0.0,0.0,1,2.0,0.0,0.0,2,4
homoseksueel,nl,0.0,1.0,0.0,1,0.0,0.0,0.0,0,1.0,0.0,0.0,1,2
hottentot,nl,0.0,2.0,0.0,2,0.0,0.0,0.0,0,1.0,0.0,0.0,1,3
inboorling,nl,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,0.0,2,2
indiaan,nl,1.0,4.0,0.0,5,1.0,1.0,1.0,3,1.0,0.0,0.0,1,9
indisch,nl,0.0,1.0,0.0,1,1.0,0.0,0.0,1,0.0,0.0,0.0,0,2
indo,nl,0.0,3.0,0.0,3,1.0,0.0,1.0,2,0.0,0.0,0.0,0,5
inheems,nl,1.0,3.0,0.0,4,1.0,0.0,0.0,1,0.0,0.0,0.0,0,5
inlander,nl,1.0,1.0,0.0,2,0.0,0.0,0.0,0,1.0,1.0,0.0,2,4
inuk,nl,1.0,1.0,0.0,2,1.0,0.0,0.0,1,1.0,0.0,0.0,1,4
islamiet,nl,0.0,2.0,0.0,2,0.0,0.0,0.0,0,1.0,0.0,0.0,1,3
jap,nl,1.0,0.0,0.0,1,0.0,0.0,0.0,0,1.0,0.0,0.0,1,2
jappenkamp,nl,2.0,2.0,0.0,4,0.0,0.0,0.0,0,2.0,2.0,0.0,4,8
kaffer,nl,1.0,0.0,0.0,1,0.0,0.0,0.0,0,1.0,0.0,0.0,1,2
kaukasisch,nl,1.0,1.0,0.0,2,1.0,0.0,0.0,1,1.0,0.0,0.0,1,4
knecht,nl,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,0.0,2,2
koelie,nl,1.0,0.0,0.0,1,0.0,0.0,0.0,0,2.0,0.0,0.0,2,3
koppensneller,nl,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,1,1
lagelonenland,nl,1.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1
lilliputter,nl,0.0,1.0,0.0,1,0.0,0.0,0.0,0,1.0,0.0,0.0,1,2
madras,nl,0.0,1.0,0.0,1,0.0,0.0,0.0,0,1.0,0.0,0.0,1,2
marron,nl,1.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1
medicijnman,nl,0.0,1.0,0.0,1,0.0,0.0,0.0,0,1.0,0.0,0.0,1,2
mesties,nl,1.0,1.0,0.0,2,0.0,0.0,0.0,0,1.0,0.0,0.0,1,3
mohammedaan,nl,0.0,2.0,0.0,2,0.0,0.0,0.0,0,1.0,0.0,0.0,1,3
mongool,nl,1.0,0.0,0.0,1,1.0,0.0,1.0,2,2.0,0.0,0.0,2,5
moor,nl,1.0,1.0,0.0,2,1.0,0.0,0.0,1,2.0,1.0,0.0,3,6
mulat,nl,1.0,1.0,0.0,2,0.0,0.0,0.0,0,1.0,0.0,0.0,1,3
métis,nl,1.0,0.0,0.0,1,1.0,0.0,1.0,2,0.0,0.0,0.0,0,3
neger,nl,1.0,1.0,0.0,2,0.0,0.0,0.0,0,1.0,0.0,0.0,1,3
ontdekken,nl,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,1,1
ontwikkelingsland,nl,1.0,1.0,0.0,2,1.0,1.0,0.0,2,1.0,1.0,0.0,2,6
oriëntaals,nl,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
page,nl,1.0,0.0,0.0,1,0.0,0.0,0.0,0,1.0,0.0,0.0,1,2
politionele actie,nl,1.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1
primitief,nl,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,1.0,2,2
primitivisme,nl,1.0,0.0,0.0,1,1.0,0.0,0.0,1,0.0,0.0,0.0,0,2
pygmee,nl,1.0,1.0,0.0,2,1.0,0.0,1.0,2,1.0,0.0,0.0,1,5
queer,nl,1.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1
ras,nl,1.0,1.0,0.0,2,1.0,0.0,0.0,1,0.0,0.0,0.0,0,3
roots,nl,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
slaaf,nl,1.0,1.0,0.0,2,1.0,1.0,0.0,2,1.0,1.0,0.0,2,6
stam,nl,1.0,0.0,0.0,1,1.0,1.0,1.0,3,1.0,2.0,0.0,3,7
traditioneel,nl,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
trans,nl,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,1,1
travestiet,nl,0.0,1.0,0.0,1,0.0,0.0,0.0,0,1.0,0.0,0.0,1,2
tweede wereld,nl,1.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1
volbloed,nl,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
westers,nl,1.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1
wit,nl,0.0,1.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1
zigeuner,nl,1.0,0.0,0.0,1,0.0,1.0,0.0,1,1.0,3.0,0.0,4,6
zuid-rhodesië,nl,1.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1
zwart,nl,1.0,2.0,0.0,3,0.0,0.0,0.0,0,2.0,1.0,1.0,4,7
