,lemma,lang,resource,entity_id
151,queer,nl,wikidata,Q51415
152,zigeuner,nl,wikidata,Q76475
153,bosneger,nl,wikidata,Q445485
155,ontwikkelingsland,nl,wikidata,Q177323
157,zwart,nl,wikidata,Q817393
160,mesties,nl,wikidata,Q106713
162,lagelonenland,nl,wikidata,Q2639564
163,inlander,nl,wikidata,Q1945590
165,dwerg,nl,wikidata,Q2419953
166,gay,nl,wikidata,Q592
167,baboe,nl,wikidata,Q936969
168,indisch,nl,wikidata,Q188161
169,berber,nl,wikidata,Q45315
170,pygmee,nl,wikidata,Q171927
172,gekleurd,nl,wikidata,Q2072081
173,kaukasisch,nl,wikidata,Q7129609
175,mulat,nl,wikidata,Q191923
177,ras,nl,wikidata,Q3254959
179,etnische groep,nl,wikidata,Q41710
180,eerste wereld,nl,wikidata,Q876830
181,aboriginal,nl,wikidata,Q170355
183,travestiet,nl,wikidata,Q486680
184,barbaar,nl,wikidata,Q134313
186,derde wereld,nl,wikidata,Q180194
187,slaaf,nl,wikidata,Q12773225
189,primitivisme,nl,wikidata,Q848365
190,eskimo,nl,wikidata,Q131242
193,page,nl,wikidata,Q855855
194,zuid-rhodesië,nl,wikidata,Q750583
195,hottentot,nl,wikidata,Q219252
197,calcutta,nl,wikidata,Q1348
198,indo,nl,wikidata,Q2116909
201,mohammedaan,nl,wikidata,Q47740
203,madras,nl,wikidata,Q1352
204,moor,nl,wikidata,Q169260
206,gehandicapte,nl,wikidata,Q15978181
208,koelie,nl,wikidata,Q548135
209,métis,nl,wikidata,Q262457
210,marron,nl,wikidata,Q445485
211,kaffer,nl,wikidata,Q1285250
212,allochtoon,nl,wikidata,Q2008347
213,tweede wereld,nl,wikidata,Q233472
214,wit,nl,wikidata,Q235155
215,inheems,nl,wikidata,Q103817
219,immigrant,en,aat,300025844
223,moor,en,aat,300375152
224,indian,en,aat,300017437
228,medicine man,en,aat,300218522
229,third world,en,aat,300379994
230,servant,en,aat,300025874
234,hottentot,en,aat,300016575
236,gypsy,en,aat,300404070
237,caucasian,en,aat,300244536
238,mohammedan,en,aat,300073715
239,homosexual,en,aat,300435115
241,pygmy,en,aat,300016430
244,native,en,aat,300017437
250,negro,en,aat,300018125
251,berber,en,aat,300016593
253,disabled,en,aat,300025921
255,developing nations,en,aat,300379994
256,aboriginal,en,aat,300379660
257,transvestite,en,aat,300400510
259,eskimo,en,aat,300017447
261,hermaphrodite,en,aat,300386060
264,gay,en,aat,300055188
265,indo,en,aat,300386794
270,oriental,en,aat,300018279
271,inuit,en,aat,300017455
272,black,en,aat,300435249
273,queer,en,aat,300055188
274,ethnic groups,en,aat,300191997
276,maroon,en,aat,300443390
279,dwarf,en,aat,300236748
284,race,en,aat,300256475
287,primitive,en,aat,300056500
289,retarded,en,aat,300025925
290,slave,en,aat,300230899
294,first world,en,aat,300449024
296,ethnicity,en,aat,300250435
297,primitivism,en,aat,300056548
299,indigenous,en,aat,300379660
304,traditional,en,aat,300435679
307,métis,en,aat,300265512
310,tribe,en,aat,300049946
312,mongool,nl,aat,300387497
314,etniciteit,nl,aat,300250435
315,homoseksualiteit,nl,aat,300055188
316,bediende,nl,aat,300025874
318,hermafrodiet,nl,aat,300386060
320,inuk,nl,aat,300017455
321,indiaan,nl,aat,300017437
324,stam,nl,aat,300049946
327,zigeuner,nl,aat,300404070
328,ontwikkelingsland,nl,aat,300379994
330,dwerg,nl,aat,300236748
332,indisch,nl,aat,300418042
333,berber,nl,aat,300016593
334,pygmee,nl,aat,300016430
336,kaukasisch,nl,aat,300244536
337,achterlijk,nl,aat,300025925
338,ras,nl,aat,300256475
339,etnische groep,nl,aat,300191997
341,aboriginal,nl,aat,300021862
342,slaaf,nl,aat,300230899
344,primitivisme,nl,aat,300056548
345,eskimo,nl,aat,300017447
346,indo,nl,aat,300386794
348,moor,nl,aat,300021016
349,gehandicapte,nl,aat,300025921
351,métis,nl,aat,300265512
353,inheems,nl,aat,300379660
354,madras,en,pwn,chennai.n.01
356,headhunter,en,pwn,headhunter.n.02
357,immigrant,en,pwn,immigrant.n.01
358,barbarian,en,pwn,savage.n.01
359,barbarian,en,pwn,peasant.n.03
360,barbarian,en,pwn,barbarian.s.01
362,moor,en,pwn,moor.n.01
363,indian,en,pwn,indian.a.02
365,homo,en,pwn,homosexual.n.01
366,exotic,en,pwn,alien.s.02
367,exotic,en,pwn,exotic.s.02
373,servant,en,pwn,servant.n.01
374,gypsy,en,pwn,gypsy.n.02
375,gypsy,en,pwn,gypsy.n.03
377,coolie,en,pwn,coolie.n.01
378,white,en,pwn,white.s.05
379,white,en,pwn,white.n.01
380,white,en,pwn,white.a.02
385,caucasian,en,pwn,white.n.01
386,caucasian,en,pwn,caucasian.s.02
389,kaffir,en,pwn,kaffir.n.02
390,descent,en,pwn,origin.n.02
391,descent,en,pwn,descent.n.04
392,descent,en,pwn,lineage.n.01
393,mohammedan,en,pwn,mohammedan.n.01
394,mohammedan,en,pwn,muhammadan.a.01
395,mongoloid,en,pwn,mongoloid.n.01
396,mongoloid,en,pwn,mongoloid.n.02
397,mongoloid,en,pwn,mongoloid.a.01
398,mongoloid,en,pwn,mongoloid.a.02
399,mongoloid,en,pwn,mongoloid.a.03
402,discover,en,pwn,discover.v.07
403,homosexual,en,pwn,homosexual.n.01
404,homosexual,en,pwn,homosexual.a.01
405,pygmy,en,pwn,pygmy.n.01
406,pygmy,en,pwn,pygmy.n.02
407,page,en,pwn,page.n.04
408,page,en,pwn,page.n.05
409,native,en,pwn,native.n.01
411,native,en,pwn,native.n.02
412,native,en,pwn,native.a.01
413,native,en,pwn,native.a.03
418,bombay,en,pwn,mumbai.n.01
419,negro,en,pwn,black.n.05
420,negro,en,pwn,colored.s.02
422,berber,en,pwn,berber.n.01
423,mulatto,en,pwn,mulatto.n.01
424,disabled,en,pwn,disabled.n.01
425,disabled,en,pwn,disabled.s.01
427,disabled,en,pwn,disable.v.02
428,mestizo,en,pwn,mestizo.n.01
429,western,en,pwn,western.a.01
433,aboriginal,en,pwn,native.n.01
434,aboriginal,en,pwn,native.a.03
437,transvestite,en,pwn,transvestite.n.01
438,transvestite,en,pwn,transvestic.a.01
439,eskimo,en,pwn,eskimo.n.01
441,hermaphrodite,en,pwn,hermaphrodite.n.01
442,gay,en,pwn,homosexual.n.01
443,gay,en,pwn,gay.s.06
444,oriental,en,pwn,oriental.s.01
446,colored,en,pwn,colored.s.02
447,inuit,en,pwn,eskimo.n.01
449,black,en,pwn,black.n.05
450,black,en,pwn,black.a.02
452,queer,en,pwn,fagot.n.01
453,queer,en,pwn,gay.s.06
454,calcutta,en,pwn,kolkata.n.01
455,half-breed,en,pwn,half-breed.n.01
456,lilliputian,en,pwn,lilliputian.n.01
458,dwarf,en,pwn,dwarf.n.01
459,burma,en,pwn,myanmar.n.01
460,race,en,pwn,race.n.03
462,handicap,en,pwn,disability.n.01
463,handicap,en,pwn,disable.v.02
464,primitive,en,pwn,primitive.n.01
465,primitive,en,pwn,crude.s.04
466,primitive,en,pwn,primitive.s.03
467,primitive,en,pwn,primitive.s.04
472,retarded,en,pwn,mentally_retarded.n.01
473,retarded,en,pwn,retarded.a.01
477,footmen,en,pwn,footman.n.01
478,slave,en,pwn,slave.n.01
479,ethnicity,en,pwn,ethnicity.n.01
481,primitivism,en,pwn,crudeness.n.01
482,primitivism,en,pwn,primitivism.n.02
483,indigenous,en,pwn,autochthonal.s.01
485,traditional,en,pwn,traditional.a.01
488,tribe,en,pwn,tribe.n.01
489,tribe,en,pwn,tribe.n.02
490,tribe,en,pwn,kin.n.02
491,birma,nl,odwn,r_n-7429
492,handicap,nl,odwn,eng-30-14052403-n
499,medicijnman,nl,odwn,eng-30-10626439-n
500,lilliputter,nl,odwn,eng-30-10040344-n
501,homo,nl,odwn,eng-30-10182913-n
505,mongool,nl,odwn,eng-30-10197525-n
506,mongool,nl,odwn,odwn-10-107179852-n
507,jap,nl,odwn,odwn-10-103201483-n
508,islamiet,nl,odwn,odwn-10-100569798-n
509,etniciteit,nl,odwn,eng-30-04799133-n
510,homoseksualiteit,nl,odwn,eng-30-00856847-n
511,homoseksualiteit,nl,odwn,eng-30-00858060-n
512,neger,nl,odwn,eng-30-09638009-n
513,bediende,nl,odwn,eng-30-10582154-n
515,hermafrodiet,nl,odwn,odwn-10-108184026-n
516,inuk,nl,odwn,r_n-18189
517,indiaan,nl,odwn,odwn-10-106518418-n
518,afkomst,nl,odwn,eng-30-08510456-n
519,afkomst,nl,odwn,eng-30-04923743-n
524,blank,nl,odwn,odwn-10-103541331-n
527,bombay,nl,odwn,eng-30-08903872-n
528,knecht,nl,odwn,eng-30-09815790-n
530,jappenkamp,nl,odwn,r_n-18442
534,homoseksueel,nl,odwn,eng-30-10182913-n
535,stam,nl,odwn,eng-30-07969695-n
538,halfbloed,nl,odwn,eng-30-10157549-n
539,zigeuner,nl,odwn,eng-30-10154186-n
543,bosneger,nl,odwn,odwn-10-103272943-n
544,ontwikkelingsland,nl,odwn,odwn-10-107793684-n
546,zwart,nl,odwn,r_n-44553
547,zwart,nl,odwn,eng-30-09638009-n
550,mesties,nl,odwn,odwn-10-100513750-n
551,primitief,nl,odwn,eng-30-09627462-n
553,ontdekken,nl,odwn,eng-30-02154508-v
554,koppensneller,nl,odwn,eng-30-10163452-n
555,inlander,nl,odwn,odwn-10-104714918-n
557,dwerg,nl,odwn,eng-30-10040344-n
558,gay,nl,odwn,eng-30-10182913-n
559,baboe,nl,odwn,odwn-10-106744972-n
560,berber,nl,odwn,odwn-10-101847342-n
561,pygmee,nl,odwn,eng-30-10496626-n
562,kaukasisch,nl,odwn,r_n-19229
563,achterlijk,nl,odwn,r_n-2619
564,mulat,nl,odwn,odwn-10-106536961-n
565,aboriginal,nl,odwn,odwn-10-101180571-n
566,travestiet,nl,odwn,eng-30-10726031-n
567,barbaar,nl,odwn,eng-30-10553402-n
568,barbaar,nl,odwn,eng-30-10410815-n
569,barbaar,nl,odwn,eng-30-09879297-n
572,slaaf,nl,odwn,eng-30-10609325-n
574,eskimo,nl,odwn,eng-30-06918215-n
575,page,nl,odwn,r_n-27354
576,inboorling,nl,odwn,odwn-10-106171034-n
578,hottentot,nl,odwn,eng-30-06941479-n
579,calcutta,nl,odwn,eng-30-08903636-n
580,mohammedaan,nl,odwn,odwn-10-107525787-n
581,madras,nl,odwn,eng-30-08904392-n
582,moor,nl,odwn,odwn-10-102610292-n
584,moor,nl,odwn,eng-30-09638009-n
585,gehandicapte,nl,odwn,eng-30-10158756-n
591,koelie,nl,odwn,eng-30-10035809-n
592,koelie,nl,odwn,odwn-10-101160806-n
593,kaffer,nl,odwn,odwn-10-100082478-n
594,allochtoon,nl,odwn,odwn-10-101546688-n
596,trans,nl,odwn,r_n-38275
