,lemma,Unnamed: 0,term,hit_id,bow,cs_rm,cs_wm,cs_rm_wm
55,barbarian,55,barbarian,odoacer.n.01,"['odovacar', 'western', 'empire', 'became', 'italy', 'ended', 'germanic', 'odovakar', 'ruler', 'roman', 'odoacer', 'barbarian', 'first', 'leader']",0.6559891790256295,0.6303160423122812,0.6749548429917673
49,barbarian,49,barbarians,sack.v.01,"['sack', 'rome', 'capture', 'town', 'barbarian', 'sacked', 'plunder']",0.515291994324993,0.4979841389349982,0.5296067186919243
3032,berber,3032,berber,berber.n.01,"['northern', 'indigenous', 'africa', 'berber', 'people', 'member']",0.9020669240606208,0.6426651975118219,0.8366449457256355
3030,berber,3030,berbers,berbers.n.01,"['northern', 'living', 'arab', 'minority', 'ethnic', 'africa', 'berber', 'descended']",0.8615459702037781,0.6647786847901092,0.8230793749951459
3033,berber,3033,berber,berber.n.02,"['northern', 'major', 'mostly', 'cluster', 'spoken', 'egypt', 'west', 'language', 'morocco', 'africa', 'related', 'berber', 'dialect']",0.8417858283314874,0.7524454347416659,0.8503549862794398
3035,berber,3035,berber,almoravid.n.01,"['warrior', 'almoravid', 'muslim', 'northwestern', 'spain', 'member', 'flourished', 'established', 'africa', 'dominance', 'berber', 'political', 'dynasty']",0.8354008423500451,0.6818954767413317,0.8214335352925585
3036,berber,3036,berber,moor.n.01,"['islam', 'conqueror', 'converted', 'muslim', 'mixed', 'spain', 'century', 'north', 'one', 'moor', 'descent', 'africa', 'berber', 'people', 'arab']",0.7678786299746083,0.6493297406674167,0.7595156953239588
3037,berber,3037,berber,tuareg.n.01,"['nomadic', 'tuareg', 'berber', 'sahara', 'people', 'member']",0.7633025681272516,0.5189401978621532,0.7037315315019508
3038,berber,3038,berber,riff.n.01,"['northern', 'living', 'riff', 'morocco', 'berber', 'riffian']",0.7034219023416262,0.5215955725404312,0.6421870097507975
3034,berber,3034,berber,tuareg.n.02,"['berber', 'dialect', 'tuareg', 'spoken']",0.5262939011242708,0.430666982034692,0.5155070699021073
4507,black,4507,black,black.a.02,"['dignity', 'especially', 'king', 'martin', 'civilization', 'injected', 'sub', 'black', 'racial', 'people', 'group', 'luther', 'new', 'african', 'belonging', 'meaning', 'vein', 'great', 'saharan', 'origin']",0.9589808838765796,0.8386684985154439,0.9543706799479368
4595,black,4595,black,black-and-white.s.03,"['situation', 'mutually', 'area', 'divided', 'world', 'certainty', 'sharply', 'exclusive', 'grey', 'rejected', 'white', 'category', 'either', 'black']",0.8903547255082553,0.7826715743208488,0.8889377078264156
4903,black,4903,black,negritude.n.01,"['negritude', 'hold', 'valid', 'heritage', 'affirmation', 'ideological', 'term', 'independent', 'african', 'cultural', 'culture', 'position', 'black']",0.8714826569686029,0.7930809149236254,0.8725648218345559
4502,black,4502,black,black.n.05,"['negro', 'negroid', 'pejorative', 'american', 'archaic', 'person', 'african', 'ancestry', 'today', 'black']",0.8712640014766395,0.8807857057449041,0.8773162782640778
4908,black,4908,black,gospel.n.03,"['state', 'especially', 'music', 'united', 'folk', 'cappella', 'gospel', 'slave', 'black', 'development', 'genre', 'originating', 'call', 'consisting', 'featuring', 'response', 'influential', 'soul', 'gospel_singing', 'popular']",0.8637180804951119,0.7657758627873769,0.8616878517722147
4910,black,4910,black,soul.n.05,"['major', 'form', 'musical', 'civil', 'significant', 'movement', 'soul', 'politically', 'genre', 'secular', 'gospel', 'right', 'black']",0.859971525232673,0.7559872700507191,0.8588009689878909
4944,black,4944,black,ku_klux_klan.n.01,"['state', 'united', 'suppress', 'terrorist', 'kkk', 'black', 'used', 'slave', 'ku_klux_klan', 'people', 'southerner', 'emancipation', 'secret', 'tactic', 'white', 'formed', 'resist', 'century', 'klan', 'society']",0.8587110015220406,0.7863774929287313,0.8612837701787144
4811,black,4811,black,field_cricket.n.01,"['enters', 'dwelling', 'crop', 'also', 'common', 'american', 'attack', 'acheta_assimilis', 'cricket', 'field_cricket', 'black']",0.8544555688878415,0.7678564792720581,0.8544223807800757
4526,black,4526,black,bordered.a.01,"['used', 'kind', 'combining', 'especially', 'term', 'bordered', 'specified', 'handkerchief', 'border', 'sometimes', 'black']",0.8483905738170243,0.7423462378552784,0.8493625741677734
4967,black,4967,black,abkhaz.n.02,"['resulted', 'abkhaz', 'sea', 'instability', 'georgia', 'movement', 'abkhazia', 'province', 'strong', 'independence', 'much', 'autonomous', 'black']",0.8473966963411468,0.7065224308445044,0.8417180585506046
3019,bombay,3019,bombay,mumbai.n.01,"['deep', 'western', 'calcutta', 'harbor', 'mumbai', 'largest', 'natural', 'arabian', 'sea', 'coast', 'water', 'bombay', 'india', 'city']",0.8972351049207031,0.6496103127010652,0.8601827824179766
3020,bombay,3020,bombay,gujarat.n.01,"['gujarat', 'western', 'state', 'includes', 'india', 'part', 'bombay', 'gujerat', 'industrialized']",0.8352776838298592,0.7445044875976595,0.8547795315655229
3021,bombay,3021,bombay,farsi.n.01,"['many', 'emigrated', 'farsi', 'near', 'person', 'descent', 'iranian', 'india', 'bombay']",0.7414014406742098,0.7260009778517054,0.7737818914923916
5336,burma,5336,burma,myanmar.n.01,"['southeastern', 'much', 'opium', 'bengal', 'union_of_burma', 'grown', 'myanmar', 'burma', 'asia', 'republic', 'mountainous', 'bay']",0.9204240549542124,0.6252856287065062,0.8607302101542859
5340,burma,5340,burma,kamarupan.n.01,"['kamarupan', 'burman', 'adjacent', 'western', 'spoken', 'region', 'burma', 'india', 'tibeto', 'language', 'northeastern']",0.820053174123307,0.7352119909886243,0.8434517584923238
5343,burma,5343,burma,loloish.n.01,"['northern', 'area', 'hill', 'spoken', 'burma', 'loloish', 'language', 'tribe', 'neighboring']",0.7772733613704391,0.7287463907405006,0.8131622850954341
5348,burma,5348,burma,stilwell.n.01,"['uncle_joe', 'state', 'commanded', 'china', 'world', 'vinegar_joe_stilwell', 'allied', 'joseph_warren_stilwell', 'burma', 'united', 'war', 'stilwell', 'india', 'force', 'general']",0.7742713333979305,0.6899545776580509,0.7945525162488458
5346,burma,5346,burma,naga.n.01,"['kamarupan', 'western', 'naga', 'spoken', 'burma', 'india', 'language', 'northeastern']",0.7713834059312141,0.7063048645762114,0.7997255956058771
5345,burma,5345,burma,kuki.n.01,"['chin', 'kamarupan', 'western', 'kuki', 'spoken', 'burma', 'easternmost', 'india', 'bangladesh', 'language']",0.7621633324756998,0.6676516341536737,0.7771769204509852
5344,burma,5344,burma,kachin.n.01,"['burman', 'kachin', 'northernmost', 'adjacent', 'china', 'kachinic', 'spoken', 'burma', 'india', 'tibeto', 'language']",0.7516523088484333,0.6829554440611553,0.7769978950838043
5347,burma,5347,burma,irrawaddy.n.01,"['andaman', 'main', 'south', 'empty', 'length', 'myanmar', 'sea', 'rising', 'burma', 'north', 'irrawaddy_river', 'irrawaddy', 'river', 'flowing']",0.7104586690359778,0.55058210833386,0.6935921109493078
5337,burma,5337,burma,yellow-throated_marten.n.01,"['yellow', 'china', 'marten', 'large', 'throated_marten', 'burma', 'southern', 'charronia_flavigula', 'black']",0.6764963114178486,0.5104729338041917,0.6545070278353445
5351,burma,5351,burma,pepper.n.01,"['berry', 'lanka', 'assam', 'burma', 'black_pepper', 'southern', 'ripe', 'fully', 'naturalized', 'dark', 'madagascar_pepper', 'peppercorn', 'sri', 'climber', 'white_pepper', 'common_pepper', 'northern', 'red', 'india', 'piper_nigrum', 'pepper']",0.6755912706336368,0.4798327115544298,0.6407506196038256
5223,calcutta,5223,calcutta,kolkata.n.01,"['overcrowding', 'calcutta', 'suffers', 'world', 'city', 'poverty', 'located', 'one', 'kolkata', 'india', 'largest', 'eastern']",0.9386892935176221,0.7544925006074478,0.925647763568474
5227,calcutta,5227,calcutta,mumbai.n.01,"['deep', 'western', 'calcutta', 'harbor', 'mumbai', 'largest', 'natural', 'arabian', 'sea', 'coast', 'water', 'bombay', 'india', 'city']",0.7739728023953701,0.6496103127010652,0.7678139747895049
5228,calcutta,5228,calcutta,siraj-ud-daula.n.01,"['alliance', 'bengal', 'noble', 'defeated', 'known', 'hole', 'plassey', 'daula', 'black', 'many', 'siraj', 'calcutta', 'battle', 'became', 'captured', 'opposed', 'group', 'indian', 'crowded', 'england', 'suffocated', 'prisoner', 'general', 'colonization', 'nawab', 'clive', 'robert', 'room', 'india']",0.7512848217828777,0.7775124375926316,0.8050733426057044
5224,calcutta,5224,calcutta,calcuttan.a.01,"['calcutta', 'characteristic', 'calcuttan', 'relating', 'inhabitant']",0.6886347762662247,0.7270279688111422,0.7510144616691395
5226,calcutta,5226,calcutta,black_hole_of_calcutta.n.01,"['many', 'calcutta', 'english', 'black_hole_of_calcutta', 'siraj', 'still', 'next', 'dungeon', 'foot', 'square', 'prisoner', 'overnight', 'morning', 'daula', 'alive', 'fort', 'held']",0.6672481970384242,0.6424463528645071,0.6941403835406409
5229,calcutta,5229,calcutta,originate.v.03,"['calcutta', 'originate', 'train', 'bus', 'trip', 'begin', 'certain', 'point', 'originates', 'etc', 'plane', 'flight']",0.567619354790688,0.5306583514363201,0.5870068608776152
5225,calcutta,5225,calcutta,jokingly.r.01,"['calcutta', 'jestingly', 'thought', 'could', 'peshawar', 'express', 'asked', 'jokingly', 'jest', 'drive', 'whether']",0.4764819753761907,0.5424568840472834,0.5303633534652891
2105,caucasian,2105,caucasian,half-breed.n.01,"['group', 'caucasian', 'indian', 'racial', 'half', 'parent', 'especially', 'american', 'offensive', 'term', 'ancestry', 'offspring', 'breed', 'different']",0.8824467633321547,0.8452882412401356,0.8897936581397422
2094,caucasian,2094,caucasian,caucasian.a.01,"['caucasian', 'relating', 'geographical', 'caucasia', 'region', 'language', 'caucasic']",0.8700268704329921,0.8441303904643427,0.8797358545193286
2100,caucasian,2100,caucasian,georgian.n.03,"['caucasian', 'million', 'speaker', 'georgian', 'long', 'literary', 'tradition', 'southern', 'language']",0.8246651189255272,0.7306767271225912,0.8191701419574201
2106,caucasian,2106,caucasian,metis.n.01,"['western', 'caucasian', 'metis', 'indian', 'canada', 'american', 'person', 'ancestry']",0.8163779451437019,0.7286404144608938,0.8112388297540485
2093,caucasian,2093,caucasian,caucasian.n.02,"['caucasian', 'caucasian_language', 'caucasus', 'unrelated', 'spoken', 'elsewhere', 'number', 'language']",0.7985236542787436,0.8016019331746567,0.8117671301394616
2095,caucasian,2095,caucasian,caucasian.s.02,"['relating', 'caucasian', 'people', 'caucasoid']",0.7981185874061606,0.7650186309609983,0.8044235947768894
2102,caucasian,2102,caucasian,aryan.n.01,"['caucasian', 'nazi', 'aryan', 'jew', 'person', 'nordic', 'according', 'doctrine', 'descent']",0.7463076004270129,0.7436265909857773,0.7579299491905629
2098,caucasian,2098,caucasian,chechen.n.02,"['northern', 'caucasian', 'spoken', 'chechen', 'language']",0.7264997608390251,0.6837416003827942,0.7292171718234431
2099,caucasian,2099,caucasian,circassian.n.03,"['northern', 'caucasian', 'spoken', 'circassian', 'language']",0.7206436310705824,0.6794910713806795,0.7237933414056987
2101,caucasian,2101,caucasian,ubykh.n.01,"['caucasian', 'exclusively', 'spoken', 'extinct', 'turkey', 'language', 'ubykh']",0.7154871925076067,0.6782646461132988,0.7186402507224632
4455,colored,4455,colored,earth_color.n.01,"['used', 'earth_color', 'pigment', 'colored', 'mineral']",0.8565848062553644,0.6849864773262049,0.8218899959797079
4155,colored,4155,colored,light.a.02,"['used', 'light', 'relatively', 'blue', 'small', 'color', 'amount', 'agent', 'coloring', 'colored', 'pastel', 'powder']",0.8442825886589181,0.7698409218976782,0.8383339344421379
4342,colored,4342,colored,granny's_bonnets.n.01,"['state', 'columbine', 'european', 'common', 'purple', 'red', 'spurred', 'blue', 'short', 'united', 's_bonnets', 'aquilegia_vulgaris', 'colored', 'white', 'granny', 'naturalized', 'variously', 'flower']",0.8388852386603449,0.8055823776565384,0.8444730102434199
4136,colored,4136,colored,colored.a.01,"['used', 'combination', 'amber', 'coloured', 'paper', 'color', 'certain', 'colored', 'film', 'head', 'colorful', 'sometimes', 'grain', 'crepe']",0.8360191763550642,0.7761477093039506,0.8358919088002321
4306,colored,4306,colored,thimerosal.n.01,"['used', 'thimerosal', 'light', 'crystalline', 'antiseptic', 'surgical', 'trade', 'merthiolate', 'colored', 'sodium_ethylmercurithiosalicylate', 'powder', 'name']",0.8338807328819062,0.6969600487640648,0.8171083983109791
4139,colored,4139,colored,bleached.s.02,"['used', 'dyed', 'coloured', 'natural', 'blonde', 'bleached', 'color', 'produced', 'colored', 'artificially']",0.8307090158905066,0.7767640427454486,0.8284023802198969
4442,colored,4442,colored,moniliaceae.n.01,"['family_moniliaceae', 'fungi', 'brightly', 'hypha', 'aggregated', 'mycelium', 'family', 'imperfect', 'produced', 'directly', 'colored', 'white', 'fruiting', 'spore', 'body', 'moniliaceae']",0.8304660217000759,0.7431729674726724,0.8291394961329187
4137,colored,4137,colored,colored.s.02,"['pigment', 'negro', 'coloured', 'rich', 'colored', 'melanin', 'skin']",0.8283877186888708,0.6947971624780601,0.7949389496290798
4472,colored,4472,colored,toner.n.02,"['used', 'xerographic', 'printer', 'image', 'develop', 'powder', 'colored', 'toner', 'black']",0.8277653470284021,0.7374697644385616,0.8157573047229384
4469,colored,4469,colored,sardonyx.n.01,"['onyx', 'sard', 'characterized', 'layer', 'colored', 'different', 'sardonyx', 'parallel', 'mineral']",0.8227210090006657,0.7252546122694232,0.8130001766997338
488,coolie,488,coolie,coolie.n.01,"['asian', 'unskilled', 'coolie', 'offensive', 'slur', 'cooly', 'ethnic', 'name', 'laborer']",0.928767040389986,0.6275888775444974,0.8867718002916021
2116,descent,2116,descent,lineage.n.01,"['individual', 'warrior', 'stemma', 'line', 'lineage', 'parentage', 'descendant', 'pedigree', 'blood_line', 'one', 'descent', 'line_of_descent', 'ancestry', 'entire', 'stock', 'bloodline', 'blood', 'origin']",0.9341662415298928,0.6497502111917086,0.9078023089820888
2112,descent,2112,descent,origin.n.02,"['come', 'good', 'property', 'extraction', 'descent', 'ancestry', 'attributable', 'origin']",0.9218625751800524,0.7537947804582488,0.9225370393366928
2114,descent,2114,descent,descent.n.04,"['individual', 'lineage', 'kinship', 'progenitor', 'filiation', 'descent', 'line_of_descent', 'relation']",0.920859975662848,0.6669548628809074,0.9011435950668628
2138,descent,2138,descent,relative.n.02,"['plant', 'bear', 'membership', 'congener', 'another', 'common', 'relationship', 'relative', 'animal', 'descent', 'congenator', 'related', 'congeneric', 'genus']",0.8810473792878447,0.7282734744791864,0.8835534748758604
2119,descent,2119,descent,ancestral.s.01,"['legal', 'home', 'usually', 'monarchy', 'lore', 'patrimonial', 'transmissible', 'inherited', 'ancestral', 'hereditary', 'descent', 'inheritable', 'tradition', 'rule', 'established', 'estate']",0.8731039546145085,0.6621741716127244,0.8614756888408206
2152,descent,2152,descent,generation.n.02,"['group', 'related', 'constituting', 'line', 'genetically', 'single', 'step', 'descent', 'organism', 'generation']",0.8669817187508797,0.6685207515372307,0.8580399730718391
2123,descent,2123,descent,unilateral.s.02,"['line', 'maternal', 'paternal', 'tracing', 'descent', 'unilateral', 'either']",0.8536561459257743,0.6048034217275333,0.8321840118918126
2120,descent,2120,descent,lineal.a.01,"['direct', 'unbroken', 'line', 'lineal', 'child', 'straight', 'descendant', 'ancestor', 'parent', 'king', 'descent', 'heir', 'heredity']",0.8526938039843847,0.6200453138348075,0.8350202500134767
2188,descent,2188,descent,tay-sachs_disease.n.01,"['disorder', 'frequently', 'hereditary', 'jewish', 'nervous', 'early', 'tay', 'lipid', 'occurring', 'europe', 'accumulation', 'tissue', 'sachs_disease', 'death', 'individual', 'result', 'childhood', 'infantile_amaurotic_idiocy', 'sachs', 'descent', 'metabolism', 'eastern']",0.8434688759779272,0.6870083157739317,0.8434496762914077
2160,descent,2160,descent,jew.n.01,"['group', 'worldwide', 'israelite', 'jacob', 'converted', 'jew', 'religious', 'person', 'descent', 'connected', 'belonging', 'hebrew', 'cultural', 'claiming', 'tie']",0.8410703350301363,0.6534611085790814,0.8335621361999476
3272,developing nations,3272,developing nations,external.s.03,"['external', 'nation', 'commerce', 'need', 'country', 'trade', 'help', 'developing', 'outside', 'international']",0.7645371769882336,0.7685220331712814,0.7954768689511457
3273,developing nations,3273,developing nations,international_bank_for_reconstruction_and_development.n.01,"['guaranteed', 'nation', 'international_bank_for_reconstruction_and_development', 'assist', 'government', 'united', 'loan', 'world_bank', 'ibrd', 'agency', 'developing', 'member', 'created']",0.7114310739995416,0.6922362688959497,0.7375937636108114
3045,disabled,3045,disabled,disabled.s.01,"['disabled', 'mental', 'functioning', 'injury', 'handicapped', 'restricted', 'consequence', 'illness', 'physical']",0.9212654943748324,0.8650670385580613,0.9221192835689498
3044,disabled,3044,disabled,disabled.n.01,"['elderly', 'disabled', 'technology', 'physically', 'collectively', 'otherwise', 'help', 'handicapped', 'crippled', 'people']",0.9142210864068128,0.8152977461354216,0.9097098864894944
3050,disabled,3050,disabled,personal_care.n.01,"['cooking', 'disabled', 'bodily', 'otherwise', 'including', 'personal_care', 'managing', 'care', 'someone', 'bathing', 'function', 'unable']",0.912573397222422,0.820908263748076,0.9125672383289538
3049,disabled,3049,disabled,physical_rehabilitation.n.01,"['providing', 'disabled', 'physical_restoration', 'help', 'physical_rehabilitation', 'person', 'therapeutic_rehabilitation', 'disability', 'reduction', 'removal']",0.9089595877918374,0.810637842121479,0.9034138915679444
3055,disabled,3055,disabled,living_will.n.01,"['terminal', 'living', 'requesting', 'allowed', 'severely', 'suffering', 'living_will', 'someone', 'drew', 'disabled', 'still', 'document', 'capable', 'legally', 'subsequently', 'discovered', 'aid', 'die', 'written', 'illness']",0.8925621751732821,0.827389814162375,0.8973134797390668
3048,disabled,3048,disabled,permanently.r.01,"['disabled', 'long', 'for_good', 'permanently', 'essential', 'change', 'time', 'without']",0.8607143115843711,0.8155768818061309,0.869550977227889
3058,disabled,3058,disabled,disability_check.n.01,"['disabled', 'work', 'made', 'payment', 'become', 'disability_payment', 'someone', 'monthly', 'disability_check', 'unable']",0.8377247822677787,0.7705962811646043,0.8391076618603358
3051,disabled,3051,disabled,disability_insurance.n.01,"['social', 'disabled', 'disability_insurance', 'insurance']",0.8003546070991397,0.7216932335576531,0.7925997670296847
3053,disabled,3053,disabled,sheltered_workshop.n.01,"['disabled', 'sheltered_workshop', 'offer', 'physically', 'developmentally', 'job', 'workshop', 'member', 'population']",0.7987213819483281,0.7241198723658626,0.7958979062973701
3059,disabled,3059,disabled,disable.v.02,"['injure', 'disable', 'disabled', 'incapacitate', 'accident', 'permanently', 'handicap', 'invalid', 'car']",0.7829136578439143,0.6968908095423085,0.7735368094366168
2206,discover,2206,discover,discover.v.07,"['discover', 'discovered', 'discovery', 'pole', 'make', 'north', 'see', 'first', 'time']",0.9533161484010569,0.7506826308388279,0.8908040626326941
2203,discover,2203,discover,discover.v.04,"['found', 'lied', 'discover', 'discovery', 'far', 'make', 'story', 'false', 'find']",0.8421089695997922,0.6867440311710332,0.7858789238891214
2202,discover,2202,discover,discover.v.03,"['found', 'discover', 'discovered', 'believe', 'new', 'discovery', 'make', 'elementary', 'physicist', 'ray', 'particle', 'roentgen', 'finding', 'find']",0.8407877733265394,0.7794120360234417,0.8347789465761486
2236,discover,2236,discover,locate.v.01,"['location', 'searching', 'discover', 'place', 'cousin', 'midwest', 'nothing', 'search', 'locate', 'determine', 'turn_up', 'turned', 'examining', 'find']",0.8375314819804471,0.744716896330545,0.8204368287941135
2200,discover,2200,discover,detect.v.01,"['found', 'discover', 'detected', 'lead', 'fact', 'trace', 'detect', 'existence', 'paint', 'determine', 'high', 'presence', 'level', 'water', 'notice', 'observe', 'find', 'drinking']",0.8061848301730214,0.7544637513706444,0.8187711096556891
2201,discover,2201,discover,learn.v.02,"['get_a_line', 'aware', 'usually', 'grown', 'find_out', 'get_wind', 'learn', 'discover', 'child', 'become', 'learned', 'pick_up', 'hear', 'get', 'promoted', 'know', 'accidentally', 'see', 'get_word', 'two']",0.8058836731487297,0.6670921043791879,0.7678657416645042
2204,discover,2204,discover,fall_upon.v.01,"['hiker', 'happen_upon', 'tomb', 'come_upon', 'archeologist', 'chance_on', 'old', 'attain', 'finally', 'lake', 'chanced', 'discover', 'main', 'chance_upon', 'struck', 'find', 'strike', 'upon', 'goldmine', 'path', 'come_across', 'unexpectedly', 'fall_upon', 'light_upon']",0.7751281720605128,0.6902064405804276,0.7673628721015541
2227,discover,2227,discover,ascertain.v.04,"['learn', 'ascertain', 'discover', 'certainty']",0.7697282985004796,0.700394340668955,0.7546257665106925
2205,discover,2205,discover,unwrap.v.02,"['newspaper', 'uncover', 'public', 'let_out', 'price', 'gogh', 'known', 'bring', 'president', 'illegal', 'actress', 'information', 'truth', 'news', 'dealing', 'let_on', 'old', 'unwrap', 'make', 'van', 'divulge', 'disclose', 'evidence', 'people', 'uncovered', 'house', 'reveal', 'discover', 'break', 'secret', 'give_away', 'expose', 'would', 'kept', 'bring_out', 'previously', 'sold', 'meant', 'auction', 'case', 'murder', 'broke']",0.7616322769967048,0.7584566890009878,0.8044991434609012
2231,discover,2231,discover,trace.v.01,"['closely', 'follow', 'discover', 'course', 'development', 'trace', 'something', 'progress', 'cuba', 'one', 'ancestry', 'student', 'must', 'ascertain', 'economic']",0.7538097028670195,0.8394310512825001,0.8526144873261301
5291,dwarf,5291,dwarf,dwarf.n.01,"['markedly', 'midget', 'small', 'person', 'nanus', 'dwarf']",0.9468199059826978,0.7773231553026128,0.9070821595873488
5304,dwarf,5304,dwarf,primordial_dwarf.n.01,"['defect', 'hypoplastic_dwarf', 'result', 'mental', 'achondroplastic', 'development', 'normal', 'small', 'sexual', 'primordial_dwarf', 'true_dwarf', 'genetic', 'normal_dwarf', 'body', 'part', 'size', 'whose', 'dwarf']",0.8260784176814849,0.8125613389556228,0.8624468871816564
5293,dwarf,5293,dwarf,dwarf.n.03,"['plant', 'atypically', 'small', 'animal', 'dwarf']",0.8066139578290693,0.7590533983152742,0.817138926509863
5298,dwarf,5298,dwarf,microcephalic.a.01,"['abnormally', 'underdeveloped', 'nanocephalic', 'microcephalic', 'microcephalous', 'small', 'head', 'brain', 'dwarf']",0.7934348027066429,0.7364014078347545,0.8044297930814464
5303,dwarf,5303,dwarf,pituitary_dwarf.n.01,"['hormone', 'factor', 'caused', 'pituitary_dwarf', 'achondroplastic', 'levi', 'growth', 'deficiency', 'genetic', 'condition', 'rather', 'hypophysial_dwarf', 'case', 'lorrain_dwarf', 'whose', 'dwarf']",0.7769679585676073,0.7576554125268169,0.8067972847448234
5317,dwarf,5317,dwarf,one-flowered_wintergreen.n.01,"['terminal', 'pyrola_uniflora', 'flowered_wintergreen', 'placed', 'genus', 'flower', 'delicate', 'region', 'north', 'dwarf', 'evergreen', 'white', 'solitary', 'pyrola', 'herb', 'flowered_pyrola', 'one', 'moneses_uniflora', 'sometimes', 'temperate']",0.7691849386741978,0.7218635822845564,0.7719227098799192
5310,dwarf,5310,dwarf,dryadella.n.01,"['dryadella', 'plant', 'comprises', 'usually', 'unifoliate', 'masdevallia', 'american', 'specie', 'short', 'tropical', 'placed', 'genus_dryadella', 'tufted', 'genus', 'solitary', 'stem', 'dwarf', 'flower']",0.739691071137982,0.7780175306882884,0.7856808727735229
5296,dwarf,5296,dwarf,dwarfish.s.01,"['tree', 'dwarfish', 'atypically', 'star', 'small', 'dwarf']",0.7396590702980012,0.6773831431844771,0.7180463107119262
5300,dwarf,5300,dwarf,troll.n.01,"['giant', 'dwarf', 'scandanavian', 'supposed', 'live', 'cave', 'folklore', 'creature', 'supernatural', 'either', 'mountain', 'troll']",0.7345367007336475,0.6860073406870283,0.7321491689928146
5327,dwarf,5327,dwarf,wild_thyme.n.01,"['state', 'common', 'bank', 'hillside', 'united', 'aromatic', 'thymus_serpyllum', 'creeping_thyme', 'europe', 'naturalized', 'wild_thyme', 'dwarf', 'shrub']",0.7337868972320959,0.7242050579715061,0.7541873762043092
4041,eskimo,4041,eskimo,aleut.n.02,"['linguistically', 'eskimo', 'related', 'aleut', 'aleutian', 'american', 'inhabit', 'island', 'alaska', 'culturally', 'native', 'southwestern', 'speak', 'language', 'community']",0.8876015654515554,0.8412602353589789,0.9025060072492332
4035,eskimo,4035,eskimo,eskimo.n.01,"['eskimo', 'canada', 'inuit', 'flesh', 'people', 'member', 'esquimau', 'algonquian', 'arctic', 'call', 'alaska', 'greenland', 'raw', 'northern', 'eater', 'inhabiting', 'called', 'siberia', 'eastern']",0.8565725269025043,0.8475349367592226,0.8686260002223527
4031,eskimo,4031,eskimos,syllabic.a.02,"['eskimo', 'syllabary', 'arctic', 'syllabic', 'using', 'consisting', 'system', 'eastern', 'writing']",0.8428609119401093,0.7375140622703129,0.8496324107343104
4033,eskimo,4033,eskimos,rasmussen.n.01,"['eskimo', 'indian', 'originally', 'ethnologist', 'arctic', 'kund_johan_victor_rasmussen', 'danish', 'led', 'expedition', 'american', 'asia', 'migrated', 'north', 'explorer', 'theory', 'support', 'rasmussen', 'find']",0.8183128732025763,0.8168415655110741,0.8374696785754171
