,Unnamed: 0,resource,lang,lemma,entity_id,property,value,implicit_marker,level
16,16,aat,en,pygmy,300016430,scopeNote,"The collective style and culture of various African peoples whose adult males grow to less than 59 inches (150 cm) in average height, and who live in Cameroon, Equatorial Guinea, Gabon, Democratic Republic of Congo, Congo Republic, Central African Republic, Rwanda, and Burundi. Use of ""Pygmy"" for a culture is considered pejorative; where possible use instead the most specific name for the subgroup.",use instead,3
17,17,aat,en,pygmy,300016430,scopeNote,"The collective style and culture of various African peoples whose adult males grow to less than 59 inches (150 cm) in average height, and who live in Cameroon, Equatorial Guinea, Gabon, Democratic Republic of Congo, Congo Republic, Central African Republic, Rwanda, and Burundi. Use of ""Pygmy"" for a culture is considered pejorative; where possible use instead the most specific name for the subgroup.",use instead the most specific,3
18,18,aat,en,native,300017447,scopeNote,"Refers to artwork produced by native Arctic culture, prior to European contact. For names of specific native peoples of the present, use descriptors such as ""Chugach,"" ""Inuit,"" or ""Katladlit.""","specific native peoples of the present, use",3
19,19,aat,en,native,300017437,scopeNote,"Whenever possible, use the specific tribal name. The general term ""Native American"" is widely used in the United States, but many groups now prefer ""American Indian"" or ""Indigenous American."" This concept is typically reserved to refer narrowly to the cultures of the native peoples of the United States and Canada, excluding the Eskimos and Aleuts. For the indigenous peoples of Canada use the term ""First Nations."" For the broader concept of the cultures of any native peoples of Central America, South America, North America, or the West Indies who are considered to belong to the Mongoloid division of the human species, use ""Amerindian (culture).""",now prefer,3
20,20,aat,en,native,300017437,scopeNote,"Whenever possible, use the specific tribal name. The general term ""Native American"" is widely used in the United States, but many groups now prefer ""American Indian"" or ""Indigenous American."" This concept is typically reserved to refer narrowly to the cultures of the native peoples of the United States and Canada, excluding the Eskimos and Aleuts. For the indigenous peoples of Canada use the term ""First Nations."" For the broader concept of the cultures of any native peoples of Central America, South America, North America, or the West Indies who are considered to belong to the Mongoloid division of the human species, use ""Amerindian (culture).""",use the specific,3
21,21,aat,en,native,300056460,scopeNote,"An outdated designation formerly used for the architecture of certain people considered to be outside the spheres of influence of other, politically dominant cultural groups; was used especially concerning communities in sub-Saharan Africa, the Pacific Islands, and native tribal groups throughout the Americas. Use instead other terms, such as ""vernacular architecture,"" or use the most specific name known for the culture of origin.",outdated designation,2
22,22,aat,en,native,300056460,scopeNote,"An outdated designation formerly used for the architecture of certain people considered to be outside the spheres of influence of other, politically dominant cultural groups; was used especially concerning communities in sub-Saharan Africa, the Pacific Islands, and native tribal groups throughout the Americas. Use instead other terms, such as ""vernacular architecture,"" or use the most specific name known for the culture of origin.",use the most specific,2
23,23,aat,en,native,300249545,scopeNote,"Use generally to refer to various types of Native North American dwellings and ritual buildings, usually with regard to Plains Indians tribes; when possible use a more specific term.",use a more specific,2
24,24,aat,en,native,300056500,scopeNote,"An outdated designation formerly used for the art of certain people considered to be outside the spheres of influence of other, politically dominant cultural groups; was used especially concerning communities in sub-Saharan Africa, the Pacific Islands, and native tribal groups throughout the Americas. Use instead ""indigenous art,"" ""tribal art,"" or the most specific name known for the culture of origin. Distinct from ""primitivism,"" a term sometimes used for artistic styles or movements intended, often romantically or sentimentally, to emulate the appearance of art made by people operating outside of mainstream art markets.",outdated designation,3
25,25,aat,en,disabled,300189309,altLabel_comment,term is considered offensive,offensive,2
26,26,aat,en,disabled,300025925,altLabel_comment,term is considered offensive,offensive,3
27,27,aat,en,western,300264554,scopeNote,"Refers to marks used in Western architecture to identify the mason who carved the stone at his banker in the building lodge. The origins and intended use of banker marks varied through history, and are not entirely understood. Early banker marks were apparently used to assure responsibility and quality control in a large building project where a number of less-skilled masons were employed. By the 13th century, banker marks often identified stones carved by specific task, so that the masons could be paid appropriately. Bankers marks typically appear on the work of masons less skilled than the freemasons, who carved moldings and figures. The banker mark eventually came to identify the mason himself. It was often assumed as a signature outside the context of the building site.","use of banker marks varied through history, and are not entirely understood. Early banker marks were apparently used to assure responsibility and quality control in a large building project where a number of less-skilled masons were employed. By the 13th century, banker marks often identified stones carved by specific",1
28,28,aat,en,western,300417418,scopeNote,"Refers to a contemporary fine art trend in the Philippines beginning from the postwar period. It is first used to refer to a group of artists associated with the Philippine Art Gallery (1951-1969) who began to call themselves Neo-Realists in 1949. Realism in this case refers to how these artists used their subjective, internal vision of reality to create works of art. Neo-Realism was formed as a reaction to the perceived academic and sentimental status of art in the previous generation. In a sense it was a seminally representational style that was more open to various degrees of abstraction opened up through increasing familiarity with western modern art movements. Although initially facing disapproval from the public and the established art world, the ideologies and styles of the Neo-Realists soon became accepted and affected the development of Filipino art in the following decades.",call themselves,1
29,29,aat,en,aboriginal,300386485,scopeNote,"Style and culture of one of the largest Indian scheduled tribes, an aboriginal people of the Choṭa Nāgpur region in the state of Bihār, India. They call themselves Kurukh; they once lived farther to the southwest on the Rohtās Plateau, but they were dislodged by other populations and migrated to Choṭa Nāgpur, where they settled in the vicinity of Munda-speaking tribes.",call themselves,2
30,30,aat,en,eskimo,300017437,scopeNote,"Whenever possible, use the specific tribal name. The general term ""Native American"" is widely used in the United States, but many groups now prefer ""American Indian"" or ""Indigenous American."" This concept is typically reserved to refer narrowly to the cultures of the native peoples of the United States and Canada, excluding the Eskimos and Aleuts. For the indigenous peoples of Canada use the term ""First Nations."" For the broader concept of the cultures of any native peoples of Central America, South America, North America, or the West Indies who are considered to belong to the Mongoloid division of the human species, use ""Amerindian (culture).""",now prefer,3
31,31,aat,en,eskimo,300017437,scopeNote,"Whenever possible, use the specific tribal name. The general term ""Native American"" is widely used in the United States, but many groups now prefer ""American Indian"" or ""Indigenous American."" This concept is typically reserved to refer narrowly to the cultures of the native peoples of the United States and Canada, excluding the Eskimos and Aleuts. For the indigenous peoples of Canada use the term ""First Nations."" For the broader concept of the cultures of any native peoples of Central America, South America, North America, or the West Indies who are considered to belong to the Mongoloid division of the human species, use ""Amerindian (culture).""",use the specific,3
32,32,aat,en,eskimo,300017447,scopeNote,"Refers to artwork produced by native Arctic culture, prior to European contact. For names of specific native peoples of the present, use descriptors such as ""Chugach,"" ""Inuit,"" or ""Katladlit.""","specific native peoples of the present, use",3
33,33,aat,en,hermaphrodite,300386060,scopeNote,"People that are born with both male and female sex organs. Historically the term 'hermaphrodite' has been used in this context, but now prefer 'intersex people'. Reserve use of the term 'hermaphrodite' for the context of organisms that can produce both gametes associated with male and female sexes.",now prefer,3
34,34,aat,en,inuit,300017447,scopeNote,"Refers to artwork produced by native Arctic culture, prior to European contact. For names of specific native peoples of the present, use descriptors such as ""Chugach,"" ""Inuit,"" or ""Katladlit.""","specific native peoples of the present, use",3
35,35,aat,en,black,300448122,scopeNote,"Originally, make-up or costume intended to imitate the appearance of a black person, particularly as part of a performance. By extension, any practice of stereotyping dark-skinned people in an exaggerated fashion. Though not exclusive to the United States, blackface was associated with minstrel shows in the US from the 1830s until the mid-20th century; and is widely regarded now as an offensive example of racism. Blackface was adopted by some African American performers in minstrel shows from ca.1840 as a means to earn a living in venues that were otherwise denied them in mainstream show business.",offensive,2
36,36,aat,en,black,300265027,scopeNote,"Small, extremely rare egg-shaped vessels of ancient Greece, found in both black- and red-figure. The specific use of oa is not determined although real eggs as well as marble and ceramic ones were placed in graves. Lidded oa might have held scented oil (perfume). Lidless oa were probably not containers since they either have a small hole at one or both end or no opening at all.",specific use,1
37,37,aat,en,ethnic groups,300016563,scopeNote,"Style and culture of the Sotho ethnic group, located primarily in Lesotho. They were originally united by a common loyalty to the royal house of Moshoeshoe I, who founded the Sotho nation in the 19th century. For the cultures of the African people living in southern Africa who speak or who are descendants of those who traditionally spoke the Sesotho or Southern Sotho language, use the more specific ""Southern Sotho.""",use the more specific,1
38,38,aat,en,ethnic groups,300016563,altLabel_comment,"for the more specific culture of those who speak Sesotho, use ""Southern Sotho""","specific culture of those who speak Sesotho, use",1
39,39,aat,en,maroon,300443390,scopeNote,"Style and culture of a community or group of formerly enslaved Africans and Amerindian peoples and their descendants who fled, resisted, or rebelled against enslavement and found freedom in remote regions near where they had been forcibly relocated. Many of these groups have survived in the Caribbean and the Americas. Note that this community of people did not originally refer to themselves as “Maroon,” though some of their contemporary descendants have adopted the term, while others may consider it pejorative.",pejorative,3
40,40,aat,en,maroon,300443390,scopeNote,"Style and culture of a community or group of formerly enslaved Africans and Amerindian peoples and their descendants who fled, resisted, or rebelled against enslavement and found freedom in remote regions near where they had been forcibly relocated. Many of these groups have survived in the Caribbean and the Americas. Note that this community of people did not originally refer to themselves as “Maroon,” though some of their contemporary descendants have adopted the term, while others may consider it pejorative.",consider,3
41,41,aat,en,race,300379167,scopeNote,"Tournaments in which knights, divided into companies (quadrilles) and distinguished by liveries, are engaged in various plays and exercises; to this were often added chariot races, and other shows and entertainments.  For specific tournaments, races, or balletic exercises involving horses, use ""equestrian ballet"" or ""horse races.""","specific tournaments, races, or balletic exercises involving horses, use",1
42,42,aat,en,primitive,300056460,scopeNote,"An outdated designation formerly used for the architecture of certain people considered to be outside the spheres of influence of other, politically dominant cultural groups; was used especially concerning communities in sub-Saharan Africa, the Pacific Islands, and native tribal groups throughout the Americas. Use instead other terms, such as ""vernacular architecture,"" or use the most specific name known for the culture of origin.",outdated designation,2
43,43,aat,en,primitive,300056460,scopeNote,"An outdated designation formerly used for the architecture of certain people considered to be outside the spheres of influence of other, politically dominant cultural groups; was used especially concerning communities in sub-Saharan Africa, the Pacific Islands, and native tribal groups throughout the Americas. Use instead other terms, such as ""vernacular architecture,"" or use the most specific name known for the culture of origin.",use the most specific,2
44,44,aat,en,primitive,300265683,scopeNote,"Phylum of primitive multicellular aquatic animals. There are approximately 5,000 described species and inhabit all seas, where they occur attached to surfaces from the intertidal zone to depths of 29,000 feet or more. Early naturalists regarded the sponges as plants because of their frequent branching form and their lack of obvious movement. The animal nature of sponges was first described in 1755, and was confirmed in 1765 after observations revealed movement of their openings. In structure, function, and development, however, sponges are distinct from other animals. Many zoologists regard sponges as occupying an isolated position in the animal kingdom and classify them in the subkingdom Parazoa. Other sources consider sponges relatives of the invertebrate animal group coelenterates. Aquatic, chiefly marine animals of the phylum Porifera, varying greatly in size, shape, and color, and having a porous body and siliceous or calcareous internal framework, living permanently attached singly or in groups, feeding b filtering food particles from the water that enters their internal body channels through their pores. They are very simply organized with no mouth, digestive cavity, nerves, muscle, or true behavior, and sometimes are considered to be colonized protozoans rather than single multicellular organisms. For the light, porous, yielding fibrous skeletal matter of these animals, use ""sponge (material).""",consider,2
45,45,aat,en,primitive,300056500,scopeNote,"An outdated designation formerly used for the art of certain people considered to be outside the spheres of influence of other, politically dominant cultural groups; was used especially concerning communities in sub-Saharan Africa, the Pacific Islands, and native tribal groups throughout the Americas. Use instead ""indigenous art,"" ""tribal art,"" or the most specific name known for the culture of origin. Distinct from ""primitivism,"" a term sometimes used for artistic styles or movements intended, often romantically or sentimentally, to emulate the appearance of art made by people operating outside of mainstream art markets.",outdated designation,3
46,46,aat,en,retarded,300025925,altLabel_comment,term is considered offensive,offensive,3
47,47,aat,en,first world,300449024,scopeNote,"Describes nations of the world that are considered economically and technologically advanced. Generally consider this more current and accurate than ""First World.""",consider,3
48,48,aat,en,primitivism,300056500,scopeNote,"An outdated designation formerly used for the art of certain people considered to be outside the spheres of influence of other, politically dominant cultural groups; was used especially concerning communities in sub-Saharan Africa, the Pacific Islands, and native tribal groups throughout the Americas. Use instead ""indigenous art,"" ""tribal art,"" or the most specific name known for the culture of origin. Distinct from ""primitivism,"" a term sometimes used for artistic styles or movements intended, often romantically or sentimentally, to emulate the appearance of art made by people operating outside of mainstream art markets.",outdated designation,3
49,49,aat,en,indigenous,300017437,scopeNote,"Whenever possible, use the specific tribal name. The general term ""Native American"" is widely used in the United States, but many groups now prefer ""American Indian"" or ""Indigenous American."" This concept is typically reserved to refer narrowly to the cultures of the native peoples of the United States and Canada, excluding the Eskimos and Aleuts. For the indigenous peoples of Canada use the term ""First Nations."" For the broader concept of the cultures of any native peoples of Central America, South America, North America, or the West Indies who are considered to belong to the Mongoloid division of the human species, use ""Amerindian (culture).""",now prefer,3
50,50,aat,en,indigenous,300017437,scopeNote,"Whenever possible, use the specific tribal name. The general term ""Native American"" is widely used in the United States, but many groups now prefer ""American Indian"" or ""Indigenous American."" This concept is typically reserved to refer narrowly to the cultures of the native peoples of the United States and Canada, excluding the Eskimos and Aleuts. For the indigenous peoples of Canada use the term ""First Nations."" For the broader concept of the cultures of any native peoples of Central America, South America, North America, or the West Indies who are considered to belong to the Mongoloid division of the human species, use ""Amerindian (culture).""",use the specific,3
51,51,aat,en,indigenous,300056500,scopeNote,"An outdated designation formerly used for the art of certain people considered to be outside the spheres of influence of other, politically dominant cultural groups; was used especially concerning communities in sub-Saharan Africa, the Pacific Islands, and native tribal groups throughout the Americas. Use instead ""indigenous art,"" ""tribal art,"" or the most specific name known for the culture of origin. Distinct from ""primitivism,"" a term sometimes used for artistic styles or movements intended, often romantically or sentimentally, to emulate the appearance of art made by people operating outside of mainstream art markets.",outdated designation,3
52,52,aat,en,tribe,300017547,scopeNote,"Refers to the artwork produced by any member of the North American Indian tribes speaking a language of the Iroquoian family, notably the Cayuga, Cherokee, Huron, Mohawk, Oneida, Onondaga, Seneca, and Tuscarora, in addition to the Iroquois proper. The name Iroquois is a French derivation of Irinakhoiw, meaning ""rattlesnakes."" They call themselves Hodenosaunee, meaning ""people of the longhouse."" The Iroquoian linguistic groups occupied a continuous territory around Lakes Ontario, Huron, and Erie, in present-day New York state and Pennsylvania and southern Ontario and Quebec.",call themselves,1
53,53,aat,en,tribe,300249545,scopeNote,"Use generally to refer to various types of Native North American dwellings and ritual buildings, usually with regard to Plains Indians tribes; when possible use a more specific term.",use a more specific,2
54,54,aat,en,tribe,300386485,scopeNote,"Style and culture of one of the largest Indian scheduled tribes, an aboriginal people of the Choṭa Nāgpur region in the state of Bihār, India. They call themselves Kurukh; they once lived farther to the southwest on the Rohtās Plateau, but they were dislodged by other populations and migrated to Choṭa Nāgpur, where they settled in the vicinity of Munda-speaking tribes.",call themselves,2
55,0,aat,nl,indiaan,300017650,scopeNote,"Verwijst naar de cultuur van de Sioux, een indiaans volk (of confederatie van volken) dat op de Noord-Amerikaanse prairie woont en behoort tot de Sioux-taalgroep. Sioux is een afkorting van Nadouessioux, een naam die oorspronkelijk door de Ojibwa werd gebruikt om zichzelf aan te duiden; het woord Dakota betekent ‘bondgenoten’. Er bestonden drie hoofddivisies van de Sioux: Santee, Yankton en Teton, die zichzelf respectievelijk Dakota, Nakota en Lakota noemden.",zichzelf aan te duiden,2
56,1,aat,nl,indiaan,300016773,scopeNote,"Verwijst naar een taalgroep van Noord-Amerikaanse indianen die tal van linguïstische subgroepen en culturele groepen omvat. Deze willekeurige benaming, afgeleid van het Athabaska-meer, werd in 1836 bedacht door Albert Gallatin als verwijzing naar een cultuur die volgens hem zijn centrum in dit gebied had. Mensen die behoren tot de Athabaskan-taalgroep bevolken grote delen van het subarctisch gebied, alsmede delen van New Mexico en Arizona. De term kent nogal wat spellingsvarianten, die soms zelfs binnen één bron worden gebruikt. De term 'Athapaskan' wordt sinds 1930 algemeen gebruikt. De leden van de groep duiden zichzelf aan als 'Dene' of 'Na-Dené'. Deze term wordt soms als synoniem voor Athapaskan gebruikt, hoewel er soms ook mee wordt verwezen naar een bredere categorie die tevens de Tlingit- en Haida-taalgroepen omvat.",duiden zichzelf,2
57,2,aat,nl,indiaan,300411107,scopeNote,"Cultuur van de talrijkste groep indianen in Zuid-Amerika. Ze leven in de Centrale Vallei van Chili, ten zuiden van de rivier de Biobío. Een kleinere groep leeft in de provincie Neuquén, in het middenwesten van Argentinië. Vroeger werden de Mapuche door Spaanse etnografen gezien als een van de drie groepen Araukaniërs, waarbij de Picunche en Huillich de andere twee waren. Alle Araukaniërs noemen zichzelf nu Mapuche. In de pre-Spaanse periode leefden de Mapuche verspreid in boerendorpen in de hele Centrale Vallei. Elke nederzetting had een cacique, of hoofd, die meestal alleen in zijn eigen dorp gezag had. De Mapuche verbouwden maïs, bonen, pompoen, aardappelen, chilipepers en andere groenten en leefden verder van visvangst, jacht en het houden van cavia's voor het vlees.",noemen zichzelf,1
58,3,aat,nl,stam,300056460,scopeNote,"Een verouderde benaming die vroeger gebruikt werd voor de architectuur van bepaalde personen die werden beschouwd  als buitenstaanders van andere, politiek overheersende culturele groepen; werd voornamelijk gebruikt met betrekking tot bevolkingsgroepen uit het gebied ten zuiden van de Sahara, de eilanden in de Stille Oceaan en de inheemse Noord- en Zuid-Amerikaanse stammen gaat. Gebruik in plaats daarvan andere termen zoals 'inheemse architectuur',  of gebruik de meest specifieke benaming voor de cultuur of herkomst die bekend is.",verouderde benaming,2
59,4,aat,nl,stam,300386485,scopeNote,"Stijl en cultuur van een van de grootste Indiase geregistreerde stammen, een inheems volk uit de regio Choṭa Nāgpur in de Indiase deelstaat Bihar. Ze noemen zichzelf Kurukh. Vroeger woonden ze verder naar het zuidwesten op het Rohtasplateau, maar ze zijn door andere volkeren verdreven en vertrokken naar Choṭa Nāgpur, waar ze zich vestigden in de nabijheid van Munda-sprekende stammen.",noemen zichzelf,2
60,5,aat,nl,stam,300056500,scopeNote,"Een verouderde benaming die vroeger gebruikt werd voor kunst van bepaald personen die als buitenstaanders werden beschouwd van andere, politiek overheersende culturele groepen; werd voornamelijk gebruikt met betrekking tot bevolkingsgroepen afkomstig uit het gebied ten zuiden van de Sahara, de eilanden in de Stille Oceaan en de inheemse Noord- en Zuid-Amerikaanse stammen. Gebruik in plaats daarvan de meest specifieke benaming van de cultuur of herkomst die bekend is. Te onderscheiden van 'primitivisme', een term die wordt gebruikt voor artistieke stijlen of stromingen die bedoeld zijn om, vaak op romantische of sentimentele wijze, het uiterlijk na te bootsen van kunstvormen die daarvoor als primitief werden bestempeld en andere kunst, geproduceerd door kunstenaars die buiten de grote kunstmarkten werken.",verouderde benaming,2
61,6,aat,nl,traditioneel,300264737,scopeNote,"Verwijst naar schilderijen, beeldhouwwerken, grafische kunst en architectuur die in het recente verleden of het heden zijn vervaardigd. Het verschil met moderne kunst is dat de term 'hedendaagse kunst' niet de betekenis van een niet-traditionele stijl in zich draagt, maar uitsluitend verwijst naar de periode waarin een werk is gemaakt. De begrippen 'modern' en 'hedendaags' zijn dan ook impliciet aan verandering onderhevig. Het woord 'hedendaags' wordt soms in specifiekere zin gebruikt om de kunst tussen circa 1960 of 1970 tot het heden aan te duiden. Om de huidige tijdsperiode aan te duiden zonder relatie tot een kunststijl, gebruik 'hedendaags (generieke tijdsspanne)'.","specifiekere zin gebruikt om de kunst tussen circa 1960 of 1970 tot het heden aan te duiden. Om de huidige tijdsperiode aan te duiden zonder relatie tot een kunststijl, gebruik",1
62,7,aat,nl,primitief,300056460,scopeNote,"Een verouderde benaming die vroeger gebruikt werd voor de architectuur van bepaalde personen die werden beschouwd  als buitenstaanders van andere, politiek overheersende culturele groepen; werd voornamelijk gebruikt met betrekking tot bevolkingsgroepen uit het gebied ten zuiden van de Sahara, de eilanden in de Stille Oceaan en de inheemse Noord- en Zuid-Amerikaanse stammen gaat. Gebruik in plaats daarvan andere termen zoals 'inheemse architectuur',  of gebruik de meest specifieke benaming voor de cultuur of herkomst die bekend is.",verouderde benaming,2
63,8,aat,nl,primitief,300056500,scopeNote,"Een verouderde benaming die vroeger gebruikt werd voor kunst van bepaald personen die als buitenstaanders werden beschouwd van andere, politiek overheersende culturele groepen; werd voornamelijk gebruikt met betrekking tot bevolkingsgroepen afkomstig uit het gebied ten zuiden van de Sahara, de eilanden in de Stille Oceaan en de inheemse Noord- en Zuid-Amerikaanse stammen. Gebruik in plaats daarvan de meest specifieke benaming van de cultuur of herkomst die bekend is. Te onderscheiden van 'primitivisme', een term die wordt gebruikt voor artistieke stijlen of stromingen die bedoeld zijn om, vaak op romantische of sentimentele wijze, het uiterlijk na te bootsen van kunstvormen die daarvoor als primitief werden bestempeld en andere kunst, geproduceerd door kunstenaars die buiten de grote kunstmarkten werken.",verouderde benaming,2
64,9,aat,nl,pygmee,300016430,scopeNote,"Te gebruiken om werken te beschrijven van bepaalde Afrikaanse volkeren die leven in Kameroen, Equatoriaal-Guinea, de Democratische Republiek Congo, Congo, de Centraal-Afrikaanse Republiek, Rwanda en Burundi. De term Pygmee heeft soms een negatieve bijklank. Waar mogelijk verdient het gebruik van de specifieke naam van een subgroep de voorkeur.",negatieve bijklank,3
65,10,aat,nl,gekleurd,300266377,scopeNote,"Verwijst in specifieke zin naar foto's die zijn gemaakt op basis van een met de hand gekleurd positief beeldprocedé, zoals dat vanaf de jaren 80 van de 19de eeuw tot en met 1920 in gebruik was. Het bedoelde effect is dat van een schilderij op glas. Een albuminedruk wordt gehecht aan een gebogen stuk glas en het papier aan de achterzijde wordt tot aan de emulsielaag weggeschuurd. Dan wordt er een laagje olie aangebracht om het geheel doorschijnend te maken, waarna op de achterzijde de kleuren in detail worden aangebracht. Na het drogen wordt een tweede laag gebogen glas toegevoegd en met kleuren in brede banen beschilderd. Daarachter wordt een laag wit materiaal bevestigd, waarna het geheel aan elkaar wordt gelijmd. Het glas, de oplossingen en de kleefmiddelen waren tot aan de Eerste Wereldoorlog vrij in de handel verkrijgbaar. Het procedé was gebaseerd op 18de-eeuwse met de hand gekleurde gravures, de zogeheten mezzotintschilderijen.","specifieke zin naar foto's die zijn gemaakt op basis van een met de hand gekleurd positief beeldprocedé, zoals dat vanaf de jaren 80 van de 19de eeuw tot en met 1920 in gebruik",1
