,lemma,check,entity_id,term,text_1,text_2,text_3,text_4,text_5
646,lilliputian,1.0,Q97788366,lilliputian,"A Lilliputian Vauxhall, Grotesque Borders for Rooms & Halls",,"['print by Thomas Rowlandson (MET, 59.533.1276)']",['print'],[]
685,medicine man,1.0,Q109499757,medicine man,Medicine Man,,['Wellcome Collection exhibition'],['exhibition'],[]
753,mongoloid,0.0,Q20255706,mongoloid,Mongoloidi,,"translated song; Finnisn-language version of ""Mongoloid""",['musical work/composition'],[]
760,moor,0.0,Q5602882,moor,Green Moor,,['human settlement in United Kingdom'],['hamlet'],[]
766,moor,0.0,Q102276979,moors,"An Exhausted Landscape: Medieval Use of Moors, Mires and Commons in the Eastern Netherlands",,['chapter published in 2009'],['academic chapter'],[]
775,mulatto,1.0,Q191923,mulatto,mulatto,"['mulattress', 'mulato', 'mulatta', 'mulata']",['racial classification'],['historical race concept'],['human']
788,mulatto,1.0,Q16201620,mulattos,Mulattos in Haiti,,,[],['ethnic minority']
850,oriental,1.0,Q105374668,oriental,Eastern Zone of El Salvador,"['Eastern Region of El Salvador', 'East of El Salvador', 'Oriental Zone of El Salvador', 'Oriental Region of El Salvador', 'Orient of El Salvador', 'Eastern El Salvador', 'Oriental El Salvador']",['geographic region of El Salvador'],['geographic region'],[]
938,queer,1.0,Q5504229,queer,"Friends for Lesbian, Gay, Bisexual, Transgender, and Queer Concerns",,,['Christian organization'],[]
1022,slave,1.0,Q12011559,slaves,yearling,['year-born'],"social class in Medieval Norse society denoting that a person, their parents, their grandparents and their great-grandparents all lived free and none were slaves or indentured; this grants some amelioration of punishments for crimes",['social class'],[]
1043,third world,1.0,Q7692521,third world,Technological apartheid,,denial of modern technologies to Third World or developing nations,[],[]
1057,traditional,1.0,Q86669572,traditional,Quebec Council for Living Heritage,,organization working for the promotion and the development of traditional culture in Quebec,"['cultural institution', 'nonprofit organization', 'non-governmental organization', 'membership organization']",[]
1059,traditional,1.0,Q96213190,traditional,"Lavash, the preparation, meaning and appearance of traditional bread as an expression of culture in Armenia",,"['Representative List of the Intangible Cultural Heritage of Humanity in Armenia, inscribed in 2014']",['aspect in a geographic region'],[]
1134,white,1.0,Q106677040,white,whiteness,"['racial whiteness', 'ethnic whiteness']",socially constructed identity and ethnoracial category of White people,"['ethnic group', 'concept', 'lexeme']","['identity', 'race (human categorization)']"
