term,entity_id,text_1,text_2,text_3,text_4,text_5,check
barbarians,Q89943967,Branding Barbarians: A Study into the Use of Renewable Heritage Tourism Destinations as Platforms for Decolonial Options,,['thesis'],['doctoral thesis'],[],FALSE
barbarians,Q59624039,Narrative point of view in translation : a systemic functional analysis of the Arabic translations of J.M. Coetzee's 'Waiting for the Barbarians',,['doctoral thesis by Komail Hussain H. Al Herz'],['thesis'],[],FALSE
batavia,Q38164557,Batavia Shipwreck Site and Survivor Camps Area 1629 - Houtman Abrolhos,,['historic national heritage site in Geraldton WA'],['historical cultural heritage site'],[],FALSE
batavia,Q5453284,First Methodist Church of Batavia,,"['church building in Illinois, United States of America']",['church building'],[],FALSE
batavia,Q95690836,Deli-Batavia Maatschappij,,,"['business', 'enterprise', 'colonial society', 'plantation']",[],TRUE
batavia,Q5881001,Holland Land Office,,"1815 building in Batavia, New York, that housed the offices of the company that oversaw the development of Western New York",['office building'],[],FALSE
batavia,Q106494090,Deli-Batavia Rubber Maatschappij,,,"['organization', 'business', 'colonial society', 'plantation']",[],TRUE
batavia,Q106651867,Batavia-Arak Maatschappij,['N.V. Batavia-Arak Maatschappij'],['business; colonial society'],"['business', 'colonial society']",[],TRUE
batavia,Q42335755,"SCAPIN-1591: Establishment And Operation Of A Direct Radiotelegraph Circuit Between Tokyo, Japan, And Batavia, Netherlands East Indies",['SCAPIN-1591'],['order by Supreme Commander for the Allied Powers'],['Supreme Commander for the Allied Powers Instruction Note'],[],TRUE
batavia,Q850526,Betuwe,"['Batavia', 'Insula Batavorum']",['historical and geographical region in the Netherlands'],['geographic region'],[],FALSE
batavia,Q7888253,United Methodist Church of Batavia,,"['church building in Batavia, United States of America']",['church building'],[],FALSE
berber,Q25185697,Category:Berber-speaking countries and territories,,['Wikimedia category'],['Wikimedia category'],[],TRUE
berber,Q21039444,Suakin-Berber Railway,,['short-lived military project that never reached completion'],[],[],FALSE
berber,Q7598268,Standard Moroccan Berber,"['Standard Moroccan Tamazight', 'zgh', 'Standard Moroccan Amazigh']","['standardised form of Berber language of Morocco (including all regional accents), written in Tifinagh alphabet']","['language', 'modern language']",['Northern Berber'],TRUE
berber,Q4891027,Berber Arabic alphabet,,['Arabic-based alphabet for various Berber languages in the Middle Ages; in modern times mostly supplanted by Tifinagh or Latin-based orthographies'],['Arabic script based alphabet'],[],TRUE
berber,Q110516589,Algerians and North Africans in New Caledonia: historical anthropology of the Arab-Berber community from 1864 to the present day,,['Book'],"['book', 'written work']",[],TRUE
berber,Q404150,Amazighe flag,"['Berber flag', 'Amazigh flag']",['national flag used by many Amazighe populations in North Africa'],['flag'],[],TRUE
berber,Q61053330,Standard Algerian Berber,,['language'],['language'],['Northern Berber'],TRUE
berber,Q1071266,Berber Spring,,"['period of political protest and civil activism in 1980, claiming recognition of the Berber identity and language in Algeria']",['rebellion'],[],TRUE
berber,Q16936691,Sheliff Basin Berber,,['Berber variety of Algeria'],['language variety'],['Western Algerian Zenatic'],TRUE
berber,Q112870992,"An overview of sugar culture in Morocco, particularly within a Berber community in Rastabouda",,"[""2007 master's thesis by Georgia-Rose Travis at University of Canterbury""]","[""master's thesis""]",[],TRUE
berbers,Q793201,Berber calendar,,agricultural calendar traditionally used by Berbers,['calendar'],['Julian calendar'],TRUE
berbers,Q2712462,traditional Berber religion,,set of beliefs and deities adhered to by the ancient Berbers,['religion'],[],TRUE
berbers,Q13275088,Category:NA-importance Berbers articles,,['Wikimedia category'],['Wikimedia category'],[],TRUE
berbers,Q8885542,Category:Unknown-importance Berbers articles,,['Wikimedia category'],['Wikimedia category'],[],TRUE
berbers,Q8603939,Category:Low-importance Berbers articles,,['Wikimedia category'],['Wikimedia category'],[],TRUE
berbers,Q8509640,Category:High-importance Berbers articles,,['Wikimedia category'],['Wikimedia category'],[],TRUE
black,Q105958972,Notable Black American Women,,['reference book'],['biographical dictionary'],[],TRUE
black,Q1501447,Black Legend (Spain),"['Spanish Black Legend', 'Leyenda Negra']",['supposed tendency in historical writing demonising Spain and the Spanish Empire'],['aspect of history'],['black legend'],FALSE
black,Q106830522,Racism against Black Americans,,['Racism against US citizens of African descent'],[],[],TRUE
black,Q365539,Black Canadians,"['African Canadians', 'Canadians of African ethnicity', 'Afro-Canadians']",['racial or ethnic group in Canada with African ancestry'],"['ethnic group', 'ethnic group']","['Canadians', 'Black people']",TRUE
black,Q388315,African Brazilian,"['Black Brazilian', 'Afro Brazilian']",['racial or ethnic group of Brazilians with African ancestry'],['ethnic group'],"['Black people', 'Afro Latin Americans']",TRUE
black,Q20251258,Afro-Finns,"['Black Finns', 'Black African immigration to Finland', 'Black Africans in Finland', 'Finnish people of Black African descent']",['racial or ethnic group in Finland with Black African ancestry'],['ethnic group'],"['Black people', 'demographics of Finland', 'Black Europeans of African ancestry']",TRUE
black,Q3779980,Maafa,"['Black Holocaust', 'African Holocaust', 'Holocaust of Enslavement']",['demographic history related to the enslaving of Black Africans'],['genocide'],[],TRUE
black,Q86309895,Category:Black (human racial classification),,['Wikimedia category'],['Wikimedia category'],[],TRUE
black,Q86735,Afro-Germans,"['Black Germans', 'Imperial Negroes']",['racial or ethnic group in Germany with African ancestry'],['ethnic group'],"['Germans', 'Black people']",TRUE
blacker,Q19078870,"Blacker, Valentine (DNB00)",,['entry in Dictionary of National Biography'],['biographical article'],[],FALSE
blacker,Q107431542,"An Introduction to the Literature of Vertebrate Zoology: Based Chiefly On the Titles in the Blacker Library of Zoology, the Emma Shearer Wood Library of Ornithology, the Bibliotheca Osleriana and Other Libraries of Mcgill University, Montreal",,"['bibliography published in London: Oxford University Press, H. Milford, 1931']","['version, edition, or translation', 'bibliography']",[],FALSE
blacker,Q108837781,The Blacker the Ink: Constructions of Black Identity in Comics and Sequential Art,,['book edited by Frances Gateward and John Jennings'],['book'],[],FALSE
blacker,Q19048093,"Vignoles, Charles Blacker (DNB00)",,['entry in Dictionary of National Biography'],['biographical article'],[],FALSE
blacker,Q21483330,"Blacker, George (DNB00)",,['entry in Dictionary of National Biography'],['biographical article'],[],FALSE
blacker,Q66765178,"Blacker, Valentine",,['entry in Dictionary of Indian Biography'],['biographical article'],[],FALSE
blacks,Q19039958,"Slavery, Blacks and the priesthood'",,,['oration'],[],TRUE
blacks,Q23900409,Giessen Blacks,['Germanic League'],"['radical fraternity movement in Giessen, Germany']",['Burschenschaft'],[],FALSE
blacks,Q60791206,The Identity Question: Blacks and Jews in Europe and America,['The Identity Question'],['book by Robert Philipson'],['non-fiction work'],[],TRUE
blacks,Q11678010,The Association to Stop Racism Against Blacks,,['Japanese civil rights organization'],[],[],TRUE
blacks,Q109437266,"Minor transethnicity: Chinese, First Nations, and Blacks in multilingual Chinese Canadian fiction",,['dissertation by Yan Lu'],['doctoral thesis'],[],TRUE
bombay,Q56344527,"Convocation Addresses of the Universities of Bombay and Madras/Part 2/E. B. Powell, Esq., M.A.",,['Second Convocation Address of the University of Madras'],['article'],[],TRUE
bombay,Q27069096,John Bellasis,,1747-1808; Alternative names: John Bellas; Titles or roles: major-general and commander of the forces at Bombay,['human'],[],TRUE
bombay,Q107055858,The Burning Sun,"['Hong Kong Baptist University Library Digital Scholarship Services', 'Documentary Film Reviews']",Social Development  Synopsis from the Films Division of India:  A film about the living conditions of slum dwellers in the city of Bombay.,['document'],[],TRUE
bombay,Q63155583,Frederick Ayrton,,"Frederick Ayrton (1812-1873) 1835 Frederick Ayrton of Bombay City and presently residing at 13 Bulstrade Street and studying under William Brunton, be...",['human'],[],TRUE
bombay,Q93703518,"Delimitation of Council Constituencies (Maharashtra) Order, 1951",,"Original name Delimitation of Council Constituencies (Bombay) Order, 1951; name changed by S.O. 563 (E) dated 6 August 1997","['proclamation', 'delegated legislation']",[],TRUE
bombay,Q2627082,Bombay State,"['Bombay Province', 'province of Bombay', 'Mumbai State', 'state of Bombay', 'state of Mumbai', 'Mumbai Province', 'province of Mumbai']",['former state of India'],"['state of India', 'province of India', 'former administrative territorial entity']",[],TRUE
bombay,Q107055692,Bombay: Our City,"['Hong Kong Baptist University Library Digital Scholarship Services', 'Documentary Film Reviews']","[""A documentary feature on the daily battle for survival of Bombay's slum-dwellers and the insularity of its elite.""]",['document'],[],TRUE
burma,Q4765854,Shan States,['British Shan States'],"historic (1885-1948) name for Minor Kingdoms (analogous to Princely state of British India) ruled by Saopha (similar to Thai royal title Chao Fa Prince/Princess) in areas of today's Burma, China, Laos and Northern Thailand from c.1215 to c.1959","['historical country', 'petty kingdom']",['historical country'],TRUE
burma,Q7675176,Tagaung Kingdom,,ancient Burmese city-state in Northern Burma,[],[],TRUE
burma,Q865714,Burmese name,,naming system of Burma/Myanmar,[],"['full name', 'anthroponym from a specific origin']",TRUE
burma,Q67700201,"LORD MOUNTBATTEN INSPECTS BRITISH 36TH DIVISION AREA, CENTRAL BURMA ; STRENGTHENING BRIDGE, CHAWKMOW, BURMA (NAID 17303)",,"[""item in the National Archives and Records Administration's holdings""]",['item of collection or exhibition'],[],TRUE
burma,Q99584857,Elephants and Empire in Colonial Burma: Exhibiting Historical Photographs in Myanmar and the UK,,['AHRC Research Grant (2016)'],"['research grant', 'research project']",[],TRUE
burma,Q2376315,British rule in Myanmar,"['British Myanmar', 'British Burma', 'British occupation of Myanmar']",['1824–1948 British colonial rule on Burma'],"['historical country', 'vassal state', 'colony', 'dominion of the British Empire']",[],TRUE
burma,Q67687938,"JAPANESE PRISONERS, MYITKYINA, BURMA ; RIVER CROSSING DURING EVACUATION, KAWOLIN, BURMA ; HINDUS CELEBRATE ECLIPSE, CALCUTTA, INDIA ; MARSHAL WEI (NAID 15450)",,"[""item in the National Archives and Records Administration's holdings""]",['item of collection or exhibition'],[],TRUE
burma,Q67698557,"CREMATIONOF HINDU SOLDIER, PAUBATIN (?), NEAREST SPELLING PAUNGBYIN, BURMA ; CAPTURE OF JAPANESE SEA MINE, MANAWA, BURMA ; DE GAULLE VISITS COLMAR, FRANCE (NAID 17118)",,"[""item in the National Archives and Records Administration's holdings""]",['item of collection or exhibition'],[],TRUE
burma,Q3446298,Mon kingdoms,,political establishments by the Mon-speaking people that ruled large sections of present-day Burma (Myanmar) at various times between c.800–c.1757,['historical country'],[],TRUE
calcutta,Q51520313,"Posthumous papers bequeathed to the honorable the East India company, and printed by order of the government of Bengal ..",,"Calcutta :Bishop's College Press,1847-1848. | Multiple institutions",['publication'],[],TRUE
calcutta,Q107058893,"Setting up of Production Centres at Bombay, Calcutta, Madras and New Delhi for Production of T.V. films","['Hong Kong Baptist University Library Digital Scholarship Services', 'Archival Documents of Official Film']","['This folder contains 4 documents. These documents are mainly about statement of the queries and the reply furnished by the Films Division/TV Centre in Delhi; Proposal for setting up of Centres at Bombay,  …']",['document'],[],TRUE
calcutta,Q67687938,"JAPANESE PRISONERS, MYITKYINA, BURMA ; RIVER CROSSING DURING EVACUATION, KAWOLIN, BURMA ; HINDUS CELEBRATE ECLIPSE, CALCUTTA, INDIA ; MARSHAL WEI (NAID 15450)",,"[""item in the National Archives and Records Administration's holdings""]",['item of collection or exhibition'],[],TRUE
calcutta,Q107058759,[Response to Letter on March 26 1973 on Setting up of Regional Production Centres at Calcutta and Madras by Diverting A Part of Documentary Production Work from Bombay to These Two Centres],"['Hong Kong Baptist University Library Digital Scholarship Services', 'Archival Documents of Official Film']","['This folder has 6 documents that are about the decentralisation of documentary and short film production of the FD by setting up of regional production centre of the FD at Calcutta and Madras, and the  …']",['document'],[],TRUE
calcutta,Q51416687,On the importance of larval characters in the classification of mosquitoes,,"Calcutta,Office of the superintendent of government printing, India,1906. | Smithsonian Libraries View Book",['publication'],[],TRUE
calcutta,Q107058892,"Proposal for Setting up 4 Centres at New Delhi, Bombay, Calcutta and Madras, for Production of TV films","['Hong Kong Baptist University Library Digital Scholarship Services', 'Archival Documents of Official Film']","['This folder contains 4 documents. These documents are mainly about statement of the queries and the reply furnished by the Films Division/TV Centre in Delhi; Proposal for setting up of Centres at Bombay,  …']",['document'],[],TRUE
caucasian,Q29008195,"Cutaneous responses to topical methyl nicotinate in black, oriental and caucasian subjects",,['final grant report published in 1987'],['report'],[],TRUE
caucasian,Q65353181,"Differences in Ovarian Reserve Markers and Vitamin D Between Infertile Indian, Arabian and Caucasian Population",,['clinical trial'],['clinical trial'],[],TRUE
caucasian,Q64677140,A Trial Investigating the Possible Difference in Development of Type 2 Diabetes Between Caucasian and Japanese Subjects,,['clinical trial'],['clinical trial'],[],TRUE
caucasian,Q67125520,Comparison of Calcium Metabolism in Caucasian and Asian Postmenopausal Women of Chinese Descent and the Use of Strontium as a Qualitative Marker of Calcium Metabolism,,['clinical trial'],['clinical trial'],[],TRUE
caucasian,Q65090850,Caucasian Hunter-Gatherer,,['anatomically modern human genetic lineage identified in 2015'],[],[],TRUE
caucasian,Q7129609,Caucasian,"['Caucasoid', 'Europid', 'a white person', 'white people']",['outdated classification of humans'],['race (human categorization)'],['human'],TRUE
caucasian,Q64725228,A Bridging Trial Comparing Sugammadex (Org 25969) at Reappearance of T2 in Japanese and Caucasian Participants. Part A: Japanese Participants (P05956),,['clinical trial'],['clinical trial'],[],TRUE
caucasian,Q65470762,A Bridging Trial Comparing Sugammadex (Org 25969) at Reappearance of T2 in Japanese and Caucasian Participants. Part B: Caucasian Participants (P05971),,['clinical trial'],['clinical trial'],[],TRUE
caucasians,Q64336553,Angle Closure (Glaucoma) in Caucasians,,['clinical trial'],['clinical trial'],[],TRUE
colored,Q111734197,Dorothy Dorothy Photograph Collection,,black-and-white photographic prints and negatives as well as colored transparencies of Dorothy Dorothy from approximately 1910 - 1985,['photo archive'],[],FALSE
colored,Q2722041,copper,"['copper color', 'copper colour', 'copper-colored', 'copper-coloured']",['reddish brown color'],['color'],['color'],FALSE
colored,Q110699729,square,,one of the black- or white-colored spaces of a chessboard,[],['square'],FALSE
colored,Q1627085,honey,['honey-colored'],"['color of honey, similar to the color of amber']",['color'],"['color', 'brown']",FALSE
colored,Q87069490,ombré and sombré hair,"['gradient colored hair', 'gradient coloured hair', 'ombré', 'ombre hair', 'sombré', 'shatush']","['the blending of one hair color hue to another, usually moving tints and shades from light to dark']",['technique'],"['multicoloured hair', 'hair coloring']",FALSE
colored,Q599820,muumuu,,"loose dress, usually brightly colored or patterned, worn especially by Hawaiian women, or as a housecoat",[],"['dress', 'housecoat']",FALSE
colored,Q3402019,llawt'u,"['llauto', 'llautu', 'llawthu']","outfit of the ruling Sapa Incas: variety of turban with the colours of the Tahuantinsuyo, traditionally woven from the wool of the vicuña with different-colored plaits; had a stripe of wool called the maskapaycha with a symbol of the quriqinqi",[],['turban'],FALSE
colored,Q67085833,colored vinyl,['coloured vinyl'],"['use with P1552 to indicate that a vinyl record is anything other than black in color; qualify with P5422, P462 where applicable']",['quality'],[],FALSE
coolie,Q3568519,William Cooley,['William Coolie'],['Florida Pioneer'],['human'],[],FALSE
coolie,Q4036526,Coolie itch,,['medical condition'],[],['acarodermatitis'],FALSE
coolies,Q114655389,Fight of Coolies,,,['drawing'],[],TRUE
coolies,Q7727562,The Coolies,,['US musical group'],['musical group'],[],FALSE
coolies,Q23758885,Coolies Round the Food Vendor's Stall,,['painting by George Chinnery'],['painting'],[],TRUE
coolies,Q104308634,Scartlea,,"townland in Coolies, County Kerry, Ireland",['townland'],[],FALSE
descent,Q640624,Areal feature,,linguistic feature arising through language contact rather than common descent,[],[],FALSE
descent,Q30588174,prestack,,fibered category satisfying full and faithful (but not necessarily effective) descent,[],['fibered category'],FALSE
descent,Q56457535,On the relation of imperfect functioning of the testis to imperfect descent,,['doctoral thesis'],['doctoral thesis'],[],FALSE
descent,Q16950364,Maltese in Egypt,,"We all take very strong exception to Maltese-Egyptians as our Nationality. We were definitely recognised, even by the Egyptian Government as British Subjects of Maltese descent.",['ethnic group'],[],TRUE
descent,Q64335784,"A Study To Investigate Palbociclib (PD-0332991) Pharmacokinetics In Healthy Subjects Of Japanese Descent Relative To Healthy Non-Asian Subjects, And To Determine If Changes In Palbociclib Dose Result In Proportional Changes In Palbociclib Plasma",,['clinical trial'],['clinical trial'],[],TRUE
developing nations,Q1144513,G20 developing nations,,['trade negotiations bloc of 20+ developing nations'],['geopolitical group'],[],TRUE
developing nations,Q110867855,Robert E. Marshak Lectureship,['Marshak Lectureship'],travel support award for physicists from developing nations or Eastern Europe,['award'],[],TRUE
developing nations,Q67620122,VICE PRESIDENT HUBERT HUMPHREY ON URBAN DEVELOPMENT IN DEVELOPING NATIONS (NAID 125481),,"[""item in the National Archives and Records Administration's holdings""]",['item of collection or exhibition'],[],TRUE
disabled,Q92273135,A Balanced Reach Training Platform to Address Balance Disorders in Older and Neurologically Disabled Veterans,,['clinical trial'],['clinical trial'],[],TRUE
disabled,Q105974436,disability and climate change,"['Climate change and disability', 'Effects of climate change on the disabled']",['intersectional topic related to the effects of climate change on those with disability'],['principle'],[],TRUE
discover,Q114345534,Discover and explain how careers in science can improve human conditions and relate these careers to the work of great national and international scientists and science educators,['B7.5.3.1.1'],"['basic 7, strand 5, sub-strand 3, content standard 1, indicator 1 for Ghana Science Basic 7 national Curriculum']",['Indicator'],['Realise how careers in science can improve life of human sand research about Ghanaian and internationally recognized scientists and science educators and model after them'],FALSE
discover,Q112181328,Optical Technology Center,,"The Optical Technology Center is a multidisciplinary center at Montana State University, offering opportunities to learn and work together to find solutions to practical problems and to discover new applications for optical technology.","['research institute', 'research center']",[],FALSE
discover,Q26963042,The 2 AM Principle: Discover the Science of Adventure,,,['literary work'],[],FALSE
discover,Q110043630,"""Sporting Discoveries, or the Miseries of Driving:""...You Discover a New Way of Bringing Your Equipage into a Small Compass",,['watercolour by Henry Thomas Alken'],['watercolor painting'],[],FALSE
discover,Q110043633,"""Sporting Discoveries, or the Miseries of Driving:""... Trying a New Match you Discover That They are Not Only Alike in Color, Weight and Action, but in Disposition",,['watercolour by Henry Thomas Alken'],['watercolor painting'],[],FALSE
discover,Q112883671,Autoethnographic Journey to Discover the Heart and Art of My Nursing Practice,,"[""2010 master's thesis by Peter John Kimble at Victoria University of Wellington""]","[""master's thesis""]",[],FALSE
discover,Q110043571,"""Sporting Discoveries, or the Miseries of Driving:""...You Discover You Have Obtained a Steady One",,['watercolour by Henry Thomas Alken'],['watercolor painting'],[],FALSE
discover,Q110142387,[Hunting Discoveries]... Discover if you intend to do the thing well...,,['etching by Henry Thomas Alken'],"['etching print', 'print']",[],FALSE
discover,Q77619598,Subliminal Influence: Discover The Power of Positive Thinking and Mental Reprogramming,,"[""book by D'Vaughn Bell""]",['literary work'],[],FALSE
discover,Q110043626,"""Sporting Discoveries, or the Miseries of Driving:""... Up and Down, or the Endeavor to Discover Which Way Your Horse is Inclined to Come Down, Backwards or Forwards",,['watercolour by Henry Thomas Alken'],['watercolor painting'],[],FALSE
dwarf,Q5871,white dwarf,['degenerate dwarf'],['type of stellar remnant composed mostly of electron-degenerate matter'],"['spectral class', 'stellar evolution', 'astronomical object type', 'physical theory']","['dwarf star', 'compact star', 'massive compact halo object']",FALSE
dwarf,Q17480821,fictional brown dwarf,,['brown dwarf that only exists in a fictional universe'],[],['fictional astronomical object'],FALSE
dwarf,Q5656368,Dwarf elephant,,"['prehistoric elephant species, compare Q2605305']",['organisms known by a particular common name'],[],FALSE
dwarf,Q82228624,US 3871,,white dwarf in the constellation Aries,"['white dwarf', 'blue object']",[],FALSE
dwarf,Q66311406,Dwarf,,['fictional species in the Marvel Cinematic Universe'],['fictional humanoid species'],['fictional extraterrestrial'],TRUE
dwarf,Q3406262,Dwarf galaxy problem,,['the fact that the number of observed dwarf galaxies is orders of magnitude lower than expected from numerical cosmological simulations'],[],[],FALSE
dwarf,Q5178691,WISE 1405+5534,['WISEPC J140518.40+553421.4'],brown dwarf in the constellation Ursa Major,"['brown dwarf', 'infrared source']",[],FALSE
dwarfs,Q3138431,"timeline of white dwarfs, neutron stars, and supernovae",,['chronological list of developments in knowledge and records'],['timeline'],[],FALSE
dwarfs,Q16999315,That's the Short and Long of It,,extended play by Tall Dwarfs,['extended play'],[],FALSE
dwarfs,Q1684335,Dwarfs and pygmies in ancient Egypt,,['cultural treatment of dwarfs and pygmies in ancient Egypt'],[],[],TRUE
dwarfs,Q111807950,four dwarfs support the sky,"['A665.2.1.2', 'A665.2.1.2. Four dwarfs support the sky.']","[""narrative motif documented in Thompson's Motif-Index of Folk-Literature""]","['narrative motif', 'motif']",[],TRUE
dwarfs,Q3335212,Dwarfs,,['humanoid race in the Discworld fictional universe'],['character race'],['dwarf in a work of fiction'],TRUE
dwarves,Q5790640,Creation of the Dwarves,,,['fictional occurrence'],[],TRUE
dwarves,Q8448234,Category:Fictional dwarves,,['Wikimedia category'],['Wikimedia category'],[],TRUE
eskimo,Q65951655,Sarqaq,,"Pre-Columbian Eastern Eskimo styles, Eskimo (culture or style), [Pre-Columbian Arctic and Subarctic styles], Pre-Columbian North American styles, [Pre-Columbian North American styles and periods], Pre-Columbian (American), Americas, The, [styles, per",[],[],TRUE
eskimo,Q27992,Alutiiq,"['Pacific Gulf Yupik', 'Alutiiq language']",Eskimo–Aleut language spoken in southwestern Alaska,"['language', 'modern language']","['Yupik', 'Eskimo-Aleut']",TRUE
eskimo,Q49637714,Eskimo Islands,,"['island in North Slope Borough, United States of America']",['island'],[],TRUE
eskimo,Q2268108,Independence II culture,"['Independence 2 culture', 'Independence Two culture']","Paleo-Eskimo culture that flourished in northeastern Greenland (700 BCE to 80 BCE), north and south of the Independence Fjord",['archaeological culture'],[],TRUE
eskimo,Q3784315,Kivalliq,"['Kivallirmiutut', 'Caribou Eskimo', 'Keewatin', 'Kivalliq dialect']",['Dialect of Eastern Canadian Inuktitut'],['dialect'],['Inuvialuktun'],TRUE
eskimo,Q21550920,Punuk,['Punuk Culture'],"Pre-Columbian Maritime area styles, Pre-Columbian Western Eskimo styles, Eskimo (culture or style), , Pre-Columbian North American styles, , Pre-Columbian (America",['archaeological culture'],[],TRUE
eskimo,Q22423345,Eskimo Lakes,['Husky Lakes'],"['group of lakes in the Northwest Territories, Canada']",['group of lakes'],[],FALSE
eskimos,Q60474532,A Woman from the Land of Eskimos,,"['painting by Léon Cogniet (French, 1794-1880) (1980.249)']",['painting'],[],TRUE
eskimos,Q5339046,Edmonton Eskimos,,"['also known as Edmonton Gray Birds, a Canadian baseball team']",['baseball team'],[],FALSE
eskimos,Q4927438,Blond Eskimos,,['Light-haired Inuit from the Coronation Gulf area of Canada'],[],[],TRUE
ethnic group,Q17157099,Racial fetishism,,Sexually fetishizing a person or culture belonging to a specific race or ethnic group,[],[],TRUE
ethnic group,Q107182188,multicultural newspaper,,"newspaper about multicultural issues, racial equality or diversity and/or covering issues of more than one ethnic group",['newspaper genre'],['newspaper'],TRUE
ethnic group,Q3075017,Black people in France,['African immigration to France'],racial and multi-ethnic group,['human population'],[],TRUE
ethnic group,Q106727146,aspect by ethnic group,['aspect by ethnicity'],,['Wikidata metaclass'],['aspect'],TRUE
ethnic group,Q106537557,music by ethnic group,['music by ethnicity'],['overview of music and music traditions originating from distinct ethnic group'],['Wikidata metaclass'],"['aspect by ethnic group', 'music']",TRUE
ethnic group,Q108788952,ethnic group by residency,,['grouping of distinct ethnic groups by place of residence'],[],"['ethnic group', 'aspect in a geographic region']",TRUE
ethnic group,Q3704243,ethnographic group,,group that has cultural traits that make it stand out from the larger ethnic group it is a part of,[],['ethnic group'],TRUE
ethnic groups,Q65716734,Category:Historical ethnic groups by continent,,['Wikimedia category'],['Wikimedia category'],[],TRUE
ethnic groups,Q112950552,One Size Does Not Fit All: Longitudinal Research into Immigrant Professionals' Perceived Lived Experience of Cross-Cultural Adjustment: A Comparative Study of Three Ethnic Groups in the New Zealand Context,,['2019 doctoral thesis by Yulia Taylor at University of Otago'],['doctoral thesis'],[],TRUE
ethnic groups,Q16141544,Ethnic groups in Chinese history,,['ethnicities of significance to the history of China'],[],[],TRUE
ethnic groups,Q3021105,ethnic groups of the United States,"['race and ethnicity in the United States', 'race in the United States', 'ethnicity in the United States']",['diverse American populations'],[],['ethnography'],TRUE
ethnic groups,Q110645198,Ethnic groups in Indonesia by province,,['demography about ethnicities in Indonesia'],[],['ethnic group in Indonesia'],TRUE
ethnicities,Q110645198,Ethnic groups in Indonesia by province,,demography about ethnicities in Indonesia,[],['ethnic group in Indonesia'],TRUE
